Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0000862-T01-IM3	8	5	1	0	1	1	6	3	1	9
P-0001020-T01-IM3	3	6	0	0	0	1	0	5	0	3
P-0001237-T02-IM6	3	5	32	2	0	0	4	0	2	0
P-0001685-T02-IM3	16	0	19	2	0	2	0	0	5	1
P-0002463-T01-IM3	1	10	3	5	0	1	0	1	16	4
P-0002671-T01-IM3	9	0	0	2	0	0	35	0	0	5
P-0003209-T01-IM5	24	9	24	6	0	0	0	0	0	0
P-0003796-T01-IM5	0	5	6	0	0	5	0	0	2	0
P-0004011-T01-IM5	7	19	13	10	0	0	1	0	0	0
P-0004051-T01-IM5	0	15	4	3	0	10	6	1	3	0
P-0004083-T01-IM5	6	0	0	0	0	0	0	4	0	2
P-0004362-T01-IM5	16	4	13	4	0	0	2	0	13	0
P-0004602-T01-IM5	10	11	7	8	0	0	3	2	0	0
P-0004738-T01-IM5	9	11	2	3	0	9	7	2	12	11
P-0004754-T01-IM5	14	15	10	3	0	8	0	5	1	0
P-0004783-T01-IM5	6	22	0	0	0	0	0	0	0	10
P-0004865-T01-IM5	5	2	1	32	102	2	0	0	3	0
P-0005151-T01-IM5	7	6	16	1	2	4	4	7	2	3
P-0005197-T01-IM5	11	4	14	6	0	0	6	0	0	0
P-0005230-T01-IM5	31	1	4	8	0	9	0	0	11	0
P-0005326-T01-IM5	7	6	5	7	0	0	1	16	5	3
P-0005443-T01-IM5	6	10	0	2	0	0	5	0	5	0
P-0005455-T01-IM5	9	3	11	3	1	0	3	3	5	0
P-0005529-T01-IM5	8	4	0	2	0	0	4	4	1	1
P-0005548-T01-IM5	16	18	5	11	0	0	4	6	0	1
P-0005560-T01-IM5	10	5	0	6	0	0	5	4	0	3
P-0005823-T01-IM5	20	7	15	4	2	1	6	1	6	0
P-0005824-T01-IM5	9	15	12	81	229	0	1	0	0	0
P-0005987-T01-IM5	0	4	2	0	2	0	0	0	8	6
P-0006170-T01-IM5	3	0	17	1	2	5	0	3	0	8
P-0006207-T01-IM5	9	4	0	0	2	1	7	11	0	6
P-0006365-T01-IM5	4	2	5	6	0	4	7	0	1	0
P-0006612-T01-IM5	14	19	11	154	148	0	15	0	0	0
P-0006753-T01-IM5	1	4	7	1	2	8	1	0	7	0
P-0006960-T01-IM5	25	74	12	34	61	31	43	0	14	53
P-0007055-T01-IM5	5	3	7	4	0	4	1	5	0	7
