Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0000862-T01-IM3	4.02E-01	4.30E-01	3.93E-01	1.04E-01	1.20E-01	3.79E-01	3.87E-01	3.70E-01	2.45E-01	3.15E-01
P-0001020-T01-IM3	2.88E-01	3.41E-01	2.58E-01	1.34E-01	0.00E+00	2.31E-01	1.84E-01	3.09E-01	2.11E-01	2.43E-01
P-0001237-T02-IM6	8.06E-01	5.83E-01	8.04E-01	2.19E-01	1.03E-01	3.85E-01	4.05E-01	3.50E-01	3.39E-01	2.57E-01
P-0001685-T02-IM3	6.93E-01	3.53E-01	6.94E-01	1.83E-01	6.00E-02	3.65E-01	1.95E-01	3.38E-01	3.77E-01	3.20E-01
P-0002463-T01-IM3	2.44E-01	4.77E-01	3.95E-01	3.17E-01	2.26E-01	4.49E-01	2.78E-01	4.55E-01	4.64E-01	3.84E-01
P-0002671-T01-IM3	4.42E-01	3.07E-01	5.07E-01	2.51E-01	2.00E-02	3.70E-01	6.56E-01	4.75E-01	3.24E-01	5.29E-01
P-0003209-T01-IM5	1.28E+00	8.60E-01	1.21E+00	3.89E-01	0.00E+00	2.62E-01	2.04E-01	1.05E-01	1.24E-01	1.28E-01
P-0003796-T01-IM5	2.52E-01	3.71E-01	3.34E-01	1.17E-01	6.87E-02	3.33E-01	1.68E-01	1.23E-01	2.46E-01	1.27E-01
P-0004011-T01-IM5	1.12E+00	9.20E-01	8.89E-01	4.95E-01	0.00E+00	2.45E-01	3.29E-01	9.11E-02	1.26E-01	1.41E-01
P-0004051-T01-IM5	2.96E-01	5.50E-01	4.25E-01	2.57E-01	6.15E-02	5.36E-01	4.31E-01	3.29E-01	3.08E-01	2.27E-01
P-0004083-T01-IM5	2.42E-01	1.36E-01	1.64E-01	1.34E-01	6.82E-02	1.73E-01	1.53E-01	2.62E-01	2.01E-01	2.01E-01
P-0004362-T01-IM5	8.55E-01	5.54E-01	8.70E-01	3.06E-01	0.00E+00	2.99E-01	2.89E-01	2.38E-01	4.79E-01	2.16E-01
P-0004602-T01-IM5	6.27E-01	5.55E-01	5.20E-01	4.06E-01	1.14E-01	2.23E-01	2.92E-01	2.75E-01	2.17E-01	1.77E-01
P-0004738-T01-IM5	4.65E-01	6.10E-01	5.31E-01	3.58E-01	0.00E+00	6.69E-01	5.26E-01	6.54E-01	6.17E-01	5.19E-01
P-0004754-T01-IM5	7.76E-01	7.63E-01	7.36E-01	2.39E-01	0.00E+00	5.72E-01	2.36E-01	4.08E-01	2.76E-01	2.18E-01
P-0004783-T01-IM5	4.80E-01	5.86E-01	4.04E-01	2.19E-01	0.00E+00	5.11E-01	2.52E-01	2.05E-01	2.54E-01	3.62E-01
P-0004865-T01-IM5	3.45E-01	3.46E-01	3.24E-01	1.67E+00	1.69E+00	3.84E-01	2.32E-01	2.07E-01	3.77E-01	2.36E-01
P-0005151-T01-IM5	5.49E-01	5.06E-01	5.45E-01	3.47E-01	1.66E-01	5.66E-01	5.23E-01	4.91E-01	4.62E-01	3.80E-01
P-0005197-T01-IM5	6.64E-01	4.58E-01	5.71E-01	3.29E-01	0.00E+00	2.63E-01	4.18E-01	2.02E-01	1.59E-01	1.70E-01
P-0005230-T01-IM5	9.06E-01	4.78E-01	8.25E-01	3.69E-01	1.27E-01	4.35E-01	2.19E-01	4.40E-01	4.18E-01	2.97E-01
P-0005326-T01-IM5	4.81E-01	4.35E-01	4.82E-01	3.26E-01	0.00E+00	4.94E-01	4.74E-01	5.49E-01	4.98E-01	3.59E-01
P-0005443-T01-IM5	5.45E-01	5.23E-01	3.50E-01	1.96E-01	0.00E+00	1.61E-01	2.79E-01	1.99E-01	2.44E-01	1.28E-01
P-0005455-T01-IM5	5.77E-01	3.52E-01	5.54E-01	2.51E-01	1.44E-01	2.03E-01	3.20E-01	3.98E-01	3.51E-01	2.46E-01
P-0005529-T01-IM5	3.87E-01	3.05E-01	1.99E-01	2.41E-01	3.94E-02	1.57E-01	2.94E-01	3.12E-01	2.73E-01	1.68E-01
P-0005548-T01-IM5	8.71E-01	6.84E-01	6.76E-01	4.60E-01	6.20E-02	3.92E-01	3.96E-01	3.75E-01	1.66E-01	2.94E-01
P-0005560-T01-IM5	4.27E-01	3.74E-01	3.24E-01	3.49E-01	2.37E-01	3.22E-01	2.81E-01	3.20E-01	2.22E-01	3.09E-01
P-0005823-T01-IM5	8.47E-01	5.81E-01	7.69E-01	2.97E-01	1.79E-01	4.12E-01	3.74E-01	4.32E-01	3.79E-01	3.23E-01
P-0005824-T01-IM5	7.20E-01	8.85E-01	8.41E-01	3.85E+00	3.72E+00	6.29E-01	4.83E-01	2.83E-01	5.73E-01	7.12E-01
P-0005987-T01-IM5	1.37E-01	2.47E-01	3.42E-01	1.36E-01	1.20E-01	2.58E-01	3.07E-01	3.11E-01	3.63E-01	3.05E-01
P-0006170-T01-IM5	4.53E-01	2.87E-01	5.65E-01	1.91E-01	1.56E-01	5.24E-01	4.18E-01	3.87E-01	3.27E-01	3.87E-01
P-0006207-T01-IM5	3.88E-01	4.73E-01	3.46E-01	2.23E-01	2.97E-01	4.38E-01	3.75E-01	4.67E-01	3.98E-01	4.77E-01
P-0006365-T01-IM5	3.60E-01	2.61E-01	3.34E-01	3.07E-01	9.47E-02	4.18E-01	3.20E-01	3.33E-01	1.97E-01	2.16E-01
P-0006612-T01-IM5	1.12E+00	1.29E+00	1.05E+00	6.15E+00	5.64E+00	7.68E-01	7.89E-01	1.96E-01	3.72E-01	5.84E-01
P-0006753-T01-IM5	3.23E-01	3.66E-01	4.08E-01	1.45E-01	1.42E-01	4.03E-01	3.45E-01	3.13E-01	4.23E-01	3.98E-01
P-0006960-T01-IM5	1.48E+00	2.37E+00	1.52E+00	1.45E+00	1.49E+00	2.84E+00	1.95E+00	9.92E-01	1.30E+00	2.12E+00
P-0007055-T01-IM5	3.62E-01	3.32E-01	4.22E-01	2.31E-01	4.11E-02	4.46E-01	2.54E-01	3.42E-01	3.14E-01	4.35E-01
P-0007147-T01-IM5	7.69E-01	9.02E-01	7.81E-01	4.59E-01	1.12E-01	8.10E-01	6.90E-01	8.42E-01	6.73E-01	6.00E-01
P-0007296-T01-IM5	7.06E-01	6.31E-01	5.30E-01	1.79E-01	1.18E-01	4.34E-01	4.53E-01	5.37E-01	3.13E-01	3.54E-01
P-0007596-T01-IM5	5.86E-01	6.90E-01	5.61E-01	2.10E-01	2.81E-02	4.26E-01	3.37E-01	2.89E-01	2.19E-01	2.51E-01
P-0007688-T01-IM5	4.25E-01	4.62E-01	2.87E-01	1.87E-01	1.19E-01	3.00E-01	4.58E-01	3.43E-01	2.21E-01	1.89E-01
P-0007739-T01-IM5	2.15E-01	3.82E-01	2.19E-01	1.24E-01	3.71E-02	3.37E-01	1.72E-01	3.02E-01	2.93E-01	1.94E-01
P-0007831-T01-IM5	3.92E-01	4.51E-01	4.80E-01	2.21E-01	1.48E-01	5.04E-01	2.89E-01	2.71E-01	2.29E-01	3.40E-01
P-0007836-T01-IM5	8.50E-01	4.24E-01	8.43E-01	2.23E-01	1.34E-01	2.25E-01	3.42E-01	3.53E-01	2.98E-01	1.81E-01
P-0007843-T01-IM5	3.47E-01	3.84E-01	3.40E-01	1.27E-01	1.00E-02	3.54E-01	3.03E-01	2.59E-01	2.74E-01	1.89E-01
P-0007882-T01-IM5	3.80E-01	5.46E-01	3.05E-01	1.54E-01	0.00E+00	5.23E-01	3.11E-01	3.27E-01	2.84E-01	3.46E-01
P-0007997-T01-IM5	3.55E-01	5.48E-01	3.86E-01	1.33E-01	0.00E+00	5.13E-01	2.74E-01	3.97E-01	3.22E-01	2.19E-01
P-0008180-T01-IM5	6.93E-01	6.76E-01	4.91E-01	2.27E-01	0.00E+00	4.25E-01	4.53E-01	5.20E-01	3.56E-01	4.05E-01
P-0008226-T02-IM5	4.42E-01	3.36E-01	4.06E-01	3.01E-01	1.15E-01	3.15E-01	3.97E-01	3.64E-01	3.13E-01	2.29E-01
P-0008317-T01-IM5	7.34E-01	4.92E-01	6.59E-01	2.44E-01	9.90E-02	2.23E-01	2.23E-01	1.94E-01	2.14E-01	1.37E-01
P-0008504-T03-IM6	4.01E-01	4.32E-01	4.23E-01	4.90E-01	1.90E-01	5.43E-01	5.68E-01	7.42E-01	7.27E-01	5.78E-01
P-0008721-T01-IM5	4.58E-01	4.69E-01	5.13E-01	3.56E-01	1.23E-01	5.03E-01	4.23E-01	5.64E-01	5.28E-01	5.74E-01
P-0008729-T01-IM5	3.75E-01	3.21E-01	3.63E-01	2.30E-01	1.91E-01	3.16E-01	4.48E-01	3.22E-01	3.14E-01	4.11E-01
P-0008745-T01-IM5	4.64E-01	3.92E-01	4.38E-01	4.98E-02	0.00E+00	2.25E-01	1.78E-01	1.33E-01	1.12E-01	1.36E-01
P-0008746-T01-IM5	4.07E-01	4.41E-01	3.60E-01	2.90E-01	1.16E-01	3.79E-01	2.42E-01	4.26E-01	4.30E-01	3.90E-01
P-0009157-T01-IM5	2.91E-01	3.99E-01	1.86E-01	1.89E-01	0.00E+00	4.20E-01	4.52E-01	3.47E-01	2.54E-01	2.71E-01
P-0009830-T01-IM5	2.92E-01	2.66E-01	3.63E-01	2.45E-01	1.00E-02	3.32E-01	2.77E-01	4.64E-01	4.26E-01	1.60E-01
P-0009964-T01-IM5	2.67E-01	2.02E-01	2.77E-01	1.84E-01	2.00E-02	3.05E-01	2.73E-01	2.79E-01	2.71E-01	2.66E-01
P-0010167-T01-IM5	3.19E-01	3.88E-01	1.72E-01	1.00E-02	0.00E+00	1.60E-01	3.72E-01	4.15E-01	4.26E-01	2.36E-01
P-0010275-T01-IM5	5.69E-01	5.36E-01	5.45E-01	2.33E-01	0.00E+00	3.26E-01	3.42E-01	3.18E-01	2.47E-01	2.11E-01
P-0010308-T01-IM5	2.86E-01	2.48E-01	3.01E-01	2.18E-01	2.23E-02	3.10E-01	2.18E-01	3.18E-01	3.00E-01	1.53E-01
P-0010499-T01-IM5	2.91E-01	6.35E-01	4.57E-01	1.98E+00	2.08E+00	6.36E-01	3.21E-01	4.20E-01	6.83E-01	5.35E-01
P-0010587-T01-IM5	7.92E-01	4.89E-01	7.11E-01	4.27E-01	1.42E-01	3.01E-01	3.90E-01	3.36E-01	2.94E-01	3.31E-01
P-0010680-T02-IM6	2.30E-01	2.50E-01	4.09E-01	2.09E-01	1.98E-01	3.20E-01	4.52E-01	2.18E-01	3.52E-01	7.26E-01
P-0010783-T01-IM5	6.48E-01	4.41E-01	5.76E-01	2.76E-01	0.00E+00	3.94E-01	3.94E-01	5.87E-01	3.91E-01	2.37E-01
P-0010798-T01-IM5	2.32E-01	2.16E-01	2.26E-01	2.61E-02	1.00E-02	3.03E-01	2.61E-01	3.03E-01	1.34E-01	7.77E-02
P-0010929-T01-IM5	4.34E-01	3.96E-01	3.60E-01	2.18E-01	1.20E-01	1.70E-01	1.68E-01	3.72E-01	3.07E-01	2.59E-01
