NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	34.315	72.593	7.601	48.332	0.638	0.84	40000.0
2	33.71	70.645	7.414	47.428	0.642	0.848	40000.0
3	33.083	69.965	7.203	46.277	0.638	0.851	70000.0
4	34.883	72.297	7.952	48.969	0.635	0.836	30000.0
5	36.379	75.46	8.396	51.118	0.637	0.825	20000.0
6	33.059	70.285	7.188	46.879	0.644	0.849	50000.0
7	34.049	72.134	7.583	48.238	0.631	0.844	60000.0
8	34.174	72.83	7.623	49.023	0.64	0.839	40000.0
9	34.938	73.856	7.754	49.677	0.64	0.833	40000.0
10	34.908	74.349	7.968	50.57	0.642	0.825	60000.0
11	34.158	73.284	7.588	48.604	0.638	0.839	30000.0
12	33.977	72.174	7.493	47.941	0.632	0.843	30000.0
13	34.398	73.223	7.794	49.306	0.627	0.834	30000.0
14	36.262	74.822	8.458	51.067	0.63	0.827	40000.0
15	33.397	70.315	7.302	46.669	0.625	0.851	30000.0
16	34.775	73.28	7.737	48.583	0.641	0.843	20000.0
17	34.696	73.937	7.722	49.274	0.644	0.837	20000.0
18	32.577	68.713	6.934	44.979	0.654	0.861	30000.0
19	34.447	73.266	7.81	49.986	0.645	0.832	40000.0
20	33.262	71.133	7.23	47.17	0.648	0.844	60000.0
21	34.316	72.569	7.699	48.941	0.636	0.84	30000.0
22	33.845	71.069	7.521	47.868	0.643	0.844	30000.0
23	32.355	67.459	7.09	44.63	0.616	0.866	40000.0
24	32.974	69.198	7.255	45.824	0.625	0.859	50000.0
25	33.911	71.976	7.595	48.578	0.626	0.84	40000.0
26	32.829	69.386	7.22	46.154	0.632	0.854	60000.0
27	34.997	73.494	8.02	50.42	0.632	0.829	40000.0
28	35.01	74.105	7.754	49.814	0.646	0.832	50000.0
29	35.127	74.466	7.886	50.401	0.64	0.828	40000.0
30	33.042	69.894	7.304	46.689	0.62	0.851	60000.0
31	33.086	68.203	7.516	45.015	0.624	0.862	20000.0
32	32.687	67.235	7.237	43.837	0.62	0.869	70000.0
33	33.286	70.15	7.25	46.757	0.631	0.851	20000.0
34	34.712	73.95	7.689	49.796	0.648	0.831	30000.0
35	32.776	69.081	7.056	45.36	0.645	0.858	20000.0
36	34.713	73.295	7.792	49.169	0.634	0.838	40000.0
37	34.115	72.213	7.54	48.082	0.632	0.842	40000.0
38	34.484	73.329	7.789	49.758	0.641	0.831	40000.0
39	32.193	67.79	6.88	44.299	0.632	0.865	50000.0
40	35.052	73.341	7.91	48.77	0.64	0.841	40000.0
41	33.291	70.468	7.378	47.244	0.635	0.846	20000.0
42	32.384	67.516	6.957	44.075	0.618	0.87	30000.0
43	32.89	69.298	7.163	45.908	0.628	0.854	40000.0
44	35.19	74.705	8.042	51.206	0.641	0.822	30000.0
45	33.969	71.416	7.237	46.65	0.649	0.85	20000.0
46	35.851	74.543	8.351	50.958	0.634	0.828	20000.0
47	34.857	72.097	7.983	48.428	0.623	0.842	40000.0
48	36.698	76.058	8.617	51.736	0.633	0.824	30000.0
49	34.895	73.636	7.841	49.705	0.642	0.833	20000.0
50	34.487	71.413	7.779	47.652	0.631	0.847	40000.0
51	32.522	68.962	7.031	45.685	0.624	0.854	20000.0
52	33.882	71.695	7.503	47.908	0.64	0.842	30000.0
53	32.71	69.255	7.161	45.859	0.633	0.855	40000.0
54	34.914	73.664	7.92	50.243	0.64	0.828	20000.0
55	32.843	68.851	7.065	44.95	0.632	0.861	20000.0
56	33.478	70.764	7.329	47.017	0.637	0.847	30000.0
57	34.262	73.047	7.594	48.926	0.642	0.838	30000.0
58	34.153	72.742	7.724	49.593	0.63	0.834	30000.0
59	31.873	66.818	6.861	43.563	0.627	0.871	30000.0
60	34.234	72.45	7.711	49.174	0.622	0.838	40000.0
61	33.292	70.199	7.3	46.535	0.639	0.853	30000.0
62	33.168	70.102	7.387	46.78	0.629	0.848	20000.0
63	33.969	71.54	7.507	47.662	0.634	0.844	50000.0
64	34.636	72.396	7.74	48.111	0.635	0.842	40000.0
65	34.591	72.325	7.746	48.775	0.624	0.841	30000.0
66	34.424	73.439	7.703	49.587	0.646	0.832	30000.0
67	33.421	70.435	7.345	47.081	0.638	0.85	70000.0
68	34.104	72.721	7.395	47.707	0.638	0.85	50000.0
69	34.2	72.319	7.618	48.466	0.634	0.842	70000.0
70	34.605	74.071	7.856	49.713	0.641	0.832	30000.0
71	33.458	70.607	7.474	47.423	0.624	0.849	30000.0
72	33.94	71.791	7.5	48.109	0.629	0.844	20000.0
