Samples	SBS96A
P-0000862-T01-IM3	35
P-0001020-T01-IM3	18
P-0001237-T02-IM6	48
P-0001685-T02-IM3	45
P-0002463-T01-IM3	41
P-0002671-T01-IM3	51
P-0003209-T01-IM5	63
P-0003796-T01-IM5	18
P-0004011-T01-IM5	50
P-0004051-T01-IM5	42
P-0004083-T01-IM5	12
P-0004362-T01-IM5	52
P-0004602-T01-IM5	41
P-0004738-T01-IM5	66
P-0004754-T01-IM5	56
P-0004783-T01-IM5	38
P-0004865-T01-IM5	147
P-0005151-T01-IM5	52
P-0005197-T01-IM5	41
P-0005230-T01-IM5	64
P-0005326-T01-IM5	50
P-0005443-T01-IM5	28
P-0005455-T01-IM5	38
P-0005529-T01-IM5	24
P-0005548-T01-IM5	61
P-0005560-T01-IM5	33
P-0005823-T01-IM5	62
P-0005824-T01-IM5	347
P-0005987-T01-IM5	22
P-0006170-T01-IM5	39
P-0006207-T01-IM5	40
P-0006365-T01-IM5	29
P-0006612-T01-IM5	361
P-0006753-T01-IM5	31
P-0006960-T01-IM5	347
P-0007055-T01-IM5	36
P-0007147-T01-IM5	119
P-0007296-T01-IM5	55
P-0007596-T01-IM5	44
P-0007688-T01-IM5	36
P-0007739-T01-IM5	21
P-0007831-T01-IM5	34
P-0007836-T01-IM5	46
P-0007843-T01-IM5	26
P-0007882-T01-IM5	32
P-0007997-T01-IM5	32
P-0008180-T01-IM5	52
P-0008226-T02-IM5	40
P-0008317-T01-IM5	39
P-0008504-T03-IM6	67
P-0008721-T01-IM5	54
P-0008729-T01-IM5	36
P-0008745-T01-IM5	22
P-0008746-T01-IM5	36
P-0009157-T01-IM5	26
P-0009830-T01-IM5	27
P-0009964-T01-IM5	24
P-0010167-T01-IM5	23
P-0010275-T01-IM5	41
P-0010308-T01-IM5	23
P-0010499-T01-IM5	155
P-0010587-T01-IM5	61
P-0010680-T02-IM6	30
P-0010783-T01-IM5	49
P-0010798-T01-IM5	15
P-0010929-T01-IM5	26
P-0011068-T01-IM5	24
P-0011071-T01-IM5	56
P-0011226-T01-IM5	52
P-0011235-T01-IM5	18
P-0011324-T01-IM5	50
P-0011357-T01-IM5	207
P-0012115-T01-IM5	25
P-0012249-T01-IM5	25
P-0012313-T01-IM5	40
P-0012402-T01-IM5	239
P-0013010-T01-IM5	77
P-0013082-T01-IM5	45
P-0013227-T01-IM5	37
P-0013357-T01-IM5	35
P-0013374-T01-IM5	49
P-0013400-T01-IM5	47
P-0013462-T01-IM5	28
P-0013492-T01-IM5	36
P-0013876-T01-IM5	42
P-0013981-T01-IM5	39
P-0014143-T01-IM5	36
P-0014258-T01-IM6	76
P-0014616-T01-IM6	20
P-0014787-T01-IM6	38
P-0014994-T01-IM6	36
