Samples	SBS96A	SBS96B	SBS96C
P-0000862-T01-IM3	17	18	0
P-0001020-T01-IM3	11	7	0
P-0001237-T02-IM6	35	13	0
P-0001685-T02-IM3	39	6	0
P-0002463-T01-IM3	15	21	5
P-0002671-T01-IM3	10	40	1
P-0003209-T01-IM5	63	0	0
P-0003796-T01-IM5	10	8	0
P-0004011-T01-IM5	43	0	7
P-0004051-T01-IM5	18	23	1
P-0004083-T01-IM5	8	4	0
P-0004362-T01-IM5	44	8	0
P-0004602-T01-IM5	34	1	6
P-0004738-T01-IM5	27	38	1
P-0004754-T01-IM5	44	12	0
P-0004783-T01-IM5	31	7	0
P-0004865-T01-IM5	0	0	147
P-0005151-T01-IM5	27	25	0
P-0005197-T01-IM5	31	6	4
P-0005230-T01-IM5	53	7	4
P-0005326-T01-IM5	22	23	5
P-0005443-T01-IM5	21	7	0
P-0005455-T01-IM5	25	10	3
P-0005529-T01-IM5	14	9	1
P-0005548-T01-IM5	47	7	7
P-0005560-T01-IM5	19	9	5
P-0005823-T01-IM5	45	15	2
P-0005824-T01-IM5	0	0	347
P-0005987-T01-IM5	6	14	2
P-0006170-T01-IM5	18	19	2
P-0006207-T01-IM5	16	24	0
P-0006365-T01-IM5	11	13	5
P-0006612-T01-IM5	44	0	317
P-0006753-T01-IM5	12	17	2
P-0006960-T01-IM5	118	133	96
P-0007055-T01-IM5	17	16	3
P-0007147-T01-IM5	48	61	10
P-0007296-T01-IM5	31	24	0
P-0007596-T01-IM5	32	12	0
P-0007688-T01-IM5	17	16	3
P-0007739-T01-IM5	7	14	0
P-0007831-T01-IM5	16	13	5
P-0007836-T01-IM5	43	3	0
P-0007843-T01-IM5	13	13	0
P-0007882-T01-IM5	18	14	0
P-0007997-T01-IM5	12	20	0
P-0008180-T01-IM5	31	21	0
P-0008226-T02-IM5	20	13	7
P-0008317-T01-IM5	39	0	0
P-0008504-T03-IM6	7	56	4
P-0008721-T01-IM5	23	29	2
P-0008729-T01-IM5	16	14	6
P-0008745-T01-IM5	22	0	0
P-0008746-T01-IM5	21	12	3
P-0009157-T01-IM5	9	16	1
P-0009830-T01-IM5	10	15	2
P-0009964-T01-IM5	8	14	2
P-0010167-T01-IM5	10	13	0
P-0010275-T01-IM5	30	11	0
P-0010308-T01-IM5	7	14	2
P-0010499-T01-IM5	8	17	130
P-0010587-T01-IM5	49	2	10
P-0010680-T02-IM6	11	17	2
P-0010783-T01-IM5	36	13	0
P-0010798-T01-IM5	3	12	0
P-0010929-T01-IM5	23	0	3
P-0011068-T01-IM5	14	10	0
P-0011071-T01-IM5	27	25	4
P-0011226-T01-IM5	42	9	1
P-0011235-T01-IM5	8	10	0
P-0011324-T01-IM5	48	0	2
P-0011357-T01-IM5	11	0	196
P-0012115-T01-IM5	20	5	0
P-0012249-T01-IM5	12	13	0
P-0012313-T01-IM5	27	11	2
P-0012402-T01-IM5	33	37	169
P-0013010-T01-IM5	57	14	6
P-0013082-T01-IM5	40	3	2
P-0013227-T01-IM5	6	30	1
P-0013357-T01-IM5	22	10	3
P-0013374-T01-IM5	44	5	0
P-0013400-T01-IM5	45	0	2
P-0013462-T01-IM5	6	21	1
P-0013492-T01-IM5	17	18	1
P-0013876-T01-IM5	28	12	2
P-0013981-T01-IM5	22	12	5
P-0014143-T01-IM5	14	20	2
P-0014258-T01-IM6	28	44	4
P-0014616-T01-IM6	19	1	0
P-0014787-T01-IM6	17	17	4
P-0014994-T01-IM6	27	9	0
P-0015237-T01-IM6	13	23	3
P-0015252-T01-IM6	30	1	0
P-0015416-T01-IM6	70	18	0
P-0015536-T01-IM6	10	28	5
P-0015699-T01-IM6	5	39	2
P-0015851-T01-IM6	22	4	0
P-0016314-T01-IM6	22	64	3
P-0016522-T01-IM6	27	5	3
P-0016890-T01-IM6	11	24	3
P-0017583-T01-IM5	7	19	3
P-0017664-T01-IM5	4	1	0
P-0017697-T01-IM6	43	27	0
P-0017839-T01-IM6	30	2	9
P-0017925-T01-IM6	23	23	2
P-0017986-T02-IM6	37	27	1
P-0017995-T01-IM6	26	10	2
P-0018374-T01-IM6	20	14	3
P-0018436-T01-IM6	13	3	0
P-0018437-T01-IM6	16	17	0
P-0018841-T01-IM6	4	46	0
P-0019183-T01-IM6	6	2	0
P-0019428-T01-IM6	27	9	0
P-0019464-T01-IM6	58	33	5
P-0019475-T01-IM6	20	47	0
P-0019846-T01-IM6	14	18	1
P-0019949-T01-IM6	25	0	1
P-0020143-T01-IM6	35	16	0
P-0020144-T01-IM6	10	6	2
P-0020221-T01-IM6	35	22	0
P-0020330-T01-IM6	41	51	5
P-0020331-T01-IM6	43	45	0
P-0020399-T01-IM6	20	20	0
P-0020431-T01-IM6	22	2	2
P-0020473-T01-IM6	29	0	119
P-0020689-T01-IM6	39	19	12
P-0020748-T01-IM6	12	2	2
P-0020834-T01-IM6	4	9	4
P-0021049-T01-IM6	33	2	1
P-0021090-T01-IM6	52	0	126
P-0021154-T01-IM6	8	21	0
P-0021292-T01-IM6	26	10	0
P-0021304-T01-IM6	58	2	4
P-0021346-T01-IM6	17	5	0
P-0021393-T01-IM6	43	20	0
P-0021744-T01-IM6	37	23	0
P-0022111-T01-IM6	49	34	2
P-0022508-T01-IM6	24	1	0
P-0023162-T01-IM6	6	18	0
P-0023271-T01-IM6	58	21	222
P-0023272-T01-IM6	35	18	0
P-0023551-T01-IM6	18	37	1
P-0023639-T01-IM6	23	16	4
P-0024928-T01-IM6	18	9	0
P-0024973-T01-IM6	11	16	0
P-0025047-T01-IM6	15	37	4
P-0025073-T01-IM6	28	2	3
P-0025215-T01-IM6	20	25	4
P-0025695-T01-IM6	29	9	1
P-0025715-T01-IM6	14	27	0
P-0025883-T01-IM6	39	23	1
P-0026197-T01-IM6	23	48	1
P-0026480-T01-IM6	16	43	1
P-0026678-T01-IM6	64	0	0
P-0026683-T01-IM6	74	0	3
P-0026908-T01-IM6	10	17	1
P-0026962-T01-IM6	14	16	5
P-0027324-T01-IM6	48	7	1
P-0027335-T01-IM6	29	14	0
P-0027375-T01-IM6	11	17	7
P-0027438-T01-IM6	21	12	0
P-0027740-T01-IM6	92	0	0
P-0027858-T01-IM6	29	53	0
P-0027929-T01-IM6	86	236	9
P-0028069-T01-IM6	11	23	3
P-0028266-T01-IM6	84	10	3
P-0028274-T01-IM6	35	16	0
P-0028344-T01-IM6	12	9	2
P-0028474-T01-IM6	33	50	1
P-0028485-T01-IM6	61	14	8
P-0028571-T01-IM6	19	15	0
P-0028891-T01-IM6	88	20	0
P-0028979-T01-IM6	15	43	0
P-0029114-T01-IM6	10	17	1
P-0029169-T01-IM6	29	0	1
P-0029398-T01-IM6	26	15	6
P-0029399-T01-IM6	24	16	6
P-0029495-T03-IM6	54	0	3
P-0029646-T01-IM6	32	48	2
P-0029980-T01-IM6	42	26	5
P-0030244-T01-IM6	22	28	0
P-0030265-T01-IM6	179	49	0
P-0030636-T01-IM6	24	5	3
P-0030708-T01-IM6	35	28	0
P-0030774-T01-IM6	50	13	8
P-0030960-T01-IM6	19	15	2
P-0030988-T01-IM6	18	21	1
P-0031050-T01-IM6	16	15	0
P-0031091-T01-IM6	33	27	0
P-0031146-T01-IM6	20	3	0
P-0031207-T01-IM6	13	25	0
P-0031496-T01-IM6	36	14	3
P-0032060-T01-IM6	46	9	0
P-0032698-T01-IM6	23	23	1
P-0032718-T01-IM6	18	38	3
P-0032777-T01-IM6	2	35	6
P-0033100-T01-IM6	23	21	3
P-0033382-T01-IM6	78	0	14
P-0033425-T01-IM6	301	62	2
P-0033503-T01-IM6	29	0	1
P-0033748-T01-IM6	0	30	104
P-0033852-T01-IM6	17	17	5
P-0034090-T01-IM6	7	11	1
P-0034401-T01-IM6	17	7	0
P-0034935-T01-IM6	1	12	0
P-0034950-T01-IM6	31	8	0
P-0035033-T01-IM6	8	2	0
P-0035100-T01-IM6	29	4	0
P-0035103-T01-IM6	3	1	129
P-0035437-T01-IM6	12	24	12
P-0035452-T01-IM6	31	32	3
P-0035693-T01-IM6	8	6	7
P-0035742-T01-IM6	4	3	16
P-0035755-T01-IM6	24	23	0
P-0035916-T01-IM6	22	16	4
P-0036028-T01-IM6	30	15	1
P-0036050-T01-IM6	37	1	4
P-0036309-T01-IM6	20	17	2
P-0036334-T01-IM6	39	10	2
P-0036369-T01-IM6	29	18	6
P-0036380-T01-IM6	11	15	6
P-0036500-T01-IM6	49	6	6
P-0036503-T01-IM6	31	0	109
P-0036831-T01-IM6	22	17	4
P-0036852-T01-IM6	23	30	6
P-0036924-T01-IM6	7	38	0
P-0037227-T01-IM6	17	15	0
P-0037246-T01-IM6	16	8	2
P-0037410-T01-IM6	24	41	1
P-0037531-T01-IM6	0	20	90
P-0037582-T01-IM6	27	4	0
P-0037838-T02-IM6	19	12	0
P-0037867-T01-IM6	17	22	6
P-0037875-T01-IM6	16	25	4
P-0037898-T01-IM6	6	7	203
P-0038159-T01-IM6	21	12	0
P-0038378-T01-IM6	17	18	1
P-0038553-T01-IM6	29	35	1
P-0038612-T02-IM6	13	14	0
P-0038638-T01-IM6	9	17	2
P-0038880-T01-IM6	66	3	5
P-0038908-T01-IM6	8	12	1
P-0039283-T01-IM6	94	11	11
P-0039441-T01-IM6	15	16	0
P-0039443-T01-IM6	38	9	3
P-0039589-T01-IM6	58	60	11
P-0039800-T01-IM6	30	0	0
P-0039938-T01-IM6	34	22	2
P-0039999-T01-IM6	18	30	0
P-0040021-T01-IM6	17	13	3
P-0040107-T01-IM6	27	17	0
P-0040121-T01-IM6	15	29	6
P-0040182-T01-IM6	15	26	0
P-0040250-T01-IM6	38	3	0
P-0040355-T01-IM6	18	11	1
P-0040373-T01-IM6	23	23	5
P-0040484-T01-IM6	17	5	1
P-0040678-T01-IM6	49	0	0
P-0040787-T01-IM6	0	6	167
P-0041005-T01-IM6	34	39	0
P-0041144-T01-IM6	34	22	2
P-0041213-T01-IM6	18	8	0
P-0041436-T01-IM6	28	20	0
P-0041542-T01-IM6	15	0	6
P-0041648-T01-IM6	59	5	5
P-0041855-T01-IM6	37	41	1
P-0041986-T01-IM6	38	13	3
P-0042503-T01-IM6	17	23	0
P-0042615-T01-IM6	31	5	2
P-0042737-T01-IM6	27	13	2
P-0042880-T01-IM6	13	11	3
P-0043005-T01-IM6	43	16	6
P-0043052-T01-IM6	64	25	4
P-0043087-T01-IM6	53	31	3
P-0043095-T01-IM6	31	23	2
P-0043154-T01-IM6	35	13	4
P-0043169-T01-IM6	5	13	0
P-0043595-T01-IM6	39	14	3
P-0043599-T01-IM6	14	23	2
P-0043781-T01-IM6	7	28	1
P-0043907-T01-IM6	44	6	0
P-0044184-T01-IM6	25	28	0
P-0044217-T01-IM6	13	8	0
P-0044329-T01-IM6	32	20	0
P-0044371-T01-IM6	14	49	3
P-0044406-T01-IM6	23	11	3
P-0044484-T01-IM6	27	8	3
P-0044540-T01-IM6	28	10	7
P-0044544-T01-IM6	20	16	0
P-0044576-T01-IM6	18	14	0
P-0044645-T01-IM6	85	0	0
P-0044666-T01-IM6	20	9	0
P-0044791-T01-IM6	40	1	0
P-0044805-T01-IM6	24	5	2
P-0044833-T01-IM6	41	18	0
P-0044858-T01-IM6	24	3	2
P-0045009-T01-IM6	19	6	1
P-0045111-T01-IM6	25	21	5
P-0045223-T01-IM6	6	14	1
P-0045253-T01-IM6	20	18	0
P-0045320-T01-IM6	17	9	4
P-0045366-T01-IM6	23	10	0
P-0045460-T01-IM6	11	16	2
P-0045471-T01-IM6	13	9	1
P-0045547-T01-IM6	8	8	2
P-0045569-T01-IM6	44	24	0
