Samples	SBS96A	SBS96B	SBS96C
P-0000862-T01-IM3	5.47E-01	5.53E-01	1.46E-01
P-0001020-T01-IM3	4.34E-01	4.34E-01	0.00E+00
P-0001237-T02-IM6	6.15E-01	5.99E-01	1.62E-01
P-0001685-T02-IM3	5.56E-01	5.58E-01	0.00E+00
P-0002463-T01-IM3	5.32E-01	5.28E-01	4.02E-01
P-0002671-T01-IM3	5.34E-01	5.16E-01	7.50E-02
P-0003209-T01-IM5	7.61E-02	7.61E-02	0.00E+00
P-0003796-T01-IM5	4.21E-01	4.24E-01	1.45E-01
P-0004011-T01-IM5	2.45E-01	1.95E-01	1.22E-01
P-0004051-T01-IM5	5.96E-01	5.55E-01	1.28E-01
P-0004083-T01-IM5	2.58E-01	2.77E-01	1.36E-01
P-0004362-T01-IM5	5.92E-01	5.95E-01	2.23E-02
P-0004602-T01-IM5	5.14E-01	3.87E-01	3.14E-01
P-0004738-T01-IM5	7.63E-01	7.87E-01	1.91E-01
P-0004754-T01-IM5	5.79E-01	5.79E-01	0.00E+00
P-0004783-T01-IM5	6.83E-01	6.83E-01	0.00E+00
P-0004865-T01-IM5	4.56E-01	4.38E-01	5.49E-01
P-0005151-T01-IM5	7.03E-01	7.47E-01	2.28E-01
P-0005197-T01-IM5	4.41E-01	4.35E-01	2.97E-02
P-0005230-T01-IM5	6.83E-01	6.29E-01	2.92E-01
P-0005326-T01-IM5	5.53E-01	4.98E-01	2.15E-01
P-0005443-T01-IM5	3.69E-01	3.68E-01	3.15E-02
P-0005455-T01-IM5	4.79E-01	4.33E-01	1.94E-01
P-0005529-T01-IM5	4.06E-01	3.75E-01	1.61E-01
P-0005548-T01-IM5	6.19E-01	5.63E-01	2.66E-01
P-0005560-T01-IM5	4.43E-01	4.61E-01	4.43E-01
P-0005823-T01-IM5	6.34E-01	6.20E-01	2.27E-01
P-0005824-T01-IM5	8.18E-01	6.79E-01	1.00E+00
P-0005987-T01-IM5	2.45E-01	2.84E-01	1.51E-01
P-0006170-T01-IM5	4.68E-01	4.93E-01	1.97E-01
P-0006207-T01-IM5	5.43E-01	5.79E-01	3.26E-01
P-0006365-T01-IM5	5.18E-01	4.59E-01	2.51E-01
P-0006612-T01-IM5	1.06E+00	3.20E-01	1.07E+00
P-0006753-T01-IM5	5.06E-01	5.44E-01	1.79E-01
P-0006960-T01-IM5	2.35E+00	2.57E+00	1.29E+00
P-0007055-T01-IM5	6.52E-01	6.12E-01	1.36E-01
P-0007147-T01-IM5	9.57E-01	9.67E-01	3.13E-01
P-0007296-T01-IM5	6.63E-01	6.61E-01	1.51E-01
P-0007596-T01-IM5	5.82E-01	5.81E-01	0.00E+00
P-0007688-T01-IM5	4.54E-01	4.34E-01	2.05E-01
P-0007739-T01-IM5	4.33E-01	4.36E-01	4.85E-02
P-0007831-T01-IM5	5.73E-01	5.38E-01	2.51E-01
P-0007836-T01-IM5	4.95E-01	4.52E-01	2.04E-01
P-0007843-T01-IM5	4.05E-01	4.02E-01	1.00E-02
P-0007882-T01-IM5	5.69E-01	5.85E-01	1.14E-01
P-0007997-T01-IM5	5.62E-01	5.62E-01	0.00E+00
P-0008180-T01-IM5	5.62E-01	5.62E-01	0.00E+00
P-0008226-T02-IM5	5.13E-01	4.60E-01	2.76E-01
P-0008317-T01-IM5	3.29E-01	2.74E-01	1.93E-01
P-0008504-T03-IM6	6.17E-01	6.39E-01	2.42E-01
P-0008721-T01-IM5	6.22E-01	5.98E-01	2.11E-01
P-0008729-T01-IM5	4.63E-01	4.32E-01	3.08E-01
P-0008745-T01-IM5	2.95E-01	2.95E-01	0.00E+00
P-0008746-T01-IM5	5.18E-01	4.95E-01	2.88E-01
P-0009157-T01-IM5	4.71E-01	4.69E-01	7.69E-02
P-0009830-T01-IM5	4.42E-01	4.07E-01	1.44E-01
P-0009964-T01-IM5	3.73E-01	3.49E-01	1.23E-01
P-0010167-T01-IM5	3.84E-01	3.84E-01	0.00E+00
P-0010275-T01-IM5	5.87E-01	5.85E-01	4.00E-02
P-0010308-T01-IM5	3.83E-01	3.49E-01	1.81E-01
P-0010499-T01-IM5	4.66E-01	6.80E-01	6.51E-01
P-0010587-T01-IM5	6.31E-01	5.76E-01	3.64E-01
P-0010680-T02-IM6	4.06E-01	4.91E-01	2.74E-01
P-0010783-T01-IM5	5.70E-01	5.70E-01	0.00E+00
P-0010798-T01-IM5	4.12E-01	4.17E-01	4.24E-02
P-0010929-T01-IM5	3.96E-01	3.59E-01	2.10E-01
P-0011068-T01-IM5	3.50E-01	3.49E-01	0.00E+00
P-0011071-T01-IM5	6.99E-01	7.06E-01	3.07E-01
P-0011226-T01-IM5	5.81E-01	5.81E-01	0.00E+00
P-0011235-T01-IM5	3.30E-01	3.27E-01	3.71E-02
P-0011324-T01-IM5	1.79E-01	1.62E-01	3.15E-02
P-0011357-T01-IM5	6.46E-01	1.23E-01	6.61E-01
P-0012115-T01-IM5	3.40E-01	3.35E-01	1.47E-01
P-0012249-T01-IM5	4.40E-01	4.40E-01	2.00E-02
P-0012313-T01-IM5	5.22E-01	5.09E-01	2.16E-01
P-0012402-T01-IM5	9.43E-01	1.02E+00	1.13E+00
P-0013010-T01-IM5	5.89E-01	5.81E-01	5.49E-02
P-0013082-T01-IM5	5.39E-01	5.22E-01	7.61E-02
P-0013227-T01-IM5	4.21E-01	4.05E-01	7.12E-02
P-0013357-T01-IM5	4.62E-01	4.56E-01	1.89E-01
P-0013374-T01-IM5	6.46E-01	6.45E-01	0.00E+00
P-0013400-T01-IM5	2.29E-01	2.29E-01	6.11E-02
P-0013462-T01-IM5	3.23E-01	3.04E-01	1.16E-01
P-0013492-T01-IM5	6.23E-01	6.20E-01	4.22E-02
P-0013876-T01-IM5	5.73E-01	5.93E-01	2.39E-01
P-0013981-T01-IM5	5.68E-01	5.52E-01	1.34E-01
P-0014143-T01-IM5	4.75E-01	4.57E-01	6.77E-02
P-0014258-T01-IM6	8.77E-01	8.41E-01	1.19E-01
P-0014616-T01-IM6	3.65E-01	3.66E-01	0.00E+00
P-0014787-T01-IM6	5.87E-01	5.33E-01	3.10E-01
P-0014994-T01-IM6	6.70E-01	6.83E-01	1.10E-01
P-0015237-T01-IM6	6.86E-01	6.68E-01	2.75E-01
P-0015252-T01-IM6	2.68E-01	2.69E-01	6.03E-02
P-0015416-T01-IM6	6.66E-01	6.66E-01	0.00E+00
P-0015536-T01-IM6	5.10E-01	4.49E-01	2.53E-01
P-0015699-T01-IM6	4.82E-01	5.44E-01	2.12E-01
P-0015851-T01-IM6	3.72E-01	3.71E-01	0.00E+00
P-0016314-T01-IM6	7.97E-01	7.90E-01	1.89E-01
P-0016522-T01-IM6	3.94E-01	3.85E-01	1.32E-01
P-0016890-T01-IM6	5.54E-01	5.37E-01	1.75E-01
P-0017583-T01-IM5	3.90E-01	3.78E-01	1.85E-01
P-0017664-T01-IM5	1.73E-01	1.73E-01	0.00E+00
P-0017697-T01-IM6	7.94E-01	7.94E-01	0.00E+00
P-0017839-T01-IM6	3.49E-01	2.67E-01	2.83E-01
P-0017925-T01-IM6	6.49E-01	6.42E-01	4.32E-02
P-0017986-T02-IM6	8.37E-01	8.23E-01	1.96E-01
P-0017995-T01-IM6	5.67E-01	5.46E-01	1.05E-01
P-0018374-T01-IM6	5.01E-01	4.67E-01	2.42E-01
P-0018436-T01-IM6	2.44E-01	2.44E-01	0.00E+00
P-0018437-T01-IM6	4.77E-01	4.77E-01	0.00E+00
P-0018841-T01-IM6	5.16E-01	5.14E-01	0.00E+00
P-0019183-T01-IM6	1.88E-01	1.99E-01	2.02E-01
P-0019428-T01-IM6	5.14E-01	5.00E-01	9.65E-02
P-0019464-T01-IM6	8.62E-01	7.79E-01	2.89E-01
P-0019475-T01-IM6	8.11E-01	8.12E-01	0.00E+00
P-0019846-T01-IM6	4.80E-01	4.71E-01	6.04E-02
P-0019949-T01-IM6	3.90E-01	3.19E-01	2.67E-01
P-0020143-T01-IM6	6.18E-01	6.06E-01	1.94E-01
P-0020144-T01-IM6	4.19E-01	3.84E-01	1.99E-01
P-0020221-T01-IM6	6.10E-01	6.01E-01	4.11E-02
P-0020330-T01-IM6	7.98E-01	7.93E-01	3.87E-01
P-0020331-T01-IM6	7.68E-01	7.82E-01	2.01E-01
P-0020399-T01-IM6	4.92E-01	5.00E-01	1.32E-01
P-0020431-T01-IM6	3.62E-01	3.56E-01	8.27E-02
P-0020473-T01-IM6	7.79E-01	1.28E-01	8.04E-01
P-0020689-T01-IM6	8.14E-01	6.87E-01	3.47E-01
P-0020748-T01-IM6	3.32E-01	3.02E-01	1.96E-01
P-0020834-T01-IM6	3.18E-01	3.38E-01	2.18E-01
P-0021049-T01-IM6	5.46E-01	5.40E-01	3.94E-02
P-0021090-T01-IM6	9.80E-01	3.44E-01	9.62E-01
P-0021154-T01-IM6	4.51E-01	4.31E-01	7.87E-02
P-0021292-T01-IM6	5.62E-01	5.61E-01	1.00E-02
P-0021304-T01-IM6	5.07E-01	4.41E-01	2.08E-01
P-0021346-T01-IM6	4.11E-01	4.08E-01	6.18E-02
P-0021393-T01-IM6	6.96E-01	6.96E-01	0.00E+00
P-0021744-T01-IM6	8.74E-01	8.74E-01	0.00E+00
P-0022111-T01-IM6	8.42E-01	8.46E-01	1.00E-02
P-0022508-T01-IM6	2.68E-01	2.68E-01	0.00E+00
P-0023162-T01-IM6	3.88E-01	3.83E-01	4.00E-02
P-0023271-T01-IM6	1.16E+00	1.02E+00	1.30E+00
P-0023272-T01-IM6	6.08E-01	6.04E-01	3.53E-01
P-0023551-T01-IM6	5.28E-01	5.28E-01	1.71E-02
P-0023639-T01-IM6	5.74E-01	5.49E-01	3.02E-01
P-0024928-T01-IM6	5.03E-01	5.03E-01	0.00E+00
P-0024973-T01-IM6	5.09E-01	5.03E-01	2.93E-02
P-0025047-T01-IM6	7.06E-01	6.54E-01	1.80E-01
P-0025073-T01-IM6	4.43E-01	4.57E-01	2.32E-01
P-0025215-T01-IM6	5.93E-01	5.62E-01	2.05E-01
P-0025695-T01-IM6	4.63E-01	4.62E-01	2.00E-02
P-0025715-T01-IM6	5.44E-01	5.43E-01	0.00E+00
P-0025883-T01-IM6	7.92E-01	7.74E-01	2.27E-01
P-0026197-T01-IM6	8.36E-01	8.29E-01	5.84E-02
P-0026480-T01-IM6	7.60E-01	7.54E-01	5.45E-02
P-0026678-T01-IM6	2.99E-01	2.79E-01	9.72E-02
P-0026683-T01-IM6	7.22E-01	7.06E-01	2.28E-01
P-0026908-T01-IM6	4.69E-01	4.63E-01	1.74E-01
P-0026962-T01-IM6	4.76E-01	4.50E-01	2.99E-01
P-0027324-T01-IM6	6.33E-01	6.38E-01	3.33E-01
P-0027335-T01-IM6	6.12E-01	6.14E-01	0.00E+00
P-0027375-T01-IM6	4.62E-01	4.13E-01	3.15E-01
P-0027438-T01-IM6	5.68E-01	5.69E-01	1.65E-01
P-0027740-T01-IM6	6.11E-01	5.50E-01	3.03E-01
P-0027858-T01-IM6	8.14E-01	8.02E-01	1.30E-01
P-0027929-T01-IM6	2.74E+00	2.69E+00	4.49E-01
