Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000862-T01-IM3	11	10	14	0
P-0001020-T01-IM3	6	9	3	0
P-0001237-T02-IM6	29	7	12	0
P-0001685-T02-IM3	31	0	14	0
P-0002463-T01-IM3	6	23	7	5
P-0002671-T01-IM3	9	4	37	1
P-0003209-T01-IM5	63	0	0	0
P-0003796-T01-IM5	2	16	0	0
P-0004011-T01-IM5	28	17	0	5
P-0004051-T01-IM5	4	34	2	2
P-0004083-T01-IM5	6	0	6	0
P-0004362-T01-IM5	37	0	15	0
P-0004602-T01-IM5	27	8	1	5
P-0004738-T01-IM5	14	30	21	1
P-0004754-T01-IM5	30	25	1	0
P-0004783-T01-IM5	8	30	0	0
P-0004865-T01-IM5	0	0	7	140
P-0005151-T01-IM5	20	12	20	0
P-0005197-T01-IM5	29	0	10	2
P-0005230-T01-IM5	44	0	18	2
P-0005326-T01-IM5	20	0	26	4
P-0005443-T01-IM5	13	14	1	0
P-0005455-T01-IM5	21	0	15	2
P-0005529-T01-IM5	12	1	10	1
P-0005548-T01-IM5	35	20	0	6
P-0005560-T01-IM5	17	2	10	4
P-0005823-T01-IM5	39	2	20	1
P-0005824-T01-IM5	0	14	3	330
P-0005987-T01-IM5	1	12	7	2
P-0006170-T01-IM5	15	3	19	2
P-0006207-T01-IM5	12	7	21	0
P-0006365-T01-IM5	10	3	12	4
P-0006612-T01-IM5	53	0	0	308
P-0006753-T01-IM5	5	19	5	2
P-0006960-T01-IM5	35	196	16	100
P-0007055-T01-IM5	14	6	14	2
P-0007147-T01-IM5	34	29	47	9
P-0007296-T01-IM5	22	17	16	0
P-0007596-T01-IM5	14	30	0	0
P-0007688-T01-IM5	11	11	11	3
P-0007739-T01-IM5	1	16	4	0
P-0007831-T01-IM5	9	17	3	5
P-0007836-T01-IM5	35	0	11	0
P-0007843-T01-IM5	8	12	6	0
P-0007882-T01-IM5	7	25	0	0
P-0007997-T01-IM5	4	22	6	0
P-0008180-T01-IM5	18	25	9	0
P-0008226-T02-IM5	18	3	13	6
P-0008317-T01-IM5	36	0	3	0
P-0008504-T03-IM6	5	5	53	4
P-0008721-T01-IM5	15	16	21	2
P-0008729-T01-IM5	12	9	10	5
P-0008745-T01-IM5	15	7	0	0
P-0008746-T01-IM5	16	10	8	2
P-0009157-T01-IM5	4	13	8	1
P-0009830-T01-IM5	8	2	16	1
P-0009964-T01-IM5	7	1	14	2
P-0010167-T01-IM5	4	12	7	0
P-0010275-T01-IM5	18	23	0	0
P-0010308-T01-IM5	7	2	12	2
P-0010499-T01-IM5	11	2	18	124
P-0010587-T01-IM5	41	0	13	7
P-0010680-T02-IM6	6	12	10	2
P-0010783-T01-IM5	30	0	19	0
