Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0000862-T01-IM3	11	9	4	11	0
P-0001020-T01-IM3	5	8	0	5	0
P-0001237-T02-IM6	28	5	1	14	0
P-0001685-T02-IM3	30	0	0	15	0
P-0002463-T01-IM3	4	17	0	16	4
P-0002671-T01-IM3	4	1	43	3	0
P-0003209-T01-IM5	62	1	0	0	0
P-0003796-T01-IM5	2	14	0	2	0
P-0004011-T01-IM5	23	19	3	0	5
P-0004051-T01-IM5	2	26	11	3	0
P-0004083-T01-IM5	6	0	0	6	0
P-0004362-T01-IM5	35	0	0	17	0
P-0004602-T01-IM5	20	8	10	0	3
P-0004738-T01-IM5	11	23	11	21	0
P-0004754-T01-IM5	27	21	0	8	0
P-0004783-T01-IM5	7	31	0	0	0
P-0004865-T01-IM5	4	1	0	7	135
P-0005151-T01-IM5	18	10	4	19	1
P-0005197-T01-IM5	23	0	18	0	0
P-0005230-T01-IM5	40	0	4	17	3
P-0005326-T01-IM5	15	3	11	19	2
P-0005443-T01-IM5	11	12	4	1	0
P-0005455-T01-IM5	21	0	2	13	2
P-0005529-T01-IM5	9	3	8	4	0
P-0005548-T01-IM5	26	18	13	0	4
P-0005560-T01-IM5	13	3	15	0	2
P-0005823-T01-IM5	35	4	6	15	2
P-0005824-T01-IM5	15	12	0	1	319
P-0005987-T01-IM5	0	9	0	11	2
P-0006170-T01-IM5	14	2	5	16	2
P-0006207-T01-IM5	11	7	2	19	1
P-0006365-T01-IM5	6	1	22	0	0
P-0006612-T01-IM5	29	0	120	0	212
P-0006753-T01-IM5	4	14	1	10	2
P-0006960-T01-IM5	28	146	82	3	88
P-0007055-T01-IM5	11	5	15	5	0
P-0007147-T01-IM5	25	25	30	34	5
P-0007296-T01-IM5	20	16	5	14	0
P-0007596-T01-IM5	13	29	2	0	0
P-0007688-T01-IM5	8	10	14	3	1
P-0007739-T01-IM5	0	12	0	9	0
P-0007831-T01-IM5	6	12	13	0	3
P-0007836-T01-IM5	33	0	0	13	0
P-0007843-T01-IM5	7	8	5	6	0
P-0007882-T01-IM5	7	21	0	4	0
P-0007997-T01-IM5	4	16	0	12	0
P-0008180-T01-IM5	15	22	2	13	0
P-0008226-T02-IM5	13	2	22	0	3
P-0008317-T01-IM5	34	0	0	5	0
P-0008504-T03-IM6	4	6	5	48	4
P-0008721-T01-IM5	13	13	6	20	2
P-0008729-T01-IM5	10	6	14	3	3
P-0008745-T01-IM5	15	7	0	0	0
P-0008746-T01-IM5	13	9	0	12	2
P-0009157-T01-IM5	2	10	14	0	0
P-0009830-T01-IM5	7	3	2	14	1
P-0009964-T01-IM5	5	1	13	5	0
P-0010167-T01-IM5	2	11	0	10	0
P-0010275-T01-IM5	16	19	2	4	0
P-0010308-T01-IM5	5	2	6	9	1
P-0010499-T01-IM5	7	1	50	0	97
P-0010587-T01-IM5	36	0	20	1	4
P-0010680-T02-IM6	7	6	9	6	2
P-0010783-T01-IM5	27	4	0	18	0
P-0010798-T01-IM5	1	3	3	8	0
P-0010929-T01-IM5	12	11	0	0	3
P-0011068-T01-IM5	7	11	1	5	0
P-0011071-T01-IM5	17	10	0	25	4
P-0011226-T01-IM5	25	20	6	0	1
P-0011235-T01-IM5	5	2	4	7	0
P-0011324-T01-IM5	42	0	6	1	1
P-0011357-T01-IM5	7	23	0	0	177
P-0012115-T01-IM5	9	12	0	4	0
P-0012249-T01-IM5	4	13	7	1	0
P-0012313-T01-IM5	18	10	0	10	2
P-0012402-T01-IM5	18	17	73	0	131
P-0013010-T01-IM5	43	1	20	11	2
P-0013082-T01-IM5	25	9	10	0	1
P-0013227-T01-IM5	0	10	12	15	0
P-0013357-T01-IM5	16	7	5	5	2
P-0013374-T01-IM5	19	30	0	0	0
P-0013400-T01-IM5	43	2	0	0	2
P-0013462-T01-IM5	5	0	5	18	0
P-0013492-T01-IM5	9	7	18	2	0
P-0013876-T01-IM5	14	15	7	5	1
P-0013981-T01-IM5	16	0	15	6	2
P-0014143-T01-IM5	4	15	11	6	0
P-0014258-T01-IM6	3	39	10	21	3
P-0014616-T01-IM6	9	11	0	0	0
P-0014787-T01-IM6	11	4	19	3	1
P-0014994-T01-IM6	15	15	5	1	0
P-0015237-T01-IM6	3	16	18	1	1
P-0015252-T01-IM6	20	10	0	1	0
P-0015416-T01-IM6	53	8	0	27	0
P-0015536-T01-IM6	5	5	18	14	1
P-0015699-T01-IM6	0	11	2	31	2
P-0015851-T01-IM6	18	0	0	8	0
P-0016314-T01-IM6	5	26	18	40	0
P-0016522-T01-IM6	17	6	11	0	1
P-0016890-T01-IM6	8	2	21	7	0
P-0017583-T01-IM5	0	13	0	13	3
P-0017664-T01-IM5	3	0	0	2	0
P-0017697-T01-IM6	33	11	0	26	0
P-0017839-T01-IM6	19	0	19	0	3
P-0017925-T01-IM6	14	5	20	9	0
P-0017986-T02-IM6	28	7	21	9	0
P-0017995-T01-IM6	11	19	7	0	1
P-0018374-T01-IM6	9	15	8	3	2
P-0018436-T01-IM6	11	0	0	5	0
