Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0000862-T01-IM3	4.93E-01	6.46E-01	6.34E-01	5.20E-01	1.33E-01
P-0001020-T01-IM3	4.17E-01	4.26E-01	3.46E-01	3.69E-01	0.00E+00
P-0001237-T02-IM6	7.62E-01	8.44E-01	6.41E-01	6.21E-01	1.51E-01
P-0001685-T02-IM3	6.07E-01	5.32E-01	6.24E-01	6.51E-01	0.00E+00
P-0002463-T01-IM3	4.13E-01	6.86E-01	5.02E-01	6.26E-01	3.59E-01
P-0002671-T01-IM3	5.12E-01	8.18E-01	1.33E+00	1.14E+00	5.80E-02
P-0003209-T01-IM5	6.20E-01	5.84E-01	4.28E-01	1.37E-01	0.00E+00
P-0003796-T01-IM5	3.63E-01	4.34E-01	2.47E-01	2.50E-01	1.08E-01
P-0004011-T01-IM5	7.13E-01	6.56E-01	5.32E-01	2.06E-01	4.11E-02
P-0004051-T01-IM5	5.17E-01	7.25E-01	5.31E-01	4.85E-01	1.68E-01
P-0004083-T01-IM5	2.57E-01	1.67E-01	2.78E-01	3.26E-01	1.18E-01
P-0004362-T01-IM5	5.92E-01	6.45E-01	4.87E-01	6.36E-01	0.00E+00
P-0004602-T01-IM5	6.32E-01	5.96E-01	5.95E-01	3.69E-01	2.56E-01
P-0004738-T01-IM5	6.38E-01	9.36E-01	8.16E-01	9.61E-01	1.49E-01
P-0004754-T01-IM5	7.82E-01	9.13E-01	4.08E-01	4.48E-01	0.00E+00
P-0004783-T01-IM5	6.45E-01	7.96E-01	4.28E-01	2.54E-01	0.00E+00
P-0004865-T01-IM5	4.49E-01	3.62E-01	1.70E+00	4.38E-01	1.75E+00
P-0005151-T01-IM5	6.55E-01	7.64E-01	8.42E-01	7.46E-01	2.07E-01
P-0005197-T01-IM5	5.74E-01	5.68E-01	4.88E-01	4.06E-01	3.00E-02
P-0005230-T01-IM5	7.05E-01	6.34E-01	6.51E-01	6.12E-01	2.21E-01
P-0005326-T01-IM5	5.79E-01	5.89E-01	6.93E-01	8.18E-01	1.38E-01
P-0005443-T01-IM5	5.55E-01	5.61E-01	2.74E-01	3.19E-01	2.00E-02
P-0005455-T01-IM5	4.93E-01	3.83E-01	4.95E-01	5.43E-01	1.65E-01
P-0005529-T01-IM5	3.80E-01	3.10E-01	3.73E-01	4.19E-01	9.63E-02
P-0005548-T01-IM5	7.65E-01	7.77E-01	6.20E-01	4.45E-01	1.97E-01
P-0005560-T01-IM5	5.00E-01	5.62E-01	5.31E-01	4.50E-01	4.56E-01
P-0005823-T01-IM5	6.74E-01	6.97E-01	6.07E-01	5.86E-01	2.06E-01
P-0005824-T01-IM5	8.30E-01	1.07E+00	4.14E+00	6.25E-01	3.76E+00
P-0005987-T01-IM5	1.87E-01	4.25E-01	4.27E-01	4.63E-01	1.33E-01
P-0006170-T01-IM5	5.07E-01	7.30E-01	7.28E-01	5.73E-01	1.87E-01
P-0006207-T01-IM5	5.53E-01	6.10E-01	7.96E-01	6.26E-01	3.37E-01
P-0006365-T01-IM5	5.26E-01	5.16E-01	5.23E-01	4.94E-01	1.86E-01
P-0006612-T01-IM5	1.39E+00	1.23E+00	7.82E+00	2.21E-01	6.64E+00
P-0006753-T01-IM5	4.27E-01	6.46E-01	5.96E-01	5.80E-01	1.53E-01
P-0006960-T01-IM5	2.19E+00	3.36E+00	2.82E+00	2.04E+00	1.85E+00
P-0007055-T01-IM5	5.59E-01	5.86E-01	6.96E-01	6.00E-01	8.60E-02
P-0007147-T01-IM5	9.03E-01	1.28E+00	1.11E+00	1.19E+00	3.08E-01
P-0007296-T01-IM5	7.35E-01	7.63E-01	7.24E-01	6.17E-01	1.40E-01
P-0007596-T01-IM5	7.45E-01	7.56E-01	4.36E-01	3.72E-01	4.22E-02
P-0007688-T01-IM5	4.76E-01	6.41E-01	5.08E-01	5.51E-01	1.86E-01
P-0007739-T01-IM5	2.28E-01	4.16E-01	3.26E-01	4.30E-01	3.83E-02
P-0007831-T01-IM5	5.49E-01	7.68E-01	5.55E-01	4.20E-01	2.44E-01
P-0007836-T01-IM5	4.68E-01	4.23E-01	3.83E-01	4.96E-01	1.79E-01
P-0007843-T01-IM5	4.49E-01	5.59E-01	4.25E-01	4.21E-01	4.14E-02
P-0007882-T01-IM5	5.26E-01	7.10E-01	5.72E-01	4.18E-01	6.09E-02
P-0007997-T01-IM5	4.41E-01	6.01E-01	5.39E-01	5.20E-01	0.00E+00
P-0008180-T01-IM5	7.81E-01	9.09E-01	7.69E-01	6.59E-01	0.00E+00
P-0008226-T02-IM5	5.02E-01	4.73E-01	5.13E-01	6.17E-01	2.38E-01
P-0008317-T01-IM5	4.97E-01	4.39E-01	3.11E-01	2.99E-01	1.73E-01
P-0008504-T03-IM6	4.52E-01	7.08E-01	1.12E+00	1.06E+00	2.29E-01
P-0008721-T01-IM5	6.00E-01	8.41E-01	7.15E-01	7.78E-01	1.87E-01
P-0008729-T01-IM5	4.52E-01	6.47E-01	6.23E-01	5.58E-01	2.77E-01
P-0008745-T01-IM5	4.85E-01	4.90E-01	3.03E-01	1.73E-01	0.00E+00
P-0008746-T01-IM5	4.85E-01	6.35E-01	4.82E-01	6.11E-01	2.55E-01
P-0009157-T01-IM5	3.39E-01	6.77E-01	6.57E-01	5.87E-01	7.40E-02
P-0009830-T01-IM5	4.02E-01	4.74E-01	4.83E-01	5.43E-01	1.36E-01
P-0009964-T01-IM5	3.60E-01	3.83E-01	4.60E-01	4.88E-01	1.06E-01
P-0010167-T01-IM5	3.75E-01	4.86E-01	4.85E-01	5.33E-01	0.00E+00
P-0010275-T01-IM5	6.35E-01	7.01E-01	5.12E-01	4.19E-01	1.00E-02
P-0010308-T01-IM5	3.77E-01	3.84E-01	4.22E-01	4.08E-01	1.55E-01
P-0010499-T01-IM5	4.28E-01	7.75E-01	2.57E+00	7.70E-01	2.41E+00
P-0010587-T01-IM5	6.04E-01	4.72E-01	5.81E-01	5.81E-01	2.78E-01
P-0010680-T02-IM6	2.55E-01	6.96E-01	9.39E-01	7.52E-01	2.79E-01
P-0010783-T01-IM5	5.98E-01	5.57E-01	5.40E-01	6.04E-01	0.00E+00
P-0010798-T01-IM5	3.07E-01	3.79E-01	4.32E-01	4.26E-01	3.26E-02
P-0010929-T01-IM5	4.66E-01	4.84E-01	2.88E-01	3.51E-01	1.88E-01
P-0011068-T01-IM5	3.66E-01	4.84E-01	3.64E-01	3.24E-01	2.00E-02
P-0011071-T01-IM5	6.56E-01	8.59E-01	7.96E-01	7.15E-01	2.67E-01
P-0011226-T01-IM5	8.20E-01	9.41E-01	5.24E-01	4.38E-01	0.00E+00
P-0011235-T01-IM5	3.58E-01	3.73E-01	3.48E-01	3.51E-01	4.64E-02
P-0011324-T01-IM5	5.76E-01	5.04E-01	4.09E-01	1.15E-01	0.00E+00
P-0011357-T01-IM5	6.47E-01	1.00E+00	3.01E+00	1.55E-01	2.71E+00
P-0012115-T01-IM5	4.82E-01	5.58E-01	3.02E-01	3.31E-01	1.29E-01
P-0012249-T01-IM5	4.62E-01	5.90E-01	4.11E-01	2.71E-01	1.00E-02
P-0012313-T01-IM5	5.94E-01	6.46E-01	5.50E-01	5.19E-01	2.03E-01
P-0012402-T01-IM5	8.11E-01	1.33E+00	3.26E+00	9.65E-01	3.30E+00
P-0013010-T01-IM5	7.11E-01	6.92E-01	7.69E-01	6.79E-01	0.00E+00
P-0013082-T01-IM5	6.56E-01	8.24E-01	6.09E-01	2.34E-01	6.95E-02
P-0013227-T01-IM5	3.08E-01	6.22E-01	7.04E-01	7.63E-01	5.66E-02
P-0013357-T01-IM5	4.51E-01	5.87E-01	4.60E-01	5.25E-01	1.75E-01
P-0013374-T01-IM5	9.52E-01	9.76E-01	4.06E-01	4.16E-01	1.00E-02
P-0013400-T01-IM5	4.43E-01	1.42E-01	3.96E-01	2.35E-01	0.00E+00
P-0013462-T01-IM5	2.79E-01	3.70E-01	5.68E-01	6.77E-01	8.91E-02
P-0013492-T01-IM5	5.44E-01	6.51E-01	7.39E-01	5.73E-01	1.00E-02
P-0013876-T01-IM5	6.24E-01	6.51E-01	5.62E-01	5.93E-01	1.81E-01
P-0013981-T01-IM5	5.47E-01	7.14E-01	6.67E-01	5.67E-01	1.01E-01
P-0014143-T01-IM5	4.79E-01	6.91E-01	6.33E-01	5.44E-01	7.26E-02
P-0014258-T01-IM6	7.21E-01	1.20E+00	1.09E+00	1.06E+00	1.88E-01
P-0014616-T01-IM6	4.98E-01	5.20E-01	3.61E-01	2.76E-01	0.00E+00
P-0014787-T01-IM6	4.96E-01	4.80E-01	5.99E-01	5.87E-01	2.76E-01
P-0014994-T01-IM6	6.01E-01	6.75E-01	5.90E-01	4.21E-01	7.29E-02
P-0015237-T01-IM6	4.34E-01	7.89E-01	6.96E-01	5.85E-01	2.56E-01
P-0015252-T01-IM6	5.02E-01	5.15E-01	2.79E-01	2.25E-01	1.00E-02
P-0015416-T01-IM6	7.39E-01	8.26E-01	6.71E-01	7.08E-01	0.00E+00
P-0015536-T01-IM6	5.02E-01	6.97E-01	7.56E-01	7.84E-01	2.22E-01
P-0015699-T01-IM6	2.36E-01	8.19E-01	7.47E-01	7.34E-01	1.91E-01
P-0015851-T01-IM6	4.02E-01	4.25E-01	3.68E-01	3.52E-01	0.00E+00
P-0016314-T01-IM6	8.78E-01	1.30E+00	1.52E+00	1.48E+00	1.67E-01
P-0016522-T01-IM6	4.59E-01	6.06E-01	3.94E-01	2.07E-01	7.52E-02
P-0016890-T01-IM6	4.93E-01	8.94E-01	8.21E-01	6.96E-01	1.70E-01
P-0017583-T01-IM5	2.92E-01	5.24E-01	4.40E-01	5.17E-01	1.64E-01
P-0017664-T01-IM5	1.59E-01	9.65E-02	1.74E-01	1.66E-01	0.00E+00
P-0017697-T01-IM6	8.54E-01	8.38E-01	1.00E+00	8.14E-01	2.00E-02
P-0017839-T01-IM6	5.37E-01	4.80E-01	5.72E-01	3.07E-01	1.82E-01
P-0017925-T01-IM6	5.76E-01	8.54E-01	8.83E-01	7.34E-01	1.41E-02
P-0017986-T02-IM6	7.77E-01	1.04E+00	8.84E-01	6.20E-01	1.63E-01
P-0017995-T01-IM6	6.26E-01	6.90E-01	5.39E-01	4.87E-01	8.33E-02
P-0018374-T01-IM6	6.46E-01	6.03E-01	4.20E-01	3.58E-01	1.95E-01
P-0018436-T01-IM6	2.80E-01	1.90E-01	2.25E-01	2.22E-01	0.00E+00
P-0018437-T01-IM6	5.44E-01	7.24E-01	6.57E-01	7.29E-01	0.00E+00
P-0018841-T01-IM6	1.78E-01	9.08E-01	6.92E-01	1.01E+00	0.00E+00
P-0019183-T01-IM6	1.77E-01	2.36E-01	1.56E-01	1.54E-01	1.76E-01
P-0019428-T01-IM6	5.74E-01	6.21E-01	4.94E-01	5.09E-01	1.04E-01
P-0019464-T01-IM6	8.41E-01	9.67E-01	1.03E+00	1.05E+00	2.46E-01
P-0019475-T01-IM6	7.39E-01	1.09E+00	1.25E+00	1.08E+00	0.00E+00
P-0019846-T01-IM6	4.18E-01	5.61E-01	5.52E-01	5.81E-01	4.29E-02
P-0019949-T01-IM6	4.39E-01	3.02E-01	2.60E-01	2.81E-01	2.51E-01
P-0020143-T01-IM6	5.91E-01	5.04E-01	6.18E-01	6.83E-01	1.49E-01
P-0020144-T01-IM6	3.84E-01	3.61E-01	3.79E-01	2.94E-01	1.56E-01
P-0020221-T01-IM6	5.85E-01	6.06E-01	7.07E-01	7.30E-01	0.00E+00
P-0020330-T01-IM6	7.85E-01	1.07E+00	1.06E+00	1.22E+00	3.49E-01
P-0020331-T01-IM6	7.89E-01	9.70E-01	1.11E+00	1.00E+00	1.71E-01
P-0020399-T01-IM6	5.55E-01	4.90E-01	6.47E-01	5.84E-01	1.20E-01
P-0020431-T01-IM6	4.20E-01	3.15E-01	3.23E-01	2.68E-01	3.00E-02
P-0020473-T01-IM6	7.26E-01	8.89E-01	3.33E+00	2.71E-01	2.80E+00
P-0020689-T01-IM6	8.08E-01	6.63E-01	7.35E-01	6.77E-01	2.56E-01
P-0020748-T01-IM6	3.31E-01	3.23E-01	3.28E-01	2.28E-01	1.78E-01
P-0020834-T01-IM6	2.29E-01	3.57E-01	3.54E-01	4.03E-01	2.09E-01
P-0021049-T01-IM6	6.05E-01	4.69E-01	4.37E-01	5.62E-01	0.00E+00
P-0021090-T01-IM6	1.11E+00	1.26E+00	4.38E+00	3.29E-01	3.60E+00
P-0021154-T01-IM6	3.51E-01	5.97E-01	6.28E-01	6.26E-01	5.26E-02
