Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000862-T01-IM3	35	0.867	27.354	78.154%	5.22	49.999%	0.88336	0.847
P-0001020-T01-IM3	18	0.84	16.876	93.756%	3.079	54.43%	1.16003	0.819
P-0001237-T02-IM6	48	0.818	40.873	85.152%	9.447	58.364%	0.73098	0.798
P-0001685-T02-IM3	45	0.888	34.782	77.293%	7.614	45.914%	0.59368	0.879
P-0002463-T01-IM3	41	0.83	36.195	88.28%	5.508	56.511%	0.739	0.788
P-0002671-T01-IM3	51	0.727	49.643	97.339%	10.955	69.147%	0.74838	0.688
P-0003209-T01-IM5	63	0.983	20.666	32.803%	5.093	18.39%	0.2913	0.983
P-0003796-T01-IM5	18	0.856	17.136	95.2%	3.35	51.692%	1.0243	0.842
P-0004011-T01-IM5	50	0.939	37.744	75.488%	9.623	41.565%	0.53478	0.939
P-0004051-T01-IM5	42	0.944	26.492	63.076%	4.112	33.353%	0.52829	0.936
P-0004083-T01-IM5	12	0.703	14.523	121.025%	3.026	71.324%	1.62182	0.669
P-0004362-T01-IM5	52	0.952	28.135	54.106%	5.723	30.946%	0.46974	0.947
P-0004602-T01-IM5	41	0.938	26.862	65.517%	5.316	35.922%	0.55951	0.933
P-0004738-T01-IM5	66	0.913	39.664	60.097%	6.195	41.958%	0.47968	0.891
P-0004754-T01-IM5	56	0.979	24.137	43.102%	4.322	21.556%	0.32727	0.977
P-0004783-T01-IM5	38	0.924	28.575	75.197%	6.073	39.039%	0.53586	0.919
P-0004865-T01-IM5	147	0.984	59.401	40.409%	12.825	19.782%	0.21427	0.983
P-0005151-T01-IM5	52	0.892	37.866	72.819%	5.846	47.417%	0.59808	0.869
P-0005197-T01-IM5	41	0.949	21.734	53.01%	4.699	32.66%	0.43752	0.944
P-0005230-T01-IM5	64	0.949	39.213	61.27%	7.183	32.188%	0.47703	0.944
P-0005326-T01-IM5	50	0.899	35.352	70.704%	5.868	44.485%	0.54379	0.881
P-0005443-T01-IM5	28	0.898	22.978	82.064%	5.574	46.776%	0.61363	0.893
P-0005455-T01-IM5	38	0.925	24.292	63.926%	4.732	38.382%	0.52572	0.916
P-0005529-T01-IM5	24	0.813	23.001	95.838%	4.839	58.681%	0.91662	0.793
P-0005548-T01-IM5	61	0.965	33.751	55.33%	6.202	28.699%	0.42566	0.963
P-0005560-T01-IM5	33	0.862	26.066	78.988%	5.008	50.849%	0.90931	0.842
P-0005823-T01-IM5	62	0.97	29.581	47.711%	4.798	24.485%	0.35718	0.966
P-0005824-T01-IM5	347	0.993	83.221	23.983%	16.649	11.759%	0.10351	0.993
P-0005987-T01-IM5	22	0.641	25.819	117.359%	4.518	77.483%	1.15185	0.559
P-0006170-T01-IM5	39	0.723	39.397	101.018%	7.061	71.694%	0.79397	0.663
P-0006207-T01-IM5	40	0.783	36.822	92.055%	6.925	62.188%	0.95397	0.744
P-0006365-T01-IM5	29	0.88	23.831	82.176%	3.957	48.342%	0.77131	0.862
P-0006612-T01-IM5	361	0.958	203.64	56.41%	63.264	40.093%	0.28628	0.962
P-0006753-T01-IM5	31	0.803	28.825	92.984%	5.174	59.744%	0.99798	0.768
P-0006960-T01-IM5	347	0.969	126.443	36.439%	21.218	25.194%	0.18814	0.962
P-0007055-T01-IM5	36	0.896	24.282	67.45%	3.985	45.121%	0.63135	0.874
P-0007147-T01-IM5	119	0.962	55.27	46.445%	8.804	29.298%	0.26224	0.957
P-0007296-T01-IM5	55	0.938	35.515	64.573%	6.03	35.348%	0.67454	0.93
P-0007596-T01-IM5	44	0.958	24.308	55.245%	4.745	28.985%	0.42837	0.955
P-0007688-T01-IM5	36	0.893	29.133	80.925%	5.503	47.539%	0.5771	0.883
P-0007739-T01-IM5	21	0.826	20.896	99.505%	3.725	56.806%	0.98145	0.804
P-0007831-T01-IM5	34	0.783	29.308	86.2%	6.294	62.32%	0.82105	0.749
P-0007836-T01-IM5	46	0.918	28.106	61.1%	7.21	40.056%	0.58039	0.911
P-0007843-T01-IM5	26	0.869	21.43	82.423%	3.908	49.632%	0.76951	0.852
P-0007882-T01-IM5	32	0.895	23.419	73.184%	4.769	44.666%	0.75286	0.884
P-0007997-T01-IM5	32	0.869	25.458	79.556%	4.951	50.013%	0.6626	0.853
P-0008180-T01-IM5	52	0.933	34.941	67.194%	6.214	37.004%	0.53948	0.926
P-0008226-T02-IM5	40	0.934	25.445	63.613%	4.015	36.056%	0.56463	0.924
P-0008317-T01-IM5	39	0.98	16.441	42.156%	3.079	20.347%	0.47468	0.979
P-0008504-T03-IM6	67	0.857	48.132	71.839%	6.944	51.614%	0.53563	0.801
P-0008721-T01-IM5	54	0.887	36.112	66.874%	5.928	46.575%	0.52322	0.86
P-0008729-T01-IM5	36	0.872	26.706	74.183%	4.32	50.912%	0.57698	0.842
P-0008745-T01-IM5	22	0.918	15.325	69.659%	3.413	41.389%	0.71627	0.912
P-0008746-T01-IM5	36	0.885	27.797	77.214%	4.679	46.79%	0.77888	0.866
P-0009157-T01-IM5	26	0.769	26.771	102.965%	5.034	63.932%	0.96965	0.734
P-0009830-T01-IM5	27	0.814	25.858	95.77%	4.417	58.505%	0.8224	0.782
P-0009964-T01-IM5	24	0.86	17.848	74.367%	2.976	51.038%	0.65471	0.827
