Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0000862-T01-IM3	10	6	0	1	14	4
P-0001020-T01-IM3	5	7	0	0	0	6
P-0001237-T02-IM6	25	4	1	0	14	4
P-0001685-T02-IM3	31	0	0	0	5	9
P-0002463-T01-IM3	1	14	12	1	0	13
P-0002671-T01-IM3	6	0	0	1	44	0
P-0003209-T01-IM5	54	3	5	0	1	0
P-0003796-T01-IM5	2	13	0	0	0	3
P-0004011-T01-IM5	17	16	15	2	0	0
P-0004051-T01-IM5	1	22	7	0	10	2
P-0004083-T01-IM5	6	0	0	0	0	6
P-0004362-T01-IM5	32	0	4	0	2	14
P-0004602-T01-IM5	18	8	14	1	0	0
P-0004738-T01-IM5	11	19	7	0	13	16
P-0004754-T01-IM5	25	19	2	0	0	10
P-0004783-T01-IM5	7	31	0	0	0	0
P-0004865-T01-IM5	7	2	0	132	0	6
P-0005151-T01-IM5	18	7	0	2	15	10
P-0005197-T01-IM5	20	1	11	0	9	0
P-0005230-T01-IM5	37	0	12	1	0	14
P-0005326-T01-IM5	12	3	15	0	0	20
P-0005443-T01-IM5	10	10	0	1	5	2
P-0005455-T01-IM5	19	0	2	2	5	10
P-0005529-T01-IM5	8	3	2	1	6	4
P-0005548-T01-IM5	22	18	20	1	0	0
P-0005560-T01-IM5	11	3	11	1	5	2
P-0005823-T01-IM5	34	3	1	3	13	8
P-0005824-T01-IM5	22	14	3	308	0	0
P-0005987-T01-IM5	0	8	0	2	0	12
P-0006170-T01-IM5	15	0	4	2	12	6
P-0006207-T01-IM5	10	4	0	1	15	10
P-0006365-T01-IM5	5	1	14	0	9	0
P-0006612-T01-IM5	7	0	193	161	0	0
P-0006753-T01-IM5	4	11	3	2	5	6
P-0006960-T01-IM5	28	117	38	86	78	0
P-0007055-T01-IM5	9	4	13	0	5	5
P-0007147-T01-IM5	22	22	28	3	10	34
P-0007296-T01-IM5	19	12	0	0	20	4
P-0007596-T01-IM5	11	25	0	1	7	0
P-0007688-T01-IM5	8	8	1	3	15	1
P-0007739-T01-IM5	1	10	0	0	0	10
P-0007831-T01-IM5	4	10	17	1	2	0
P-0007836-T01-IM5	34	0	0	0	5	7
P-0007843-T01-IM5	7	7	1	0	9	2
P-0007882-T01-IM5	6	19	0	0	5	2
P-0007997-T01-IM5	4	14	0	0	6	8
P-0008180-T01-IM5	14	18	0	0	9	11
P-0008226-T02-IM5	12	2	12	3	11	0
P-0008317-T01-IM5	32	2	0	0	1	4
P-0008504-T03-IM6	5	3	0	5	17	37
P-0008721-T01-IM5	12	10	5	2	10	15
P-0008729-T01-IM5	8	5	12	3	6	2
P-0008745-T01-IM5	15	6	0	0	1	0
P-0008746-T01-IM5	9	8	9	0	0	10
P-0009157-T01-IM5	3	7	0	1	15	0
P-0009830-T01-IM5	6	2	6	0	0	13
P-0009964-T01-IM5	5	1	7	0	8	3
P-0010167-T01-IM5	2	10	0	0	0	11
P-0010275-T01-IM5	14	17	2	0	6	2
P-0010308-T01-IM5	4	1	9	0	1	8
P-0010499-T01-IM5	0	2	77	76	0	0
P-0010587-T01-IM5	33	0	19	3	4	2
P-0010680-T02-IM6	8	3	2	3	14	0
P-0010783-T01-IM5	26	4	0	0	3	16
