Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0000862-T01-IM3	6	6	0	1	14	0	8	0
P-0001020-T01-IM3	2	7	0	0	9	0	0	0
P-0001237-T02-IM6	21	1	1	0	0	13	7	5
P-0001685-T02-IM3	22	0	0	0	3	18	0	2
P-0002463-T01-IM3	2	12	8	0	0	2	0	17
P-0002671-T01-IM3	8	0	3	0	0	0	40	0
P-0003209-T01-IM5	46	5	7	0	0	5	0	0
P-0003796-T01-IM5	1	6	0	0	0	10	0	1
P-0004011-T01-IM5	16	19	14	0	0	0	1	0
P-0004051-T01-IM5	1	16	4	0	0	9	8	4
P-0004083-T01-IM5	4	0	0	0	8	0	0	0
P-0004362-T01-IM5	29	1	5	0	0	0	2	15
P-0004602-T01-IM5	15	9	12	0	0	0	4	1
P-0004738-T01-IM5	7	15	4	0	12	9	8	11
P-0004754-T01-IM5	20	15	3	0	5	8	0	5
P-0004783-T01-IM5	4	27	0	0	7	0	0	0
P-0004865-T01-IM5	5	2	23	114	0	0	0	3
P-0005151-T01-IM5	17	4	0	2	1	15	7	6
P-0005197-T01-IM5	18	2	8	0	0	3	10	0
P-0005230-T01-IM5	29	1	11	0	16	0	0	7
P-0005326-T01-IM5	8	6	10	0	13	0	0	13
P-0005443-T01-IM5	6	10	3	0	2	0	5	2
P-0005455-T01-IM5	17	1	3	2	0	0	6	9
P-0005529-T01-IM5	2	5	3	0	12	0	2	0
P-0005548-T01-IM5	17	18	15	0	8	0	3	0
P-0005560-T01-IM5	6	5	8	0	11	0	3	0
P-0005823-T01-IM5	30	4	4	2	0	5	8	9
P-0005824-T01-IM5	13	12	63	259	0	0	0	0
P-0005987-T01-IM5	1	6	0	2	0	1	0	12
P-0006170-T01-IM5	10	0	0	3	0	24	1	1
P-0006207-T01-IM5	4	6	0	2	20	0	8	0
P-0006365-T01-IM5	5	1	8	0	2	4	9	0
P-0006612-T01-IM5	8	8	182	158	0	0	5	0
P-0006753-T01-IM5	3	5	1	2	0	16	0	4
P-0006960-T01-IM5	17	92	39	74	33	31	61	0
P-0007055-T01-IM5	6	3	6	0	7	11	1	2
P-0007147-T01-IM5	12	21	18	2	35	2	8	21
P-0007296-T01-IM5	15	12	0	2	12	0	14	0
P-0007596-T01-IM5	10	22	3	0	0	0	9	0
P-0007688-T01-IM5	5	8	4	2	5	0	12	0
P-0007739-T01-IM5	0	7	0	0	6	2	0	6
P-0007831-T01-IM5	3	6	5	2	2	16	0	0
P-0007836-T01-IM5	27	0	2	0	0	12	0	5
P-0007843-T01-IM5	6	4	1	0	0	8	5	2
P-0007882-T01-IM5	2	13	0	0	12	4	1	0
P-0007997-T01-IM5	3	7	0	0	0	17	1	4
P-0008180-T01-IM5	11	17	2	0	5	0	9	8
P-0008226-T02-IM5	12	3	10	2	0	2	11	0
P-0008317-T01-IM5	27	4	4	0	0	0	1	3
P-0008504-T03-IM6	2	3	0	5	22	1	11	23
P-0008721-T01-IM5	9	8	3	2	9	10	5	8
P-0008729-T01-IM5	8	3	6	2	0	10	4	3
P-0008745-T01-IM5	12	4	0	0	0	6	0	0
P-0008746-T01-IM5	10	7	6	0	0	0	0	13
P-0009157-T01-IM5	0	6	2	0	9	0	9	0
P-0009830-T01-IM5	5	0	3	0	0	10	0	9
P-0009964-T01-IM5	4	1	4	0	2	2	8	3
P-0010167-T01-IM5	0	8	0	0	7	0	1	7
P-0010275-T01-IM5	13	13	3	0	0	2	6	4
P-0010308-T01-IM5	3	0	3	0	2	12	0	3
P-0010499-T01-IM5	0	5	66	73	0	2	0	9
P-0010587-T01-IM5	29	0	16	2	9	0	5	0
P-0010680-T02-IM6	4	0	0	3	0	23	0	0
P-0010783-T01-IM5	18	7	0	0	16	0	1	7
P-0010798-T01-IM5	0	1	0	0	6	6	2	0
P-0010929-T01-IM5	7	10	6	0	0	0	0	3
P-0011068-T01-IM5	5	6	1	0	0	6	2	4
P-0011071-T01-IM5	15	5	1	4	0	14	0	17
P-0011226-T01-IM5	17	13	6	0	0	14	2	0
P-0011235-T01-IM5	1	2	1	0	9	5	0	0
P-0011324-T01-IM5	32	0	8	0	9	1	0	0
