Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0000862-T01-IM3	4.51E-01	3.59E-01	3.58E-01	1.21E-01	4.86E-01	3.69E-01	4.65E-01	3.13E-01
P-0001020-T01-IM3	3.39E-01	3.14E-01	2.40E-01	0.00E+00	4.16E-01	2.31E-01	2.63E-01	2.57E-01
P-0001237-T02-IM6	7.60E-01	5.62E-01	4.39E-01	1.28E-01	3.12E-01	6.78E-01	4.88E-01	4.40E-01
P-0001685-T02-IM3	7.47E-01	4.17E-01	4.98E-01	0.00E+00	7.22E-01	6.04E-01	3.44E-01	3.65E-01
P-0002463-T01-IM3	3.05E-01	5.28E-01	4.32E-01	2.88E-01	4.21E-01	3.81E-01	3.73E-01	5.76E-01
P-0002671-T01-IM3	4.35E-01	4.35E-01	3.04E-01	3.94E-02	7.14E-01	5.71E-01	8.39E-01	5.80E-01
P-0003209-T01-IM5	1.19E+00	7.98E-01	9.92E-01	0.00E+00	5.21E-01	5.02E-01	3.06E-01	1.01E-01
P-0003796-T01-IM5	2.88E-01	3.99E-01	1.50E-01	9.33E-02	9.68E-02	3.47E-01	2.87E-01	2.43E-01
P-0004011-T01-IM5	1.13E+00	9.72E-01	8.30E-01	9.00E-02	2.58E-01	2.90E-01	3.00E-01	1.55E-01
P-0004051-T01-IM5	3.99E-01	6.37E-01	3.24E-01	1.10E-01	3.34E-01	5.13E-01	5.29E-01	3.76E-01
P-0004083-T01-IM5	2.57E-01	1.15E-01	2.32E-01	9.73E-02	3.25E-01	2.52E-01	1.74E-01	2.66E-01
P-0004362-T01-IM5	7.88E-01	5.52E-01	6.96E-01	0.00E+00	3.88E-01	4.92E-01	3.41E-01	5.53E-01
P-0004602-T01-IM5	7.10E-01	5.52E-01	6.58E-01	1.36E-01	3.40E-01	2.24E-01	3.11E-01	3.21E-01
P-0004738-T01-IM5	4.68E-01	6.72E-01	5.92E-01	3.43E-02	6.04E-01	6.95E-01	5.84E-01	7.47E-01
P-0004754-T01-IM5	7.00E-01	7.86E-01	4.94E-01	0.00E+00	4.76E-01	6.01E-01	4.05E-01	3.17E-01
P-0004783-T01-IM5	4.50E-01	6.22E-01	3.87E-01	0.00E+00	3.23E-01	4.57E-01	3.55E-01	2.40E-01
