Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
P-0000862-T01-IM3	7	6	0	1	0	7	7	0	7
P-0001020-T01-IM3	2	7	0	0	0	8	0	0	1
P-0001237-T02-IM6	17	1	2	0	15	0	7	6	0
P-0001685-T02-IM3	22	0	1	0	11	0	0	4	7
P-0002463-T01-IM3	2	11	6	0	3	0	0	19	0
P-0002671-T01-IM3	8	0	3	0	0	2	38	0	0
P-0003209-T01-IM5	42	5	6	0	9	0	1	0	0
P-0003796-T01-IM5	1	5	0	0	10	0	0	2	0
P-0004011-T01-IM5	16	19	12	0	0	0	3	0	0
P-0004051-T01-IM5	1	15	3	0	11	0	7	5	0
P-0004083-T01-IM5	4	0	0	0	0	8	0	0	0
P-0004362-T01-IM5	26	2	4	0	0	0	4	16	0
P-0004602-T01-IM5	14	10	10	0	0	0	5	2	0
P-0004738-T01-IM5	8	13	3	0	6	7	7	12	10
P-0004754-T01-IM5	19	14	3	0	11	6	0	3	0
P-0004783-T01-IM5	5	24	0	0	0	3	0	0	6
P-0004865-T01-IM5	5	3	30	106	0	1	0	2	0
P-0005151-T01-IM5	13	3	0	2	16	2	6	6	4
P-0005197-T01-IM5	17	2	7	0	7	0	8	0	0
P-0005230-T01-IM5	31	0	9	0	4	13	0	7	0
P-0005326-T01-IM5	7	6	8	0	0	13	1	9	6
P-0005443-T01-IM5	7	10	2	0	0	0	6	3	0
P-0005455-T01-IM5	17	2	3	2	0	0	5	9	0
P-0005529-T01-IM5	3	5	3	0	0	10	3	0	0
P-0005548-T01-IM5	17	19	12	0	0	9	4	0	0
P-0005560-T01-IM5	7	5	7	0	0	10	4	0	0
P-0005823-T01-IM5	28	4	4	2	8	0	7	9	0
P-0005824-T01-IM5	15	13	76	242	0	0	1	0	0
P-0005987-T01-IM5	1	5	0	2	0	0	0	10	4
P-0006170-T01-IM5	8	0	0	2	19	0	1	0	9
P-0006207-T01-IM5	5	6	0	3	0	19	7	0	0
P-0006365-T01-IM5	5	1	6	0	3	0	8	0	6
P-0006612-T01-IM5	16	15	166	151	0	0	13	0	0
P-0006753-T01-IM5	3	4	1	2	15	0	1	5	0
P-0006960-T01-IM5	24	81	37	66	21	3	49	6	60
P-0007055-T01-IM5	7	3	5	0	8	4	1	1	7
P-0007147-T01-IM5	11	20	15	2	7	36	6	15	7
P-0007296-T01-IM5	14	12	0	2	2	13	12	0	0
P-0007596-T01-IM5	10	21	3	0	0	0	8	2	0
P-0007688-T01-IM5	4	9	4	2	0	6	11	0	0
P-0007739-T01-IM5	0	7	0	0	3	6	0	5	0
P-0007831-T01-IM5	3	4	4	1	8	0	0	0	14
P-0007836-T01-IM5	26	0	2	0	13	0	1	4	0
P-0007843-T01-IM5	5	3	1	0	10	0	4	3	0
P-0007882-T01-IM5	3	12	0	0	4	6	1	0	6
P-0007997-T01-IM5	2	6	0	0	16	4	1	3	0
P-0008180-T01-IM5	10	17	2	0	0	10	7	4	2
P-0008226-T02-IM5	11	3	8	2	5	2	9	0	0
P-0008317-T01-IM5	25	5	3	0	0	0	2	4	0
P-0008504-T03-IM6	0	3	1	4	4	24	8	15	8
P-0008721-T01-IM5	10	7	2	2	3	2	4	8	16
P-0008729-T01-IM5	7	3	5	2	6	0	3	3	7
P-0008745-T01-IM5	11	4	0	0	7	0	0	0	0
P-0008746-T01-IM5	9	6	5	0	1	0	0	12	3
P-0009157-T01-IM5	0	7	2	0	0	9	8	0	0
P-0009830-T01-IM5	3	0	3	0	11	4	0	6	0
P-0009964-T01-IM5	4	1	3	0	2	1	6	4	3
P-0010167-T01-IM5	0	8	0	0	0	6	2	7	0
P-0010275-T01-IM5	12	12	2	0	6	0	5	3	1
P-0010308-T01-IM5	2	0	3	0	11	5	0	2	0
P-0010499-T01-IM5	1	7	61	70	4	0	2	10	0
P-0010587-T01-IM5	30	1	14	2	0	8	5	0	1
P-0010680-T02-IM6	3	0	0	2	3	0	0	0	22
P-0010783-T01-IM5	19	7	0	0	0	14	3	6	0
P-0010798-T01-IM5	0	0	0	0	6	8	1	0	0
P-0010929-T01-IM5	8	9	5	0	0	0	0	4	0
P-0011068-T01-IM5	5	6	1	0	5	0	2	5	0
P-0011071-T01-IM5	13	4	2	4	15	5	0	12	1
P-0011226-T01-IM5	17	12	5	0	16	0	2	0	0
P-0011235-T01-IM5	1	1	1	0	4	7	0	0	4
P-0011324-T01-IM5	33	0	7	0	5	5	0	0	0
P-0011357-T01-IM5	2	21	52	129	0	0	3	0	0
P-0012115-T01-IM5	8	9	0	0	2	0	0	6	0
P-0012249-T01-IM5	3	4	1	0	12	0	5	0	0
P-0012313-T01-IM5	12	6	2	2	8	4	0	3	3
P-0012402-T01-IM5	9	23	78	96	0	3	21	9	0
P-0013010-T01-IM5	25	10	13	0	0	27	2	0	0
P-0013082-T01-IM5	17	4	6	0	15	0	1	0	2
P-0013227-T01-IM5	1	4	2	0	8	1	11	9	1
P-0013357-T01-IM5	10	3	2	2	9	0	5	1	3
P-0013374-T01-IM5	16	23	0	0	0	0	0	4	6
P-0013400-T01-IM5	31	8	8	0	0	0	0	0	0
P-0013462-T01-IM5	4	0	2	0	0	2	5	13	2
P-0013492-T01-IM5	9	3	3	0	7	0	14	0	0
P-0013876-T01-IM5	7	13	5	0	0	12	2	1	2
P-0013981-T01-IM5	10	0	6	0	9	0	0	4	10
P-0014143-T01-IM5	1	8	3	0	4	4	1	2	13
P-0014258-T01-IM6	2	19	7	0	22	0	3	23	0
P-0014616-T01-IM6	7	7	0	0	3	0	3	0	0
P-0014787-T01-IM6	9	5	4	2	0	4	14	0	0
P-0014994-T01-IM6	11	9	1	0	0	0	5	0	10
P-0015237-T01-IM6	0	6	3	2	13	10	4	0	1
P-0015252-T01-IM6	15	8	2	0	2	0	0	3	1
