Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS21	SBS42	SBS54
P-0000862-T01-IM3	10	0	0	0	14	11	0	0	0
P-0001020-T01-IM3	2	0	0	0	11	0	0	0	5
P-0001237-T02-IM6	29	7	0	0	0	12	0	0	0
P-0001685-T02-IM3	32	13	0	0	0	0	0	0	0
P-0002463-T01-IM3	3	6	0	5	19	0	8	0	0
P-0002671-T01-IM3	10	0	0	0	0	41	0	0	0
P-0003209-T01-IM5	56	7	0	0	0	0	0	0	0
P-0003796-T01-IM5	3	2	0	0	13	0	0	0	0
P-0004011-T01-IM5	18	0	0	7	25	0	0	0	0
P-0004051-T01-IM5	3	10	0	0	29	0	0	0	0
P-0004083-T01-IM5	6	6	0	0	0	0	0	0	0
P-0004362-T01-IM5	37	0	0	0	0	0	15	0	0
P-0004602-T01-IM5	17	1	0	8	15	0	0	0	0
P-0004738-T01-IM5	10	20	0	0	26	0	10	0	0
P-0004754-T01-IM5	22	7	0	0	27	0	0	0	0
P-0004783-T01-IM5	3	1	0	0	34	0	0	0	0
P-0004865-T01-IM5	10	0	74	63	0	0	0	0	0
P-0005151-T01-IM5	16	18	0	0	12	0	0	0	6
P-0005197-T01-IM5	25	6	0	0	0	10	0	0	0
P-0005230-T01-IM5	41	23	0	0	0	0	0	0	0
P-0005326-T01-IM5	16	10	0	0	12	0	0	0	12
P-0005443-T01-IM5	8	0	0	0	20	0	0	0	0
P-0005455-T01-IM5	23	8	0	0	0	0	0	0	7
P-0005529-T01-IM5	9	0	0	0	15	0	0	0	0
P-0005548-T01-IM5	20	0	0	10	31	0	0	0	0
P-0005560-T01-IM5	10	5	0	7	11	0	0	0	0
P-0005823-T01-IM5	37	10	0	0	0	15	0	0	0
P-0005824-T01-IM5	35	0	167	145	0	0	0	0	0
P-0005987-T01-IM5	2	7	0	0	6	0	7	0	0
P-0006170-T01-IM5	16	11	0	0	0	0	0	12	0
P-0006207-T01-IM5	12	7	0	0	0	12	0	0	9
P-0006365-T01-IM5	10	0	0	6	0	13	0	0	0
P-0006612-T01-IM5	49	0	87	225	0	0	0	0	0
P-0006753-T01-IM5	12	0	0	0	0	0	0	19	0
P-0006960-T01-IM5	24	65	38	52	168	0	0	0	0
P-0007055-T01-IM5	13	23	0	0	0	0	0	0	0
P-0007147-T01-IM5	21	15	0	13	45	0	0	0	25
P-0007296-T01-IM5	17	5	0	0	20	13	0	0	0
P-0007596-T01-IM5	10	0	0	0	34	0	0	0	0
P-0007688-T01-IM5	8	2	0	0	14	12	0	0	0
P-0007739-T01-IM5	0	7	0	0	14	0	0	0	0
P-0007831-T01-IM5	7	11	0	0	16	0	0	0	0
P-0007836-T01-IM5	36	10	0	0	0	0	0	0	0
P-0007843-T01-IM5	8	8	0	0	10	0	0	0	0
P-0007882-T01-IM5	3	5	0	0	24	0	0	0	0
P-0007997-T01-IM5	7	0	0	0	12	0	0	13	0
P-0008180-T01-IM5	13	0	0	0	29	0	0	0	10
P-0008226-T02-IM5	16	6	0	6	0	12	0	0	0
P-0008317-T01-IM5	28	11	0	0	0	0	0	0	0
P-0008504-T03-IM6	9	31	0	0	0	13	0	0	14
P-0008721-T01-IM5	13	23	0	0	18	0	0	0	0
P-0008729-T01-IM5	10	18	0	0	8	0	0	0	0
P-0008745-T01-IM5	12	4	0	0	6	0	0	0	0
P-0008746-T01-IM5	10	9	0	0	11	0	6	0	0
P-0009157-T01-IM5	2	4	0	0	11	9	0	0	0
P-0009830-T01-IM5	9	4	0	0	0	0	0	8	6
P-0009964-T01-IM5	7	10	0	0	0	7	0	0	0
P-0010167-T01-IM5	1	0	0	0	13	0	0	0	9
P-0010275-T01-IM5	14	5	0	0	22	0	0	0	0
P-0010308-T01-IM5	8	4	0	0	0	0	0	11	0
P-0010499-T01-IM5	13	17	37	88	0	0	0	0	0
P-0010587-T01-IM5	37	14	0	10	0	0	0	0	0
P-0010680-T02-IM6	9	3	0	0	0	0	0	18	0
P-0010783-T01-IM5	22	13	0	0	14	0	0	0	0
P-0010798-T01-IM5	3	2	0	0	0	0	0	10	0
P-0010929-T01-IM5	10	2	0	0	14	0	0	0	0
P-0011068-T01-IM5	7	0	0	0	12	0	5	0	0
P-0011071-T01-IM5	18	13	0	0	15	0	0	0	10
P-0011226-T01-IM5	22	8	0	0	22	0	0	0	0
P-0011235-T01-IM5	4	8	0	0	6	0	0	0	0
P-0011324-T01-IM5	38	12	0	0	0	0	0	0	0
P-0011357-T01-IM5	23	0	91	93	0	0	0	0	0
P-0012115-T01-IM5	9	4	0	0	12	0	0	0	0
P-0012249-T01-IM5	7	0	0	0	11	7	0	0	0
P-0012313-T01-IM5	15	11	0	0	14	0	0	0	0
P-0012402-T01-IM5	18	13	55	110	43	0	0	0	0
P-0013010-T01-IM5	33	29	0	0	15	0	0	0	0
P-0013082-T01-IM5	24	8	0	0	13	0	0	0	0
P-0013227-T01-IM5	4	12	0	0	8	13	0	0	0
P-0013357-T01-IM5	22	13	0	0	0	0	0	0	0
P-0013374-T01-IM5	14	0	0	0	35	0	0	0	0
P-0013400-T01-IM5	35	0	0	0	12	0	0	0	0
P-0013462-T01-IM5	5	13	0	0	0	0	10	0	0
P-0013492-T01-IM5	14	5	0	0	0	17	0	0	0
P-0013876-T01-IM5	8	11	0	0	16	0	0	0	7
P-0013981-T01-IM5	17	22	0	0	0	0	0	0	0
P-0014143-T01-IM5	4	13	0	0	19	0	0	0	0
P-0014258-T01-IM6	6	17	0	0	38	0	15	0	0
P-0014616-T01-IM6	10	0	0	0	10	0	0	0	0
P-0014787-T01-IM6	16	2	0	0	0	20	0	0	0
P-0014994-T01-IM6	11	5	0	0	20	0	0	0	0
P-0015237-T01-IM6	6	3	0	0	12	0	0	18	0
P-0015252-T01-IM6	15	0	0	0	16	0	0	0	0
P-0015416-T01-IM6	42	22	0	0	24	0	0	0	0
P-0015536-T01-IM6	14	1	0	0	0	19	9	0	0
P-0015699-T01-IM6	8	0	0	0	0	0	0	29	9
P-0015851-T01-IM6	14	12	0	0	0	0	0	0	0
P-0016314-T01-IM6	9	20	0	0	36	0	0	0	24
P-0016522-T01-IM6	20	3	0	0	12	0	0	0	0
P-0016890-T01-IM6	13	11	0	0	0	14	0	0	0
P-0017583-T01-IM5	1	8	0	0	15	0	0	0	5
P-0017664-T01-IM5	2	3	0	0	0	0	0	0	0
P-0017697-T01-IM6	29	12	0	0	15	14	0	0	0
P-0017839-T01-IM6	22	9	0	10	0	0	0	0	0
P-0017925-T01-IM6	12	16	0	0	12	0	0	0	8
P-0017986-T02-IM6	29	9	0	0	0	0	0	27	0
P-0017995-T01-IM6	9	5	0	0	24	0	0	0	0
P-0018374-T01-IM6	9	6	0	0	22	0	0	0	0
P-0018436-T01-IM6	12	4	0	0	0	0	0	0	0
P-0018437-T01-IM6	14	11	0	0	0	0	0	8	0
P-0018841-T01-IM6	2	11	0	0	11	0	26	0	0
P-0019183-T01-IM6	1	0	0	0	7	0	0	0	0
P-0019428-T01-IM6	19	12	0	0	0	0	0	0	5
P-0019464-T01-IM6	31	42	0	0	23	0	0	0	0
P-0019475-T01-IM6	13	23	0	0	14	17	0	0	0
P-0019846-T01-IM6	8	5	0	0	10	10	0	0	0
P-0019949-T01-IM6	13	2	0	0	11	0	0	0	0
P-0020143-T01-IM6	29	22	0	0	0	0	0	0	0
P-0020144-T01-IM6	5	8	0	0	0	0	0	5	0
P-0020221-T01-IM6	21	5	0	0	19	0	0	0	12
P-0020330-T01-IM6	18	29	0	0	33	0	0	0	17
P-0020331-T01-IM6	41	2	0	0	0	0	0	26	19
P-0020399-T01-IM6	16	15	0	0	0	0	0	0	9
P-0020431-T01-IM6	17	9	0	0	0	0	0	0	0
P-0020473-T01-IM6	12	0	20	95	21	0	0	0	0
P-0020689-T01-IM6	32	3	0	15	0	20	0	0	0
P-0020748-T01-IM6	8	8	0	0	0	0	0	0	0
P-0020834-T01-IM6	4	1	0	4	0	8	0	0	0
P-0021049-T01-IM6	15	9	0	0	12	0	0	0	0
P-0021090-T01-IM6	19	0	9	111	39	0	0	0	0
P-0021154-T01-IM6	3	0	0	0	9	10	0	0	7
P-0021292-T01-IM6	17	10	0	0	0	9	0	0	0
P-0021304-T01-IM6	34	4	0	0	26	0	0	0	0
P-0021346-T01-IM6	4	5	0	0	13	0	0	0	0
P-0021393-T01-IM6	15	5	0	0	43	0	0	0	0
P-0021744-T01-IM6	13	19	0	0	28	0	0	0	0
P-0022111-T01-IM6	28	16	0	0	41	0	0	0	0
P-0022508-T01-IM6	18	7	0	0	0	0	0	0	0
P-0023162-T01-IM6	6	0	0	0	0	10	8	0	0
P-0023271-T01-IM6	57	24	62	158	0	0	0	0	0
P-0023272-T01-IM6	15	13	0	0	25	0	0	0	0
P-0023551-T01-IM6	18	0	0	0	0	22	0	0	16
P-0023639-T01-IM6	11	12	0	0	20	0	0	0	0
P-0024928-T01-IM6	0	0	0	0	27	0	0	0	0
P-0024973-T01-IM6	8	11	0	0	0	0	0	8	0
P-0025047-T01-IM6	15	13	0	0	0	15	13	0	0
P-0025073-T01-IM6	15	5	0	0	13	0	0	0	0
P-0025215-T01-IM6	15	34	0	0	0	0	0	0	0
P-0025695-T01-IM6	19	1	0	0	11	8	0	0	0
P-0025715-T01-IM6	8	2	0	0	12	19	0	0	0
P-0025883-T01-IM6	13	22	0	0	28	0	0	0	0
P-0026197-T01-IM6	11	3	0	0	19	0	15	24	0
P-0026480-T01-IM6	14	17	0	0	0	29	0	0	0
P-0026678-T01-IM6	40	5	0	0	19	0	0	0	0
P-0026683-T01-IM6	47	30	0	0	0	0	0	0	0
P-0026908-T01-IM6	11	4	0	0	0	0	0	13	0
P-0026962-T01-IM6	1	5	0	5	24	0	0	0	0
P-0027324-T01-IM6	20	2	0	0	34	0	0	0	0
P-0027335-T01-IM6	12	4	0	0	27	0	0	0	0
P-0027375-T01-IM6	5	0	0	8	12	10	0	0	0
P-0027438-T01-IM6	0	4	0	0	29	0	0	0	0
P-0027740-T01-IM6	46	0	0	0	46	0	0	0	0
P-0027858-T01-IM6	15	13	0	0	24	0	0	30	0
P-0027929-T01-IM6	25	77	0	0	126	103	0	0	0
P-0028069-T01-IM6	7	4	0	0	13	13	0	0	0
P-0028266-T01-IM6	64	10	0	0	0	0	0	23	0
P-0028274-T01-IM6	19	12	0	0	20	0	0	0	0
P-0028344-T01-IM6	4	5	0	0	14	0	0	0	0
P-0028474-T01-IM6	10	7	0	0	44	23	0	0	0
P-0028485-T01-IM6	28	21	0	0	34	0	0	0	0
P-0028571-T01-IM6	15	6	0	0	0	13	0	0	0
P-0028891-T01-IM6	58	23	0	0	27	0	0	0	0
P-0028979-T01-IM6	18	0	0	0	0	15	13	0	12
P-0029114-T01-IM6	0	13	0	0	15	0	0	0	0
P-0029169-T01-IM6	8	0	0	0	22	0	0	0	0
P-0029398-T01-IM6	15	3	0	6	12	11	0	0	0
P-0029399-T01-IM6	17	19	0	0	0	10	0	0	0
P-0029495-T03-IM6	29	7	0	0	21	0	0	0	0
P-0029646-T01-IM6	30	9	0	0	0	0	0	43	0
P-0029980-T01-IM6	15	16	0	0	42	0	0	0	0
P-0030244-T01-IM6	7	1	0	0	30	0	12	0	0
P-0030265-T01-IM6	29	0	0	0	199	0	0	0	0
P-0030636-T01-IM6	16	16	0	0	0	0	0	0	0
P-0030708-T01-IM6	21	6	0	0	25	0	0	0	11
