Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000862-T01-IM3	35	0.844	27.664	79.04%	5.682	54.424%	0.68477	0.823
P-0001020-T01-IM3	18	0.872	13.676	75.978%	2.776	49.073%	0.92733	0.855
P-0001237-T02-IM6	48	0.924	32.191	67.065%	6.184	38.205%	0.55919	0.916
P-0001685-T02-IM3	45	0.915	35.318	78.484%	6.731	40.589%	0.79166	0.907
P-0002463-T01-IM3	41	0.852	33.424	81.522%	5.181	53.156%	0.88723	0.816
P-0002671-T01-IM3	51	0.868	41.913	82.182%	7.87	49.675%	0.91242	0.851
P-0003209-T01-IM5	63	0.979	27.153	43.1%	5.59	20.184%	0.39233	0.978
P-0003796-T01-IM5	18	0.83	18.26	101.444%	3.614	55.765%	1.11659	0.814
P-0004011-T01-IM5	50	0.947	34.424	68.848%	9.311	40.217%	0.60946	0.948
P-0004051-T01-IM5	42	0.899	34.486	82.11%	5.402	43.816%	0.75913	0.884
P-0004083-T01-IM5	12	0.601	16.327	136.058%	3.441	81.105%	1.64865	0.554
P-0004362-T01-IM5	52	0.958	25.229	48.517%	5.393	29.162%	0.4329	0.954
P-0004602-T01-IM5	41	0.928	27.732	67.639%	5.539	37.429%	0.7314	0.921
P-0004738-T01-IM5	66	0.881	45.572	69.048%	7.082	47.965%	0.61397	0.849
P-0004754-T01-IM5	56	0.96	32.113	57.345%	5.782	28.838%	0.44041	0.956
P-0004783-T01-IM5	38	0.9	31.306	82.384%	6.929	44.541%	0.67519	0.894
P-0004865-T01-IM5	147	0.982	56.011	38.103%	12.234	18.871%	0.33731	0.981
P-0005151-T01-IM5	52	0.911	37.009	71.171%	5.153	41.796%	0.61909	0.89
P-0005197-T01-IM5	41	0.928	26.006	63.429%	5.387	37.442%	0.58099	0.921
P-0005230-T01-IM5	64	0.881	51.553	80.552%	10.609	47.54%	0.68936	0.869
P-0005326-T01-IM5	50	0.833	42.199	84.398%	7.403	56.122%	0.73519	0.801
P-0005443-T01-IM5	28	0.847	25.908	92.529%	6.357	53.347%	0.89381	0.837
P-0005455-T01-IM5	38	0.916	26.123	68.745%	4.97	40.312%	0.68573	0.907
P-0005529-T01-IM5	24	0.669	27.245	113.521%	6.786	82.292%	1.65263	0.637
P-0005548-T01-IM5	61	0.944	37.661	61.739%	7.181	33.23%	0.64466	0.939
P-0005560-T01-IM5	33	0.794	30.27	91.727%	6.14	62.342%	1.05756	0.765
P-0005823-T01-IM5	62	0.947	38.692	62.406%	6.313	32.216%	0.51258	0.941
P-0005824-T01-IM5	347	0.987	106.613	30.724%	24.003	16.954%	0.22938	0.986
P-0005987-T01-IM5	22	0.7	25.295	114.977%	4.163	71.395%	1.17016	0.634
P-0006170-T01-IM5	39	0.808	38.504	98.728%	5.87	59.601%	0.94497	0.767
P-0006207-T01-IM5	40	0.751	38.26	95.65%	7.351	66.014%	0.92269	0.705
P-0006365-T01-IM5	29	0.867	22.542	77.731%	4.102	50.114%	0.97178	0.846
P-0006612-T01-IM5	361	0.977	149.935	41.533%	37.409	23.707%	0.18773	0.976
P-0006753-T01-IM5	31	0.782	30.509	98.416%	5.422	62.608%	1.21079	0.743
P-0006960-T01-IM5	347	0.951	156.244	45.027%	26.4	31.346%	0.26424	0.94
P-0007055-T01-IM5	36	0.851	32.02	88.944%	4.644	52.583%	0.82241	0.816
P-0007147-T01-IM5	119	0.93	64.612	54.296%	11.016	36.659%	0.3802	0.916
P-0007296-T01-IM5	55	0.907	40.78	74.145%	7.188	42.137%	0.58402	0.896
P-0007596-T01-IM5	44	0.945	25.807	58.652%	5.36	32.741%	0.58954	0.941
P-0007688-T01-IM5	36	0.861	31.437	87.325%	5.93	51.227%	0.67958	0.844
P-0007739-T01-IM5	21	0.764	23.946	114.029%	4.237	64.614%	1.31623	0.73
P-0007831-T01-IM5	34	0.798	31.466	92.547%	6.104	60.439%	0.90608	0.767
P-0007836-T01-IM5	46	0.965	27.4	59.565%	4.729	26.272%	0.61831	0.962
P-0007843-T01-IM5	26	0.844	23.835	91.673%	4.226	53.67%	0.98383	0.822
P-0007882-T01-IM5	32	0.893	23.435	73.234%	4.809	45.04%	0.86758	0.881
P-0007997-T01-IM5	32	0.854	29.695	92.797%	5.171	52.235%	1.09659	0.835
P-0008180-T01-IM5	52	0.933	33.319	64.075%	6.073	36.164%	0.54247	0.925
P-0008226-T02-IM5	40	0.918	26.762	66.905%	4.423	39.72%	0.60744	0.904
P-0008317-T01-IM5	39	0.942	24.966	64.015%	5.1	33.702%	0.50909	0.937
P-0008504-T03-IM6	67	0.797	56.055	83.664%	8.135	60.467%	0.67481	0.712
P-0008721-T01-IM5	54	0.845	47.363	87.709%	6.963	54.706%	0.75561	0.808
P-0008729-T01-IM5	36	0.852	31.069	86.303%	4.478	52.774%	0.78092	0.814
P-0008745-T01-IM5	22	0.928	15.752	71.6%	3.094	37.52%	0.75356	0.922
P-0008746-T01-IM5	36	0.898	28.339	78.719%	4.43	44.3%	0.68335	0.881
P-0009157-T01-IM5	26	0.724	29.275	112.596%	5.438	69.063%	1.2968	0.681
