Samples	SBS96A	SBS96B
P-0000082-T01-IM3	9	3
P-0000110-T01-IM3	13	1
P-0000133-T01-IM3	0	4
P-0000149-T02-IM3	0	3
P-0000163-T02-IM3	1	1
P-0000208-T02-IM5	0	3
P-0000219-T01-IM3	0	3
P-0000231-T01-IM3	0	1
P-0000233-T01-IM3	1	0
P-0000239-T01-IM3	3	1
P-0000252-T01-IM3	1	2
P-0000260-T01-IM3	0	1
P-0000263-T01-IM3	0	4
P-0000280-T01-IM3	1	2
P-0000301-T01-IM3	1	0
P-0000302-T02-IM6	3	1
P-0000316-T01-IM3	4	0
P-0000344-T01-IM3	2	2
P-0000347-T01-IM3	2	2
P-0000348-T01-IM3	0	4
P-0000349-T01-IM3	2	5
P-0000352-T01-IM3	4	1
P-0000388-T01-IM3	7	2
P-0000395-T01-IM3	6	2
P-0000405-T01-IM3	11	1
P-0000426-T01-IM3	7	0
P-0000427-T01-IM3	8	3
P-0000459-T01-IM3	7	2
P-0000491-T01-IM3	19	4
P-0000531-T01-IM3	1	0
P-0000554-T01-IM3	11	9
P-0000557-T01-IM3	0	1
P-0000563-T01-IM3	0	3
P-0000569-T01-IM3	0	1
P-0000580-T01-IM3	8	2
P-0000583-T01-IM3	4	6
P-0000594-T01-IM3	0	3
P-0000602-T01-IM3	12	6
P-0000604-T01-IM3	0	4
P-0000622-T01-IM3	3	5
P-0000626-T01-IM3	2	4
P-0000627-T01-IM3	15	3
P-0000628-T01-IM3	1	1
P-0000630-T01-IM3	0	4
P-0000636-T01-IM3	2	1
P-0000641-T01-IM3	1	0
P-0000642-T01-IM3	2	2
P-0000670-T01-IM3	1	2
P-0000671-T01-IM3	20	14
P-0000676-T01-IM3	0	9
P-0000681-T01-IM3	10	8
P-0000689-T02-IM5	2	1
P-0000702-T01-IM3	0	6
P-0000706-T01-IM3	2	0
P-0000726-T01-IM3	27	0
P-0000731-T01-IM3	2	2
P-0000732-T01-IM3	0	2
P-0000756-T01-IM3	6	1
P-0000765-T01-IM3	11	3
P-0000774-T01-IM3	0	7
P-0000785-T01-IM3	12	2
P-0000789-T01-IM3	4	14
P-0000807-T01-IM3	4	2
P-0000809-T01-IM3	0	1
P-0000819-T01-IM3	7	5
P-0000825-T01-IM3	8	5
P-0000831-T01-IM3	34	11
P-0000840-T01-IM3	1	1
P-0000858-T01-IM3	1	0
P-0000867-T01-IM3	1	5
P-0000873-T01-IM3	7	2
P-0000894-T02-IM6	0	6
P-0000900-T01-IM3	0	2
P-0000907-T01-IM3	7	0
P-0000913-T04-IM6	4	4
P-0000924-T01-IM3	6	3
P-0000929-T01-IM3	1	0
P-0000963-T01-IM3	1	0
P-0000978-T02-IM5	2	4
P-0000987-T01-IM3	1	3
P-0000989-T01-IM3	5	3
P-0001010-T02-IM5	1	0
P-0001037-T01-IM3	0	8
P-0001089-T01-IM3	2	4
P-0001093-T01-IM3	7	3
P-0001123-T02-IM5	2	2
P-0001130-T01-IM3	2	3
P-0001131-T01-IM3	3	4
P-0001154-T01-IM3	0	1
P-0001155-T01-IM3	0	1
P-0001163-T01-IM3	2	3
P-0001165-T01-IM3	1	2
P-0001171-T01-IM3	60	31
P-0001189-T01-IM3	11	4
P-0001196-T02-IM6	0	5
P-0001199-T01-IM3	4	9
P-0001208-T01-IM3	2	0
P-0001224-T02-IM3	16	4
P-0001241-T01-IM3	2	2
P-0001243-T01-IM3	4	1
P-0001257-T01-IM3	12	4
P-0001296-T01-IM3	1	2
P-0001300-T01-IM3	0	2
P-0001303-T01-IM3	3	5
P-0001309-T01-IM3	8	4
P-0001314-T01-IM3	0	1
P-0001357-T02-IM5	5	1
P-0001365-T01-IM3	5	0
P-0001368-T01-IM3	0	1
P-0001375-T01-IM3	9	3
P-0001380-T01-IM3	3	1
P-0001381-T01-IM3	5	4
P-0001385-T01-IM3	9	4
P-0001389-T01-IM3	0	1
P-0001397-T01-IM3	13	2
P-0001437-T01-IM3	0	1
P-0001442-T01-IM3	1	3
P-0001454-T01-IM3	5	3
P-0001532-T01-IM3	1	1
P-0001546-T02-IM5	1	0
P-0001550-T02-IM6	13	5
P-0001571-T01-IM3	13	4
P-0001599-T03-IM5	7	2
P-0001613-T02-IM5	2	5
P-0001625-T02-IM6	0	1
P-0001633-T01-IM3	1	0
P-0001683-T01-IM3	0	4
P-0001707-T01-IM3	1	2
P-0001722-T01-IM3	3	3
P-0001724-T01-IM3	5	0
P-0001750-T01-IM3	3	1
P-0001782-T01-IM3	27	2
P-0001787-T01-IM3	9	2
P-0001811-T01-IM3	2	0
P-0001813-T02-IM3	3	1
P-0001817-T02-IM5	0	6
P-0001826-T01-IM3	1	2
P-0001828-T01-IM3	8	0
P-0001830-T02-IM5	9	4
P-0001832-T02-IM6	2	0
P-0001833-T01-IM3	8	4
P-0001836-T01-IM3	16	6
P-0001840-T02-IM5	1	0
P-0001891-T01-IM3	6	3
P-0001894-T01-IM3	1	0
P-0001898-T01-IM3	1	1
P-0001916-T01-IM3	14	3
P-0001927-T01-IM3	7	1
P-0001931-T01-IM3	1	0
P-0001944-T01-IM3	5	0
P-0001945-T01-IM3	4	4
P-0001955-T01-IM3	1	1
P-0001972-T01-IM3	4	4
P-0001977-T01-IM3	8	1
P-0001986-T01-IM3	7	0
P-0001987-T01-IM3	1	23
P-0002001-T01-IM3	2	6
P-0002016-T01-IM3	4	17
P-0002026-T01-IM3	11	1
P-0002033-T01-IM3	5	0
P-0002038-T01-IM3	2	3
P-0002046-T01-IM3	0	2
P-0002054-T01-IM3	13	5
P-0002060-T01-IM3	3	1
P-0002069-T01-IM3	3	0
P-0002075-T01-IM3	6	26
P-0002079-T01-IM3	0	6
P-0002081-T01-IM3	2	1
P-0002085-T02-IM5	0	7
P-0002091-T01-IM3	2	4
P-0002105-T01-IM3	6	28
P-0002126-T01-IM3	2	1
P-0002151-T01-IM3	8	0
P-0002153-T01-IM3	7	0
P-0002156-T01-IM3	3	5
P-0002160-T01-IM3	10	2
P-0002163-T01-IM3	11	9
P-0002183-T01-IM3	0	1
P-0002187-T01-IM3	6	2
P-0002207-T01-IM3	1	6
P-0002215-T01-IM3	0	3
P-0002218-T01-IM3	1	0
P-0002247-T01-IM3	12	5
P-0002275-T01-IM3	0	2
P-0002278-T01-IM3	1	3
P-0002295-T01-IM3	0	4
P-0002309-T01-IM3	0	5
P-0002320-T01-IM3	4	1
P-0002329-T01-IM3	3	2
P-0002338-T01-IM3	0	6
P-0002340-T01-IM3	5	1
P-0002359-T01-IM3	4	5
P-0002403-T01-IM3	0	7
P-0002408-T01-IM3	0	1
P-0002412-T01-IM3	6	0
P-0002416-T01-IM3	8	0
P-0002420-T01-IM3	1	0
P-0002421-T01-IM3	20	0
P-0002423-T01-IM3	2	0
P-0002425-T01-IM3	2	7
P-0002426-T01-IM3	0	3
P-0002434-T01-IM3	2	1
P-0002444-T01-IM3	11	5
P-0002446-T01-IM3	2	3
P-0002451-T01-IM3	1	1
P-0002459-T01-IM3	16	5
P-0002489-T01-IM3	2	5
P-0002491-T01-IM3	0	1
P-0002506-T02-IM5	0	2
P-0002523-T01-IM3	7	1
P-0002524-T01-IM3	2	3
P-0002534-T01-IM3	0	1
P-0002544-T01-IM3	3	2
P-0002548-T01-IM3	5	4
P-0002551-T01-IM3	13	3
P-0002557-T01-IM3	1	1
P-0002558-T01-IM3	3	1
P-0002559-T01-IM3	0	1
P-0002571-T01-IM3	6	2
P-0002580-T01-IM3	0	1
P-0002605-T01-IM3	9	0
P-0002611-T01-IM3	43	14
P-0002613-T01-IM3	1	0
P-0002616-T01-IM3	1	0
P-0002631-T01-IM3	5	1
P-0002635-T01-IM3	5	1
P-0002639-T01-IM3	7	4
P-0002646-T01-IM3	4	2
P-0002650-T01-IM3	1	0
P-0002663-T01-IM3	0	5
P-0002677-T01-IM3	4	0
P-0002683-T01-IM3	2	7
P-0002694-T02-IM5	0	1
P-0002707-T03-IM5	0	1
P-0002718-T01-IM3	4	2
P-0002725-T01-IM3	13	1
P-0002731-T02-IM5	4	4
P-0002766-T01-IM3	0	3
P-0002768-T01-IM3	0	2
P-0002780-T01-IM3	2	2
P-0002783-T01-IM3	0	6
P-0002794-T02-IM5	7	1
P-0002806-T01-IM3	1	0
P-0002823-T02-IM6	1	18
P-0002826-T01-IM3	8	5
P-0002837-T01-IM3	10	0
P-0002842-T01-IM3	6	1
P-0002846-T01-IM3	1	0
P-0002850-T01-IM3	16	1
P-0002861-T01-IM3	0	5
P-0002869-T01-IM3	2	2
P-0002873-T01-IM3	1	1
P-0002874-T01-IM3	11	0
P-0002876-T01-IM3	1	2
P-0002877-T01-IM3	0	5
P-0002886-T01-IM3	13	3
P-0002890-T01-IM3	0	4
P-0002893-T01-IM3	3	3
P-0002904-T01-IM3	2	0
P-0002905-T01-IM3	1	4
P-0002909-T01-IM3	0	1
P-0002912-T01-IM3	1	1
P-0002916-T02-IM5	2	2
P-0002917-T01-IM3	6	0
P-0002921-T01-IM3	8	5
P-0002949-T01-IM3	2	0
P-0002954-T01-IM3	11	0
P-0002955-T01-IM3	3	2
P-0002956-T01-IM3	10	3
P-0002957-T01-IM3	15	3
P-0002969-T01-IM3	14	6
P-0002980-T01-IM3	6	0
P-0002989-T01-IM3	3	0
P-0002996-T01-IM3	10	0
P-0003013-T01-IM3	3	0
P-0003017-T01-IM3	4	0
P-0003030-T01-IM3	2	4
P-0003034-T01-IM5	9	4
P-0003055-T01-IM5	0	13
P-0003070-T01-IM5	2	0
P-0003096-T01-IM5	6	1
P-0003107-T01-IM5	2	4
P-0003116-T01-IM5	4	8
P-0003119-T01-IM5	12	0
P-0003125-T01-IM5	0	1
P-0003129-T01-IM5	10	3
P-0003156-T01-IM5	1	5
P-0003165-T01-IM5	17	7
P-0003167-T01-IM5	0	29
P-0003169-T01-IM5	2	1
P-0003196-T01-IM5	3	1
P-0003201-T01-IM5	7	2
P-0003202-T01-IM5	1	0
P-0003206-T01-IM5	2	2
P-0003207-T01-IM5	0	1
P-0003213-T01-IM5	2	7
P-0003222-T01-IM5	29	7
P-0003229-T01-IM5	23	27
P-0003240-T01-IM5	3	3
P-0003247-T01-IM5	7	2
P-0003250-T01-IM5	1	3
P-0003274-T02-IM6	1	2
P-0003275-T01-IM5	2	1
P-0003276-T01-IM5	3	2
P-0003278-T01-IM5	11	2
P-0003282-T01-IM5	0	3
P-0003297-T01-IM5	1	0
P-0003302-T01-IM5	1	6
P-0003303-T01-IM5	3	4
P-0003311-T01-IM5	39	0
P-0003314-T01-IM5	8	0
P-0003316-T01-IM5	4	1
P-0003317-T02-IM5	3	3
P-0003322-T03-IM6	3	2
P-0003323-T01-IM5	1	0
P-0003324-T01-IM5	5	1
P-0003357-T02-IM6	1	1
P-0003368-T01-IM5	7	2
P-0003383-T01-IM5	0	1
P-0003425-T01-IM5	2	2
P-0003444-T01-IM5	3	5
P-0003460-T01-IM5	0	1
P-0003465-T01-IM5	2	0
P-0003479-T01-IM5	0	2
P-0003489-T01-IM5	8	1
P-0003495-T01-IM5	1	4
P-0003502-T01-IM5	2	2
P-0003505-T01-IM5	13	3
P-0003508-T01-IM5	0	1
P-0003523-T01-IM5	4	2
P-0003527-T01-IM5	1	5
P-0003531-T01-IM5	0	5
P-0003537-T02-IM5	5	7
P-0003553-T01-IM5	17	8
P-0003562-T01-IM5	35	3
P-0003569-T01-IM5	0	3
P-0003572-T01-IM5	6	0
P-0003573-T03-IM6	0	6
P-0003580-T02-IM6	3	2
P-0003584-T01-IM5	12	0
P-0003586-T01-IM5	7	5
P-0003595-T01-IM5	8	0
P-0003628-T01-IM5	5	8
P-0003632-T01-IM5	15	4
P-0003635-T02-IM5	0	5
P-0003640-T01-IM5	0	1
P-0003666-T01-IM5	3	6
P-0003670-T01-IM5	1	0
P-0003709-T01-IM5	5	1
P-0003712-T01-IM5	2	2
P-0003714-T01-IM5	1	0
P-0003715-T01-IM5	8	5
P-0003716-T01-IM5	3	2
