NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	11.911	169.596	3.217	92.662	2.361	0.307	40000.0
2	11.94	169.239	3.22	92.675	2.352	0.309	40000.0
3	12.03	170.272	3.247	92.993	2.372	0.303	20000.0
4	11.875	168.981	3.208	92.491	2.35	0.313	20000.0
5	11.911	169.474	3.213	92.641	2.363	0.307	40000.0
6	11.87	169.109	3.215	92.577	2.34	0.311	20000.0
7	11.878	169.23	3.21	92.619	2.354	0.311	30000.0
8	11.856	168.961	3.202	92.513	2.321	0.314	30000.0
9	11.837	169.081	3.225	92.377	2.329	0.318	20000.0
10	11.899	169.625	3.21	92.703	2.358	0.307	20000.0
11	11.965	169.627	3.221	92.769	2.362	0.306	20000.0
12	11.845	168.657	3.2	92.351	2.34	0.317	30000.0
13	11.859	169.304	3.205	92.573	2.342	0.309	30000.0
14	11.852	168.809	3.215	92.376	2.328	0.318	20000.0
15	11.871	169.139	3.2	92.472	2.355	0.312	20000.0
16	11.851	168.719	3.216	92.534	2.343	0.312	20000.0
17	11.885	169.733	3.224	92.74	2.356	0.306	20000.0
18	11.912	169.603	3.225	92.712	2.35	0.307	20000.0
19	11.867	168.569	3.211	92.465	2.339	0.315	20000.0
20	11.945	169.724	3.227	92.812	2.356	0.305	60000.0
21	11.958	169.812	3.229	92.874	2.364	0.304	40000.0
22	11.949	169.64	3.226	92.672	2.337	0.312	30000.0
23	11.901	169.624	3.221	92.57	2.338	0.312	30000.0
24	12.015	169.731	3.236	92.764	2.333	0.312	20000.0
25	12.016	170.213	3.234	92.876	2.37	0.305	30000.0
26	11.887	169.722	3.197	92.77	2.354	0.303	20000.0
27	11.813	168.557	3.198	92.238	2.315	0.322	30000.0
28	11.924	169.175	3.231	92.737	2.354	0.309	20000.0
29	11.926	169.425	3.215	92.718	2.352	0.308	40000.0
30	12.111	170.855	3.24	93.137	2.376	0.299	30000.0
31	11.805	168.587	3.198	92.391	2.326	0.316	40000.0
32	11.949	169.474	3.225	92.777	2.349	0.309	30000.0
33	11.876	169.259	3.209	92.512	2.362	0.313	30000.0
34	11.916	170.0	3.211	92.837	2.365	0.301	20000.0
35	11.992	169.668	3.235	92.78	2.362	0.308	40000.0
36	11.992	169.942	3.226	92.901	2.37	0.305	70000.0
37	11.88	169.025	3.208	92.514	2.349	0.311	30000.0
38	11.892	168.619	3.202	92.448	2.345	0.313	50000.0
39	11.872	169.395	3.2	92.528	2.338	0.313	30000.0
40	11.846	168.589	3.215	92.34	2.323	0.319	20000.0
41	11.993	170.113	3.23	93.065	2.368	0.299	30000.0
42	11.867	169.342	3.212	92.63	2.342	0.307	30000.0
43	11.918	169.674	3.213	92.764	2.372	0.304	20000.0
44	11.905	169.318	3.214	92.611	2.333	0.31	20000.0
45	11.892	169.557	3.204	92.775	2.357	0.304	40000.0
46	11.902	169.289	3.221	92.652	2.351	0.31	20000.0
47	11.977	169.647	3.226	92.749	2.356	0.311	30000.0
48	11.896	169.358	3.219	92.697	2.362	0.308	20000.0
49	11.925	169.82	3.222	92.72	2.36	0.305	20000.0
50	11.885	169.469	3.201	92.615	2.337	0.309	40000.0
51	11.851	169.13	3.201	92.385	2.333	0.315	30000.0
52	11.986	169.607	3.224	92.805	2.358	0.308	40000.0
53	11.735	168.154	3.188	92.139	2.313	0.322	30000.0
54	12.009	170.134	3.228	92.934	2.375	0.303	20000.0
55	11.989	170.028	3.227	92.815	2.351	0.308	20000.0
56	11.846	168.813	3.209	92.59	2.353	0.31	40000.0
57	11.916	169.588	3.217	92.71	2.353	0.307	20000.0
58	11.839	168.872	3.206	92.603	2.347	0.309	40000.0
59	11.87	169.165	3.206	92.603	2.341	0.31	40000.0
60	12.043	170.445	3.235	93.055	2.378	0.299	30000.0
61	11.972	169.716	3.226	92.807	2.346	0.307	20000.0
62	11.945	169.1	3.218	92.549	2.326	0.316	20000.0
63	11.975	169.63	3.23	92.776	2.35	0.31	20000.0
64	11.97	169.695	3.223	92.795	2.347	0.307	40000.0
65	11.876	169.131	3.213	92.483	2.347	0.313	30000.0
66	11.887	169.197	3.225	92.574	2.351	0.312	20000.0
67	11.869	169.27	3.202	92.524	2.344	0.311	40000.0
68	12.003	169.667	3.246	92.785	2.336	0.309	30000.0
69	11.882	169.152	3.218	92.63	2.347	0.31	30000.0
70	11.865	168.798	3.202	92.562	2.335	0.312	30000.0
71	11.968	169.428	3.223	92.71	2.36	0.308	20000.0
72	12.123	170.994	3.26	93.164	2.371	0.3	30000.0
73	12.022	170.169	3.246	93.124	2.375	0.298	20000.0
74	11.986	170.186	3.228	92.879	2.355	0.305	40000.0
75	11.903	169.458	3.219	92.729	2.357	0.308	30000.0
76	11.944	169.886	3.224	92.803	2.353	0.305	20000.0
77	11.922	169.45	3.211	92.598	2.346	0.311	30000.0
78	11.856	169.554	3.212	92.557	2.354	0.312	20000.0
79	11.929	169.524	3.233	92.738	2.359	0.305	50000.0
80	11.975	169.585	3.219	92.752	2.348	0.307	40000.0
81	11.848	168.794	3.207	92.38	2.327	0.316	30000.0
82	11.873	169.264	3.218	92.657	2.361	0.307	20000.0
