Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000082-T01-IM3	12	0.501	17.916	149.3%	2.998	86.545%	1.72553	0.379
P-0000110-T01-IM3	14	0.366	22.93	163.786%	4.928	93.13%	1.924	0.259
P-0000133-T01-IM3	4	0.452	6.683	167.075%	1.793	89.65%	2.01389	0.416
P-0000149-T02-IM3	3	0.298	5.12	170.667%	1.687	97.399%	2.20692	0.255
P-0000163-T02-IM3	2	0.424	3.646	182.3%	1.316	93.055%	2.52066	0.454
P-0000208-T02-IM5	3	0.343	5.432	181.067%	1.631	94.166%	2.37816	0.304
P-0000219-T01-IM3	3	0.296	5.51	183.667%	1.655	95.551%	3.03741	0.241
P-0000231-T01-IM3	1	0.101	1.97	197.0%	0.996	99.6%	4.20311	0.043
P-0000233-T01-IM3	1	0.726	1.704	170.4%	0.863	86.3%	1.90887	0.784
P-0000239-T01-IM3	4	0.355	7.159	178.975%	1.874	93.7%	2.32142	0.302
P-0000252-T01-IM3	3	0.209	5.701	190.033%	1.695	97.861%	3.54822	0.118
P-0000260-T01-IM3	1	0.22	1.875	187.5%	0.978	97.8%	2.77387	0.197
P-0000263-T01-IM3	4	0.428	6.989	174.725%	1.827	91.35%	2.40719	0.406
P-0000280-T01-IM3	3	0.152	5.767	192.233%	1.721	99.362%	3.78951	0.042
P-0000301-T01-IM3	1	0.232	1.927	192.7%	0.976	97.6%	3.30815	0.218
P-0000302-T02-IM6	4	0.332	7.267	181.675%	1.89	94.5%	2.77685	0.274
P-0000316-T01-IM3	4	0.228	7.496	187.4%	1.95	97.5%	3.27457	0.117
P-0000344-T01-IM3	4	0.455	6.74	168.5%	1.794	89.7%	2.58703	0.424
P-0000347-T01-IM3	4	0.288	7.321	183.025%	1.915	95.75%	2.78497	0.207
P-0000348-T01-IM3	4	0.311	7.267	181.675%	1.901	95.05%	2.7771	0.24
P-0000349-T01-IM3	7	0.535	11.086	158.371%	2.269	85.76%	1.68489	0.501
P-0000352-T01-IM3	5	0.353	9.169	183.38%	2.487	94.0%	2.68881	0.319
P-0000388-T01-IM3	9	0.423	14.549	161.656%	2.721	90.7%	1.95119	0.307
P-0000395-T01-IM3	8	0.529	12.703	158.788%	2.433	86.02%	1.69865	0.489
P-0000405-T01-IM3	12	0.435	18.561	154.675%	3.134	90.471%	1.7804	0.284
P-0000426-T01-IM3	7	0.418	11.522	164.6%	2.403	90.825%	2.23551	0.332
P-0000427-T01-IM3	11	0.49	16.257	147.791%	3.145	87.227%	1.95256	0.399
P-0000459-T01-IM3	9	0.522	15.501	172.233%	3.358	86.703%	2.30564	0.497
P-0000491-T01-IM3	23	0.603	28.987	126.03%	4.154	79.944%	1.10622	0.45
P-0000531-T01-IM3	1	0.726	1.704	170.4%	0.863	86.3%	1.90887	0.784
P-0000554-T01-IM3	20	0.758	23.52	117.6%	3.899	68.925%	1.0257	0.747
P-0000557-T01-IM3	1	0.21	1.938	193.8%	0.98	98.0%	3.47215	0.195
P-0000563-T01-IM3	3	0.564	4.334	144.467%	1.436	82.907%	1.8049	0.545
P-0000569-T01-IM3	1	0.663	1.623	162.3%	0.839	83.9%	1.66956	0.674
P-0000580-T01-IM3	10	0.578	15.479	154.79%	2.858	82.503%	1.73078	0.532
P-0000583-T01-IM3	10	0.507	15.518	155.18%	2.733	86.425%	1.8055	0.42
P-0000594-T01-IM3	3	0.743	3.807	126.9%	1.238	71.476%	1.10906	0.739
P-0000602-T01-IM3	18	0.476	26.506	147.256%	5.28	88.0%	1.63514	0.385
P-0000604-T01-IM3	4	0.305	7.11	177.75%	1.908	95.4%	2.85402	0.235
P-0000622-T01-IM3	8	0.662	11.25	140.625%	2.424	76.654%	1.51585	0.639
P-0000626-T01-IM3	6	0.411	10.324	172.067%	2.24	91.448%	2.16599	0.346
P-0000627-T01-IM3	18	0.439	27.738	154.1%	4.59	90.017%	1.69667	0.278
P-0000628-T01-IM3	2	0.208	3.827	191.35%	1.383	97.793%	3.34752	0.151
P-0000630-T01-IM3	4	0.583	5.348	133.7%	1.625	81.25%	1.85058	0.558
P-0000636-T01-IM3	3	0.41	5.328	177.6%	1.597	92.203%	2.73926	0.394
P-0000641-T01-IM3	1	0.14	1.956	195.6%	0.99	99.0%	3.81001	0.098
P-0000642-T01-IM3	4	0.283	7.346	183.65%	1.918	95.9%	2.80415	0.201
P-0000670-T01-IM3	3	0.227	5.651	188.367%	1.687	97.399%	2.95303	0.148
P-0000671-T01-IM3	34	0.741	35.795	105.279%	6.056	68.571%	0.8898	0.697
P-0000676-T01-IM3	9	0.627	10.505	116.722%	3.211	77.878%	1.2501	0.602
P-0000681-T01-IM3	18	0.529	24.304	135.022%	4.649	84.879%	1.51797	0.434
P-0000689-T02-IM5	3	0.103	5.853	195.1%	1.739	100.401%	4.05996	-0.042
P-0000702-T01-IM3	6	0.487	8.551	142.517%	2.491	88.07%	1.58812	0.449
P-0000706-T01-IM3	2	0.591	3.317	165.85%	1.218	86.126%	2.16021	0.606
P-0000726-T01-IM3	27	0.768	26.536	98.281%	4.098	64.0%	1.08464	0.705
P-0000731-T01-IM3	4	0.27	7.345	183.625%	1.927	96.35%	2.56918	0.183
P-0000732-T01-IM3	2	0.196	3.685	184.25%	1.417	100.197%	4.29906	0.156
P-0000756-T01-IM3	7	0.482	10.701	152.871%	2.318	87.612%	2.13824	0.415
P-0000765-T01-IM3	14	0.5	20.016	142.971%	3.874	86.625%	1.54738	0.405
P-0000774-T01-IM3	7	0.815	7.516	107.371%	2.05	61.81%	0.87998	0.809
P-0000785-T01-IM3	14	0.417	21.89	156.357%	3.662	91.55%	1.8024	0.254
P-0000789-T01-IM3	18	0.569	25.314	140.633%	4.192	82.212%	1.43248	0.473
P-0000807-T01-IM3	6	0.461	9.334	155.567%	2.52	89.095%	2.16677	0.42
P-0000809-T01-IM3	1	0.411	1.766	176.6%	0.92	92.0%	2.147	0.403
P-0000819-T01-IM3	12	0.5	17.828	148.567%	3.0	86.603%	1.67164	0.379
P-0000825-T01-IM3	13	0.347	21.423	164.792%	3.883	94.177%	2.01227	0.171
P-0000831-T01-IM3	45	0.689	47.848	106.329%	6.914	72.478%	0.90713	0.562
P-0000840-T01-IM3	2	0.117	3.902	195.1%	1.41	99.702%	3.84578	0.025
P-0000858-T01-IM3	1	0.317	1.9	190.0%	0.962	96.2%	2.99418	0.331
P-0000867-T01-IM3	6	0.373	10.035	167.25%	2.626	92.843%	2.5729	0.313
P-0000873-T01-IM3	9	0.505	13.486	149.844%	2.59	86.333%	2.2681	0.422
P-0000894-T02-IM6	6	0.535	9.692	161.533%	2.114	86.304%	1.72016	0.518
P-0000900-T01-IM3	2	0.169	3.859	192.95%	1.395	98.641%	3.77185	0.097
