Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000082-T01-IM3	12	0.374	19.929	166.075%	3.224	93.069%	2.15907	0.168
P-0000110-T01-IM3	14	0.404	21.769	155.493%	4.842	91.505%	1.83565	0.312
P-0000133-T01-IM3	4	0.489	5.482	137.05%	1.772	88.6%	1.86092	0.457
P-0000149-T02-IM3	3	0.318	5.19	173.0%	1.652	95.378%	2.76573	0.274
P-0000163-T02-IM3	2	0.317	3.53	176.5%	1.343	94.964%	2.69425	0.287
P-0000208-T02-IM5	3	0.371	4.51	150.333%	1.689	97.514%	2.25255	0.342
P-0000219-T01-IM3	3	0.201	5.727	190.9%	1.697	97.976%	3.21254	0.102
P-0000231-T01-IM3	1	0.108	1.972	197.2%	0.994	99.4%	4.26178	0.045
P-0000233-T01-IM3	1	0.434	1.839	183.9%	0.934	93.4%	2.5171	0.455
P-0000239-T01-IM3	4	0.561	6.236	155.9%	1.689	84.45%	1.62206	0.544
P-0000252-T01-IM3	3	0.168	5.655	188.5%	1.734	100.113%	3.63892	0.091
P-0000260-T01-IM3	1	0.176	1.954	195.4%	0.985	98.5%	3.77246	0.155
P-0000263-T01-IM3	4	0.451	6.114	152.85%	1.791	89.55%	2.27647	0.412
P-0000280-T01-IM3	3	0.139	5.811	193.7%	1.722	99.42%	3.52389	0.001
P-0000301-T01-IM3	1	0.222	1.917	191.7%	0.976	97.6%	3.18698	0.2
P-0000302-T02-IM6	4	0.228	7.524	188.1%	1.949	97.45%	2.92711	0.112
P-0000316-T01-IM3	4	0.161	7.664	191.6%	1.984	99.2%	3.18086	0.002
P-0000344-T01-IM3	4	0.373	5.924	148.1%	1.966	98.3%	3.10881	0.334
P-0000347-T01-IM3	4	0.383	5.942	148.55%	1.98	99.0%	3.60672	0.347
P-0000348-T01-IM3	4	0.433	6.825	170.625%	1.812	90.6%	2.06079	0.397
P-0000349-T01-IM3	7	0.647	6.618	94.543%	2.262	85.496%	1.80703	0.62
P-0000352-T01-IM3	5	0.121	9.674	193.48%	2.647	100.047%	3.46295	-0.047
P-0000388-T01-IM3	9	0.272	16.102	178.911%	2.907	96.9%	2.36467	0.052
P-0000395-T01-IM3	8	0.481	12.759	159.488%	2.485	87.858%	1.83447	0.406
P-0000405-T01-IM3	12	0.471	18.282	152.35%	3.059	88.306%	1.83975	0.334
P-0000426-T01-IM3	7	0.378	11.396	162.8%	2.467	93.244%	2.52406	0.286
P-0000427-T01-IM3	11	0.46	16.167	146.973%	3.216	89.196%	2.33339	0.361
P-0000459-T01-IM3	9	0.25	15.916	176.844%	3.76	97.083%	2.65563	0.113
P-0000491-T01-IM3	23	0.616	27.334	118.843%	4.174	80.329%	1.23033	0.486
P-0000531-T01-IM3	1	0.434	1.839	183.9%	0.934	93.4%	2.5171	0.455
P-0000554-T01-IM3	20	0.709	20.748	103.74%	3.99	70.534%	0.97584	0.655
P-0000557-T01-IM3	1	0.047	1.988	198.8%	1.002	100.2%	5.09476	-0.053
P-0000563-T01-IM3	3	0.779	2.715	90.5%	1.088	62.816%	1.40778	0.771
P-0000569-T01-IM3	1	0.86	0.928	92.8%	0.563	56.3%	0.62359	0.859
P-0000580-T01-IM3	10	0.408	15.89	158.9%	3.175	91.654%	2.06127	0.303
P-0000583-T01-IM3	10	0.631	10.893	108.93%	2.917	92.244%	1.90954	0.594
P-0000594-T01-IM3	3	0.65	3.329	110.967%	1.318	76.095%	1.32229	0.635
P-0000602-T01-IM3	18	0.466	27.376	152.089%	5.313	88.55%	1.76829	0.369
P-0000604-T01-IM3	4	0.338	5.867	146.675%	2.087	104.35%	4.24756	0.302
P-0000622-T01-IM3	8	0.802	8.664	108.3%	1.941	61.38%	1.24176	0.788
P-0000626-T01-IM3	6	0.325	10.118	168.633%	2.349	95.898%	2.57691	0.236
P-0000627-T01-IM3	18	0.524	26.618	147.878%	4.345	85.212%	1.46908	0.409
P-0000628-T01-IM3	2	0.161	3.56	178.0%	1.578	111.581%	18.42999	0.135
P-0000630-T01-IM3	4	0.761	4.158	103.95%	1.311	65.55%	1.25563	0.749
P-0000636-T01-IM3	3	0.258	5.471	182.367%	1.679	96.937%	3.23582	0.198
P-0000641-T01-IM3	1	0.084	1.969	196.9%	1.002	100.2%	4.16057	0.034
P-0000642-T01-IM3	4	0.327	6.596	164.9%	1.935	96.75%	3.1549	0.276
P-0000670-T01-IM3	3	0.24	5.674	189.133%	1.682	97.11%	2.92867	0.165
P-0000671-T01-IM3	34	0.737	33.151	97.503%	5.967	67.563%	0.85328	0.679
P-0000676-T01-IM3	9	0.619	10.268	114.089%	3.238	78.533%	1.64924	0.593
P-0000681-T01-IM3	18	0.494	25.409	141.161%	4.86	88.731%	1.67729	0.401
P-0000689-T02-IM5	3	0.06	5.918	197.267%	1.753	101.21%	4.38339	-0.127
P-0000702-T01-IM3	6	0.51	8.639	143.983%	2.51	88.742%	1.9762	0.478
P-0000706-T01-IM3	2	0.349	3.634	181.7%	1.331	94.116%	2.82494	0.326
P-0000726-T01-IM3	27	0.766	24.969	92.478%	4.116	64.281%	0.95879	0.702
P-0000731-T01-IM3	4	0.401	6.281	157.025%	1.852	92.6%	2.56503	0.357
P-0000732-T01-IM3	2	0.34	2.8	140.0%	1.535	108.541%	5.40886	0.324
P-0000756-T01-IM3	7	0.43	11.213	160.186%	2.39	90.334%	2.42121	0.348
P-0000765-T01-IM3	14	0.59	16.506	117.9%	3.611	80.744%	1.4476	0.523
P-0000774-T01-IM3	7	0.861	5.365	76.643%	1.731	52.192%	0.55354	0.854
P-0000785-T01-IM3	14	0.446	21.064	150.457%	3.608	90.2%	1.81297	0.302
P-0000789-T01-IM3	18	0.586	25.986	144.367%	4.132	81.035%	1.48527	0.496
P-0000807-T01-IM3	6	0.396	10.183	169.717%	2.608	92.207%	2.30623	0.351
P-0000809-T01-IM3	1	0.738	1.262	126.2%	0.715	71.5%	0.997	0.737
P-0000819-T01-IM3	12	0.379	19.789	164.908%	3.219	92.925%	1.95415	0.181
P-0000825-T01-IM3	13	0.27	22.335	171.808%	4.018	97.451%	2.58428	0.037
P-0000831-T01-IM3	45	0.709	45.741	101.647%	6.744	70.696%	0.96995	0.596
P-0000840-T01-IM3	2	0.147	3.891	194.55%	1.4	98.995%	3.93454	0.056
P-0000858-T01-IM3	1	0.179	1.933	193.3%	0.984	98.4%	3.40228	0.148
P-0000867-T01-IM3	6	0.417	8.25	137.5%	2.697	95.353%	3.30073	0.377
P-0000873-T01-IM3	9	0.437	13.96	155.111%	2.708	90.267%	2.46483	0.333
P-0000894-T02-IM6	6	0.416	10.197	169.95%	2.231	91.08%	2.10043	0.348
P-0000900-T01-IM3	2	0.042	3.969	198.45%	1.427	100.904%	5.03705	-0.113
P-0000907-T01-IM3	7	0.553	10.197	145.671%	2.211	83.568%	1.83548	0.503
P-0000913-T04-IM6	8	0.526	9.911	123.887%	3.094	89.316%	2.40282	0.492
P-0000924-T01-IM3	9	0.418	13.888	154.311%	3.019	91.026%	1.96549	0.328
P-0000929-T01-IM3	1	0.071	1.974	197.4%	1.004	100.4%	4.33523	0.017
P-0000963-T01-IM3	1	0.177	1.954	195.4%	0.985	98.5%	3.76812	0.156
P-0000978-T02-IM5	6	0.358	10.574	176.233%	2.646	93.55%	2.46187	0.295
P-0000987-T01-IM3	4	0.474	5.956	148.9%	2.17	88.59%	2.2851	0.453
P-0000989-T01-IM3	8	0.468	13.006	162.575%	2.797	88.449%	2.11935	0.405
P-0001010-T02-IM5	1	0.145	1.962	196.2%	0.99	99.0%	3.96352	0.105
P-0001037-T01-IM3	8	0.713	8.563	107.038%	2.439	70.408%	1.40472	0.693
P-0001089-T01-IM3	6	0.477	7.441	124.017%	2.32	94.714%	2.84185	0.435
P-0001093-T01-IM3	10	0.493	15.295	152.95%	2.752	87.026%	1.72234	0.394
P-0001123-T02-IM5	4	0.275	7.424	185.6%	1.923	96.15%	2.87425	0.19
P-0001130-T01-IM3	5	0.499	6.49	129.8%	2.184	97.671%	3.09271	0.469
P-0001131-T01-IM3	7	0.302	12.538	179.114%	2.525	95.436%	2.53214	0.151
P-0001154-T01-IM3	1	0.056	1.985	198.5%	1.001	100.1%	4.92008	-0.038
P-0001155-T01-IM3	1	0.86	0.928	92.8%	0.563	56.3%	0.62359	0.859
P-0001163-T01-IM3	5	0.318	7.455	149.1%	2.61	98.649%	2.4436	0.275
P-0001165-T01-IM3	3	0.498	3.966	132.2%	1.561	90.124%	3.30378	0.477
P-0001171-T01-IM3	91	0.822	68.956	75.776%	9.905	57.866%	0.51627	0.74
P-0001189-T01-IM3	15	0.566	21.065	140.433%	3.603	82.658%	1.5743	0.479
P-0001196-T02-IM6	5	0.685	4.706	94.12%	1.738	77.726%	2.74378	0.666
P-0001199-T01-IM3	13	0.565	17.371	133.623%	3.429	83.165%	1.75157	0.494
P-0001208-T01-IM3	2	0.186	3.804	190.2%	1.394	98.571%	3.08828	0.129
P-0001224-T02-IM3	20	0.641	24.55	122.75%	3.953	77.525%	1.11862	0.562
P-0001241-T01-IM3	4	0.363	7.009	175.225%	1.864	93.2%	2.77515	0.307
P-0001243-T01-IM3	5	0.282	8.987	179.74%	2.152	96.24%	2.78725	0.183
P-0001257-T01-IM3	16	0.603	21.275	132.969%	3.749	79.929%	1.66218	0.525
P-0001296-T01-IM3	3	0.129	5.825	194.167%	1.726	99.651%	4.04334	-0.014
P-0001300-T01-IM3	2	0.114	3.915	195.75%	1.409	99.631%	3.95419	0.003
P-0001303-T01-IM3	8	0.464	13.074	163.425%	2.513	88.848%	1.95721	0.388
P-0001309-T01-IM3	12	0.388	20.615	171.792%	4.519	92.244%	2.30785	0.308
P-0001314-T01-IM3	1	0.122	1.968	196.8%	0.993	99.3%	4.14164	0.067
P-0001357-T02-IM5	6	0.136	11.475	191.25%	2.468	100.756%	3.42109	-0.097
P-0001365-T01-IM3	5	0.433	8.445	168.9%	2.022	90.427%	2.10108	0.384
P-0001368-T01-IM3	1	0.292	1.924	192.4%	0.97	97.0%	3.26512	0.341
P-0001375-T01-IM3	12	0.632	15.019	125.158%	2.911	77.8%	1.15481	0.575
P-0001380-T01-IM3	4	0.383	5.938	148.45%	1.979	98.95%	3.46118	0.348
P-0001381-T01-IM3	9	0.524	13.62	151.333%	2.826	85.207%	1.67091	0.463
P-0001385-T01-IM3	13	0.359	21.316	163.969%	3.634	93.829%	2.05471	0.162
P-0001389-T01-IM3	1	0.757	1.27	127.0%	0.709	70.9%	1.00768	0.757
P-0001397-T01-IM3	15	0.605	19.662	131.08%	3.285	79.673%	1.62972	0.514
P-0001437-T01-IM3	1	0.165	1.957	195.7%	0.987	98.7%	3.83526	0.137
P-0001442-T01-IM3	4	0.379	5.999	149.975%	2.19	109.5%	19.12604	0.351
P-0001454-T01-IM3	8	0.568	11.525	144.062%	2.603	82.314%	1.54861	0.524
P-0001532-T01-IM3	2	0.205	3.784	189.2%	1.387	98.076%	3.31844	0.152
P-0001546-T02-IM5	1	0.179	1.933	193.3%	0.984	98.4%	3.40228	0.148
P-0001550-T02-IM6	18	0.66	21.097	117.206%	3.524	75.132%	1.21349	0.578
P-0001571-T01-IM3	17	0.468	24.399	143.524%	4.056	88.509%	1.73439	0.302
P-0001599-T03-IM5	9	0.436	13.883	154.256%	2.712	90.4%	2.13727	0.333
P-0001613-T02-IM5	7	0.568	8.637	123.386%	2.295	86.743%	2.22919	0.528
P-0001625-T02-IM6	1	0.407	1.608	160.8%	0.917	91.7%	1.62946	0.396
P-0001633-T01-IM3	1	0.114	1.97	197.0%	0.994	99.4%	4.20659	0.055
P-0001683-T01-IM3	4	0.697	4.636	115.9%	1.757	71.729%	1.46278	0.687
P-0001707-T01-IM3	3	0.073	5.9	196.667%	1.748	100.921%	4.13828	-0.105
P-0001722-T01-IM3	6	0.388	9.516	158.6%	2.316	94.55%	2.99346	0.322
P-0001724-T01-IM3	5	0.241	9.296	185.92%	2.173	97.18%	2.93522	0.103
P-0001750-T01-IM3	4	0.283	7.301	182.525%	1.919	95.95%	2.65533	0.201
P-0001782-T01-IM3	29	0.632	33.881	116.831%	5.657	77.705%	1.19941	0.531
P-0001787-T01-IM3	11	0.562	15.005	136.409%	2.984	82.761%	1.51905	0.493
P-0001811-T01-IM3	2	0.109	3.919	195.95%	1.41	99.702%	4.03742	-0.006
P-0001813-T02-IM3	4	0.513	6.471	161.775%	1.74	87.0%	1.69453	0.49
P-0001817-T02-IM5	6	0.785	4.828	80.467%	1.528	62.38%	1.3986	0.769
P-0001826-T01-IM3	3	0.438	3.997	133.233%	1.702	98.265%	4.88816	0.416
P-0001828-T01-IM3	8	0.427	13.453	168.162%	3.141	90.673%	2.12798	0.372
P-0001830-T02-IM5	13	0.329	21.888	168.369%	4.135	94.863%	2.10556	0.166
P-0001832-T02-IM6	2	0.38	3.715	185.75%	1.336	94.469%	2.67261	0.427
P-0001833-T01-IM3	12	0.5	18.761	156.342%	3.242	86.646%	1.70789	0.402
P-0001836-T01-IM3	22	0.55	28.419	129.177%	4.43	83.719%	1.35084	0.392
P-0001840-T02-IM5	1	0.252	1.906	190.6%	0.97	97.0%	3.05982	0.236
P-0001891-T01-IM3	9	0.348	14.942	166.022%	3.401	94.327%	2.17242	0.257
P-0001894-T01-IM3	1	0.066	1.976	197.6%	1.005	100.5%	4.4064	0.012
P-0001898-T01-IM3	2	0.158	3.834	191.7%	1.404	99.278%	4.98896	0.096
P-0001916-T01-IM3	17	0.497	24.575	144.559%	4.034	88.029%	1.64403	0.367
P-0001927-T01-IM3	8	0.373	13.59	169.875%	2.935	92.813%	1.99481	0.279
P-0001931-T01-IM3	1	0.022	1.994	199.4%	1.006	100.6%	5.8398	-0.092
P-0001944-T01-IM3	5	0.5	7.924	158.48%	1.946	87.028%	2.13379	0.46
P-0001945-T01-IM3	8	0.582	11.362	142.025%	2.571	81.302%	1.52933	0.54
P-0001955-T01-IM3	2	0.103	3.924	196.2%	1.412	99.843%	4.05069	-0.016
P-0001972-T01-IM3	8	0.639	10.389	129.862%	2.449	77.444%	1.37414	0.607
P-0001977-T01-IM3	9	0.374	14.702	163.356%	3.081	92.896%	1.92811	0.266
P-0001986-T01-IM3	7	0.336	12.22	174.571%	2.83	94.333%	2.36394	0.248
P-0001987-T01-IM3	24	0.755	24.717	102.987%	5.43	66.839%	1.30114	0.728
P-0002001-T01-IM3	8	0.594	10.699	133.738%	2.579	81.555%	2.17162	0.556
P-0002016-T01-IM3	21	0.888	19.691	93.767%	3.355	46.084%	1.12772	0.876
P-0002026-T01-IM3	12	0.617	15.778	131.483%	2.952	78.896%	1.43441	0.555
P-0002033-T01-IM3	5	0.374	8.829	176.58%	2.078	92.931%	2.47045	0.312
P-0002038-T01-IM3	5	0.404	8.596	171.92%	2.05	91.679%	2.49826	0.345
P-0002046-T01-IM3	2	0.536	2.539	126.95%	1.212	85.701%	4.0793	0.523
P-0002054-T01-IM3	18	0.469	26.494	147.189%	4.168	88.862%	1.58763	0.298
P-0002060-T01-IM3	4	0.206	6.409	160.225%	2.475	123.75%	4.85154	0.17
P-0002069-T01-IM3	3	0.299	5.423	180.767%	1.653	95.436%	3.20759	0.245
P-0002075-T01-IM3	32	0.84	28.179	88.059%	5.609	56.09%	1.03425	0.82
P-0002079-T01-IM3	6	0.704	5.505	91.75%	1.856	75.771%	1.57833	0.684
P-0002081-T01-IM3	3	0.438	3.997	133.233%	1.702	98.265%	4.80779	0.416
P-0002085-T02-IM5	7	0.679	7.172	102.457%	2.242	74.733%	3.30984	0.656
P-0002091-T01-IM3	6	0.319	10.125	168.75%	2.358	96.265%	3.06338	0.23
P-0002105-T01-IM3	34	0.903	27.98	82.294%	4.783	42.953%	0.78305	0.892
P-0002126-T01-IM3	3	0.349	5.285	176.167%	1.623	93.704%	2.54737	0.306
P-0002151-T01-IM3	8	0.586	11.07	138.375%	2.297	81.211%	1.74681	0.535
P-0002153-T01-IM3	7	0.341	12.093	172.757%	2.492	94.189%	2.2022	0.223
P-0002156-T01-IM3	8	0.329	14.007	175.088%	2.675	94.576%	2.42511	0.175
P-0002160-T01-IM3	12	0.322	20.969	174.742%	3.799	94.975%	2.20258	0.141
P-0002163-T01-IM3	20	0.631	24.435	122.175%	3.816	77.894%	1.30442	0.524
P-0002183-T01-IM3	1	0.738	1.262	126.2%	0.715	71.5%	0.997	0.737
P-0002187-T01-IM3	8	0.625	10.143	126.788%	2.208	78.065%	1.3775	0.58
P-0002207-T01-IM3	7	0.791	6.824	97.486%	2.3	63.791%	6.57277	0.782
P-0002215-T01-IM3	3	0.634	3.457	115.233%	1.341	77.423%	2.22135	0.618
P-0002218-T01-IM3	1	0.019	1.995	199.5%	1.006	100.6%	5.99567	-0.097
P-0002247-T01-IM3	17	0.407	26.879	158.112%	4.401	91.767%	1.76489	0.223
P-0002275-T01-IM3	2	0.536	2.539	126.95%	1.212	85.701%	3.96569	0.523
P-0002278-T01-IM3	4	0.46	6.028	150.7%	1.783	89.15%	2.41774	0.422
P-0002295-T01-IM3	4	0.835	2.763	69.075%	1.102	55.1%	0.68343	0.827
P-0002309-T01-IM3	5	0.463	8.39	167.8%	1.998	89.353%	2.02622	0.427
P-0002320-T01-IM3	5	0.234	9.314	186.28%	2.178	97.403%	2.7798	0.093
P-0002329-T01-IM3	5	0.307	9.128	182.56%	2.129	95.212%	2.54901	0.214
P-0002338-T01-IM3	6	0.533	8.803	146.717%	2.455	86.797%	2.90407	0.503
P-0002340-T01-IM3	6	0.458	9.789	163.15%	2.182	89.08%	1.98601	0.399
P-0002359-T01-IM3	9	0.4	14.358	159.533%	3.095	93.318%	2.29454	0.316
P-0002403-T01-IM3	7	0.774	5.476	78.229%	1.724	65.161%	1.25652	0.755
P-0002408-T01-IM3	1	0.757	1.27	127.0%	0.709	70.9%	1.00768	0.757
P-0002412-T01-IM3	6	0.418	10.333	172.217%	2.57	90.863%	2.32792	0.367
