Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000082-T01-IM3	12	0.482	18.132	151.1%	3.037	87.671%	1.74461	0.351
P-0000110-T01-IM3	14	0.373	22.578	161.271%	4.92	92.979%	1.89244	0.272
P-0000133-T01-IM3	4	0.468	6.307	157.675%	1.767	88.35%	1.93377	0.431
P-0000149-T02-IM3	3	0.272	5.362	178.733%	1.68	96.995%	2.42043	0.218
P-0000163-T02-IM3	2	0.234	3.803	190.15%	1.375	97.227%	3.05675	0.187
P-0000208-T02-IM5	3	0.361	5.151	171.7%	1.616	93.3%	2.0019	0.321
P-0000219-T01-IM3	3	0.299	5.298	176.6%	1.661	95.898%	3.52506	0.249
P-0000231-T01-IM3	1	0.044	1.98	198.0%	1.015	101.5%	4.61164	-0.002
P-0000233-T01-IM3	1	0.427	1.852	185.2%	0.939	93.9%	2.6045	0.456
P-0000239-T01-IM3	4	0.35	7.179	179.475%	1.877	93.85%	2.31807	0.296
P-0000252-T01-IM3	3	0.192	5.669	188.967%	1.708	98.611%	3.46572	0.107
P-0000260-T01-IM3	1	0.253	1.886	188.6%	0.968	96.8%	2.86237	0.233
P-0000263-T01-IM3	4	0.383	6.615	165.375%	1.853	92.65%	2.25823	0.333
P-0000280-T01-IM3	3	0.108	5.813	193.767%	1.75	101.036%	3.9622	-0.0
P-0000301-T01-IM3	1	0.216	1.925	192.5%	0.977	97.7%	3.28401	0.194
P-0000302-T02-IM6	4	0.286	7.329	183.225%	1.916	95.8%	2.6375	0.205
P-0000316-T01-IM3	4	0.219	7.393	184.825%	1.968	98.4%	3.16739	0.125
P-0000344-T01-IM3	4	0.355	7.154	178.85%	1.873	93.65%	2.69172	0.303
P-0000347-T01-IM3	4	0.184	7.561	189.025%	1.979	98.95%	3.1121	0.062
P-0000348-T01-IM3	4	0.276	7.004	175.1%	1.955	97.75%	2.80266	0.21
P-0000349-T01-IM3	7	0.538	10.55	150.714%	2.241	84.702%	1.61404	0.487
P-0000352-T01-IM3	5	0.266	9.387	187.74%	2.551	96.419%	3.10601	0.188
P-0000388-T01-IM3	9	0.339	15.291	169.9%	2.841	94.7%	2.09687	0.185
P-0000395-T01-IM3	8	0.467	12.905	161.312%	2.506	88.6%	1.8265	0.387
P-0000405-T01-IM3	12	0.459	17.831	148.592%	3.098	89.432%	1.70581	0.325
P-0000426-T01-IM3	7	0.453	11.092	158.457%	2.359	89.162%	2.22199	0.378
P-0000427-T01-IM3	11	0.453	17.371	157.918%	3.214	89.14%	1.96981	0.347
P-0000459-T01-IM3	9	0.327	16.331	181.456%	3.661	94.527%	2.56421	0.232
P-0000491-T01-IM3	23	0.594	28.702	124.791%	4.2	80.829%	1.12012	0.44
P-0000531-T01-IM3	1	0.427	1.852	185.2%	0.939	93.9%	2.6045	0.456
P-0000554-T01-IM3	20	0.657	25.257	126.285%	4.339	76.703%	1.15129	0.607
P-0000557-T01-IM3	1	0.156	1.93	193.0%	0.99	99.0%	3.34681	0.124
P-0000563-T01-IM3	3	0.508	4.807	160.233%	1.506	86.949%	1.79623	0.487
P-0000569-T01-IM3	1	0.51	1.769	176.9%	0.906	90.6%	2.15987	0.523
P-0000580-T01-IM3	10	0.406	16.764	167.64%	3.168	91.452%	2.01106	0.293
P-0000583-T01-IM3	10	0.478	15.22	152.2%	2.778	87.848%	1.8247	0.374
P-0000594-T01-IM3	3	0.676	4.412	147.067%	1.368	78.982%	1.36523	0.679
P-0000602-T01-IM3	18	0.485	26.827	149.039%	5.256	87.6%	1.61464	0.4
P-0000604-T01-IM3	4	0.301	6.911	172.775%	1.931	96.55%	2.76935	0.239
