Samples	SBS96A	SBS96B
P-0000596-T01-IM3	4.33E-01	4.33E-01
P-0000686-T01-IM3	1.34E+00	1.34E+00
P-0000893-T01-IM3	1.07E-01	1.07E-01
P-0000895-T01-IM3	1.22E-01	1.22E-01
P-0000898-T01-IM3	1.87E-01	1.87E-01
P-0000922-T01-IM3	1.16E-01	1.16E-01
P-0001251-T01-IM3	6.03E-01	6.03E-01
P-0001485-T01-IM3	6.37E-01	6.37E-01
P-0001530-T01-IM3	2.32E-01	2.33E-01
P-0001560-T01-IM3	3.98E-01	4.00E-01
P-0001603-T01-IM3	3.03E-01	3.03E-01
P-0001646-T01-IM3	1.00E-02	1.00E-02
P-0001706-T01-IM3	1.98E-01	2.00E-01
P-0001710-T01-IM3	2.27E-01	2.27E-01
P-0001756-T02-IM6	5.10E-01	5.10E-01
P-0001773-T01-IM3	2.09E-01	2.09E-01
P-0001841-T01-IM3	2.36E-01	2.36E-01
P-0002018-T01-IM3	1.34E-01	1.34E-01
P-0002157-T01-IM3	3.80E-01	3.79E-01
P-0002353-T01-IM3	2.05E-01	2.05E-01
P-0002380-T01-IM3	3.17E-01	3.17E-01
P-0002418-T01-IM3	1.03E-01	1.03E-01
P-0002437-T01-IM3	3.17E-01	3.17E-01
P-0002440-T01-IM3	2.35E-01	2.35E-01
P-0002490-T01-IM3	9.64E-01	9.63E-01
P-0002504-T01-IM3	2.48E-01	2.48E-01
P-0003010-T01-IM3	1.26E-01	1.26E-01
P-0003062-T01-IM5	3.12E-01	3.14E-01
P-0003069-T01-IM5	4.54E-01	4.54E-01
P-0003199-T01-IM5	5.02E-02	5.02E-02
P-0003225-T01-IM5	1.65E-01	1.65E-01
P-0003255-T01-IM5	1.96E-01	1.96E-01
P-0003358-T01-IM5	3.32E-01	3.32E-01
P-0003372-T01-IM5	2.23E-02	2.23E-02
P-0003560-T01-IM5	2.24E-01	2.24E-01
P-0003609-T01-IM5	1.64E-01	1.64E-01
P-0003620-T02-IM5	2.97E-01	2.96E-01
P-0003621-T01-IM5	4.08E-02	4.08E-02
P-0003700-T01-IM5	1.52E-01	1.52E-01
P-0003728-T01-IM5	3.92E-01	3.92E-01
P-0003742-T01-IM5	2.05E-01	2.05E-01
P-0003743-T01-IM5	1.92E-01	1.92E-01
P-0003868-T01-IM5	2.46E-01	2.45E-01
P-0003871-T01-IM5	7.73E-01	7.73E-01
P-0003872-T01-IM5	3.77E-01	3.77E-01
P-0003921-T01-IM5	2.64E-01	2.63E-01
P-0003966-T01-IM5	1.54E-01	1.54E-01
P-0004048-T01-IM5	9.84E-02	9.84E-02
P-0004142-T01-IM5	3.24E-01	3.24E-01
P-0004203-T01-IM5	2.57E-01	2.57E-01
P-0004214-T01-IM5	3.39E-01	3.39E-01
P-0004236-T01-IM5	2.92E-01	2.91E-01
P-0004253-T01-IM5	1.44E-01	1.44E-01
P-0004272-T01-IM5	2.50E-01	2.50E-01
P-0004348-T01-IM5	2.72E-01	2.72E-01
P-0004349-T01-IM5	2.20E-01	2.20E-01
P-0004437-T01-IM5	1.98E-01	1.98E-01
P-0004457-T01-IM5	4.22E-01	4.22E-01
P-0004518-T01-IM5	3.05E-01	3.05E-01
P-0004650-T01-IM5	5.37E-01	5.37E-01
P-0004700-T02-IM5	1.51E-01	1.51E-01
P-0004914-T01-IM5	3.06E-01	3.06E-01
P-0004933-T02-IM6	3.37E-01	3.37E-01
P-0004952-T01-IM5	4.86E-01	4.86E-01
