Samples	SBS96A	SBS96B	SBS96C
P-0000596-T01-IM3	1.14E+00	1.12E+00	3.67E-01
P-0000686-T01-IM3	3.75E+00	3.80E+00	1.14E+00
P-0000893-T01-IM3	1.27E-01	1.68E-01	1.94E-01
P-0000895-T01-IM3	1.46E-01	1.31E-01	1.03E-01
P-0000898-T01-IM3	1.74E-01	1.58E-01	1.77E-01
P-0000922-T01-IM3	1.20E-01	1.14E-01	1.16E-01
P-0001251-T01-IM3	1.77E+00	1.73E+00	4.71E-01
P-0001485-T01-IM3	1.59E+00	1.56E+00	4.46E-01
P-0001530-T01-IM3	2.56E-01	3.11E-01	2.45E-01
P-0001560-T01-IM3	5.59E-01	5.75E-01	3.90E-01
P-0001603-T01-IM3	4.61E-01	4.92E-01	2.70E-01
P-0001646-T01-IM3	1.41E-02	2.39E-02	2.73E-02
P-0001706-T01-IM3	6.32E-01	6.17E-01	1.51E-01
P-0001710-T01-IM3	3.08E-01	3.15E-01	3.94E-01
P-0001756-T02-IM6	1.45E+00	1.42E+00	3.59E-01
P-0001773-T01-IM3	4.18E-01	4.00E-01	2.26E-01
P-0001841-T01-IM3	2.21E-01	2.13E-01	2.09E-01
P-0002018-T01-IM3	2.33E-01	2.39E-01	1.38E-01
P-0002157-T01-IM3	6.03E-01	6.04E-01	3.98E-01
P-0002353-T01-IM3	5.34E-01	5.33E-01	1.29E-01
P-0002380-T01-IM3	2.47E-01	2.93E-01	2.73E-01
P-0002418-T01-IM3	1.30E-01	1.25E-01	1.04E-01
P-0002437-T01-IM3	2.74E-01	3.11E-01	2.60E-01
P-0002440-T01-IM3	6.36E-01	6.49E-01	1.79E-01
P-0002490-T01-IM3	2.96E+00	2.93E+00	4.65E-01
P-0002504-T01-IM3	1.07E+00	1.10E+00	1.22E-01
P-0003010-T01-IM3	1.56E-01	1.61E-01	1.17E-01
P-0003062-T01-IM5	3.89E-01	4.15E-01	2.63E-01
P-0003069-T01-IM5	1.15E+00	1.13E+00	3.10E-01
P-0003199-T01-IM5	4.85E-02	4.56E-02	4.76E-02
P-0003225-T01-IM5	3.01E-01	2.98E-01	1.33E-01
P-0003255-T01-IM5	2.86E-01	2.46E-01	1.83E-01
P-0003358-T01-IM5	3.54E-01	3.47E-01	3.42E-01
P-0003372-T01-IM5	2.43E-02	5.45E-02	5.84E-02
P-0003560-T01-IM5	1.41E+00	1.39E+00	1.26E-01
P-0003609-T01-IM5	1.70E-01	1.82E-01	1.88E-01
P-0003620-T02-IM5	5.94E-01	6.03E-01	1.53E-01
P-0003621-T01-IM5	3.83E-02	7.70E-02	8.31E-02
P-0003700-T01-IM5	2.06E-01	1.88E-01	1.24E-01
