Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000596-T01-IM3	12	7	20	0
P-0000686-T01-IM3	68	45	44	7
P-0000893-T01-IM3	0	0	0	5
P-0000895-T01-IM3	4	0	0	0
P-0000898-T01-IM3	1	0	0	4
P-0000922-T01-IM3	0	2	0	2
P-0001251-T01-IM3	25	37	12	0
P-0001485-T01-IM3	26	20	24	0
P-0001530-T01-IM3	0	0	9	0
P-0001560-T01-IM3	1	22	2	0
P-0001603-T01-IM3	3	17	0	0
P-0001646-T01-IM3	0	0	0	1
P-0001706-T01-IM3	7	0	14	0
P-0001710-T01-IM3	4	0	0	10
P-0001756-T02-IM6	12	20	22	0
P-0001773-T01-IM3	3	2	6	3
P-0001841-T01-IM3	2	0	1	5
P-0002018-T01-IM3	0	5	0	1
P-0002157-T01-IM3	5	14	4	0
P-0002353-T01-IM3	7	4	7	0
P-0002380-T01-IM3	0	2	3	5
P-0002418-T01-IM3	1	2	0	0
P-0002437-T01-IM3	2	0	5	5
P-0002440-T01-IM3	5	3	13	0
P-0002490-T01-IM3	41	48	23	0
P-0002504-T01-IM3	21	1	14	0
P-0003010-T01-IM3	1	0	3	0
P-0003062-T01-IM5	15	0	4	1
P-0003069-T01-IM5	4	23	10	0
P-0003199-T01-IM5	0	0	0	1
P-0003225-T01-IM5	6	4	0	0
P-0003255-T01-IM5	6	0	0	3
P-0003358-T01-IM5	4	11	0	0
P-0003372-T01-IM5	0	0	0	2
P-0003560-T01-IM5	41	0	5	0
P-0003609-T01-IM5	3	0	0	3
P-0003620-T02-IM5	19	1	2	1
P-0003621-T01-IM5	0	0	0	3
P-0003700-T01-IM5	2	3	0	0
P-0003728-T01-IM5	30	0	22	0
P-0003742-T01-IM5	0	0	5	2
P-0003743-T01-IM5	2	0	6	1
P-0003868-T01-IM5	2	0	3	5
P-0003871-T01-IM5	32	33	31	0
P-0003872-T01-IM5	0	8	13	1
P-0003921-T01-IM5	7	0	4	4
P-0003966-T01-IM5	1	2	2	2
P-0004048-T01-IM5	0	3	0	0
P-0004142-T01-IM5	14	11	0	2
P-0004203-T01-IM5	0	8	1	0
P-0004214-T01-IM5	12	4	21	0
P-0004236-T01-IM5	3	7	6	2
P-0004253-T01-IM5	5	0	2	2
P-0004272-T01-IM5	1	7	0	1
P-0004348-T01-IM5	20	4	0	0
P-0004349-T01-IM5	3	0	0	4
P-0004437-T01-IM5	5	10	0	0
P-0004457-T01-IM5	20	21	0	0
P-0004518-T01-IM5	19	0	6	0
P-0004650-T01-IM5	28	13	20	0
P-0004700-T02-IM5	3	3	0	0
P-0004914-T01-IM5	8	3	14	0
P-0004933-T02-IM6	1	4	12	0
P-0004952-T01-IM5	10	23	4	0
P-0005039-T01-IM5	14	2	14	0
P-0005053-T01-IM5	7	5	0	0
P-0005062-T01-IM5	0	0	0	1
P-0005109-T01-IM5	1	9	7	0
P-0005118-T01-IM5	9	0	10	0
P-0005129-T01-IM5	5	3	0	1
P-0005144-T01-IM5	6	0	0	1
P-0005146-T01-IM5	0	0	8	0
P-0005159-T01-IM5	22	58	11	11
P-0005222-T01-IM5	8	5	0	3
P-0005228-T01-IM5	38	35	20	0
P-0005241-T01-IM5	2	0	0	0
P-0005260-T01-IM5	3	4	0	2
P-0005352-T01-IM5	5	1	3	1
P-0005366-T01-IM5	77	37	41	0
P-0005370-T01-IM5	10	0	0	5
P-0005383-T01-IM5	3	15	3	0
P-0005421-T01-IM5	11	0	0	6
P-0005461-T02-IM5	1	1	0	0
P-0005493-T01-IM5	4	0	0	4
P-0005583-T01-IM5	2	0	0	2
P-0005604-T01-IM5	1	5	1	0
P-0005673-T01-IM5	0	6	4	2
P-0005725-T01-IM5	13	0	12	0
P-0005733-T02-IM5	8	9	0	3
P-0005769-T01-IM5	3	1	0	2
P-0005928-T01-IM5	11	4	4	1
P-0005971-T01-IM5	0	1	3	2
P-0006034-T01-IM5	14	10	26	0
P-0006155-T02-IM5	21	51	9	0
P-0006177-T01-IM5	24	9	10	0
