Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000596-T01-IM3	7.61E-01	8.50E-01	8.61E-01	2.42E-01
P-0000686-T01-IM3	2.36E+00	2.69E+00	2.35E+00	9.40E-01
P-0000893-T01-IM3	8.39E-02	1.39E-01	1.37E-01	1.94E-01
P-0000895-T01-IM3	1.45E-01	1.13E-01	1.25E-01	7.91E-02
P-0000898-T01-IM3	1.65E-01	1.10E-01	1.55E-01	1.59E-01
P-0000922-T01-IM3	1.14E-01	1.12E-01	7.78E-02	1.12E-01
P-0001251-T01-IM3	1.10E+00	1.31E+00	1.25E+00	3.04E-01
P-0001485-T01-IM3	1.07E+00	1.27E+00	1.20E+00	4.35E-01
P-0001530-T01-IM3	1.50E-01	2.51E-01	2.66E-01	1.73E-01
P-0001560-T01-IM3	4.81E-01	5.66E-01	4.22E-01	3.50E-01
P-0001603-T01-IM3	4.24E-01	4.37E-01	3.43E-01	2.07E-01
P-0001646-T01-IM3	1.41E-02	2.88E-02	1.41E-02	3.38E-02
P-0001706-T01-IM3	5.06E-01	4.39E-01	5.28E-01	1.16E-01
P-0001710-T01-IM3	2.41E-01	3.13E-01	3.29E-01	4.19E-01
P-0001756-T02-IM6	9.23E-01	1.14E+00	9.86E-01	3.62E-01
P-0001773-T01-IM3	3.21E-01	3.23E-01	3.26E-01	1.79E-01
P-0001841-T01-IM3	2.04E-01	1.75E-01	1.74E-01	2.10E-01
P-0002018-T01-IM3	2.06E-01	2.43E-01	1.43E-01	1.20E-01
P-0002157-T01-IM3	4.96E-01	4.68E-01	4.50E-01	2.93E-01
P-0002353-T01-IM3	4.65E-01	4.42E-01	4.10E-01	1.54E-01
P-0002380-T01-IM3	2.09E-01	2.71E-01	2.36E-01	2.60E-01
P-0002418-T01-IM3	1.19E-01	1.19E-01	9.54E-02	6.79E-02
P-0002437-T01-IM3	2.28E-01	2.69E-01	2.99E-01	2.55E-01
P-0002440-T01-IM3	4.21E-01	4.69E-01	5.08E-01	1.43E-01
P-0002490-T01-IM3	2.01E+00	2.30E+00	1.85E+00	4.57E-01
P-0002504-T01-IM3	8.46E-01	7.90E-01	6.52E-01	1.44E-01
P-0003010-T01-IM3	1.24E-01	1.48E-01	1.40E-01	8.70E-02
P-0003062-T01-IM5	4.39E-01	3.78E-01	3.47E-01	1.90E-01
P-0003069-T01-IM5	7.43E-01	9.46E-01	8.41E-01	2.10E-01
P-0003199-T01-IM5	4.29E-02	4.02E-02	4.76E-02	4.16E-02
P-0003225-T01-IM5	2.87E-01	2.83E-01	2.34E-01	1.39E-01
P-0003255-T01-IM5	2.55E-01	1.80E-01	1.59E-01	1.34E-01
P-0003358-T01-IM5	3.13E-01	3.56E-01	2.89E-01	3.16E-01
P-0003372-T01-IM5	2.23E-02	5.56E-02	4.93E-02	7.12E-02
P-0003560-T01-IM5	1.12E+00	1.05E+00	9.05E-01	1.48E-01
P-0003609-T01-IM5	1.68E-01	1.54E-01	1.17E-01	1.77E-01
P-0003620-T02-IM5	4.75E-01	5.32E-01	3.17E-01	2.06E-01
P-0003621-T01-IM5	5.75E-02	7.11E-02	6.22E-02	1.04E-01
P-0003700-T01-IM5	1.83E-01	1.93E-01	1.12E-01	1.02E-01
P-0003728-T01-IM5	9.14E-01	9.47E-01	8.34E-01	2.75E-01
P-0003742-T01-IM5	1.56E-01	2.06E-01	2.22E-01	1.66E-01
P-0003743-T01-IM5	2.53E-01	1.97E-01	2.65E-01	1.70E-01
P-0003868-T01-IM5	2.39E-01	2.06E-01	2.08E-01	1.85E-01
P-0003871-T01-IM5	1.74E+00	2.01E+00	1.56E+00	2.76E-01
P-0003872-T01-IM5	4.37E-01	5.22E-01	5.54E-01	2.02E-01
P-0003921-T01-IM5	3.03E-01	2.45E-01	2.88E-01	1.93E-01
P-0003966-T01-IM5	2.08E-01	2.45E-01	1.91E-01	1.20E-01
P-0004048-T01-IM5	1.18E-01	1.14E-01	7.78E-02	7.45E-02
P-0004142-T01-IM5	6.30E-01	5.49E-01	4.71E-01	2.52E-01
P-0004203-T01-IM5	1.32E-01	2.92E-01	2.92E-01	2.13E-01
P-0004214-T01-IM5	8.71E-01	8.61E-01	8.61E-01	1.71E-01
P-0004236-T01-IM5	3.46E-01	3.96E-01	3.59E-01	2.33E-01
P-0004253-T01-IM5	2.52E-01	2.00E-01	1.93E-01	1.19E-01
P-0004272-T01-IM5	2.15E-01	2.67E-01	1.89E-01	1.93E-01
P-0004348-T01-IM5	5.10E-01	4.89E-01	3.62E-01	1.89E-01
P-0004349-T01-IM5	1.87E-01	1.55E-01	1.64E-01	1.61E-01
P-0004437-T01-IM5	3.82E-01	3.68E-01	2.68E-01	1.64E-01
P-0004457-T01-IM5	9.77E-01	1.10E+00	7.93E-01	2.36E-01
P-0004518-T01-IM5	5.50E-01	5.37E-01	4.28E-01	2.52E-01
P-0004650-T01-IM5	1.24E+00	1.35E+00	1.21E+00	2.30E-01
P-0004700-T02-IM5	2.04E-01	2.20E-01	1.61E-01	8.57E-02
P-0004914-T01-IM5	5.14E-01	6.57E-01	5.90E-01	1.55E-01
P-0004933-T02-IM6	2.41E-01	3.85E-01	3.44E-01	2.67E-01
P-0004952-T01-IM5	6.96E-01	7.39E-01	5.38E-01	2.95E-01
P-0005039-T01-IM5	5.78E-01	6.39E-01	5.33E-01	1.68E-01
P-0005053-T01-IM5	4.05E-01	4.10E-01	2.36E-01	1.11E-01
P-0005062-T01-IM5	1.41E-02	2.88E-02	1.41E-02	3.38E-02
P-0005109-T01-IM5	3.97E-01	4.91E-01	4.30E-01	1.13E-01
P-0005118-T01-IM5	4.46E-01	4.30E-01	4.62E-01	1.41E-01
P-0005129-T01-IM5	2.63E-01	2.44E-01	1.67E-01	1.73E-01
P-0005144-T01-IM5	2.11E-01	2.35E-01	1.50E-01	2.19E-01
P-0005146-T01-IM5	1.44E-01	2.24E-01	2.54E-01	2.10E-01
P-0005159-T01-IM5	9.87E-01	1.05E+00	1.01E+00	8.67E-01
P-0005222-T01-IM5	4.18E-01	3.78E-01	3.08E-01	1.78E-01
P-0005228-T01-IM5	1.58E+00	1.76E+00	1.33E+00	5.00E-01
P-0005241-T01-IM5	8.73E-02	8.66E-02	7.70E-02	1.00E-02
P-0005260-T01-IM5	2.95E-01	2.96E-01	1.63E-01	1.33E-01
P-0005352-T01-IM5	2.68E-01	2.71E-01	2.33E-01	1.66E-01
P-0005366-T01-IM5	2.73E+00	3.08E+00	2.56E+00	4.27E-01
P-0005370-T01-IM5	3.96E-01	3.26E-01	2.71E-01	2.72E-01
P-0005383-T01-IM5	4.99E-01	5.67E-01	4.72E-01	1.37E-01
P-0005421-T01-IM5	3.38E-01	3.11E-01	2.63E-01	2.46E-01
P-0005461-T02-IM5	8.42E-02	9.30E-02	5.91E-02	5.39E-02
P-0005493-T01-IM5	2.39E-01	1.75E-01	1.57E-01	1.98E-01
P-0005583-T01-IM5	1.39E-01	9.39E-02	5.10E-02	1.02E-01
P-0005604-T01-IM5	2.41E-01	2.48E-01	2.27E-01	7.29E-02
P-0005673-T01-IM5	2.34E-01	3.36E-01	2.76E-01	1.44E-01
P-0005725-T01-IM5	5.29E-01	5.34E-01	5.13E-01	1.88E-01
P-0005733-T02-IM5	5.17E-01	5.26E-01	3.93E-01	1.79E-01
P-0005769-T01-IM5	1.82E-01	1.72E-01	1.48E-01	1.34E-01
P-0005928-T01-IM5	4.48E-01	3.94E-01	3.97E-01	2.69E-01
P-0005971-T01-IM5	7.34E-02	1.85E-01	2.01E-01	1.63E-01
P-0006034-T01-IM5	7.79E-01	9.11E-01	9.21E-01	3.99E-01
P-0006155-T02-IM5	1.45E+00	1.62E+00	1.19E+00	4.07E-01
P-0006177-T01-IM5	1.12E+00	1.14E+00	8.65E-01	3.71E-02
P-0006192-T01-IM5	2.83E-01	3.10E-01	2.68E-01	8.68E-02
P-0006193-T01-IM5	2.82E-01	2.91E-01	2.14E-01	1.80E-01
P-0006267-T01-IM5	5.36E-01	5.67E-01	4.41E-01	3.31E-01
P-0006339-T01-IM5	1.28E+00	1.23E+00	8.62E-01	3.03E-01
P-0006407-T01-IM5	7.57E-01	9.16E-01	8.66E-01	2.24E-01
P-0006423-T01-IM5	3.09E-01	3.11E-01	2.24E-01	1.85E-01
