Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000596-T01-IM3	39	0.92	28.422	72.877%	5.554	41.283%	0.63378	0.913
P-0000686-T01-IM3	164	0.965	75.086	45.784%	13.557	26.496%	0.37121	0.961
P-0000893-T01-IM3	5	0.074	9.739	194.78%	2.75	103.94%	3.68949	-0.033
P-0000895-T01-IM3	4	0.533	5.144	128.6%	1.821	91.05%	2.22991	0.51
P-0000898-T01-IM3	5	0.382	8.14	162.8%	2.446	92.45%	2.67018	0.336
P-0000922-T01-IM3	4	0.728	5.724	143.1%	1.528	76.4%	1.47008	0.744
P-0001251-T01-IM3	74	0.952	39.525	53.412%	6.941	30.735%	0.36286	0.946
P-0001485-T01-IM3	70	0.944	40.244	57.491%	7.443	33.353%	0.41698	0.937
P-0001530-T01-IM3	9	0.776	9.219	102.433%	2.302	63.846%	1.37871	0.759
P-0001560-T01-IM3	25	0.78	23.251	93.004%	4.886	64.717%	1.23892	0.749
P-0001603-T01-IM3	20	0.908	15.066	75.33%	3.168	43.111%	0.71086	0.9
P-0001646-T01-IM3	1	0.752	1.708	170.8%	0.864	86.4%	1.92409	0.825
P-0001706-T01-IM3	21	0.678	21.364	101.733%	5.498	74.135%	0.83779	0.642
P-0001710-T01-IM3	14	0.306	21.663	154.736%	6.631	95.71%	2.18504	0.239
P-0001756-T02-IM6	54	0.932	33.888	62.756%	5.981	36.535%	0.49515	0.923
P-0001773-T01-IM3	14	0.873	12.553	89.664%	2.799	54.893%	0.80668	0.872
P-0001841-T01-IM3	8	0.567	11.065	138.312%	2.331	82.413%	1.81708	0.51
P-0002018-T01-IM3	6	0.838	7.994	133.233%	2.601	69.515%	1.12877	0.854
P-0002157-T01-IM3	23	0.867	18.51	80.478%	3.764	49.855%	0.94141	0.851
P-0002353-T01-IM3	18	0.918	10.986	61.033%	2.681	41.369%	0.49188	0.912
P-0002380-T01-IM3	10	0.597	13.401	134.01%	2.79	80.54%	1.56304	0.546
P-0002418-T01-IM3	3	0.566	4.16	138.667%	1.428	82.446%	2.17754	0.547
P-0002437-T01-IM3	12	0.611	14.446	120.383%	2.75	79.386%	1.58411	0.535
P-0002440-T01-IM3	21	0.851	15.183	72.3%	3.613	52.701%	0.62498	0.833
P-0002490-T01-IM3	112	0.97	51.889	46.329%	9.763	25.89%	0.29271	0.967
P-0002504-T01-IM3	36	0.944	19.864	55.178%	4.205	33.243%	0.39993	0.939
P-0003010-T01-IM3	4	0.603	5.426	135.65%	1.601	80.05%	1.77948	0.58
P-0003062-T01-IM5	20	0.857	16.606	83.03%	3.865	52.596%	0.85364	0.845
P-0003069-T01-IM5	37	0.923	24.983	67.522%	5.16	40.666%	0.51916	0.917
P-0003199-T01-IM5	1	0.036	1.986	198.6%	1.012	101.2%	4.97531	-0.021
P-0003225-T01-IM5	10	0.842	9.232	92.32%	2.564	54.665%	0.94128	0.834
P-0003255-T01-IM5	9	0.864	9.71	107.889%	2.226	53.988%	1.22418	0.859
P-0003358-T01-IM5	15	0.69	16.763	111.753%	3.61	78.777%	1.74358	0.651
P-0003372-T01-IM5	2	0.542	3.404	170.2%	1.247	88.176%	3.17932	0.554
P-0003560-T01-IM5	46	0.949	26.03	56.587%	5.902	31.914%	0.44878	0.945
P-0003609-T01-IM5	6	0.658	8.628	143.8%	2.158	76.297%	2.18808	0.639
P-0003620-T02-IM5	23	0.949	14.397	62.596%	3.388	33.063%	0.59154	0.946
P-0003621-T01-IM5	3	0.667	4.654	155.133%	1.412	81.522%	1.7991	0.686
P-0003700-T01-IM5	5	0.738	6.15	123.0%	1.818	68.714%	1.99821	0.728
P-0003728-T01-IM5	52	0.936	29.38	56.5%	5.795	36.078%	0.47119	0.929
P-0003742-T01-IM5	7	0.76	9.02	128.857%	2.097	69.9%	1.40601	0.756
