NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	19.228	97.971	5.248	63.106	1.037	0.723	20000.0
2	17.934	90.038	4.725	57.97	1.023	0.76	20000.0
3	19.37	98.613	5.249	63.241	1.068	0.717	20000.0
4	18.433	93.762	4.944	60.969	1.078	0.722	30000.0
5	19.134	97.296	5.17	62.611	1.056	0.723	30000.0
6	17.842	89.461	4.67	57.006	1.007	0.766	20000.0
7	19.743	98.862	5.287	62.647	1.061	0.721	20000.0
8	18.973	94.305	5.047	60.19	1.011	0.747	30000.0
9	19.59	99.303	5.367	64.391	1.039	0.708	30000.0
10	19.025	94.8	5.174	61.86	1.036	0.733	30000.0
11	18.793	95.651	5.072	60.993	1.04	0.733	50000.0
12	19.076	95.411	5.09	61.738	1.065	0.73	30000.0
13	18.505	93.427	4.974	60.469	1.038	0.74	20000.0
14	18.731	94.283	5.101	61.473	1.02	0.736	20000.0
15	19.053	96.017	5.175	62.026	1.016	0.732	30000.0
16	18.157	91.189	4.798	58.442	1.021	0.759	40000.0
17	19.326	98.027	5.259	63.061	1.038	0.72	30000.0
18	19.217	97.67	5.241	63.911	1.09	0.701	20000.0
19	19.365	97.363	5.195	62.129	1.042	0.726	50000.0
20	18.463	93.438	4.943	60.32	1.049	0.739	40000.0
21	18.831	93.868	5.038	60.083	1.019	0.743	30000.0
22	19.094	97.27	5.074	61.709	1.054	0.729	20000.0
23	18.847	95.283	5.037	61.207	1.034	0.739	50000.0
24	19.022	95.075	5.111	61.064	1.012	0.736	20000.0
25	19.079	95.822	5.154	61.629	1.008	0.738	30000.0
26	18.721	94.904	4.949	60.907	1.075	0.729	30000.0
27	18.448	93.277	4.922	59.705	1.019	0.748	30000.0
28	19.009	96.335	5.138	62.116	1.061	0.726	20000.0
29	18.986	95.832	5.113	61.089	1.028	0.737	20000.0
30	19.123	95.912	5.112	61.217	1.043	0.734	20000.0
31	18.7	94.67	5.068	60.908	1.02	0.741	20000.0
32	18.468	94.76	4.888	60.1	1.04	0.742	20000.0
33	18.405	93.361	4.919	59.988	1.036	0.739	20000.0
34	19.489	99.279	5.252	62.836	1.054	0.713	20000.0
35	19.49	98.819	5.298	63.836	1.058	0.706	40000.0
36	19.167	97.198	5.166	62.05	1.032	0.73	20000.0
37	18.821	94.89	5.06	61.108	1.037	0.735	20000.0
38	19.052	94.61	5.099	60.724	1.011	0.731	20000.0
39	19.382	98.088	5.26	63.007	1.045	0.717	30000.0
40	18.396	93.107	4.939	60.583	1.035	0.741	30000.0
41	18.867	95.259	5.045	61.103	1.037	0.731	30000.0
42	18.664	95.055	5.123	61.83	1.054	0.731	20000.0
43	19.218	97.312	5.14	62.266	1.082	0.728	20000.0
44	18.519	93.559	4.923	61.015	1.055	0.741	20000.0
45	18.678	94.01	5.023	61.112	1.046	0.74	40000.0
46	18.187	91.921	4.869	59.216	1.028	0.743	20000.0
47	19.194	98.202	5.229	62.591	1.055	0.719	50000.0
48	18.621	94.267	4.976	60.262	1.012	0.744	20000.0
49	19.552	97.48	5.235	62.119	1.04	0.733	60000.0
50	19.023	94.991	5.164	61.505	1.035	0.74	20000.0
