Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000596-T01-IM3	39	0.934	21.713	55.674%	4.842	35.99%	0.74141	0.928
P-0000686-T01-IM3	164	0.94	88.578	54.011%	19.819	38.734%	0.43441	0.934
P-0000893-T01-IM3	5	0.064	9.794	195.88%	2.684	101.446%	4.38736	-0.14
P-0000895-T01-IM3	4	0.649	4.088	102.2%	1.59	79.5%	10.04153	0.632
P-0000898-T01-IM3	5	0.153	9.411	188.22%	2.641	99.82%	3.49923	0.036
P-0000922-T01-IM3	4	0.566	4.84	121.0%	1.67	83.5%	2.90226	0.541
P-0001251-T01-IM3	74	0.894	49.772	67.259%	10.152	44.954%	0.53046	0.88
P-0001485-T01-IM3	70	0.95	34.918	49.883%	7.628	34.182%	0.62161	0.945
P-0001530-T01-IM3	9	0.661	10.245	113.833%	2.711	75.19%	1.48289	0.631
P-0001560-T01-IM3	25	0.713	27.155	108.62%	5.323	70.505%	1.19716	0.668
P-0001603-T01-IM3	20	0.845	15.773	78.865%	3.951	53.766%	0.96124	0.831
P-0001646-T01-IM3	1	0.031	1.992	199.2%	1.004	100.4%	5.49453	-0.078
P-0001706-T01-IM3	21	0.605	25.828	122.99%	5.907	79.65%	1.18862	0.555
P-0001710-T01-IM3	14	0.268	23.254	166.1%	6.697	96.663%	2.59865	0.184
P-0001756-T02-IM6	54	0.94	28.182	52.189%	6.546	39.986%	2.20049	0.935
P-0001773-T01-IM3	14	0.851	10.083	72.021%	2.677	52.5%	1.00843	0.837
P-0001841-T01-IM3	8	0.522	10.984	137.3%	2.471	87.363%	2.20345	0.462
P-0002018-T01-IM3	6	0.742	7.277	121.283%	2.6	69.488%	1.58092	0.736
P-0002157-T01-IM3	23	0.85	16.762	72.878%	4.095	54.24%	1.16891	0.834
P-0002353-T01-IM3	18	0.91	9.572	53.178%	2.692	41.538%	0.41069	0.902
P-0002380-T01-IM3	10	0.472	14.433	144.33%	3.081	88.941%	2.20394	0.392
P-0002418-T01-IM3	3	0.493	4.256	141.867%	1.517	87.584%	4.15271	0.468
P-0002437-T01-IM3	12	0.564	16.084	134.033%	2.888	83.369%	1.76574	0.475
P-0002440-T01-IM3	21	0.813	17.883	85.157%	4.006	58.434%	0.80847	0.79
P-0002490-T01-IM3	112	0.938	54.582	48.734%	13.095	34.726%	0.34669	0.932
P-0002504-T01-IM3	36	0.888	18.417	51.158%	6.023	47.616%	0.47169	0.878
P-0003010-T01-IM3	4	0.539	4.991	124.775%	1.714	85.7%	2.03188	0.512
P-0003062-T01-IM5	20	0.71	20.105	100.525%	5.198	70.736%	1.13876	0.68
P-0003069-T01-IM5	37	0.923	20.45	55.27%	4.895	38.578%	0.56951	0.915
P-0003199-T01-IM5	1	0.037	1.99	199.0%	1.004	100.4%	5.34142	-0.069
P-0003225-T01-IM5	10	0.885	6.833	68.33%	2.218	47.288%	1.02043	0.879
P-0003255-T01-IM5	9	0.655	10.732	119.244%	3.236	78.485%	2.10699	0.634
P-0003358-T01-IM5	15	0.615	18.792	125.28%	3.707	80.893%	1.77831	0.556
P-0003372-T01-IM5	2	0.048	3.965	198.25%	1.426	100.833%	4.73645	-0.105
P-0003560-T01-IM5	46	0.853	31.876	69.296%	9.669	52.284%	0.67562	0.842
P-0003609-T01-IM5	6	0.534	8.018	133.633%	2.644	93.48%	9.1738	0.509
P-0003620-T02-IM5	23	0.896	17.124	74.452%	4.571	44.608%	0.75423	0.89
P-0003621-T01-IM5	3	0.139	5.812	193.733%	1.722	99.42%	3.75195	0.001
P-0003700-T01-IM5	5	0.688	6.085	121.7%	1.921	72.607%	2.74373	0.673
P-0003728-T01-IM5	52	0.852	36.936	71.031%	9.619	59.885%	0.65034	0.838
P-0003742-T01-IM5	7	0.574	8.367	119.529%	2.495	83.167%	1.83478	0.54
P-0003743-T01-IM5	9	0.69	8.584	95.378%	2.616	72.555%	1.12189	0.664
P-0003868-T01-IM5	10	0.634	11.558	115.58%	2.471	78.14%	1.63626	0.58
P-0003871-T01-IM5	96	0.926	47.166	49.131%	12.676	39.535%	0.36703	0.919
