Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000596-T01-IM3	39	0.899	27.9	71.538%	5.904	43.884%	0.68233	0.888
P-0000686-T01-IM3	164	0.967	68.616	41.839%	13.033	25.472%	0.35231	0.963
P-0000893-T01-IM3	5	0.007	9.956	199.12%	3.045	115.09%	5.45786	-0.062
P-0000895-T01-IM3	4	0.476	5.673	141.825%	1.779	88.95%	2.42846	0.442
P-0000898-T01-IM3	5	0.211	8.314	166.28%	2.762	104.394%	3.0729	0.159
P-0000922-T01-IM3	4	0.579	5.169	129.225%	1.632	81.6%	2.04513	0.554
P-0001251-T01-IM3	74	0.944	40.435	54.642%	7.571	33.525%	0.38631	0.937
P-0001485-T01-IM3	70	0.942	40.217	57.453%	7.498	33.599%	0.43946	0.935
P-0001530-T01-IM3	9	0.461	12.311	136.789%	3.378	93.689%	1.79126	0.413
P-0001560-T01-IM3	25	0.729	23.112	92.448%	5.589	74.028%	1.21175	0.695
P-0001603-T01-IM3	20	0.864	14.179	70.895%	3.711	50.5%	0.74916	0.851
P-0001646-T01-IM3	1	0.043	1.974	197.4%	1.033	103.3%	4.33069	0.01
P-0001706-T01-IM3	21	0.638	21.031	100.148%	5.956	80.311%	0.85936	0.6
P-0001710-T01-IM3	14	0.176	22.642	161.729%	7.475	107.892%	3.23993	0.116
P-0001756-T02-IM6	54	0.909	35.595	65.917%	7.007	42.802%	0.54701	0.898
P-0001773-T01-IM3	14	0.831	11.013	78.664%	2.836	55.619%	0.78067	0.815
P-0001841-T01-IM3	8	0.438	11.412	142.65%	2.813	99.455%	2.16513	0.379
P-0002018-T01-IM3	6	0.708	7.792	129.867%	2.767	73.951%	1.27757	0.702
P-0002157-T01-IM3	23	0.843	18.267	79.422%	4.11	54.438%	1.01408	0.826
P-0002353-T01-IM3	18	0.922	9.715	53.972%	2.557	39.455%	0.44719	0.915
P-0002380-T01-IM3	10	0.453	13.712	137.12%	3.426	98.9%	1.87837	0.394
P-0002418-T01-IM3	3	0.507	4.389	146.3%	1.493	86.198%	2.34499	0.483
P-0002437-T01-IM3	12	0.496	14.623	121.858%	3.585	103.49%	1.79883	0.428
P-0002440-T01-IM3	21	0.791	16.941	80.671%	4.307	62.824%	0.73086	0.767
P-0002490-T01-IM3	112	0.971	49.125	43.862%	9.356	24.811%	0.28058	0.968
P-0002504-T01-IM3	36	0.93	20.225	56.181%	4.707	37.212%	0.43924	0.924
P-0003010-T01-IM3	4	0.526	5.428	135.7%	1.709	85.45%	1.95769	0.496
P-0003062-T01-IM5	20	0.802	17.399	86.995%	4.393	59.781%	0.93676	0.783
