Samples	SBS96A	SBS96B
P-0000069-T01-IM3	2.35E-01	2.36E-01
P-0000448-T01-IM3	0.00E+00	0.00E+00
P-0000558-T01-IM3	0.00E+00	0.00E+00
P-0001248-T01-IM3	3.18E-01	3.16E-01
P-0002280-T01-IM3	1.96E-01	1.96E-01
P-0003014-T01-IM3	2.98E-01	2.98E-01
P-0003767-T01-IM5	1.58E-01	1.58E-01
P-0004136-T01-IM5	3.96E-01	3.96E-01
P-0004379-T01-IM5	2.83E+00	2.83E+00
P-0005285-T01-IM5	2.37E-01	2.37E-01
P-0007675-T01-IM5	1.34E-01	1.34E-01
P-0008444-T01-IM5	2.25E-01	2.24E-01
P-0008646-T01-IM5	1.53E-01	1.53E-01
P-0009585-T01-IM5	2.08E-01	2.08E-01
P-0009985-T01-IM5	3.76E-01	3.76E-01
P-0010828-T01-IM5	2.69E-01	2.69E-01
P-0011013-T01-IM5	2.46E-01	2.46E-01
P-0012152-T01-IM5	1.43E-01	1.43E-01
P-0012358-T01-IM5	0.00E+00	0.00E+00
P-0012740-T01-IM5	3.81E-01	3.82E-01
P-0013112-T02-IM6	2.01E-01	2.02E-01
P-0014023-T01-IM5	2.43E-02	2.43E-02
P-0014145-T01-IM5	1.48E-01	1.48E-01
P-0014170-T01-IM5	8.56E-02	8.56E-02
P-0016053-T01-IM6	2.09E-01	2.10E-01
P-0017300-T01-IM6	2.28E-01	2.28E-01
P-0019071-T01-IM6	2.02E-01	2.02E-01
P-0021692-T01-IM6	1.46E-01	1.46E-01
P-0021856-T01-IM6	1.57E-01	1.57E-01
P-0025003-T01-IM6	2.95E-01	2.95E-01
P-0025701-T01-IM6	1.58E-01	1.58E-01
P-0026221-T01-IM6	0.00E+00	0.00E+00
P-0026297-T01-IM6	1.90E+00	1.90E+00
P-0027698-T01-IM6	4.80E-01	4.82E-01
P-0028034-T01-IM6	3.28E-01	3.28E-01
P-0028141-T01-IM6	1.92E-01	1.91E-01
P-0028144-T01-IM6	0.00E+00	0.00E+00
P-0028200-T01-IM6	2.53E-01	2.53E-01
P-0028472-T01-IM6	3.58E-01	3.59E-01
P-0028924-T01-IM6	3.01E-01	3.01E-01
P-0029429-T01-IM6	0.00E+00	0.00E+00
P-0029983-T01-IM6	2.27E-01	2.27E-01
P-0030322-T01-IM6	8.05E-02	8.05E-02
P-0032456-T01-IM6	1.30E-01	1.30E-01
P-0032495-T01-IM6	0.00E+00	0.00E+00
P-0033467-T01-IM6	0.00E+00	0.00E+00
P-0033583-T01-IM6	2.10E-01	2.10E-01
P-0038304-T01-IM6	3.20E-01	3.21E-01
P-0038424-T01-IM6	3.60E-01	3.60E-01
P-0039004-T01-IM6	3.29E-01	3.29E-01
P-0039184-T01-IM6	1.84E-01	1.84E-01
P-0039294-T01-IM6	4.54E-01	4.54E-01
P-0040471-T01-IM6	0.00E+00	0.00E+00
P-0040549-T01-IM6	6.57E-02	6.57E-02
P-0040823-T01-IM6	3.45E-01	3.45E-01
P-0041596-T01-IM6	2.25E-01	2.25E-01
P-0042508-T01-IM6	2.16E-01	2.16E-01
P-0042819-T01-IM6	4.55E-02	4.55E-02
P-0045533-T01-IM6	2.26E-01	2.26E-01
P-0047379-T01-IM6	1.81E-01	1.81E-01
P-0048289-T01-IM6	2.07E-01	2.07E-01
P-0050149-T01-IM6	2.77E-01	2.78E-01
