Samples	SBS96A	SBS96B	SBS96C
P-0000069-T01-IM3	3	0	9
P-0000448-T01-IM3	0	13	57
P-0000558-T01-IM3	0	0	15
P-0001248-T01-IM3	4	17	0
P-0002280-T01-IM3	0	20	1
P-0003014-T01-IM3	5	11	9
P-0003767-T01-IM5	1	6	14
P-0004136-T01-IM5	4	6	14
P-0004379-T01-IM5	295	143	0
P-0005285-T01-IM5	4	6	7
P-0007675-T01-IM5	2	2	0
P-0008444-T01-IM5	3	8	2
P-0008646-T01-IM5	1	0	12
P-0009585-T01-IM5	3	17	0
P-0009985-T01-IM5	1	24	0
P-0010828-T01-IM5	5	0	13
P-0011013-T01-IM5	2	13	7
P-0012152-T01-IM5	2	14	0
P-0012358-T01-IM5	451	0	1
P-0012740-T01-IM5	4	5	11
P-0013112-T02-IM6	3	5	8
P-0014023-T01-IM5	0	5	8
P-0014145-T01-IM5	2	21	0
P-0014170-T01-IM5	0	8	3
P-0016053-T01-IM6	3	10	9
P-0017300-T01-IM6	3	0	11
P-0019071-T01-IM6	4	2	18
P-0021692-T01-IM6	1	0	16
P-0021856-T01-IM6	1	0	17
P-0025003-T01-IM6	5	0	9
P-0025701-T01-IM6	0	0	24
P-0026221-T01-IM6	0	4	19
P-0026297-T01-IM6	60	388	0
P-0027698-T01-IM6	12	13	36
P-0028034-T01-IM6	7	11	22
P-0028141-T01-IM6	3	6	12
P-0028144-T01-IM6	0	0	22
P-0028200-T01-IM6	3	13	2
P-0028472-T01-IM6	8	10	40
P-0028924-T01-IM6	3	0	26
P-0029429-T01-IM6	0	3	15
P-0029983-T01-IM6	0	0	12
P-0030322-T01-IM6	130	0	0
P-0032456-T01-IM6	0	10	7
P-0032495-T01-IM6	0	2	31
P-0033467-T01-IM6	0	13	12
P-0033583-T01-IM6	4	12	6
P-0038304-T01-IM6	4	1	34
P-0038424-T01-IM6	7	14	36
P-0039004-T01-IM6	3	12	8
P-0039184-T01-IM6	1	10	7
P-0039294-T01-IM6	4	8	17
P-0040471-T01-IM6	0	18	9
P-0040549-T01-IM6	0	11	9
P-0040823-T01-IM6	2	0	52
P-0041596-T01-IM6	4	1	21
P-0042508-T01-IM6	2	3	3
P-0042819-T01-IM6	0	0	23
P-0045533-T01-IM6	4	10	10
P-0047379-T01-IM6	2	2	5
P-0048289-T01-IM6	1	4	13
P-0050149-T01-IM6	1	0	29
