Samples	SBS96A	SBS96B	SBS96C
P-0000069-T01-IM3	1.82E-01	4.38E-01	4.54E-01
P-0000448-T01-IM3	0.00E+00	2.34E+00	2.34E+00
P-0000558-T01-IM3	0.00E+00	3.55E-01	3.55E-01
P-0001248-T01-IM3	3.03E-01	6.72E-01	6.74E-01
P-0002280-T01-IM3	0.00E+00	7.55E-01	7.56E-01
P-0003014-T01-IM3	2.69E-01	6.51E-01	6.70E-01
P-0003767-T01-IM5	1.31E-01	5.89E-01	5.99E-01
P-0004136-T01-IM5	3.29E-01	9.01E-01	8.69E-01
P-0004379-T01-IM5	6.08E+00	6.37E+00	1.31E+00
P-0005285-T01-IM5	2.31E-01	4.87E-01	5.15E-01
P-0007675-T01-IM5	1.27E-01	1.33E-01	1.60E-01
P-0008444-T01-IM5	2.26E-01	4.20E-01	4.60E-01
P-0008646-T01-IM5	1.43E-01	4.18E-01	4.45E-01
P-0009585-T01-IM5	1.81E-01	6.12E-01	6.31E-01
P-0009985-T01-IM5	2.76E-01	7.25E-01	6.39E-01
P-0010828-T01-IM5	3.05E-01	3.80E-01	5.07E-01
P-0011013-T01-IM5	1.64E-01	7.69E-01	7.76E-01
P-0012152-T01-IM5	1.15E-01	5.74E-01	5.60E-01
P-0012358-T01-IM5	5.91E-01	5.85E-01	9.17E-02
P-0012740-T01-IM5	3.14E-01	6.46E-01	6.29E-01
P-0013112-T02-IM6	1.92E-01	5.82E-01	5.87E-01
P-0014023-T01-IM5	3.15E-02	5.12E-01	5.08E-01
P-0014145-T01-IM5	1.55E-01	6.57E-01	6.50E-01
P-0014170-T01-IM5	0.00E+00	3.96E-01	3.96E-01
P-0016053-T01-IM6	2.09E-01	7.01E-01	7.15E-01
P-0017300-T01-IM6	2.22E-01	3.09E-01	3.45E-01
P-0019071-T01-IM6	1.99E-01	7.28E-01	7.62E-01
P-0021692-T01-IM6	1.07E-01	4.43E-01	4.57E-01
P-0021856-T01-IM6	1.27E-01	5.71E-01	5.74E-01
P-0025003-T01-IM6	2.69E-01	3.93E-01	4.25E-01
P-0025701-T01-IM6	1.47E-01	9.69E-01	9.68E-01
P-0026221-T01-IM6	0.00E+00	6.89E-01	6.89E-01
P-0026297-T01-IM6	2.55E+00	5.44E+00	5.74E+00
P-0027698-T01-IM6	5.81E-01	1.52E+00	1.64E+00
P-0028034-T01-IM6	3.66E-01	1.31E+00	1.33E+00
P-0028141-T01-IM6	1.85E-01	6.31E-01	6.15E-01
P-0028144-T01-IM6	0.00E+00	7.75E-01	7.75E-01
P-0028200-T01-IM6	2.40E-01	6.34E-01	6.00E-01
P-0028472-T01-IM6	4.96E-01	2.11E+00	2.24E+00
P-0028924-T01-IM6	2.90E-01	8.49E-01	8.80E-01
P-0029429-T01-IM6	2.00E-02	7.24E-01	7.22E-01
P-0029983-T01-IM6	1.68E-01	4.19E-01	4.32E-01
P-0030322-T01-IM6	6.31E-01	6.04E-01	2.11E-01
P-0032456-T01-IM6	0.00E+00	6.26E-01	6.27E-01
P-0032495-T01-IM6	0.00E+00	1.23E+00	1.23E+00
P-0033467-T01-IM6	0.00E+00	9.44E-01	9.44E-01
P-0033583-T01-IM6	2.19E-01	6.24E-01	6.12E-01
P-0038304-T01-IM6	3.01E-01	8.67E-01	9.32E-01
P-0038424-T01-IM6	4.02E-01	1.85E+00	1.91E+00
P-0039004-T01-IM6	2.78E-01	8.26E-01	8.32E-01
P-0039184-T01-IM6	1.67E-01	6.44E-01	6.53E-01
P-0039294-T01-IM6	3.70E-01	9.64E-01	9.90E-01
P-0040471-T01-IM6	0.00E+00	8.17E-01	8.17E-01
P-0040549-T01-IM6	5.10E-02	6.36E-01	6.32E-01
P-0040823-T01-IM6	2.47E-01	1.89E+00	1.90E+00
P-0041596-T01-IM6	2.10E-01	7.51E-01	7.57E-01
P-0042508-T01-IM6	2.05E-01	2.86E-01	2.81E-01
P-0042819-T01-IM6	2.00E-02	7.61E-01	7.56E-01
P-0045533-T01-IM6	2.24E-01	7.80E-01	7.66E-01
P-0047379-T01-IM6	1.89E-01	2.98E-01	3.00E-01
P-0048289-T01-IM6	2.09E-01	6.54E-01	6.26E-01
P-0050149-T01-IM6	2.83E-01	8.22E-01	8.10E-01
