NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	32.811	113.218	7.557	72.344	1.184	0.639	40000.0
2	34.236	115.615	8.199	75.458	1.233	0.594	30000.0
3	33.982	115.553	8.117	74.979	1.263	0.601	40000.0
4	34.242	116.867	7.978	75.173	1.258	0.597	20000.0
5	33.379	117.01	7.893	75.489	1.266	0.594	30000.0
6	34.949	119.908	8.506	76.899	1.283	0.58	20000.0
7	34.713	117.346	8.332	74.921	1.263	0.597	30000.0
8	33.314	115.249	7.75	73.436	1.231	0.618	20000.0
9	34.155	117.532	8.187	75.797	1.279	0.581	40000.0
10	34.61	114.541	7.993	72.593	1.219	0.625	20000.0
11	33.462	114.236	8.111	74.484	1.244	0.61	20000.0
12	32.646	117.067	7.674	75.064	1.291	0.59	20000.0
13	33.82	116.24	7.689	75.887	1.269	0.582	40000.0
14	34.258	115.713	8.118	74.34	1.262	0.602	20000.0
15	32.254	116.364	7.342	75.329	1.277	0.592	20000.0
16	34.839	116.583	8.063	74.743	1.247	0.605	20000.0
17	34.652	117.086	7.651	74.982	1.244	0.6	20000.0
18	34.489	114.947	8.063	75.206	1.218	0.597	20000.0
19	33.733	114.816	8.0	74.323	1.223	0.608	40000.0
20	35.163	118.223	8.708	75.713	1.24	0.598	20000.0
21	34.587	117.427	7.962	74.703	1.239	0.607	40000.0
22	33.22	114.381	7.956	73.255	1.182	0.629	20000.0
23	33.174	116.599	7.815	75.707	1.276	0.59	30000.0
24	33.73	114.636	7.853	74.304	1.233	0.611	20000.0
25	34.072	118.575	7.896	76.533	1.279	0.583	40000.0
26	33.938	115.86	7.989	75.519	1.253	0.594	20000.0
27	33.655	116.166	8.086	74.34	1.218	0.601	20000.0
28	33.957	116.03	8.003	74.386	1.251	0.607	20000.0
29	33.643	116.703	8.058	74.862	1.253	0.602	40000.0
30	35.203	117.478	8.266	74.385	1.248	0.606	40000.0
31	34.376	113.704	8.374	73.665	1.23	0.622	20000.0
32	32.816	116.656	7.672	74.372	1.257	0.606	20000.0
33	33.969	114.705	7.923	73.866	1.258	0.612	20000.0
34	34.194	116.166	8.149	74.004	1.22	0.614	20000.0
35	35.766	118.039	8.481	75.573	1.263	0.594	20000.0
36	35.116	117.4	8.494	76.222	1.268	0.582	20000.0
37	34.175	115.879	8.05	73.855	1.235	0.62	20000.0
38	33.251	112.618	7.938	72.946	1.198	0.629	30000.0
39	34.49	115.596	7.844	74.241	1.253	0.607	50000.0
40	33.692	114.604	8.091	75.114	1.216	0.603	30000.0
41	33.566	115.781	7.683	73.921	1.221	0.608	20000.0
42	33.575	117.627	7.879	74.967	1.301	0.59	20000.0
43	33.715	117.524	7.653	75.979	1.24	0.581	20000.0
44	34.227	117.935	8.117	74.673	1.238	0.616	40000.0
45	31.593	113.659	7.098	73.212	1.236	0.611	30000.0
46	34.4	116.5	8.318	75.393	1.251	0.594	40000.0
47	33.714	121.31	7.782	76.792	1.321	0.57	20000.0
