Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000069-T01-IM3	3	0	4	5
P-0000448-T01-IM3	0	0	64	6
P-0000558-T01-IM3	0	0	3	12
P-0001248-T01-IM3	2	14	5	0
P-0002280-T01-IM3	0	14	4	3
P-0003014-T01-IM3	4	9	0	12
P-0003767-T01-IM5	1	4	4	12
P-0004136-T01-IM5	3	5	0	16
P-0004379-T01-IM5	246	192	0	0
P-0005285-T01-IM5	3	4	7	3
P-0007675-T01-IM5	2	1	1	0
P-0008444-T01-IM5	3	3	7	0
P-0008646-T01-IM5	1	0	12	0
P-0009585-T01-IM5	2	15	3	0
P-0009985-T01-IM5	0	20	0	5
P-0010828-T01-IM5	5	0	13	0
P-0011013-T01-IM5	1	8	0	13
P-0012152-T01-IM5	1	12	3	0
P-0012358-T01-IM5	439	0	13	0
P-0012740-T01-IM5	2	1	0	17
P-0013112-T02-IM6	2	1	6	7
P-0014023-T01-IM5	0	1	9	3
P-0014145-T01-IM5	0	17	0	6
P-0014170-T01-IM5	0	6	5	0
P-0016053-T01-IM6	2	7	2	11
P-0017300-T01-IM6	2	0	0	12
P-0019071-T01-IM6	3	0	12	9
P-0021692-T01-IM6	1	0	7	9
P-0021856-T01-IM6	0	0	18	0
P-0025003-T01-IM6	4	0	0	10
P-0025701-T01-IM6	0	0	24	0
P-0026221-T01-IM6	0	0	8	15
P-0026297-T01-IM6	27	378	43	0
P-0027698-T01-IM6	12	0	49	0
P-0028034-T01-IM6	6	6	0	28
P-0028141-T01-IM6	2	4	4	11
P-0028144-T01-IM6	0	0	6	16
P-0028200-T01-IM6	2	5	11	0
P-0028472-T01-IM6	7	0	51	0
P-0028924-T01-IM6	3	0	21	5
P-0029429-T01-IM6	0	0	9	9
P-0029983-T01-IM6	0	0	0	12
P-0030322-T01-IM6	130	0	0	0
P-0032456-T01-IM6	0	6	5	6
P-0032495-T01-IM6	0	0	0	33
P-0033467-T01-IM6	0	8	9	8
P-0033583-T01-IM6	3	8	6	5
P-0038304-T01-IM6	3	0	1	35
P-0038424-T01-IM6	7	0	50	0
P-0039004-T01-IM6	2	6	6	9
P-0039184-T01-IM6	1	2	15	0
P-0039294-T01-IM6	4	3	13	9
P-0040471-T01-IM6	0	8	0	19
P-0040549-T01-IM6	0	6	14	0
P-0040823-T01-IM6	1	0	0	53
P-0041596-T01-IM6	4	0	4	18
P-0042508-T01-IM6	1	0	7	0
P-0042819-T01-IM6	0	0	11	12
P-0045533-T01-IM6	3	6	4	11
P-0047379-T01-IM6	1	3	5	0
P-0048289-T01-IM6	1	4	6	7
P-0050149-T01-IM6	1	0	0	29
