Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000069-T01-IM3	1.72E-01	3.73E-01	4.54E-01	4.13E-01
P-0000448-T01-IM3	0.00E+00	1.25E+00	2.01E+00	1.82E+00
P-0000558-T01-IM3	0.00E+00	1.88E-01	5.25E-01	5.20E-01
P-0001248-T01-IM3	2.98E-01	6.16E-01	6.71E-01	5.49E-01
P-0002280-T01-IM3	0.00E+00	7.68E-01	7.34E-01	5.67E-01
P-0003014-T01-IM3	2.74E-01	6.48E-01	6.20E-01	5.96E-01
P-0003767-T01-IM5	1.33E-01	4.75E-01	5.80E-01	6.79E-01
P-0004136-T01-IM5	3.17E-01	8.40E-01	6.04E-01	7.82E-01
P-0004379-T01-IM5	9.30E+00	1.00E+01	1.84E+00	8.56E-01
P-0005285-T01-IM5	2.29E-01	4.25E-01	4.68E-01	4.91E-01
P-0007675-T01-IM5	1.22E-01	8.13E-02	1.63E-01	1.16E-01
P-0008444-T01-IM5	2.30E-01	3.15E-01	4.27E-01	3.48E-01
P-0008646-T01-IM5	1.30E-01	2.68E-01	4.12E-01	3.51E-01
P-0009585-T01-IM5	1.89E-01	6.82E-01	6.98E-01	4.72E-01
P-0009985-T01-IM5	1.53E-01	8.32E-01	7.24E-01	7.11E-01
P-0010828-T01-IM5	2.90E-01	1.59E-01	5.31E-01	4.43E-01
P-0011013-T01-IM5	1.43E-01	6.43E-01	6.75E-01	7.27E-01
P-0012152-T01-IM5	1.01E-01	4.31E-01	6.08E-01	5.32E-01
P-0012358-T01-IM5	9.41E-01	9.00E-02	9.34E-01	1.85E-01
P-0012740-T01-IM5	3.14E-01	6.27E-01	3.59E-01	6.26E-01
P-0013112-T02-IM6	1.37E-01	4.98E-01	6.06E-01	5.54E-01
P-0014023-T01-IM5	0.00E+00	3.45E-01	5.28E-01	4.66E-01
P-0014145-T01-IM5	1.15E-01	7.70E-01	6.41E-01	7.08E-01
P-0014170-T01-IM5	0.00E+00	4.00E-01	3.87E-01	3.68E-01
P-0016053-T01-IM6	2.00E-01	5.84E-01	6.99E-01	6.30E-01
P-0017300-T01-IM6	2.24E-01	1.03E-01	4.25E-01	4.62E-01
P-0019071-T01-IM6	2.08E-01	5.32E-01	8.23E-01	7.49E-01
P-0021692-T01-IM6	8.91E-02	1.55E-01	6.58E-01	6.46E-01
P-0021856-T01-IM6	1.03E-01	2.35E-01	6.19E-01	5.93E-01
P-0025003-T01-IM6	2.74E-01	2.42E-01	3.75E-01	4.02E-01
P-0025701-T01-IM6	1.00E-01	3.41E-01	8.54E-01	8.28E-01
P-0026221-T01-IM6	0.00E+00	4.31E-01	7.34E-01	7.14E-01
P-0026297-T01-IM6	3.14E+00	1.01E+01	1.07E+01	6.21E+00
P-0027698-T01-IM6	5.57E-01	6.46E-01	1.49E+00	1.15E+00
P-0028034-T01-IM6	3.75E-01	1.09E+00	1.11E+00	1.32E+00
P-0028141-T01-IM6	1.87E-01	5.85E-01	6.64E-01	6.33E-01
P-0028144-T01-IM6	0.00E+00	6.26E-01	6.56E-01	7.97E-01
P-0028200-T01-IM6	2.25E-01	4.76E-01	5.94E-01	3.24E-01
P-0028472-T01-IM6	5.70E-01	9.54E-01	1.62E+00	1.20E+00
P-0028924-T01-IM6	2.70E-01	5.00E-01	9.15E-01	8.15E-01
P-0029429-T01-IM6	0.00E+00	5.39E-01	7.30E-01	6.69E-01
P-0029983-T01-IM6	9.17E-02	2.71E-01	4.20E-01	4.66E-01
P-0030322-T01-IM6	1.08E+00	1.05E+00	5.37E-02	4.92E-01
P-0032456-T01-IM6	0.00E+00	5.70E-01	5.78E-01	6.29E-01
P-0032495-T01-IM6	0.00E+00	7.83E-01	8.99E-01	1.07E+00
P-0033467-T01-IM6	0.00E+00	7.83E-01	8.71E-01	8.68E-01
P-0033583-T01-IM6	2.21E-01	4.86E-01	5.99E-01	5.58E-01
P-0038304-T01-IM6	2.55E-01	6.29E-01	1.06E+00	1.12E+00
P-0038424-T01-IM6	4.17E-01	1.12E+00	1.64E+00	1.41E+00
P-0039004-T01-IM6	2.59E-01	6.23E-01	8.32E-01	7.31E-01
P-0039184-T01-IM6	1.36E-01	4.39E-01	5.94E-01	4.24E-01
P-0039294-T01-IM6	2.87E-01	7.42E-01	8.82E-01	9.48E-01
P-0040471-T01-IM6	0.00E+00	6.94E-01	8.24E-01	8.95E-01
P-0040549-T01-IM6	3.00E-02	5.32E-01	6.17E-01	4.37E-01
P-0040823-T01-IM6	1.61E-01	1.11E+00	1.33E+00	1.65E+00
P-0041596-T01-IM6	1.96E-01	6.00E-01	7.42E-01	8.37E-01
P-0042508-T01-IM6	1.91E-01	2.11E-01	2.65E-01	1.66E-01
P-0042819-T01-IM6	2.00E-02	5.62E-01	7.67E-01	7.98E-01
P-0045533-T01-IM6	2.19E-01	5.28E-01	7.19E-01	6.81E-01
P-0047379-T01-IM6	2.01E-01	2.78E-01	2.87E-01	2.26E-01
P-0048289-T01-IM6	2.00E-01	5.78E-01	6.10E-01	5.33E-01
P-0050149-T01-IM6	3.09E-01	5.96E-01	6.80E-01	8.57E-01
