Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0000069-T01-IM3	3	0	0	4	5
P-0000448-T01-IM3	0	0	4	59	7
P-0000558-T01-IM3	0	0	5	1	9
P-0001248-T01-IM3	3	0	18	0	0
P-0002280-T01-IM3	0	1	20	0	0
P-0003014-T01-IM3	3	8	3	1	10
P-0003767-T01-IM5	0	4	0	5	12
P-0004136-T01-IM5	2	6	0	2	14
P-0004379-T01-IM5	160	278	0	0	0
P-0005285-T01-IM5	4	0	10	3	0
P-0007675-T01-IM5	2	0	2	0	0
P-0008444-T01-IM5	3	0	7	3	0
P-0008646-T01-IM5	1	0	0	10	2
P-0009585-T01-IM5	2	3	15	0	0
P-0009985-T01-IM5	0	9	16	0	0
P-0010828-T01-IM5	5	0	0	12	1
P-0011013-T01-IM5	2	0	15	0	5
P-0012152-T01-IM5	2	0	14	0	0
P-0012358-T01-IM5	429	17	0	6	0
P-0012740-T01-IM5	1	4	0	0	15
P-0013112-T02-IM6	2	0	8	1	5
P-0014023-T01-IM5	0	0	9	3	1
P-0014145-T01-IM5	1	1	21	0	0
P-0014170-T01-IM5	0	3	3	4	1
P-0016053-T01-IM6	1	3	9	1	8
P-0017300-T01-IM6	2	0	0	2	10
P-0019071-T01-IM6	3	0	10	6	5
P-0021692-T01-IM6	1	0	0	7	9
P-0021856-T01-IM6	0	0	0	16	2
P-0025003-T01-IM6	4	0	0	1	9
P-0025701-T01-IM6	0	0	0	24	0
P-0026221-T01-IM6	0	0	0	9	14
P-0026297-T01-IM6	0	235	190	23	0
P-0027698-T01-IM6	12	0	8	41	0
P-0028034-T01-IM6	6	0	18	0	16
P-0028141-T01-IM6	2	4	3	3	9
P-0028144-T01-IM6	0	0	0	9	13
P-0028200-T01-IM6	3	1	6	8	0
P-0028472-T01-IM6	8	0	0	50	0
P-0028924-T01-IM6	3	0	0	17	9
P-0029429-T01-IM6	0	0	8	7	3
P-0029983-T01-IM6	0	0	0	0	12
P-0030322-T01-IM6	117	13	0	0	0
P-0032456-T01-IM6	0	0	13	2	2
P-0032495-T01-IM6	0	1	0	2	30
P-0033467-T01-IM6	0	0	23	2	0
P-0033583-T01-IM6	3	0	16	3	0
P-0038304-T01-IM6	3	0	8	2	26
P-0038424-T01-IM6	7	0	9	41	0
P-0039004-T01-IM6	3	0	18	2	0
P-0039184-T01-IM6	1	1	5	11	0
P-0039294-T01-IM6	4	0	15	8	2
P-0040471-T01-IM6	0	4	3	0	20
P-0040549-T01-IM6	0	0	10	10	0
P-0040823-T01-IM6	2	0	0	0	52
P-0041596-T01-IM6	4	0	1	4	17
P-0042508-T01-IM6	1	0	1	6	0
P-0042819-T01-IM6	0	0	0	10	13
P-0045533-T01-IM6	3	0	21	0	0
P-0047379-T01-IM6	0	6	0	3	0
P-0048289-T01-IM6	0	6	0	6	6
P-0050149-T01-IM6	0	5	0	1	24
