Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0000069-T01-IM3	1.37E-01	2.88E-01	3.73E-01	3.78E-01	4.10E-01
P-0000448-T01-IM3	0.00E+00	8.02E-01	1.96E+00	2.18E+00	1.42E+00
P-0000558-T01-IM3	0.00E+00	5.80E-02	5.16E-01	4.84E-01	5.51E-01
P-0001248-T01-IM3	3.00E-01	4.42E-01	6.80E-01	5.82E-01	3.58E-01
P-0002280-T01-IM3	0.00E+00	6.89E-01	7.67E-01	6.48E-01	4.38E-01
P-0003014-T01-IM3	2.52E-01	5.51E-01	7.19E-01	5.37E-01	6.19E-01
P-0003767-T01-IM5	1.22E-01	2.92E-01	5.84E-01	5.49E-01	6.66E-01
P-0004136-T01-IM5	2.55E-01	6.69E-01	7.38E-01	4.49E-01	7.39E-01
P-0004379-T01-IM5	1.18E+01	1.19E+01	1.30E+00	1.54E+00	9.17E-01
P-0005285-T01-IM5	2.18E-01	3.66E-01	4.62E-01	4.10E-01	4.75E-01
P-0007675-T01-IM5	1.20E-01	6.91E-02	1.23E-01	1.56E-01	1.17E-01
P-0008444-T01-IM5	2.38E-01	1.58E-01	4.11E-01	4.50E-01	3.08E-01
P-0008646-T01-IM5	1.29E-01	1.64E-01	3.94E-01	4.70E-01	3.32E-01
P-0009585-T01-IM5	1.78E-01	5.18E-01	6.88E-01	6.44E-01	4.07E-01
P-0009985-T01-IM5	1.38E-01	8.36E-01	8.69E-01	6.16E-01	5.54E-01
P-0010828-T01-IM5	2.97E-01	0.00E+00	3.55E-01	5.52E-01	4.12E-01
P-0011013-T01-IM5	1.31E-01	4.04E-01	7.34E-01	4.61E-01	6.96E-01
P-0012152-T01-IM5	1.25E-01	1.64E-01	5.78E-01	5.64E-01	4.46E-01
P-0012358-T01-IM5	4.63E+00	4.62E+00	1.95E-01	9.99E-01	1.16E-01
P-0012740-T01-IM5	2.37E-01	5.53E-01	5.72E-01	1.84E-01	6.25E-01
P-0013112-T02-IM6	1.31E-01	3.46E-01	6.39E-01	5.54E-01	4.98E-01
P-0014023-T01-IM5	1.33E-01	1.22E-01	4.92E-01	4.82E-01	4.50E-01
P-0014145-T01-IM5	1.23E-01	6.52E-01	8.46E-01	5.75E-01	5.42E-01
P-0014170-T01-IM5	0.00E+00	3.08E-01	3.61E-01	3.03E-01	3.58E-01
P-0016053-T01-IM6	1.93E-01	5.02E-01	7.24E-01	5.50E-01	5.86E-01
P-0017300-T01-IM6	2.30E-01	1.32E-01	3.22E-01	4.27E-01	4.54E-01
P-0019071-T01-IM6	1.92E-01	1.36E-01	7.87E-01	8.45E-01	7.13E-01
P-0021692-T01-IM6	8.09E-02	5.49E-02	5.00E-01	5.94E-01	5.69E-01
P-0021856-T01-IM6	9.89E-02	1.68E-01	3.95E-01	6.02E-01	4.96E-01
P-0025003-T01-IM6	2.40E-01	2.36E-01	3.12E-01	3.29E-01	4.05E-01
P-0025701-T01-IM6	1.14E-01	1.46E-01	4.23E-01	6.63E-01	5.27E-01
P-0026221-T01-IM6	0.00E+00	3.70E-01	6.08E-01	6.95E-01	7.40E-01
P-0026297-T01-IM6	3.07E+00	1.13E+01	1.29E+01	8.17E+00	2.05E+00
P-0027698-T01-IM6	6.00E-01	3.17E-01	1.27E+00	1.57E+00	8.73E-01
P-0028034-T01-IM6	3.49E-01	6.98E-01	1.27E+00	9.95E-01	1.13E+00
P-0028141-T01-IM6	1.98E-01	4.01E-01	5.36E-01	6.52E-01	5.75E-01
P-0028144-T01-IM6	0.00E+00	3.92E-01	7.26E-01	6.82E-01	8.29E-01
P-0028200-T01-IM6	2.60E-01	4.29E-01	5.57E-01	6.37E-01	3.06E-01
P-0028472-T01-IM6	5.63E-01	4.90E-01	1.00E+00	1.41E+00	6.00E-01
P-0028924-T01-IM6	2.72E-01	2.62E-01	8.12E-01	9.95E-01	7.26E-01
P-0029429-T01-IM6	3.00E-02	2.29E-01	6.63E-01	6.48E-01	4.59E-01
P-0029983-T01-IM6	5.00E-02	1.69E-01	4.41E-01	3.28E-01	5.00E-01
P-0030322-T01-IM6	2.26E+00	2.27E+00	8.19E-01	4.00E-02	4.73E-01
P-0032456-T01-IM6	0.00E+00	4.81E-01	5.80E-01	4.48E-01	5.62E-01
P-0032495-T01-IM6	0.00E+00	3.98E-01	9.57E-01	8.34E-01	1.08E+00
P-0033467-T01-IM6	0.00E+00	3.14E-01	9.42E-01	6.71E-01	7.97E-01
P-0033583-T01-IM6	2.16E-01	4.27E-01	5.17E-01	5.77E-01	5.04E-01
P-0038304-T01-IM6	2.47E-01	3.54E-01	1.08E+00	9.86E-01	1.28E+00
