Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0000069-T01-IM3	3	0	0	6	3	0
P-0000448-T01-IM3	0	0	4	36	0	30
P-0000558-T01-IM3	0	0	0	0	2	13
P-0001248-T01-IM3	3	0	15	0	0	3
P-0002280-T01-IM3	0	0	11	0	0	10
P-0003014-T01-IM3	2	7	3	2	7	4
P-0003767-T01-IM5	1	1	3	7	9	0
P-0004136-T01-IM5	1	7	0	1	11	4
P-0004379-T01-IM5	107	331	0	0	0	0
P-0005285-T01-IM5	3	0	1	0	0	13
P-0007675-T01-IM5	2	0	2	0	0	0
P-0008444-T01-IM5	3	0	5	1	0	4
P-0008646-T01-IM5	1	0	0	10	0	2
P-0009585-T01-IM5	3	0	17	0	0	0
P-0009985-T01-IM5	0	7	12	0	6	0
P-0010828-T01-IM5	5	0	0	7	0	6
P-0011013-T01-IM5	2	0	7	0	9	4
P-0012152-T01-IM5	2	0	13	0	0	1
P-0012358-T01-IM5	396	56	0	0	0	0
P-0012740-T01-IM5	0	6	0	0	12	2
P-0013112-T02-IM6	2	0	6	1	7	0
P-0014023-T01-IM5	0	0	3	0	0	10
P-0014145-T01-IM5	1	0	16	0	6	0
P-0014170-T01-IM5	0	0	5	3	1	2
P-0016053-T01-IM6	1	3	6	3	9	0
P-0017300-T01-IM6	2	0	0	5	7	0
P-0019071-T01-IM6	3	0	0	0	0	21
P-0021692-T01-IM6	1	0	0	5	5	6
P-0021856-T01-IM6	1	0	0	17	0	0
P-0025003-T01-IM6	4	0	0	3	7	0
P-0025701-T01-IM6	0	0	0	24	0	0
P-0026221-T01-IM6	0	0	2	11	10	0
P-0026297-T01-IM6	7	144	280	17	0	0
P-0027698-T01-IM6	12	0	12	28	0	9
P-0028034-T01-IM6	6	0	6	9	19	0
P-0028141-T01-IM6	2	0	7	2	10	0
P-0028144-T01-IM6	0	0	0	13	9	0
P-0028200-T01-IM6	3	0	11	4	0	0
P-0028472-T01-IM6	8	0	5	45	0	0
P-0028924-T01-IM6	3	0	0	8	0	18
P-0029429-T01-IM6	0	0	0	4	0	14
P-0029983-T01-IM6	0	0	0	0	12	0
P-0030322-T01-IM6	96	34	0	0	0	0
P-0032456-T01-IM6	0	0	8	1	4	4
P-0032495-T01-IM6	0	0	0	4	29	0
P-0033467-T01-IM6	0	0	0	0	0	25
P-0033583-T01-IM6	3	0	9	0	1	9
P-0038304-T01-IM6	3	0	0	8	23	5
P-0038424-T01-IM6	7	0	11	31	0	8
P-0039004-T01-IM6	3	0	8	3	4	5
P-0039184-T01-IM6	1	0	6	2	0	9
P-0039294-T01-IM6	3	0	0	1	0	25
P-0040471-T01-IM6	0	0	9	0	18	0
P-0040549-T01-IM6	0	0	4	1	0	15
P-0040823-T01-IM6	2	0	0	0	52	0
P-0041596-T01-IM6	4	0	1	8	13	0
P-0042508-T01-IM6	1	0	0	1	0	6
P-0042819-T01-IM6	0	0	0	15	8	0
P-0045533-T01-IM6	3	0	2	0	0	19
P-0047379-T01-IM6	0	5	0	4	0	0
P-0048289-T01-IM6	0	7	0	10	1	0
P-0050149-T01-IM6	0	5	0	4	21	0
