Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0000069-T01-IM3	1.16E-01	2.95E-01	1.52E-01	4.03E-01	3.94E-01	4.24E-01
P-0000448-T01-IM3	0.00E+00	5.05E-01	1.90E+00	2.13E+00	1.06E+00	2.00E+00
P-0000558-T01-IM3	6.00E-02	9.17E-02	2.08E-01	4.42E-01	5.27E-01	5.67E-01
P-0001248-T01-IM3	3.02E-01	3.17E-01	5.65E-01	4.17E-01	3.48E-01	4.99E-01
P-0002280-T01-IM3	9.00E-02	4.75E-01	7.52E-01	5.75E-01	4.13E-01	5.88E-01
P-0003014-T01-IM3	2.06E-01	5.31E-01	6.35E-01	4.60E-01	5.41E-01	6.04E-01
P-0003767-T01-IM5	1.29E-01	2.63E-01	4.77E-01	6.12E-01	5.54E-01	5.57E-01
P-0004136-T01-IM5	2.35E-01	6.05E-01	4.62E-01	4.07E-01	7.45E-01	6.37E-01
P-0004379-T01-IM5	1.14E+01	1.45E+01	5.13E+00	1.09E+00	4.13E-01	4.42E+00
P-0005285-T01-IM5	2.22E-01	2.16E-01	4.28E-01	3.15E-01	4.47E-01	5.49E-01
P-0007675-T01-IM5	1.18E-01	3.83E-02	1.25E-01	1.34E-01	9.05E-02	1.38E-01
P-0008444-T01-IM5	2.31E-01	8.95E-02	3.91E-01	3.99E-01	2.61E-01	4.29E-01
P-0008646-T01-IM5	1.23E-01	1.20E-01	2.34E-01	4.22E-01	1.96E-01	4.46E-01
P-0009585-T01-IM5	1.82E-01	2.02E-01	6.45E-01	4.44E-01	2.36E-01	5.48E-01
P-0009985-T01-IM5	5.91E-02	6.32E-01	8.42E-01	5.03E-01	5.84E-01	6.62E-01
P-0010828-T01-IM5	3.01E-01	1.22E-01	2.05E-01	4.93E-01	2.43E-01	5.82E-01
P-0011013-T01-IM5	1.63E-01	3.73E-01	6.41E-01	3.61E-01	5.92E-01	5.68E-01
P-0012152-T01-IM5	1.45E-01	1.54E-01	4.88E-01	4.64E-01	4.41E-01	5.81E-01
P-0012358-T01-IM5	7.59E+00	7.57E+00	7.97E-01	1.01E+00	8.52E-02	6.77E-01
P-0012740-T01-IM5	2.37E-01	5.58E-01	4.40E-01	3.27E-01	6.32E-01	4.81E-01
P-0013112-T02-IM6	1.42E-01	1.87E-01	5.83E-01	4.39E-01	4.90E-01	5.13E-01
P-0014023-T01-IM5	1.31E-01	1.40E-01	3.98E-01	3.98E-01	3.60E-01	4.97E-01
P-0014145-T01-IM5	1.20E-01	4.24E-01	7.65E-01	4.55E-01	5.54E-01	4.66E-01
P-0014170-T01-IM5	0.00E+00	2.78E-01	3.71E-01	3.11E-01	3.32E-01	3.31E-01
P-0016053-T01-IM6	1.77E-01	4.81E-01	6.75E-01	4.80E-01	5.13E-01	5.82E-01
P-0017300-T01-IM6	2.14E-01	2.05E-01	1.34E-01	4.39E-01	4.26E-01	3.62E-01
P-0019071-T01-IM6	1.90E-01	7.34E-02	5.87E-01	6.80E-01	6.12E-01	8.54E-01
P-0021692-T01-IM6	1.39E-01	2.24E-01	2.08E-01	5.64E-01	5.31E-01	5.50E-01
P-0021856-T01-IM6	1.77E-01	2.23E-02	3.04E-01	6.03E-01	3.90E-01	5.58E-01
P-0025003-T01-IM6	2.41E-01	2.17E-01	1.88E-01	3.43E-01	3.95E-01	3.71E-01
P-0025701-T01-IM6	1.03E-01	2.47E-01	2.73E-01	8.36E-01	2.74E-01	7.43E-01
P-0026221-T01-IM6	0.00E+00	2.59E-01	5.30E-01	6.73E-01	5.67E-01	4.90E-01
P-0026297-T01-IM6	2.40E+00	1.02E+01	1.26E+01	5.66E+00	2.72E+00	3.99E+00
P-0027698-T01-IM6	6.44E-01	2.83E-01	1.06E+00	1.60E+00	6.58E-01	1.46E+00
P-0028034-T01-IM6	3.23E-01	7.05E-01	1.16E+00	1.08E+00	9.66E-01	9.89E-01
P-0028141-T01-IM6	2.47E-01	3.67E-01	5.52E-01	5.29E-01	5.25E-01	5.45E-01
P-0028144-T01-IM6	0.00E+00	4.76E-01	4.69E-01	7.66E-01	6.68E-01	6.70E-01
P-0028200-T01-IM6	2.07E-01	2.90E-01	6.15E-01	5.71E-01	2.40E-01	5.77E-01
