Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20
P-0000069-T01-IM3	3	9	0	0	0	0
P-0000448-T01-IM3	44	4	0	0	0	22
P-0000558-T01-IM3	2	7	0	0	6	0
P-0001248-T01-IM3	1	0	0	3	17	0
P-0002280-T01-IM3	2	7	0	0	12	0
P-0003014-T01-IM3	3	13	0	3	6	0
P-0003767-T01-IM5	5	10	0	0	0	6
P-0004136-T01-IM5	5	19	0	0	0	0
P-0004379-T01-IM5	40	39	100	172	87	0
P-0005285-T01-IM5	4	6	0	0	7	0
P-0007675-T01-IM5	0	0	0	2	2	0
P-0008444-T01-IM5	3	0	0	3	7	0
P-0008646-T01-IM5	7	6	0	0	0	0
P-0009585-T01-IM5	0	0	0	0	20	0
P-0009985-T01-IM5	0	14	0	0	11	0
P-0010828-T01-IM5	11	2	0	5	0	0
P-0011013-T01-IM5	0	8	0	0	14	0
P-0012152-T01-IM5	0	6	0	0	10	0
P-0012358-T01-IM5	51	0	51	350	0	0
P-0012740-T01-IM5	3	9	0	0	0	8
P-0013112-T02-IM6	0	11	0	0	5	0
P-0014023-T01-IM5	1	6	0	0	6	0
P-0014145-T01-IM5	0	0	0	0	10	13
P-0014170-T01-IM5	5	6	0	0	0	0
P-0016053-T01-IM6	4	9	0	0	0	9
P-0017300-T01-IM6	3	11	0	0	0	0
P-0019071-T01-IM6	7	11	0	0	6	0
P-0021692-T01-IM6	6	7	0	0	0	4
P-0021856-T01-IM6	11	7	0	0	0	0
P-0025003-T01-IM6	2	9	0	3	0	0
P-0025701-T01-IM6	18	6	0	0	0	0
P-0026221-T01-IM6	7	5	0	0	0	11
P-0026297-T01-IM6	50	23	34	22	228	91
P-0027698-T01-IM6	24	10	0	9	18	0
P-0028034-T01-IM6	10	12	0	0	0	18
P-0028141-T01-IM6	2	12	0	0	7	0
P-0028144-T01-IM6	8	7	0	0	0	7
P-0028200-T01-IM6	6	0	0	0	12	0
P-0028472-T01-IM6	39	19	0	0	0	0
P-0028924-T01-IM6	14	15	0	0	0	0
P-0029429-T01-IM6	6	5	0	0	7	0
P-0029983-T01-IM6	0	12	0	0	0	0
P-0030322-T01-IM6	6	7	24	93	0	0
P-0032456-T01-IM6	1	5	0	0	11	0
P-0032495-T01-IM6	6	27	0	0	0	0
P-0033467-T01-IM6	5	7	0	0	13	0
P-0033583-T01-IM6	5	6	0	0	6	5
P-0038304-T01-IM6	7	32	0	0	0	0
P-0038424-T01-IM6	25	18	0	0	14	0
P-0039004-T01-IM6	4	0	0	0	19	0
P-0039184-T01-IM6	8	0	0	0	10	0
P-0039294-T01-IM6	8	13	0	0	8	0
P-0040471-T01-IM6	3	11	0	0	0	13
P-0040549-T01-IM6	6	5	0	0	9	0
P-0040823-T01-IM6	6	48	0	0	0	0
P-0041596-T01-IM6	5	13	0	0	0	8
P-0042508-T01-IM6	6	2	0	0	0	0
P-0042819-T01-IM6	6	8	0	0	0	9
P-0045533-T01-IM6	5	7	0	0	12	0
P-0047379-T01-IM6	2	5	2	0	0	0
P-0048289-T01-IM6	5	11	2	0	0	0
P-0050149-T01-IM6	6	24	0	0	0	0
