Samples	SBS96A
P-0000614-T01-IM3	20
P-0001791-T01-IM3	14
P-0004255-T01-IM5	20
P-0005564-T01-IM5	85
P-0006201-T01-IM5	31
P-0010671-T01-IM5	15
P-0010967-T01-IM5	161
P-0011222-T01-IM5	18
P-0011569-T01-IM5	45
P-0011570-T01-IM5	114
P-0012113-T01-IM5	238
P-0012179-T01-IM5	37
P-0012397-T01-IM5	224
P-0012441-T01-IM5	22
P-0012445-T01-IM5	171
P-0012670-T01-IM5	120
P-0012726-T01-IM5	20
P-0012819-T01-IM5	21
P-0012848-T01-IM5	15
P-0012988-T01-IM5	153
P-0013350-T01-IM5	150
P-0013452-T01-IM5	14
P-0013537-T01-IM5	191
P-0014388-T01-IM6	19
P-0014495-T01-IM6	13
P-0014528-T01-IM6	17
P-0014680-T01-IM6	10
P-0014780-T01-IM6	47
P-0015048-T01-IM6	17
P-0015293-T01-IM6	38
P-0015626-T01-IM6	136
P-0015869-T01-IM6	111
P-0015885-T01-IM6	79
P-0016099-T01-IM6	386
P-0016247-T01-IM6	24
P-0016341-T01-IM6	20
P-0016505-T01-IM6	38
P-0016801-T01-IM6	28
P-0016825-T01-IM6	56
P-0016904-T01-IM6	25
P-0017681-T01-IM6	22
P-0017713-T01-IM6	47
P-0017883-T01-IM6	34
P-0018005-T01-IM6	47
P-0018100-T01-IM6	327
P-0018106-T01-IM6	16
P-0018204-T01-IM6	40
P-0018224-T01-IM6	14
P-0018353-T01-IM6	25
P-0018723-T01-IM6	2
P-0019093-T01-IM6	25
P-0019386-T01-IM6	27
P-0019598-T01-IM6	17
P-0019649-T01-IM6	258
P-0019650-T01-IM6	21
P-0019658-T01-IM6	89
P-0019741-T01-IM6	36
P-0020009-T01-IM6	20
P-0020227-T01-IM6	27
P-0020271-T01-IM6	43
P-0020509-T01-IM6	20
P-0020754-T01-IM6	14
P-0021505-T01-IM6	36
P-0021670-T01-IM6	14
P-0021897-T01-IM6	9
P-0022010-T01-IM6	49
P-0023250-T01-IM6	24
P-0023555-T01-IM6	47
P-0023857-T01-IM6	33
P-0023968-T01-IM6	14
P-0024106-T01-IM6	14
P-0024289-T01-IM6	44
P-0025195-T01-IM6	23
P-0025240-T01-IM6	32
P-0025248-T01-IM6	28
P-0025312-T01-IM6	24
P-0025648-T01-IM6	158
P-0025885-T01-IM6	30
P-0026714-T01-IM6	18
P-0027652-T01-IM6	209
P-0028495-T01-IM6	20
P-0028774-T01-IM6	15
P-0029690-T01-IM6	130
P-0029778-T01-IM6	20
P-0029972-T01-IM6	303
P-0030260-T01-IM6	27
P-0031042-T01-IM6	28
P-0031094-T01-IM6	25
P-0031195-T01-IM6	17
P-0031211-T01-IM6	30
P-0031271-T01-IM6	21
P-0031436-T01-IM6	25
P-0031501-T01-IM6	66
P-0032113-T01-IM6	46
P-0032161-T02-IM6	40
P-0032443-T01-IM6	23
P-0032496-T01-IM6	305
P-0032497-T01-IM6	21
P-0032548-T01-IM6	120
P-0032567-T01-IM6	41
P-0032761-T01-IM6	23
P-0032818-T01-IM6	252
P-0032990-T01-IM6	17
P-0032994-T01-IM6	40
P-0033016-T01-IM6	76
P-0033133-T01-IM6	145
P-0033682-T01-IM6	31
P-0034775-T01-IM6	15
P-0034862-T01-IM6	17
P-0034915-T01-IM6	319
P-0035146-T01-IM6	148
P-0035147-T01-IM6	106
P-0035281-T01-IM6	131
P-0035770-T01-IM6	358
P-0035790-T01-IM6	507
P-0036123-T01-IM6	176
P-0036230-T01-IM6	21
P-0036297-T01-IM6	121
P-0036505-T01-IM6	19
P-0036664-T01-IM6	21
P-0036740-T03-IM6	18
P-0036868-T01-IM6	17
P-0037690-T01-IM6	82
P-0037917-T01-IM6	8
P-0038016-T01-IM6	30
P-0038084-T01-IM6	44
P-0038520-T01-IM6	47
P-0038755-T01-IM6	46
P-0038944-T01-IM6	25
P-0039054-T01-IM6	502
P-0039231-T01-IM6	23
P-0039466-T01-IM6	40
P-0039477-T01-IM6	29
P-0039599-T01-IM6	8
P-0039704-T01-IM6	361
P-0039773-T01-IM6	56
P-0039854-T01-IM6	31
P-0040023-T01-IM6	504
P-0040086-T01-IM6	83
P-0040149-T01-IM6	25
P-0040228-T01-IM6	24
P-0040284-T01-IM6	106
P-0040575-T01-IM6	44
P-0040701-T01-IM6	19
P-0040828-T01-IM6	494
P-0040884-T01-IM6	15
P-0040892-T01-IM6	28
P-0040992-T01-IM6	40
P-0041146-T01-IM6	205
P-0041318-T01-IM6	28
P-0041346-T01-IM6	218
P-0041347-T01-IM6	14
P-0042199-T01-IM6	303
P-0042256-T01-IM6	75
P-0042644-T01-IM6	36
P-0042702-T01-IM6	83
P-0042762-T01-IM6	80
P-0042782-T01-IM6	19
P-0043033-T02-IM6	35
P-0043071-T01-IM6	47
P-0043596-T01-IM6	752
P-0043613-T01-IM6	63
P-0043842-T01-IM6	429
P-0043909-T01-IM6	24
P-0043940-T01-IM6	20
P-0044312-T01-IM6	21
P-0044767-T01-IM6	10
P-0044790-T01-IM6	159
P-0044987-T01-IM6	76
P-0045120-T01-IM6	31
P-0045458-T01-IM6	371
P-0045671-T01-IM6	13
P-0045738-T01-IM6	27
P-0045991-T01-IM6	19
P-0046448-T01-IM6	33
P-0046630-T01-IM6	40
P-0046754-T01-IM6	27
P-0046965-T01-IM6	479
P-0047374-T01-IM6	59
P-0047653-T01-IM6	53
P-0047766-T01-IM6	48
P-0047768-T01-IM6	62
P-0047771-T01-IM6	90
P-0047974-T01-IM6	44
P-0048176-T01-IM6	25
P-0048238-T01-IM6	23
P-0048255-T01-IM6	38
P-0048521-T01-IM6	23
P-0048589-T01-IM6	21
P-0048620-T01-IM6	32
P-0048757-T01-IM6	33
P-0048915-T01-IM6	21
P-0048984-T01-IM6	20
P-0049047-T01-IM6	629
P-0049073-T01-IM6	219
P-0049274-T01-IM6	46
P-0049291-T01-IM6	45
P-0049371-T01-IM6	51
P-0049473-T01-IM6	28
P-0049485-T01-IM6	46
P-0049760-T01-IM6	384
P-0049775-T01-IM6	32
P-0049788-T01-IM6	22
P-0049805-T01-IM6	21
P-0049931-T01-IM6	39
P-0050111-T01-IM6	28
