Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000614-T01-IM3	20	0.313	28.88	144.4%	6.775	112.917%	2.04864	0.215
P-0001791-T01-IM3	14	0.407	18.423	131.593%	4.293	107.325%	1.76357	0.317
P-0004255-T01-IM5	20	0.549	26.434	132.17%	5.957	87.831%	1.46661	0.494
P-0005564-T01-IM5	85	0.658	78.894	92.816%	19.025	85.168%	0.72218	0.601
P-0006201-T01-IM5	31	0.605	36.444	117.561%	7.669	88.554%	1.2865	0.543
P-0010671-T01-IM5	15	0.621	18.64	124.267%	3.938	82.113%	1.44307	0.572
P-0010967-T01-IM5	161	0.91	114.537	71.141%	31.242	47.451%	0.39928	0.909
P-0011222-T01-IM5	18	0.472	25.463	141.461%	4.786	112.807%	1.80648	0.373
P-0011569-T01-IM5	45	0.586	51.579	114.62%	13.145	83.64%	0.93174	0.538
P-0011570-T01-IM5	114	0.889	78.905	69.215%	24.387	51.095%	0.50948	0.886
P-0012113-T01-IM5	238	0.932	109.009	45.802%	24.481	43.744%	0.21315	0.922
P-0012179-T01-IM5	37	0.532	45.497	122.965%	12.801	86.109%	1.12824	0.488
P-0012397-T01-IM5	224	0.796	148.001	66.072%	39.201	64.603%	0.34437	0.764
P-0012441-T01-IM5	22	0.523	28.652	130.236%	5.906	98.433%	1.53519	0.447
P-0012445-T01-IM5	171	0.924	112.889	66.017%	26.183	41.782%	0.36316	0.92
P-0012670-T01-IM5	120	0.864	94.876	79.063%	23.494	51.915%	0.54893	0.854
P-0012726-T01-IM5	20	0.462	27.926	139.63%	5.904	101.253%	1.81468	0.383
P-0012819-T01-IM5	21	0.583	24.773	117.967%	5.281	91.93%	1.33389	0.517
P-0012848-T01-IM5	15	0.567	17.932	119.547%	3.966	90.986%	1.45232	0.503
P-0012988-T01-IM5	153	0.488	158.038	103.293%	42.408	102.404%	0.88208	0.406
P-0013350-T01-IM5	150	0.907	104.512	69.675%	24.696	44.806%	0.42296	0.901
P-0013452-T01-IM5	14	0.693	15.208	108.629%	3.69	72.367%	1.21214	0.661
P-0013537-T01-IM5	191	0.908	130.625	68.39%	47.301	52.644%	0.37495	0.912
P-0014388-T01-IM6	19	0.655	22.78	119.895%	5.049	76.997%	1.35933	0.615
P-0014495-T01-IM6	13	0.412	18.49	142.231%	4.363	100.094%	1.6596	0.339
P-0014528-T01-IM6	17	0.793	22.099	129.994%	7.725	70.815%	1.19034	0.8
P-0014680-T01-IM6	10	0.382	15.451	154.51%	3.71	99.154%	2.07259	0.314
P-0014780-T01-IM6	47	0.674	52.124	110.902%	12.654	74.435%	0.87691	0.639
P-0015048-T01-IM6	17	0.458	24.11	141.824%	5.061	101.22%	1.78056	0.379
P-0015293-T01-IM6	38	0.395	52.944	139.326%	11.407	111.855%	1.67945	0.296
P-0015626-T01-IM6	136	0.917	79.594	58.525%	18.015	40.445%	0.36145	0.908
P-0015869-T01-IM6	111	0.903	88.195	79.455%	18.036	45.048%	0.54292	0.896
P-0015885-T01-IM6	79	0.631	81.355	102.981%	20.119	81.795%	0.76115	0.581
P-0016099-T01-IM6	386	0.94	218.443	56.591%	59.452	40.279%	0.2912	0.94
P-0016247-T01-IM6	24	0.39	34.481	143.671%	7.673	106.405%	1.63624	0.302
P-0016341-T01-IM6	20	0.503	24.596	122.98%	5.859	95.046%	1.42151	0.435
P-0016505-T01-IM6	38	0.85	34.753	91.455%	7.606	53.783%	0.77045	0.837
P-0016801-T01-IM6	28	0.508	35.906	128.236%	8.415	92.928%	1.27201	0.444
P-0016825-T01-IM6	56	0.82	52.216	93.243%	16.818	62.246%	0.67459	0.817
P-0016904-T01-IM6	25	0.648	29.206	116.824%	6.58	78.09%	1.29736	0.606
P-0017681-T01-IM6	22	0.444	31.152	141.6%	7.17	97.571%	1.48831	0.374
P-0017713-T01-IM6	47	0.497	55.856	118.843%	12.452	106.385%	1.14146	0.408
P-0017883-T01-IM6	34	0.509	42.538	125.112%	11.613	88.548%	1.19767	0.46
P-0018005-T01-IM6	47	0.592	57.607	122.568%	14.247	82.118%	1.15388	0.549
P-0018100-T01-IM6	327	0.401	368.859	112.801%	88.512	132.255%	0.91154	0.269
P-0018106-T01-IM6	16	0.238	25.353	158.456%	5.775	117.882%	2.1216	0.131
P-0018204-T01-IM6	40	0.412	51.441	128.602%	11.664	112.237%	1.27796	0.312
P-0018224-T01-IM6	14	0.455	20.132	143.8%	4.389	98.141%	1.78112	0.383
P-0018353-T01-IM6	25	0.526	32.033	128.132%	6.781	96.871%	1.34006	0.453
P-0018723-T01-IM6	2	0.011	3.982	199.1%	1.513	106.985%	5.43023	-0.045
P-0019093-T01-IM6	25	0.323	36.442	145.768%	8.52	110.921%	1.69001	0.229
P-0019386-T01-IM6	27	0.544	33.15	122.778%	7.243	94.296%	1.27944	0.475
P-0019598-T01-IM6	17	0.717	16.68	98.118%	3.666	73.32%	1.04628	0.675
P-0019649-T01-IM6	258	0.967	101.898	39.495%	22.841	27.537%	0.19984	0.964
P-0019650-T01-IM6	21	0.52	24.65	117.381%	5.664	98.598%	1.23692	0.444
P-0019658-T01-IM6	89	0.846	84.12	94.517%	21.987	57.095%	0.67336	0.841
P-0019741-T01-IM6	36	0.654	40.802	113.339%	9.416	77.399%	1.07309	0.613
P-0020009-T01-IM6	20	0.413	26.543	132.715%	6.563	101.269%	1.39755	0.336
P-0020227-T01-IM6	27	0.456	34.597	128.137%	7.118	120.316%	1.51055	0.345
P-0020271-T01-IM6	43	0.5	49.204	114.428%	11.986	99.538%	1.02712	0.422
P-0020509-T01-IM6	20	0.688	22.612	113.06%	5.534	72.665%	1.09646	0.658
P-0020754-T01-IM6	14	0.539	17.386	124.186%	3.784	94.6%	1.66474	0.47
P-0021505-T01-IM6	36	0.616	38.051	105.697%	8.38	92.542%	0.89484	0.549
P-0021670-T01-IM6	14	0.46	19.951	142.507%	4.781	93.763%	2.00482	0.4
P-0021897-T01-IM6	9	0.094	16.6	184.444%	3.957	119.308%	3.06491	-0.008
P-0022010-T01-IM6	49	0.674	52.586	107.318%	12.984	74.591%	0.84109	0.638
P-0023250-T01-IM6	24	0.331	35.506	147.942%	7.511	118.759%	1.77239	0.22
P-0023555-T01-IM6	47	0.584	53.385	113.585%	13.597	84.163%	0.88079	0.535
P-0023857-T01-IM6	33	0.673	36.552	110.764%	7.911	77.203%	1.04492	0.628
P-0023968-T01-IM6	14	0.533	19.254	137.529%	4.201	89.566%	1.58682	0.475
P-0024106-T01-IM6	14	0.505	17.453	124.664%	4.053	95.53%	1.43516	0.435
P-0024289-T01-IM6	44	0.423	53.869	122.43%	14.239	100.685%	1.31747	0.347
P-0025195-T01-IM6	23	0.399	30.196	131.287%	6.832	112.317%	1.61408	0.3
P-0025240-T01-IM6	32	0.554	37.331	116.659%	8.737	91.09%	1.13299	0.491
