Samples	SBS96A	SBS96B
P-0000614-T01-IM3	6.92E-02	6.92E-02
P-0001791-T01-IM3	1.00E-02	1.00E-02
P-0004255-T01-IM5	2.08E-01	2.06E-01
P-0005564-T01-IM5	3.16E-01	3.16E-01
P-0006201-T01-IM5	3.12E-01	3.12E-01
P-0010671-T01-IM5	1.99E-01	1.99E-01
P-0010967-T01-IM5	5.65E-01	5.67E-01
P-0011222-T01-IM5	2.57E-01	2.57E-01
P-0011569-T01-IM5	2.06E-01	2.06E-01
P-0011570-T01-IM5	8.02E-01	8.00E-01
P-0012113-T01-IM5	1.11E+00	1.11E+00
P-0012179-T01-IM5	9.53E-02	9.31E-02
P-0012397-T01-IM5	8.60E-01	8.60E-01
P-0012441-T01-IM5	1.40E-01	1.40E-01
P-0012445-T01-IM5	9.20E-01	9.19E-01
P-0012670-T01-IM5	4.70E-01	4.73E-01
P-0012726-T01-IM5	1.19E-01	1.19E-01
P-0012819-T01-IM5	1.90E-01	1.90E-01
P-0012848-T01-IM5	1.76E-01	1.76E-01
P-0012988-T01-IM5	3.73E-01	3.75E-01
P-0013350-T01-IM5	5.95E-01	5.95E-01
P-0013452-T01-IM5	2.23E-01	2.23E-01
P-0013537-T01-IM5	9.63E-01	9.64E-01
P-0014388-T01-IM6	2.19E-01	2.19E-01
P-0014495-T01-IM6	1.18E-01	1.18E-01
P-0014528-T01-IM6	0.00E+00	0.00E+00
P-0014680-T01-IM6	0.00E+00	0.00E+00
P-0014780-T01-IM6	2.95E-01	2.94E-01
P-0015048-T01-IM6	2.59E-01	2.59E-01
P-0015293-T01-IM6	0.00E+00	0.00E+00
P-0015626-T01-IM6	8.59E-01	8.59E-01
P-0015869-T01-IM6	2.78E-01	2.78E-01
P-0015885-T01-IM6	2.14E-01	2.14E-01
P-0016099-T01-IM6	1.74E+00	1.74E+00
P-0016247-T01-IM6	1.24E-01	1.22E-01
P-0016341-T01-IM6	1.46E-01	1.46E-01
P-0016505-T01-IM6	3.80E-01	3.80E-01
P-0016801-T01-IM6	5.07E-02	5.07E-02
P-0016825-T01-IM6	1.36E-01	1.36E-01
P-0016904-T01-IM6	2.33E-01	2.33E-01
P-0017681-T01-IM6	5.70E-02	5.70E-02
P-0017713-T01-IM6	5.09E-02	5.09E-02
