Samples	SBS96A	SBS96B	SBS96C
P-0000614-T01-IM3	1	2	17
P-0001791-T01-IM3	0	6	8
P-0004255-T01-IM5	1	9	10
P-0005564-T01-IM5	4	48	33
P-0006201-T01-IM5	5	7	19
P-0010671-T01-IM5	2	6	7
P-0010967-T01-IM5	141	17	3
P-0011222-T01-IM5	4	1	13
P-0011569-T01-IM5	0	35	10
P-0011570-T01-IM5	86	28	0
P-0012113-T01-IM5	67	83	88
P-0012179-T01-IM5	0	28	9
P-0012397-T01-IM5	32	145	47
P-0012441-T01-IM5	2	7	13
P-0012445-T01-IM5	129	27	15
P-0012670-T01-IM5	108	7	5
P-0012726-T01-IM5	2	3	15
P-0012819-T01-IM5	2	9	10
P-0012848-T01-IM5	0	8	7
P-0012988-T01-IM5	9	24	120
P-0013350-T01-IM5	128	11	11
P-0013452-T01-IM5	3	5	6
P-0013537-T01-IM5	153	38	0
P-0014388-T01-IM6	1	18	0
P-0014495-T01-IM6	1	3	9
P-0014528-T01-IM6	17	0	0
P-0014680-T01-IM6	0	8	2
P-0014780-T01-IM6	2	40	5
P-0015048-T01-IM6	1	10	6
P-0015293-T01-IM6	0	22	16
P-0015626-T01-IM6	63	71	2
P-0015869-T01-IM6	97	12	2
P-0015885-T01-IM6	0	57	22
P-0016099-T01-IM6	309	76	1
P-0016247-T01-IM6	0	7	17
P-0016341-T01-IM6	0	11	9
P-0016505-T01-IM6	27	11	0
P-0016801-T01-IM6	0	18	10
P-0016825-T01-IM6	56	0	0
P-0016904-T01-IM6	4	16	5
P-0017681-T01-IM6	0	9	13
P-0017713-T01-IM6	0	19	28
P-0017883-T01-IM6	0	25	9
P-0018005-T01-IM6	0	47	0
P-0018100-T01-IM6	7	28	292
P-0018106-T01-IM6	0	3	13
P-0018204-T01-IM6	1	6	33
P-0018224-T01-IM6	3	2	9
P-0018353-T01-IM6	0	17	8
P-0018723-T01-IM6	0	0	2
P-0019093-T01-IM6	0	7	18
P-0019386-T01-IM6	0	15	12
P-0019598-T01-IM6	3	5	9
P-0019649-T01-IM6	146	105	7
P-0019650-T01-IM6	0	7	14
P-0019658-T01-IM6	89	0	0
P-0019741-T01-IM6	0	27	9
P-0020009-T01-IM6	0	9	11
P-0020227-T01-IM6	3	2	22
P-0020271-T01-IM6	0	19	24
P-0020509-T01-IM6	2	18	0
P-0020754-T01-IM6	1	7	6
P-0021505-T01-IM6	1	16	19
P-0021670-T01-IM6	3	4	7
P-0021897-T01-IM6	0	0	9
P-0022010-T01-IM6	2	47	0
P-0023250-T01-IM6	2	1	21
P-0023555-T01-IM6	0	40	7
P-0023857-T01-IM6	4	17	12
P-0023968-T01-IM6	0	10	4
P-0024106-T01-IM6	1	6	7
P-0024289-T01-IM6	0	23	21
P-0025195-T01-IM6	0	9	14
P-0025240-T01-IM6	0	19	13
P-0025248-T01-IM6	1	12	15
P-0025312-T01-IM6	4	12	8
P-0025648-T01-IM6	145	7	6
P-0025885-T01-IM6	2	22	6
P-0026714-T01-IM6	0	3	15
P-0027652-T01-IM6	179	15	15
P-0028495-T01-IM6	1	10	9
P-0028774-T01-IM6	3	6	6
P-0029690-T01-IM6	114	16	0
P-0029778-T01-IM6	2	0	18
P-0029972-T01-IM6	30	0	273
P-0030260-T01-IM6	0	21	6
P-0031042-T01-IM6	0	9	19
P-0031094-T01-IM6	0	12	13
P-0031195-T01-IM6	0	1	16
P-0031211-T01-IM6	2	28	0
P-0031271-T01-IM6	0	8	13
P-0031436-T01-IM6	0	4	21
P-0031501-T01-IM6	5	45	16
P-0032113-T01-IM6	2	36	8
P-0032161-T02-IM6	0	19	21
P-0032443-T01-IM6	0	18	5
P-0032496-T01-IM6	291	4	10
P-0032497-T01-IM6	2	6	13
P-0032548-T01-IM6	109	11	0
P-0032567-T01-IM6	0	29	12
P-0032761-T01-IM6	1	5	17
P-0032818-T01-IM6	204	48	0
P-0032990-T01-IM6	3	0	14
P-0032994-T01-IM6	1	20	19
P-0033016-T01-IM6	48	21	7
P-0033133-T01-IM6	0	124	21
P-0033682-T01-IM6	6	22	3
P-0034775-T01-IM6	0	3	12
P-0034862-T01-IM6	4	2	11
P-0034915-T01-IM6	28	158	133
P-0035146-T01-IM6	126	9	13
P-0035147-T01-IM6	100	0	6
P-0035281-T01-IM6	111	20	0
P-0035770-T01-IM6	328	0	30
P-0035790-T01-IM6	58	322	127
P-0036123-T01-IM6	137	39	0
P-0036230-T01-IM6	5	1	15
P-0036297-T01-IM6	103	18	0
P-0036505-T01-IM6	0	5	14
P-0036664-T01-IM6	0	12	9
P-0036740-T03-IM6	1	7	10
P-0036868-T01-IM6	0	10	7
P-0037690-T01-IM6	8	58	16
P-0037917-T01-IM6	2	2	4
P-0038016-T01-IM6	1	24	5
P-0038084-T01-IM6	4	38	2
P-0038520-T01-IM6	1	14	32
P-0038755-T01-IM6	36	8	2
P-0038944-T01-IM6	6	16	3
P-0039054-T01-IM6	163	180	159
P-0039231-T01-IM6	0	19	4
P-0039466-T01-IM6	0	21	19
P-0039477-T01-IM6	0	28	1
P-0039599-T01-IM6	1	0	7
P-0039704-T01-IM6	360	0	1
P-0039773-T01-IM6	50	5	1
P-0039854-T01-IM6	6	14	11
P-0040023-T01-IM6	53	344	107
P-0040086-T01-IM6	70	4	9
P-0040149-T01-IM6	3	5	17
P-0040228-T01-IM6	2	13	9
P-0040284-T01-IM6	96	6	4
P-0040575-T01-IM6	4	38	2
P-0040701-T01-IM6	4	7	8
P-0040828-T01-IM6	250	244	0
P-0040884-T01-IM6	0	4	11
P-0040892-T01-IM6	0	11	17
P-0040992-T01-IM6	1	24	15
P-0041146-T01-IM6	174	0	31
P-0041318-T01-IM6	21	4	3
P-0041346-T01-IM6	200	0	18
P-0041347-T01-IM6	1	2	11
P-0042199-T01-IM6	215	88	0
P-0042256-T01-IM6	72	3	0
P-0042644-T01-IM6	7	11	18
P-0042702-T01-IM6	76	7	0
P-0042762-T01-IM6	4	2	74
