NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.308	98.038	12.177	61.817	1.043	0.691	30000.0
2	52.913	98.914	12.476	61.879	1.028	0.701	30000.0
3	52.729	98.928	12.164	61.85	1.018	0.703	20000.0
4	53.886	99.984	12.531	62.994	1.051	0.688	30000.0
5	53.219	98.42	12.538	62.289	1.027	0.701	20000.0
6	52.577	98.628	12.259	62.15	1.046	0.694	20000.0
7	52.764	98.574	12.373	62.375	1.022	0.697	30000.0
8	52.511	97.092	12.212	61.185	1.013	0.709	30000.0
9	52.639	98.277	12.244	62.372	1.028	0.697	40000.0
10	52.441	97.667	12.178	61.172	1.018	0.707	40000.0
11	53.252	98.631	12.471	62.319	1.041	0.697	30000.0
12	51.607	96.947	12.209	61.132	1.012	0.708	40000.0
13	52.544	97.235	12.103	61.317	1.034	0.7	20000.0
14	52.433	97.195	12.332	61.214	0.994	0.709	20000.0
15	53.37	99.327	12.42	62.035	1.038	0.701	40000.0
16	52.909	99.31	12.393	61.912	1.032	0.699	30000.0
17	52.462	97.76	12.305	61.83	1.009	0.699	30000.0
18	52.147	97.27	12.272	61.264	1.016	0.704	40000.0
19	52.827	98.534	12.262	61.766	1.031	0.699	20000.0
20	51.548	96.99	12.113	61.327	1.014	0.701	20000.0
21	52.653	97.499	12.371	61.647	1.01	0.706	30000.0
22	53.071	98.226	12.436	61.62	1.021	0.706	20000.0
23	53.193	99.444	12.344	62.741	1.037	0.689	20000.0
24	52.286	97.055	12.014	61.448	1.015	0.707	30000.0
25	52.15	96.465	11.897	60.92	1.009	0.712	20000.0
26	51.661	96.34	12.072	60.65	1.001	0.711	30000.0
27	52.772	97.758	12.29	61.34	1.015	0.708	30000.0
28	52.334	98.181	12.164	62.259	1.032	0.695	40000.0
29	52.406	97.015	12.165	61.368	1.007	0.705	30000.0
30	52.546	98.945	12.238	62.273	1.024	0.693	20000.0
31	52.614	97.654	12.288	61.482	1.017	0.704	30000.0
32	52.963	97.969	12.209	61.166	1.029	0.704	30000.0
33	53.018	98.253	12.43	61.431	1.009	0.708	20000.0
34	52.412	96.779	12.254	61.576	1.018	0.703	20000.0
35	53.004	97.479	12.32	61.768	1.017	0.702	20000.0
36	51.737	96.649	11.971	61.175	1.002	0.709	20000.0
37	52.339	96.843	12.216	61.265	0.999	0.708	20000.0
38	52.712	97.133	12.403	61.47	1.02	0.703	40000.0
39	52.373	97.608	12.319	61.622	1.021	0.703	20000.0
40	52.177	98.278	12.023	61.426	1.024	0.707	30000.0
41	53.01	98.765	12.496	61.84	1.033	0.703	30000.0
42	52.392	98.473	12.339	61.653	1.02	0.7	20000.0
43	52.157	97.055	12.029	60.986	1.023	0.705	30000.0
44	52.845	98.5	12.471	61.495	1.026	0.703	20000.0
45	52.349	98.835	12.291	62.239	1.023	0.693	40000.0
46	52.646	98.043	12.318	61.732	1.019	0.701	20000.0
47	52.911	97.913	12.412	61.846	1.035	0.7	20000.0
48	52.583	98.206	12.165	61.509	1.026	0.704	50000.0
49	53.096	99.333	12.346	61.912	1.022	0.703	20000.0
50	52.131	96.976	12.203	61.588	1.015	0.7	30000.0
51	52.966	97.266	12.361	61.076	1.0	0.71	20000.0
52	52.504	97.844	12.192	61.498	1.023	0.702	30000.0
53	51.242	96.211	11.773	63.068	1.046	0.698	30000.0
54	52.728	98.12	12.144	62.112	1.02	0.696	30000.0
55	52.031	97.78	12.129	61.315	1.012	0.705	40000.0
56	51.861	97.061	11.867	61.211	1.011	0.703	20000.0
57	52.265	96.946	12.327	61.451	1.001	0.708	30000.0
58	51.841	95.525	12.226	60.863	0.991	0.713	20000.0
59	52.062	96.189	12.092	60.507	1.004	0.714	20000.0
60	52.283	97.209	12.35	61.213	1.016	0.705	30000.0
61	52.555	96.828	12.364	61.368	1.01	0.704	30000.0
62	51.437	97.297	11.374	62.219	1.055	0.7	40000.0
63	51.748	96.275	12.113	61.16	1.002	0.708	20000.0
64	52.087	97.282	12.167	61.701	1.006	0.704	20000.0
65	52.383	98.523	12.275	62.175	1.032	0.7	20000.0
66	52.777	96.786	12.524	60.951	0.998	0.712	20000.0
67	53.663	98.556	12.476	61.974	1.023	0.698	30000.0
68	52.678	98.299	12.154	61.795	1.016	0.702	30000.0
69	52.477	98.04	12.176	61.268	1.023	0.702	20000.0
70	53.188	97.291	12.756	61.351	1.002	0.712	20000.0
71	52.891	98.649	12.166	62.293	1.035	0.698	20000.0
72	52.761	98.526	12.341	61.841	1.028	0.702	20000.0
73	52.545	97.091	12.29	60.911	1.004	0.71	20000.0
74	52.105	96.628	12.289	61.197	1.024	0.703	40000.0
75	52.447	96.781	12.036	61.053	0.997	0.706	20000.0
76	52.592	97.555	12.1	61.493	1.017	0.703	20000.0
77	52.523	98.076	12.258	61.463	1.044	0.702	20000.0
78	51.954	98.576	12.076	62.164	1.035	0.693	30000.0
79	52.516	97.429	12.514	61.615	1.005	0.706	40000.0
80	51.712	97.621	12.411	62.055	1.023	0.692	30000.0
81	52.518	97.135	12.433	61.988	1.015	0.703	20000.0
82	52.567	97.381	12.16	61.469	1.016	0.7	20000.0
83	52.407	98.091	12.442	62.101	1.017	0.704	20000.0
