Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000614-T01-IM3	0	2	2	16
P-0001791-T01-IM3	0	7	0	7
P-0004255-T01-IM5	0	7	4	9
P-0005564-T01-IM5	0	38	18	29
P-0006201-T01-IM5	0	3	13	15
P-0010671-T01-IM5	0	3	6	6
P-0010967-T01-IM5	120	11	30	0
P-0011222-T01-IM5	3	1	1	13
P-0011569-T01-IM5	2	36	1	6
P-0011570-T01-IM5	40	0	74	0
P-0012113-T01-IM5	63	83	27	65
P-0012179-T01-IM5	0	29	0	8
P-0012397-T01-IM5	17	120	57	30
P-0012441-T01-IM5	0	5	4	13
P-0012445-T01-IM5	88	0	83	0
P-0012670-T01-IM5	104	16	0	0
P-0012726-T01-IM5	0	2	6	12
P-0012819-T01-IM5	0	7	5	9
P-0012848-T01-IM5	0	7	2	6
P-0012988-T01-IM5	5	29	20	99
P-0013350-T01-IM5	108	1	41	0
P-0013452-T01-IM5	0	1	10	3
P-0013537-T01-IM5	84	0	107	0
P-0014388-T01-IM6	0	14	5	0
P-0014495-T01-IM6	0	2	2	9
P-0014528-T01-IM6	8	0	9	0
P-0014680-T01-IM6	0	7	0	3
P-0014780-T01-IM6	0	35	9	3
P-0015048-T01-IM6	1	9	1	6
P-0015293-T01-IM6	0	21	0	17
P-0015626-T01-IM6	27	27	82	0
P-0015869-T01-IM6	77	1	33	0
P-0015885-T01-IM6	3	56	0	20
P-0016099-T01-IM6	260	55	71	0
P-0016247-T01-IM6	1	8	0	15
P-0016341-T01-IM6	1	12	0	7
P-0016505-T01-IM6	11	0	27	0
P-0016801-T01-IM6	0	17	3	8
P-0016825-T01-IM6	52	4	0	0
P-0016904-T01-IM6	1	11	9	4
P-0017681-T01-IM6	0	9	0	13
P-0017713-T01-IM6	0	21	4	22
P-0017883-T01-IM6	1	25	0	8
P-0018005-T01-IM6	1	45	0	1
P-0018100-T01-IM6	4	47	17	259
P-0018106-T01-IM6	0	4	0	12
P-0018204-T01-IM6	0	6	4	30
P-0018224-T01-IM6	3	4	0	7
P-0018353-T01-IM6	0	17	1	7
P-0018723-T01-IM6	0	0	0	2
P-0019093-T01-IM6	0	8	0	17
P-0019386-T01-IM6	1	16	1	9
P-0019598-T01-IM6	2	4	4	7
P-0019649-T01-IM6	85	38	135	0
P-0019650-T01-IM6	1	8	0	12
P-0019658-T01-IM6	82	1	6	0
P-0019741-T01-IM6	0	25	6	5
P-0020009-T01-IM6	0	10	0	10
P-0020227-T01-IM6	0	0	7	20
P-0020271-T01-IM6	0	21	0	22
P-0020509-T01-IM6	2	16	2	0
P-0020754-T01-IM6	0	6	2	6
P-0021505-T01-IM6	1	15	4	16
P-0021670-T01-IM6	0	2	5	7
P-0021897-T01-IM6	0	0	0	9
P-0022010-T01-IM6	0	39	10	0
P-0023250-T01-IM6	1	1	3	19
P-0023555-T01-IM6	0	38	0	9
P-0023857-T01-IM6	2	14	7	10
P-0023968-T01-IM6	0	8	2	4
P-0024106-T01-IM6	2	6	0	6
P-0024289-T01-IM6	0	25	0	19
P-0025195-T01-IM6	0	12	0	11
P-0025240-T01-IM6	0	20	0	12
P-0025248-T01-IM6	0	11	6	11
P-0025312-T01-IM6	0	6	10	8
P-0025648-T01-IM6	131	11	16	0
P-0025885-T01-IM6	0	22	7	1
P-0026714-T01-IM6	0	4	0	14
P-0027652-T01-IM6	146	0	63	0
P-0028495-T01-IM6	0	9	3	8
P-0028774-T01-IM6	0	3	6	6
P-0029690-T01-IM6	103	20	7	0
P-0029778-T01-IM6	0	0	4	16
P-0029972-T01-IM6	32	5	0	266
P-0030260-T01-IM6	0	16	4	7
P-0031042-T01-IM6	0	13	0	15
P-0031094-T01-IM6	0	13	0	12
P-0031195-T01-IM6	0	1	0	16
P-0031211-T01-IM6	1	25	4	0
P-0031271-T01-IM6	0	8	0	13
P-0031436-T01-IM6	0	5	0	20
P-0031501-T01-IM6	0	35	21	10
P-0032113-T01-IM6	2	36	6	2
P-0032161-T02-IM6	2	20	0	18
P-0032443-T01-IM6	0	17	4	2
P-0032496-T01-IM6	255	2	48	0
P-0032497-T01-IM6	1	4	3	13
P-0032548-T01-IM6	67	0	53	0
P-0032567-T01-IM6	2	31	0	8
P-0032761-T01-IM6	0	5	2	16
P-0032818-T01-IM6	92	0	160	0
P-0032990-T01-IM6	2	1	0	14
P-0032994-T01-IM6	0	18	6	16
P-0033016-T01-IM6	44	19	13	0
P-0033133-T01-IM6	7	125	10	3
P-0033682-T01-IM6	1	16	13	1
P-0034775-T01-IM6	0	4	0	11
P-0034862-T01-IM6	2	1	3	11
P-0034915-T01-IM6	46	182	0	91
P-0035146-T01-IM6	111	7	23	7
P-0035147-T01-IM6	95	3	4	4
P-0035281-T01-IM6	54	0	77	0
P-0035770-T01-IM6	302	7	38	11
P-0035790-T01-IM6	71	322	35	79
P-0036123-T01-IM6	65	0	111	0
P-0036230-T01-IM6	1	0	7	13
P-0036297-T01-IM6	81	6	34	0
P-0036505-T01-IM6	0	7	0	12
P-0036664-T01-IM6	0	13	0	8
P-0036740-T03-IM6	0	5	4	9
