Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000614-T01-IM3	8.17E-02	1.99E-01	2.28E-01	2.64E-01
P-0001791-T01-IM3	0.00E+00	2.98E-01	3.17E-01	3.22E-01
P-0004255-T01-IM5	1.05E-01	4.07E-01	3.69E-01	3.34E-01
P-0005564-T01-IM5	2.32E-01	1.05E+00	1.00E+00	9.35E-01
P-0006201-T01-IM5	2.43E-01	5.60E-01	5.13E-01	5.58E-01
P-0010671-T01-IM5	1.72E-01	2.88E-01	3.05E-01	2.67E-01
P-0010967-T01-IM5	1.82E+00	7.64E-01	1.95E+00	2.74E-01
P-0011222-T01-IM5	2.19E-01	1.74E-01	2.09E-01	3.09E-01
P-0011569-T01-IM5	1.41E-01	8.60E-01	9.50E-01	4.39E-01
P-0011570-T01-IM5	2.46E+00	8.79E-01	2.89E+00	4.73E-01
P-0012113-T01-IM5	1.28E+00	2.17E+00	2.54E+00	1.84E+00
P-0012179-T01-IM5	0.00E+00	8.30E-01	8.40E-01	3.29E-01
P-0012397-T01-IM5	9.55E-01	2.26E+00	2.46E+00	1.52E+00
P-0012441-T01-IM5	7.52E-02	4.39E-01	4.17E-01	4.12E-01
P-0012445-T01-IM5	2.60E+00	1.14E+00	3.25E+00	8.02E-01
P-0012670-T01-IM5	9.92E-01	6.28E-01	1.02E+00	2.22E-01
P-0012726-T01-IM5	1.05E-01	4.20E-01	4.28E-01	5.21E-01
P-0012819-T01-IM5	1.32E-01	4.29E-01	3.69E-01	3.63E-01
P-0012848-T01-IM5	1.09E-01	3.67E-01	3.13E-01	3.19E-01
P-0012988-T01-IM5	3.87E-01	2.20E+00	4.39E+00	3.14E+00
P-0013350-T01-IM5	1.66E+00	7.52E-01	1.86E+00	4.20E-01
P-0013452-T01-IM5	1.69E-01	3.28E-01	2.92E-01	2.58E-01
P-0013537-T01-IM5	3.87E+00	1.46E+00	4.73E+00	4.10E-01
P-0014388-T01-IM6	1.38E-01	4.86E-01	4.88E-01	3.02E-01
P-0014495-T01-IM6	7.92E-02	3.12E-01	3.42E-01	3.46E-01
P-0014528-T01-IM6	4.56E-01	2.00E-02	4.61E-01	4.04E-02
P-0014680-T01-IM6	0.00E+00	3.02E-01	2.69E-01	2.50E-01
P-0014780-T01-IM6	1.41E-02	1.02E+00	1.07E+00	3.73E-01
P-0015048-T01-IM6	1.71E-01	4.11E-01	3.22E-01	4.20E-01
P-0015293-T01-IM6	0.00E+00	5.96E-01	7.33E-01	7.15E-01
P-0015626-T01-IM6	1.86E+00	2.18E+00	3.28E+00	6.45E-01
P-0015869-T01-IM6	1.31E+00	5.14E-01	1.57E+00	2.22E-01
P-0015885-T01-IM6	1.32E-01	1.52E+00	1.50E+00	6.83E-01
P-0016099-T01-IM6	4.00E+00	2.15E+00	4.56E+00	1.31E-01
P-0016247-T01-IM6	1.04E-01	5.30E-01	5.79E-01	5.06E-01
P-0016341-T01-IM6	1.34E-01	3.75E-01	3.87E-01	3.68E-01
P-0016505-T01-IM6	6.92E-01	3.53E-01	8.20E-01	2.73E-01
P-0016801-T01-IM6	3.43E-02	5.40E-01	5.84E-01	5.18E-01
P-0016825-T01-IM6	5.23E-01	2.91E-01	5.75E-01	4.45E-02
P-0016904-T01-IM6	1.05E-01	6.17E-01	5.60E-01	3.80E-01
P-0017681-T01-IM6	1.00E-02	5.27E-01	4.39E-01	4.30E-01
P-0017713-T01-IM6	1.41E-02	1.14E+00	1.27E+00	8.73E-01
P-0017883-T01-IM6	0.00E+00	8.06E-01	7.76E-01	4.27E-01
P-0018005-T01-IM6	0.00E+00	1.13E+00	1.21E+00	4.77E-01
P-0018100-T01-IM6	4.96E-01	6.40E+00	1.09E+01	7.80E+00
P-0018106-T01-IM6	0.00E+00	3.11E-01	3.34E-01	3.88E-01
P-0018204-T01-IM6	1.38E-01	6.72E-01	9.42E-01	9.23E-01
P-0018224-T01-IM6	2.01E-01	3.44E-01	3.61E-01	3.60E-01
P-0018353-T01-IM6	3.30E-02	5.48E-01	5.46E-01	4.33E-01
P-0018723-T01-IM6	9.77E-02	5.20E-02	5.39E-02	9.67E-02
P-0019093-T01-IM6	0.00E+00	5.99E-01	4.73E-01	5.83E-01
P-0019386-T01-IM6	1.60E-01	5.12E-01	4.47E-01	4.56E-01
P-0019598-T01-IM6	1.84E-01	3.55E-01	3.47E-01	3.30E-01
P-0019649-T01-IM6	3.39E+00	2.30E+00	4.73E+00	8.66E-01
P-0019650-T01-IM6	1.02E-01	3.80E-01	3.33E-01	3.70E-01
P-0019658-T01-IM6	1.03E+00	1.55E-01	1.06E+00	1.43E-01
P-0019741-T01-IM6	2.00E-02	7.49E-01	6.93E-01	4.66E-01
P-0020009-T01-IM6	1.18E-01	3.78E-01	2.88E-01	3.18E-01
P-0020227-T01-IM6	1.49E-01	2.47E-01	4.54E-01	4.88E-01
