Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0000614-T01-IM3	0	1	2	0	17
P-0001791-T01-IM3	0	0	4	5	5
P-0004255-T01-IM5	0	3	6	0	11
P-0005564-T01-IM5	0	13	19	37	16
P-0006201-T01-IM5	0	7	2	12	10
P-0010671-T01-IM5	0	4	0	8	3
P-0010967-T01-IM5	107	35	5	14	0
P-0011222-T01-IM5	2	1	0	1	14
P-0011569-T01-IM5	1	3	17	24	0
P-0011570-T01-IM5	39	73	0	2	0
P-0012113-T01-IM5	54	27	49	76	32
P-0012179-T01-IM5	0	2	30	0	5
P-0012397-T01-IM5	11	44	71	90	8
P-0012441-T01-IM5	0	3	7	0	12
P-0012445-T01-IM5	77	69	0	5	20
P-0012670-T01-IM5	92	9	8	11	0
P-0012726-T01-IM5	0	3	5	0	12
P-0012819-T01-IM5	0	4	7	1	9
P-0012848-T01-IM5	0	2	6	3	4
P-0012988-T01-IM5	7	3	0	101	42
P-0013350-T01-IM5	97	40	1	8	4
P-0013452-T01-IM5	0	5	0	9	0
P-0013537-T01-IM5	83	108	0	0	0
P-0014388-T01-IM6	0	5	11	3	0
P-0014495-T01-IM6	0	2	3	1	7
P-0014528-T01-IM6	7	10	0	0	0
P-0014680-T01-IM6	0	0	6	2	2
P-0014780-T01-IM6	0	9	30	7	1
P-0015048-T01-IM6	1	1	11	0	4
P-0015293-T01-IM6	0	1	12	11	14
P-0015626-T01-IM6	23	63	40	0	10
P-0015869-T01-IM6	73	33	5	0	0
P-0015885-T01-IM6	2	6	49	7	15
P-0016099-T01-IM6	224	80	26	56	0
P-0016247-T01-IM6	1	0	7	6	10
P-0016341-T01-IM6	2	0	9	4	5
P-0016505-T01-IM6	11	24	0	0	3
P-0016801-T01-IM6	0	2	6	20	0
P-0016825-T01-IM6	51	0	5	0	0
P-0016904-T01-IM6	1	7	14	0	3
P-0017681-T01-IM6	0	1	11	0	10
P-0017713-T01-IM6	0	2	7	34	4
P-0017883-T01-IM6	1	1	28	0	4
P-0018005-T01-IM6	0	5	42	0	0
P-0018100-T01-IM6	6	0	0	192	129
P-0018106-T01-IM6	0	0	6	0	10
P-0018204-T01-IM6	0	1	0	19	20
P-0018224-T01-IM6	3	0	4	1	6
P-0018353-T01-IM6	0	2	13	6	4
P-0018723-T01-IM6	0	0	0	0	2
P-0019093-T01-IM6	0	0	11	0	14
P-0019386-T01-IM6	1	1	13	9	3
P-0019598-T01-IM6	2	3	2	6	4
P-0019649-T01-IM6	76	104	49	19	10
P-0019650-T01-IM6	1	0	5	7	8
P-0019658-T01-IM6	74	14	0	0	1
P-0019741-T01-IM6	0	5	17	14	0
P-0020009-T01-IM6	0	0	10	0	10
P-0020227-T01-IM6	0	4	3	0	20
P-0020271-T01-IM6	0	1	22	0	20
P-0020509-T01-IM6	1	3	11	5	0
P-0020754-T01-IM6	0	2	5	2	5
P-0021505-T01-IM6	0	3	15	8	10
P-0021670-T01-IM6	0	4	6	0	4
P-0021897-T01-IM6	0	0	0	4	5
P-0022010-T01-IM6	0	10	31	8	0
P-0023250-T01-IM6	2	1	0	8	13
P-0023555-T01-IM6	0	4	32	2	9
P-0023857-T01-IM6	1	6	5	17	4
P-0023968-T01-IM6	0	2	5	3	4
P-0024106-T01-IM6	2	0	7	0	5
P-0024289-T01-IM6	0	0	28	0	16
P-0025195-T01-IM6	0	0	7	11	5
P-0025240-T01-IM6	0	2	13	8	9
P-0025248-T01-IM6	0	4	4	18	2
P-0025312-T01-IM6	0	6	10	0	8
P-0025648-T01-IM6	120	29	9	0	0
P-0025885-T01-IM6	0	5	18	7	0
P-0026714-T01-IM6	0	0	6	0	12
P-0027652-T01-IM6	135	60	0	14	0
P-0028495-T01-IM6	0	3	6	5	6
P-0028774-T01-IM6	0	4	5	0	6
P-0029690-T01-IM6	93	21	14	2	0
P-0029778-T01-IM6	0	1	0	6	13
P-0029972-T01-IM6	29	0	0	23	251
P-0030260-T01-IM6	0	4	11	8	4
