Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0000614-T01-IM3	3.83E-02	2.44E-01	2.57E-01	1.99E-01	3.48E-01
P-0001791-T01-IM3	0.00E+00	1.44E-01	3.16E-01	3.37E-01	3.45E-01
P-0004255-T01-IM5	1.00E-02	2.96E-01	3.33E-01	2.95E-01	4.11E-01
P-0005564-T01-IM5	1.77E-01	8.39E-01	1.23E+00	1.16E+00	9.98E-01
P-0006201-T01-IM5	1.70E-01	3.91E-01	4.65E-01	5.99E-01	5.16E-01
P-0010671-T01-IM5	7.19E-02	2.61E-01	1.78E-01	3.35E-01	3.10E-01
P-0010967-T01-IM5	1.85E+00	1.74E+00	6.29E-01	1.19E+00	2.99E-01
P-0011222-T01-IM5	2.13E-01	2.15E-01	2.39E-01	3.30E-01	4.13E-01
P-0011569-T01-IM5	1.45E-01	4.83E-01	1.19E+00	1.21E+00	3.42E-01
P-0011570-T01-IM5	1.90E+00	2.24E+00	4.55E-01	8.62E-01	5.04E-01
P-0012113-T01-IM5	1.22E+00	1.41E+00	2.66E+00	2.67E+00	1.45E+00
P-0012179-T01-IM5	0.00E+00	5.78E-01	7.05E-01	5.91E-01	3.49E-01
P-0012397-T01-IM5	7.81E-01	2.42E+00	4.29E+00	4.38E+00	1.56E+00
P-0012441-T01-IM5	4.08E-02	2.96E-01	4.32E-01	4.04E-01	5.41E-01
P-0012445-T01-IM5	2.15E+00	2.47E+00	6.90E-01	1.14E+00	8.23E-01
P-0012670-T01-IM5	1.02E+00	1.02E+00	5.56E-01	8.53E-01	3.33E-01
P-0012726-T01-IM5	4.47E-02	4.73E-01	5.83E-01	5.03E-01	6.38E-01
P-0012819-T01-IM5	4.82E-02	2.62E-01	3.94E-01	4.00E-01	3.93E-01
P-0012848-T01-IM5	1.22E-01	2.30E-01	3.52E-01	2.88E-01	3.10E-01
P-0012988-T01-IM5	4.05E-01	9.66E-01	1.49E+00	2.71E+00	2.67E+00
P-0013350-T01-IM5	1.90E+00	1.92E+00	5.82E-01	1.12E+00	4.52E-01
P-0013452-T01-IM5	1.03E-01	2.47E-01	2.64E-01	3.21E-01	2.19E-01
P-0013537-T01-IM5	3.13E+00	3.63E+00	1.04E+00	1.13E+00	3.64E-01
P-0014388-T01-IM6	5.41E-02	4.11E-01	4.22E-01	3.36E-01	2.98E-01
P-0014495-T01-IM6	5.22E-02	2.48E-01	3.25E-01	3.88E-01	3.05E-01
P-0014528-T01-IM6	4.30E-01	4.19E-01	0.00E+00	7.06E-02	9.17E-02
P-0014680-T01-IM6	0.00E+00	1.83E-01	2.82E-01	2.43E-01	2.36E-01
P-0014780-T01-IM6	3.00E-02	6.71E-01	8.57E-01	6.83E-01	3.96E-01
P-0015048-T01-IM6	1.85E-01	3.16E-01	4.12E-01	2.75E-01	3.98E-01
P-0015293-T01-IM6	0.00E+00	2.40E-01	5.70E-01	8.45E-01	6.82E-01
P-0015626-T01-IM6	1.33E+00	2.11E+00	1.86E+00	1.14E+00	6.64E-01
P-0015869-T01-IM6	1.46E+00	1.32E+00	4.09E-01	7.59E-01	2.73E-01
P-0015885-T01-IM6	1.34E-01	9.54E-01	1.21E+00	1.22E+00	7.03E-01
P-0016099-T01-IM6	4.10E+00	4.25E+00	2.33E+00	3.21E+00	7.82E-02
P-0016247-T01-IM6	1.10E-01	3.69E-01	4.83E-01	6.18E-01	6.09E-01
P-0016341-T01-IM6	1.30E-01	1.91E-01	3.83E-01	4.42E-01	3.78E-01
P-0016505-T01-IM6	6.94E-01	7.25E-01	2.84E-01	3.41E-01	2.63E-01
P-0016801-T01-IM6	2.00E-02	3.31E-01	5.76E-01	6.81E-01	4.22E-01
P-0016825-T01-IM6	6.86E-01	5.88E-01	2.55E-01	4.15E-01	7.52E-02
P-0016904-T01-IM6	6.18E-02	3.93E-01	4.67E-01	2.00E-01	3.54E-01
P-0017681-T01-IM6	1.00E-02	3.44E-01	4.81E-01	4.07E-01	4.31E-01
P-0017713-T01-IM6	2.00E-02	4.20E-01	7.69E-01	9.89E-01	7.73E-01
P-0017883-T01-IM6	0.00E+00	5.52E-01	6.63E-01	4.17E-01	3.52E-01
P-0018005-T01-IM6	2.00E-02	6.83E-01	9.17E-01	6.65E-01	4.10E-01
P-0018100-T01-IM6	4.07E-01	5.12E+00	4.54E+00	7.77E+00	7.46E+00
P-0018106-T01-IM6	0.00E+00	2.83E-01	3.73E-01	3.51E-01	4.60E-01
P-0018204-T01-IM6	1.36E-01	5.24E-01	5.01E-01	9.38E-01	9.26E-01
P-0018224-T01-IM6	1.84E-01	1.83E-01	2.80E-01	3.44E-01	3.02E-01
P-0018353-T01-IM6	2.00E-02	2.85E-01	5.01E-01	5.83E-01	3.64E-01
P-0018723-T01-IM6	9.57E-02	3.79E-02	5.26E-02	5.51E-02	9.71E-02
P-0019093-T01-IM6	0.00E+00	5.43E-01	5.54E-01	5.07E-01	5.94E-01
P-0019386-T01-IM6	1.77E-01	2.81E-01	4.58E-01	4.64E-01	4.73E-01
P-0019598-T01-IM6	1.61E-01	2.01E-01	3.06E-01	3.40E-01	3.23E-01
P-0019649-T01-IM6	2.48E+00	3.44E+00	2.37E+00	1.91E+00	9.11E-01
P-0019650-T01-IM6	9.81E-02	2.57E-01	3.77E-01	4.04E-01	3.77E-01
P-0019658-T01-IM6	1.11E+00	1.09E+00	1.38E-01	3.48E-01	2.89E-01
P-0019741-T01-IM6	5.00E-02	4.58E-01	7.82E-01	7.56E-01	3.60E-01
P-0020009-T01-IM6	1.12E-01	2.64E-01	2.86E-01	2.81E-01	3.42E-01
P-0020227-T01-IM6	7.93E-02	3.42E-01	3.59E-01	5.74E-01	6.01E-01
P-0020271-T01-IM6	0.00E+00	5.54E-01	6.60E-01	5.08E-01	6.22E-01
P-0020509-T01-IM6	1.98E-01	3.47E-01	5.50E-01	4.15E-01	1.97E-01
P-0020754-T01-IM6	1.00E-02	2.16E-01	2.76E-01	2.68E-01	3.53E-01
P-0021505-T01-IM6	1.49E-01	4.29E-01	4.88E-01	5.61E-01	5.19E-01
P-0021670-T01-IM6	6.31E-02	2.48E-01	4.03E-01	3.37E-01	3.84E-01
P-0021897-T01-IM6	0.00E+00	2.08E-01	2.61E-01	3.61E-01	3.61E-01
P-0022010-T01-IM6	2.81E-02	7.28E-01	8.62E-01	7.90E-01	4.26E-01
P-0023250-T01-IM6	2.30E-01	3.15E-01	2.88E-01	5.34E-01	5.39E-01
P-0023555-T01-IM6	3.83E-02	5.85E-01	7.16E-01	7.80E-01	4.77E-01
P-0023857-T01-IM6	1.65E-01	3.86E-01	6.01E-01	6.78E-01	4.71E-01
P-0023968-T01-IM6	2.23E-02	3.10E-01	3.14E-01	3.22E-01	2.88E-01
P-0024106-T01-IM6	1.67E-01	1.63E-01	2.67E-01	2.39E-01	2.63E-01
P-0024289-T01-IM6	0.00E+00	5.36E-01	7.04E-01	5.35E-01	7.11E-01
P-0025195-T01-IM6	5.26E-02	2.44E-01	4.96E-01	6.71E-01	5.21E-01
P-0025240-T01-IM6	1.58E-01	3.31E-01	6.01E-01	5.75E-01	4.20E-01
P-0025248-T01-IM6	2.81E-02	3.57E-01	5.24E-01	5.38E-01	3.99E-01
P-0025312-T01-IM6	4.19E-02	3.66E-01	4.15E-01	2.69E-01	4.13E-01
P-0025648-T01-IM6	1.60E+00	1.68E+00	7.26E-01	9.64E-01	1.41E-01
P-0025885-T01-IM6	2.21E-01	4.00E-01	6.44E-01	5.47E-01	2.47E-01
P-0026714-T01-IM6	0.00E+00	3.12E-01	4.16E-01	3.63E-01	4.66E-01
P-0027652-T01-IM6	2.67E+00	2.94E+00	7.24E-01	1.44E+00	4.05E-01
P-0028495-T01-IM6	1.65E-01	2.53E-01	3.50E-01	4.90E-01	4.18E-01
P-0028774-T01-IM6	5.30E-02	2.87E-01	3.43E-01	3.08E-01	3.59E-01
P-0029690-T01-IM6	1.47E+00	1.69E+00	7.17E-01	8.70E-01	4.74E-01
P-0029778-T01-IM6	6.57E-02	3.13E-01	2.57E-01	5.27E-01	5.25E-01
P-0029972-T01-IM6	8.18E-01	1.47E+00	7.15E-01	5.04E+00	5.11E+00
P-0030260-T01-IM6	1.00E-02	3.72E-01	5.83E-01	5.87E-01	4.25E-01
P-0031042-T01-IM6	0.00E+00	3.46E-01	5.11E-01	7.07E-01	6.54E-01
P-0031094-T01-IM6	0.00E+00	4.59E-01	4.42E-01	5.40E-01	5.02E-01
P-0031195-T01-IM6	9.47E-02	1.41E-01	1.96E-01	3.14E-01	3.80E-01
P-0031211-T01-IM6	0.00E+00	6.32E-01	6.97E-01	3.92E-01	1.05E-01
P-0031271-T01-IM6	0.00E+00	2.72E-01	4.07E-01	4.39E-01	4.49E-01
P-0031436-T01-IM6	0.00E+00	4.02E-01	3.88E-01	5.96E-01	6.79E-01
P-0031501-T01-IM6	0.00E+00	6.84E-01	8.73E-01	9.61E-01	8.44E-01
P-0032113-T01-IM6	2.46E-01	5.03E-01	1.00E+00	9.22E-01	2.91E-01
P-0032161-T02-IM6	1.22E-01	4.29E-01	4.82E-01	5.61E-01	5.71E-01
P-0032443-T01-IM6	1.19E-01	4.11E-01	4.44E-01	5.93E-01	4.82E-01
P-0032496-T01-IM6	3.66E+00	3.42E+00	8.69E-01	1.71E+00	2.51E-01
P-0032497-T01-IM6	1.70E-01	2.65E-01	3.78E-01	4.10E-01	4.85E-01
P-0032548-T01-IM6	1.82E+00	2.02E+00	2.88E-01	5.47E-01	4.17E-01
P-0032567-T01-IM6	1.68E-01	5.00E-01	7.53E-01	7.60E-01	3.02E-01
P-0032761-T01-IM6	4.94E-02	3.97E-01	4.04E-01	6.08E-01	5.88E-01
P-0032818-T01-IM6	4.87E+00	5.71E+00	1.13E+00	1.02E+00	5.00E-02
P-0032990-T01-IM6	1.18E-01	2.39E-01	3.12E-01	3.58E-01	4.45E-01
P-0032994-T01-IM6	9.71E-02	4.39E-01	7.10E-01	7.95E-01	5.17E-01
P-0033016-T01-IM6	9.04E-01	9.97E-01	7.13E-01	7.23E-01	3.86E-01
P-0033133-T01-IM6	3.70E-01	1.34E+00	3.56E+00	3.36E+00	6.91E-01
P-0033682-T01-IM6	1.07E-01	5.70E-01	6.29E-01	2.17E-01	6.00E-02
P-0034775-T01-IM6	0.00E+00	2.00E-01	2.84E-01	4.60E-01	4.66E-01
P-0034862-T01-IM6	2.00E-01	3.47E-01	3.35E-01	3.78E-01	3.74E-01
P-0034915-T01-IM6	1.30E+00	2.19E+00	5.70E+00	5.93E+00	2.01E+00
P-0035146-T01-IM6	2.03E+00	1.37E+00	4.84E-01	1.72E+00	8.29E-01
P-0035147-T01-IM6	1.23E+00	9.73E-01	3.77E-01	8.40E-01	5.55E-01
P-0035281-T01-IM6	2.07E+00	2.15E+00	6.03E-01	6.71E-01	5.80E-01
P-0035770-T01-IM6	3.71E+00	3.70E+00	8.13E-01	2.27E+00	8.39E-01
P-0035790-T01-IM6	1.38E+00	4.49E+00	1.02E+01	1.06E+01	3.49E+00
P-0036123-T01-IM6	2.97E+00	3.50E+00	1.39E+00	7.09E-01	8.00E-02
P-0036230-T01-IM6	1.84E-01	2.40E-01	3.00E-01	3.43E-01	4.74E-01
P-0036297-T01-IM6	1.82E+00	1.91E+00	6.67E-01	7.55E-01	1.29E-01
P-0036505-T01-IM6	0.00E+00	3.11E-01	4.58E-01	4.99E-01	5.22E-01
P-0036664-T01-IM6	0.00E+00	2.78E-01	5.18E-01	4.55E-01	4.59E-01
P-0036740-T03-IM6	1.41E-02	2.58E-01	3.52E-01	3.11E-01	3.71E-01
P-0036868-T01-IM6	0.00E+00	2.42E-01	3.63E-01	4.04E-01	3.97E-01
P-0037690-T01-IM6	2.97E-01	8.68E-01	1.96E+00	1.92E+00	1.92E-01
P-0037917-T01-IM6	1.59E-01	1.54E-01	2.23E-01	1.86E-01	1.51E-01
P-0038016-T01-IM6	0.00E+00	4.18E-01	5.37E-01	3.86E-01	3.68E-01
P-0038084-T01-IM6	3.59E-02	7.55E-01	8.96E-01	5.98E-01	3.53E-01
P-0038520-T01-IM6	3.94E-02	4.29E-01	6.62E-01	8.92E-01	7.73E-01
P-0038755-T01-IM6	7.05E-01	7.81E-01	3.12E-01	3.40E-01	2.84E-01
P-0038944-T01-IM6	2.12E-01	2.98E-01	4.04E-01	2.06E-01	3.91E-01
P-0039054-T01-IM6	2.69E+00	2.92E+00	7.63E+00	8.46E+00	1.87E+00
P-0039231-T01-IM6	0.00E+00	3.09E-01	5.05E-01	4.90E-01	3.40E-01
P-0039466-T01-IM6	1.09E-01	4.28E-01	6.12E-01	6.47E-01	4.99E-01
P-0039477-T01-IM6	0.00E+00	5.02E-01	5.80E-01	4.57E-01	1.24E-01
P-0039599-T01-IM6	1.48E-01	1.40E-01	1.51E-01	1.90E-01	2.68E-01
P-0039704-T01-IM6	3.70E+00	3.55E+00	6.14E-01	1.94E+00	6.27E-01
P-0039773-T01-IM6	1.03E+00	1.08E+00	1.90E-01	3.29E-01	3.33E-01
P-0039854-T01-IM6	1.80E-01	4.33E-01	5.41E-01	5.04E-01	6.09E-01
P-0040023-T01-IM6	1.30E+00	4.21E+00	8.55E+00	8.17E+00	2.02E+00
P-0040086-T01-IM6	8.26E-01	7.39E-01	3.42E-01	6.85E-01	3.86E-01
P-0040149-T01-IM6	2.30E-01	2.96E-01	3.43E-01	3.58E-01	4.40E-01
P-0040228-T01-IM6	2.24E-01	3.16E-01	4.60E-01	3.01E-01	4.36E-01
P-0040284-T01-IM6	1.45E+00	1.40E+00	3.38E-01	1.02E+00	3.51E-01
P-0040575-T01-IM6	0.00E+00	7.50E-01	8.88E-01	5.73E-01	2.19E-01
P-0040701-T01-IM6	9.86E-02	2.75E-01	2.16E-01	4.34E-01	4.00E-01
P-0040828-T01-IM6	4.94E+00	6.43E+00	5.69E+00	4.39E+00	3.47E-01
P-0040884-T01-IM6	0.00E+00	2.32E-01	4.45E-01	4.76E-01	2.99E-01
P-0040892-T01-IM6	0.00E+00	3.93E-01	5.09E-01	6.42E-01	6.10E-01
P-0040992-T01-IM6	1.41E-02	5.69E-01	6.90E-01	5.59E-01	5.43E-01
P-0041146-T01-IM6	1.62E+00	1.63E+00	6.80E-01	1.24E+00	6.06E-01
P-0041318-T01-IM6	4.38E-01	4.27E-01	2.95E-01	3.00E-01	1.56E-01
P-0041346-T01-IM6	2.01E+00	1.48E+00	3.63E-01	1.69E+00	8.60E-01
P-0041347-T01-IM6	2.78E-02	2.03E-01	3.26E-01	3.52E-01	1.66E-01
P-0042199-T01-IM6	4.52E+00	5.90E+00	2.64E+00	1.60E+00	0.00E+00
P-0042256-T01-IM6	1.23E+00	1.12E+00	2.03E-01	6.16E-01	2.53E-01
P-0042644-T01-IM6	1.23E-01	4.26E-01	7.00E-01	7.82E-01	7.42E-01
P-0042702-T01-IM6	1.33E+00	1.38E+00	2.45E-01	5.55E-01	3.08E-01
P-0042762-T01-IM6	1.94E-01	7.14E-01	6.32E-01	1.71E+00	1.65E+00
P-0042782-T01-IM6	6.07E-02	2.64E-01	3.02E-01	4.29E-01	4.45E-01
P-0043033-T02-IM6	1.76E-01	4.64E-01	6.52E-01	5.80E-01	4.94E-01
P-0043071-T01-IM6	7.54E-01	8.82E-01	3.59E-01	3.47E-01	2.02E-01
P-0043596-T01-IM6	9.17E+00	1.03E+01	3.58E+00	3.17E+00	9.91E-01
P-0043613-T01-IM6	0.00E+00	8.14E-01	9.04E-01	7.22E-01	6.83E-01
P-0043842-T01-IM6	3.32E+00	4.03E+00	6.33E+00	6.07E+00	3.07E-01
P-0043909-T01-IM6	0.00E+00	3.74E-01	3.88E-01	5.74E-01	6.34E-01
P-0043940-T01-IM6	1.51E-01	3.15E-01	3.25E-01	3.50E-01	4.81E-01
P-0044312-T01-IM6	1.00E-02	2.31E-01	3.14E-01	2.59E-01	4.09E-01
P-0044767-T01-IM6	1.44E-01	1.29E-01	2.05E-01	1.71E-01	2.36E-01
P-0044790-T01-IM6	4.39E-01	2.01E+00	4.98E+00	4.93E+00	1.60E-01
P-0044987-T01-IM6	1.61E-01	9.67E-01	1.13E+00	8.75E-01	7.18E-01
P-0045120-T01-IM6	6.26E-01	7.44E-01	2.65E-01	1.70E-01	1.00E-02
P-0045458-T01-IM6	4.84E+00	7.09E+00	4.41E+00	3.00E+00	9.55E-02
