Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0000614-T01-IM3	0	1	0	2	17	0
P-0001791-T01-IM3	0	0	5	3	5	1
P-0004255-T01-IM5	0	3	1	5	10	1
P-0005564-T01-IM5	0	11	35	14	23	2
P-0006201-T01-IM5	0	6	6	2	0	17
P-0010671-T01-IM5	0	3	8	0	3	1
P-0010967-T01-IM5	108	31	17	5	0	0
P-0011222-T01-IM5	2	1	2	0	12	1
P-0011569-T01-IM5	1	3	27	14	0	0
P-0011570-T01-IM5	39	64	11	0	0	0
P-0012113-T01-IM5	52	24	61	41	43	17
P-0012179-T01-IM5	0	3	0	24	0	10
P-0012397-T01-IM5	12	36	79	55	42	0
P-0012441-T01-IM5	0	3	0	6	3	10
P-0012445-T01-IM5	73	59	10	2	24	3
P-0012670-T01-IM5	92	9	13	6	0	0
P-0012726-T01-IM5	0	2	0	3	0	15
P-0012819-T01-IM5	0	3	1	6	4	7
P-0012848-T01-IM5	0	2	3	4	1	5
P-0012988-T01-IM5	7	3	69	0	31	43
P-0013350-T01-IM5	92	35	7	4	4	8
P-0013452-T01-IM5	0	4	6	0	0	4
P-0013537-T01-IM5	84	97	5	5	0	0
P-0014388-T01-IM6	0	4	4	10	1	0
P-0014495-T01-IM6	0	2	0	2	0	9
P-0014528-T01-IM6	7	10	0	0	0	0
P-0014680-T01-IM6	0	0	3	5	1	1
P-0014780-T01-IM6	0	8	10	25	3	1
P-0015048-T01-IM6	0	1	0	9	1	6
P-0015293-T01-IM6	0	0	12	7	19	0
P-0015626-T01-IM6	22	54	2	38	18	2
P-0015869-T01-IM6	69	29	0	8	5	0
P-0015885-T01-IM6	1	6	11	38	7	16
P-0016099-T01-IM6	227	71	65	23	0	0
P-0016247-T01-IM6	1	0	3	4	0	16
P-0016341-T01-IM6	2	0	4	8	5	1
P-0016505-T01-IM6	10	20	0	2	4	2
P-0016801-T01-IM6	0	2	18	4	4	0
P-0016825-T01-IM6	51	1	0	4	0	0
P-0016904-T01-IM6	0	6	0	11	0	8
P-0017681-T01-IM6	0	1	0	8	0	13
P-0017713-T01-IM6	0	2	21	5	0	19
P-0017883-T01-IM6	0	2	0	21	0	11
P-0018005-T01-IM6	0	5	4	33	0	5
P-0018100-T01-IM6	2	0	72	0	0	253
P-0018106-T01-IM6	0	0	0	4	4	8
P-0018204-T01-IM6	0	1	11	0	8	20
P-0018224-T01-IM6	3	0	0	3	1	7
P-0018353-T01-IM6	0	2	6	11	5	1
P-0018723-T01-IM6	0	0	0	0	2	0
P-0019093-T01-IM6	0	0	0	8	0	17
P-0019386-T01-IM6	0	1	7	11	3	5
P-0019598-T01-IM6	2	2	5	1	0	7
P-0019649-T01-IM6	72	87	23	47	29	0
P-0019650-T01-IM6	1	0	6	3	4	7
P-0019658-T01-IM6	71	13	0	1	3	1
P-0019741-T01-IM6	0	5	13	13	0	5
P-0020009-T01-IM6	0	0	1	7	8	4
P-0020227-T01-IM6	0	4	0	2	6	15
P-0020271-T01-IM6	0	1	1	18	13	10
P-0020509-T01-IM6	2	3	8	7	0	0
P-0020754-T01-IM6	0	2	2	3	0	7
P-0021505-T01-IM6	0	3	5	11	3	14
P-0021670-T01-IM6	0	2	0	3	0	9
P-0021897-T01-IM6	0	0	0	0	0	9
P-0022010-T01-IM6	0	9	14	26	0	0
P-0023250-T01-IM6	1	1	2	0	6	14
P-0023555-T01-IM6	0	3	8	25	11	0
P-0023857-T01-IM6	1	5	17	3	7	0
P-0023968-T01-IM6	0	2	4	3	5	0
P-0024106-T01-IM6	2	0	0	6	5	1
P-0024289-T01-IM6	0	0	0	24	11	9
P-0025195-T01-IM6	0	0	7	5	4	7
P-0025240-T01-IM6	0	1	8	11	12	0
P-0025248-T01-IM6	0	3	14	3	0	8
P-0025312-T01-IM6	0	6	0	8	6	4
P-0025648-T01-IM6	116	26	0	9	0	7
P-0025885-T01-IM6	1	5	7	14	0	3
P-0026714-T01-IM6	0	0	0	4	5	9
P-0027652-T01-IM6	131	54	16	1	0	7
P-0028495-T01-IM6	0	2	4	5	6	3
P-0028774-T01-IM6	0	3	0	4	0	8
P-0029690-T01-IM6	91	19	9	11	0	0
P-0029778-T01-IM6	0	1	2	0	5	12
P-0029972-T01-IM6	23	0	24	2	254	0
P-0030260-T01-IM6	0	4	9	8	6	0
P-0031042-T01-IM6	0	0	11	5	2	10
P-0031094-T01-IM6	0	0	3	8	0	14
P-0031195-T01-IM6	0	0	1	0	14	2
P-0031211-T01-IM6	1	5	0	23	0	1
P-0031271-T01-IM6	0	0	1	6	10	4
P-0031436-T01-IM6	0	0	5	1	8	11
P-0031501-T01-IM6	0	13	20	21	0	12
P-0032113-T01-IM6	2	6	17	20	0	1
P-0032161-T02-IM6	2	1	7	12	12	6
P-0032443-T01-IM6	0	3	15	5	0	0
P-0032496-T01-IM6	228	58	0	10	0	9
P-0032497-T01-IM6	0	2	0	4	5	10
P-0032548-T01-IM6	62	49	0	0	9	0
P-0032567-T01-IM6	2	2	3	24	0	10
P-0032761-T01-IM6	0	1	2	2	0	18
P-0032818-T01-IM6	91	160	0	0	1	0
P-0032990-T01-IM6	1	1	0	1	3	11
P-0032994-T01-IM6	0	4	5	14	12	5
P-0033016-T01-IM6	37	13	14	11	1	0
P-0033133-T01-IM6	5	9	104	27	0	0
P-0033682-T01-IM6	1	7	0	16	0	7
P-0034775-T01-IM6	0	0	0	3	4	8
