"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval"
NA,NA,NA,NA,NA,NA,NA
"TP53_mut","Distant_LN",0.491950580307001,0.554572271386431,"#b368d9","green",0.00394083378620275
"ALK_fusion","Lung",0.0510385756676558,0.0324519230769231,"#b368d9","purple",0.00740441991224931
"EGFR_Amplification","Lung",0.0522255192878338,0.0931490384615385,"#b368d9","red",5.26630235710362e-06
"EGFR_mut","Pleura",0.25,0.302567661346287,"#b368d9","green",0.000751521372141536
"KEAP1_mut","Pleura",0.0870020964360587,0.0610687022900763,"#b368d9","green",0.00554694175375616
"KRAS_mut","Pleura",0.352201257861635,0.273421235253296,"#b368d9","green",1.31901505642646e-06
"STK11_mut","Pleura",0.166666666666667,0.100624566273421,"#b368d9","green",3.18884075270774e-08
"ALK_fusion","Liver",0.036510376633359,0.0602409638554217,"#b368d9","purple",0.00669403968019578
"CDKN2A_Deletion","Liver",0.111837048424289,0.160642570281124,"#b368d9","blue",0.000489441897210834
"EGFR_Amplification","Liver",0.0611068408916218,0.112449799196787,"#b368d9","red",6.17918821387216e-06
"FOXA1_Amplification","Liver",0.0476556495003843,0.0870147255689424,"#b368d9","red",9.63538983201963e-05
"KRAS_mut","Liver",0.331667947732513,0.271753681392236,"#b368d9","green",0.00209300297154695
"NKX2_1_Amplification","Liver",0.0726364335126825,0.117804551539491,"#b368d9","red",0.000152606711705173
"TP53_mut","Liver",0.483089930822444,0.579651941097724,"#b368d9","green",3.27538959129382e-06
"CDKN2A_Deletion","Biliary_tract",0.118450301683074,0.19,"#b368d9","blue",0.00511850533385225
"TP53_mut","Intra-Abdominal",0.497405966277562,0.588679245283019,"#b368d9","green",0.00478913153088818
"CDKN2A_Deletion","CNS.Brain",0.10829179882193,0.15061295971979,"#b368d9","blue",0.000558762152136403
"EGFR_Amplification","CNS.Brain",0.0516538287267784,0.112959719789842,"#b368d9","red",3.7507920591997e-10
"EGFR_mut","CNS.Brain",0.244676030811056,0.32661996497373,"#b368d9","green",5.76492073715589e-07
"FOXA1_Amplification","CNS.Brain",0.0439510647938378,0.0805604203152364,"#b368d9","red",2.47884167881443e-05
"KRAS_mut","CNS.Brain",0.339827820570911,0.276707530647986,"#b368d9","green",0.000200284029802317
"NKX2_1_Amplification","CNS.Brain",0.0675124603534209,0.112084063047285,"#b368d9","red",1.54352089127084e-05
"RBM10_mut","CNS.Brain",0.0942455822383326,0.0586690017513135,"#b368d9","green",0.000324246608655854
"TERT_Amplification","CNS.Brain",0.0530131400090621,0.0831873905429072,"#b368d9","red",0.00094800207216671
"TP53_mut","CNS.Brain",0.465790666062528,0.57968476357268,"#b368d9","green",4.34855846229004e-10
"CDKN2A_Deletion","Bone",0.0949943117178612,0.153362664990572,"#b368d9","blue",2.88645912119635e-07
"EGFR_Amplification","Bone",0.0455062571103527,0.1024512884978,"#b368d9","red",2.26928256485382e-10
"EGFR_mut","Bone",0.237201365187713,0.311753614079195,"#b368d9","green",1.42239767336342e-06
"FOXA1_Amplification","Bone",0.043230944254835,0.071024512884978,"#b368d9","red",0.000542085180791085
"KRAS_mut","Bone",0.343572241183163,0.290383406662476,"#b368d9","green",0.00107639693345575
"MYC_Amplification","Bone",0.0409556313993174,0.0741671904462602,"#b368d9","red",3.57303155155932e-05
"NKX2_1_Amplification","Bone",0.0688282138794084,0.098051539912005,"#b368d9","red",0.00252080284801581
"TP53_mut","Bone",0.463026166097838,0.550597108736644,"#b368d9","green",4.33142171079275e-07
"CDKN2A_Deletion","PNS",0.10912906610703,0.202040816326531,"#b368d9","blue",5.86738725205466e-08
"EGFR_Amplification","PNS",0.0664568030779993,0.108163265306122,"#b368d9","red",0.00176752460470029
"EGFR_mut","PNS",0.258481986708639,0.355102040816327,"#b368d9","green",1.38911419618077e-05
"KRAS_mut","PNS",0.327387198321091,0.26530612244898,"#b368d9","green",0.00633074921502213
"MDM2_Amplification","PNS",0.0612102133613151,0.0979591836734694,"#b368d9","red",0.00424253449595337
"EGFR_mut","Adrenal_Gland",0.281834215167548,0.221789883268482,"#b368d9","green",0.00507524859008294
"KEAP1_mut","Adrenal_Gland",0.0694885361552028,0.110894941634241,"#b368d9","green",0.00196631682693531
"MYC_Amplification","Adrenal_Gland",0.0497354497354497,0.0953307392996109,"#b368d9","red",0.000110891304472876
"SMARCA4_mut","Adrenal_Gland",0.0380952380952381,0.075875486381323,"#b368d9","green",0.000375038004423199
"STK11_mut","Adrenal_Gland",0.125573192239859,0.208171206225681,"#b368d9","green",2.00251907364418e-06
"TP53_mut","Adrenal_Gland",0.485714285714286,0.608949416342412,"#b368d9","green",2.71473928936092e-07
"p53","Distant_LN",0.59341070760015,0.653392330383481,"#b368d9","navy",0.00424742189698526
"Epigenetic","Distant_LN",0.265069262448521,0.324483775811209,"#b368d9","navy",0.00245087830219621
"PI3K","Pleura",0.309748427672956,0.224843858431645,"#b368d9","navy",4.9896027863362e-08
"NRF2","Pleura",0.109014675052411,0.0707841776544067,"#b368d9","navy",0.000144310721808694
"Cell_Cycle","Mediastinum",0.282068279748094,0.349397590361446,"#b368d9","navy",0.0127102126899291
"p53","Liver",0.587240584166026,0.669344042838019,"#b368d9","navy",5.37107184131563e-05
"Cell_Cycle","Liver",0.273251345119139,0.342704149933066,"#b368d9","navy",0.000291942664375961
"Epigenetic","Biliary_tract",0.271514766592569,0.365,"#b368d9","navy",0.00547902622865118
"Cell_Cycle","Biliary_tract",0.281994283899651,0.395,"#b368d9","navy",0.000926585183828905
"p53","Intra-Abdominal",0.598897535667964,0.683018867924528,"#b368d9","navy",0.00720631639896767
