"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval","TO_color","alt_TO"
"TP53_mut","Intra-Abdominal",0.497405966,0.588679245,"#b368d9","green",0.004789132,"#8067D6","TP53_mut       Intra-Abdominal"
"TP53_mut","Distant_LN",0.49195058,0.554572271,"#b368d9","green",0.003940834,"#D480CE","TP53_mut       Distant_LN"
"TP53_mut","Liver",0.483089931,0.579651941,"#b368d9","green",3.28e-06,"#87DFB3","TP53_mut       Liver"
"TP53_mut","Bone",0.463026166,0.550597109,"#b368d9","green",4.33e-07,"#7E90CF","TP53_mut       Bone"
"TP53_mut","Adrenal_Gland",0.485714286,0.608949416,"#b368d9","green",2.71e-07,"#E093AC","TP53_mut       Adrenal_Gland"
"TP53_mut","CNS.Brain",0.465790666,0.579684764,"#b368d9","green",4.35e-10,"#EEDD57","TP53_mut       CNS.Brain"
"TERT_Amplification","CNS.Brain",0.05301314,0.083187391,"#b368d9","red",0.000948002,"#EEDD57","TERT_Amplification       CNS.Brain"
"STK11_mut","Adrenal_Gland",0.125573192,0.208171206,"#b368d9","green",2e-06,"#E093AC","STK11_mut       Adrenal_Gland"
"STK11_mut","Pleura",0.166666667,0.100624566,"#b368d9","green",3.19e-08,"#7AC0DD","STK11_mut       Pleura"
"SMARCA4_mut","Adrenal_Gland",0.038095238,0.075875486,"#b368d9","green",0.000375038,"#E093AC","SMARCA4_mut       Adrenal_Gland"
"RBM10_mut","CNS.Brain",0.094245582,0.058669002,"#b368d9","green",0.000324247,"#EEDD57","RBM10_mut       CNS.Brain"
"NKX2_1_Amplification","Bone",0.068828214,0.09805154,"#b368d9","red",0.002520803,"#7E90CF","NKX2_1_Amplification       Bone"
"NKX2_1_Amplification","Liver",0.072636434,0.117804552,"#b368d9","red",0.000152607,"#87DFB3","NKX2_1_Amplification       Liver"
"NKX2_1_Amplification","CNS.Brain",0.06751246,0.112084063,"#b368d9","red",1.54e-05,"#EEDD57","NKX2_1_Amplification       CNS.Brain"
"MYC_Amplification","Adrenal_Gland",0.04973545,0.095330739,"#b368d9","red",0.000110891,"#E093AC","MYC_Amplification       Adrenal_Gland"
"MYC_Amplification","Bone",0.040955631,0.07416719,"#b368d9","red",3.57e-05,"#7E90CF","MYC_Amplification       Bone"
"MDM2_Amplification","PNS",0.061210213,0.097959184,"#b368d9","red",0.004242534,"#DFB79C","MDM2_Amplification       PNS"
"KRAS_mut","PNS",0.327387198,0.265306122,"#b368d9","green",0.006330749,"#DFB79C","KRAS_mut       PNS"
"KRAS_mut","Liver",0.331667948,0.271753681,"#b368d9","green",0.002093003,"#87DFB3","KRAS_mut       Liver"
"KRAS_mut","Bone",0.343572241,0.290383407,"#b368d9","green",0.001076397,"#7E90CF","KRAS_mut       Bone"
"KRAS_mut","CNS.Brain",0.339827821,0.276707531,"#b368d9","green",0.000200284,"#EEDD57","KRAS_mut       CNS.Brain"
"KRAS_mut","Pleura",0.352201258,0.273421235,"#b368d9","green",1.32e-06,"#7AC0DD","KRAS_mut       Pleura"
"KEAP1_mut","Pleura",0.087002096,0.061068702,"#b368d9","green",0.005546942,"#7AC0DD","KEAP1_mut       Pleura"
"KEAP1_mut","Adrenal_Gland",0.069488536,0.110894942,"#b368d9","green",0.001966317,"#E093AC","KEAP1_mut       Adrenal_Gland"
"FOXA1_Amplification","Bone",0.043230944,0.071024513,"#b368d9","red",0.000542085,"#7E90CF","FOXA1_Amplification       Bone"
"FOXA1_Amplification","Liver",0.04765565,0.087014726,"#b368d9","red",9.64e-05,"#87DFB3","FOXA1_Amplification       Liver"
"FOXA1_Amplification","CNS.Brain",0.043951065,0.08056042,"#b368d9","red",2.48e-05,"#EEDD57","FOXA1_Amplification       CNS.Brain"
"EGFR_mut","Adrenal_Gland",0.281834215,0.221789883,"#b368d9","green",0.005075249,"#E093AC","EGFR_mut       Adrenal_Gland"
"EGFR_mut","Pleura",0.25,0.302567661,"#b368d9","green",0.000751521,"#7AC0DD","EGFR_mut       Pleura"
"EGFR_mut","PNS",0.258481987,0.355102041,"#b368d9","green",1.39e-05,"#DFB79C","EGFR_mut       PNS"
"EGFR_mut","Bone",0.237201365,0.311753614,"#b368d9","green",1.42e-06,"#7E90CF","EGFR_mut       Bone"
"EGFR_mut","CNS.Brain",0.244676031,0.326619965,"#b368d9","green",5.76e-07,"#EEDD57","EGFR_mut       CNS.Brain"
"EGFR_Amplification","PNS",0.066456803,0.108163265,"#b368d9","red",0.001767525,"#DFB79C","EGFR_Amplification       PNS"
