Samples	SBS96A	SBS96B	SBS96C
P-0000069-T01-IM3	1.18E-01	1.97E-01	2.14E-01
P-0000448-T01-IM3	8.27E-02	8.61E-01	8.81E-01
P-0000558-T01-IM3	0.00E+00	2.68E-01	2.68E-01
P-0000614-T01-IM3	8.76E-02	2.20E-01	2.10E-01
P-0001248-T01-IM3	2.17E-01	4.25E-01	4.09E-01
P-0001791-T01-IM3	0.00E+00	2.75E-01	2.75E-01
P-0002280-T01-IM3	0.00E+00	3.93E-01	3.93E-01
P-0003014-T01-IM3	1.99E-01	3.93E-01	3.79E-01
P-0003767-T01-IM5	6.61E-02	3.57E-01	3.46E-01
P-0004136-T01-IM5	1.81E-01	3.31E-01	3.50E-01
P-0004255-T01-IM5	1.51E-01	3.45E-01	3.19E-01
P-0004379-T01-IM5	1.86E+00	1.85E+00	2.29E+00
P-0005285-T01-IM5	1.38E-01	3.68E-01	3.51E-01
P-0005564-T01-IM5	3.41E-01	8.17E-01	8.00E-01
P-0006201-T01-IM5	2.56E-01	5.98E-01	5.20E-01
P-0007675-T01-IM5	9.62E-02	1.39E-01	1.25E-01
P-0008444-T01-IM5	1.47E-01	3.22E-01	2.78E-01
P-0008646-T01-IM5	8.27E-02	2.98E-01	2.88E-01
P-0009585-T01-IM5	9.19E-02	3.62E-01	3.41E-01
P-0009985-T01-IM5	1.93E-01	4.44E-01	4.99E-01
P-0010671-T01-IM5	1.76E-01	2.72E-01	2.54E-01
P-0010828-T01-IM5	1.64E-01	2.79E-01	2.43E-01
P-0010967-T01-IM5	8.74E-01	8.19E-01	3.70E-01
P-0011013-T01-IM5	7.94E-02	3.92E-01	3.87E-01
P-0011222-T01-IM5	2.16E-01	1.57E-01	2.46E-01
P-0011569-T01-IM5	1.61E-01	7.85E-01	7.75E-01
P-0011570-T01-IM5	1.02E+00	9.46E-01	5.06E-01
P-0012113-T01-IM5	8.76E-01	1.71E+00	1.77E+00
P-0012152-T01-IM5	7.89E-02	2.97E-01	2.86E-01
P-0012179-T01-IM5	0.00E+00	5.18E-01	5.18E-01
P-0012358-T01-IM5	2.93E+00	3.06E+00	7.14E-01
P-0012397-T01-IM5	9.08E-01	2.09E+00	2.17E+00
P-0012441-T01-IM5	1.24E-01	3.91E-01	3.67E-01
P-0012445-T01-IM5	1.16E+00	1.04E+00	7.94E-01
P-0012670-T01-IM5	5.35E-01	5.02E-01	3.00E-01
P-0012726-T01-IM5	1.66E-01	5.06E-01	4.91E-01
P-0012740-T01-IM5	2.43E-01	4.18E-01	4.09E-01
P-0012819-T01-IM5	1.29E-01	4.27E-01	4.29E-01
P-0012848-T01-IM5	1.51E-01	3.32E-01	3.32E-01
P-0012988-T01-IM5	4.23E-01	1.58E+00	1.56E+00
P-0013112-T02-IM6	1.28E-01	2.63E-01	2.77E-01
P-0013350-T01-IM5	9.58E-01	8.43E-01	6.17E-01
P-0013452-T01-IM5	1.82E-01	3.32E-01	2.56E-01
P-0013537-T01-IM5	1.39E+00	1.40E+00	3.66E-01
P-0014023-T01-IM5	0.00E+00	3.13E-01	3.13E-01
P-0014145-T01-IM5	1.09E-01	4.04E-01	3.94E-01
P-0014170-T01-IM5	0.00E+00	3.19E-01	3.19E-01
P-0014388-T01-IM6	1.79E-01	3.53E-01	3.27E-01
P-0014495-T01-IM6	1.40E-01	3.04E-01	3.05E-01
P-0014528-T01-IM6	7.62E-02	6.68E-02	3.83E-02
P-0014680-T01-IM6	0.00E+00	2.58E-01	2.58E-01
P-0014780-T01-IM6	9.20E-02	5.54E-01	5.50E-01
P-0015048-T01-IM6	1.68E-01	4.05E-01	4.20E-01
P-0015293-T01-IM6	0.00E+00	4.29E-01	4.29E-01
P-0015626-T01-IM6	9.71E-01	1.00E+00	9.43E-01
P-0015869-T01-IM6	5.70E-01	5.52E-01	2.94E-01
P-0015885-T01-IM6	2.19E-01	9.71E-01	9.31E-01
P-0016053-T01-IM6	1.60E-01	3.94E-01	3.61E-01
P-0016099-T01-IM6	2.01E+00	1.95E+00	3.19E-01
P-0016247-T01-IM6	1.27E-01	4.58E-01	4.66E-01
P-0016341-T01-IM6	1.57E-01	4.24E-01	4.13E-01
P-0016505-T01-IM6	3.88E-01	4.02E-01	2.64E-01
P-0016801-T01-IM6	4.14E-02	4.72E-01	4.67E-01
P-0016825-T01-IM6	2.58E-01	2.57E-01	0.00E+00
P-0016904-T01-IM6	2.56E-01	4.08E-01	3.55E-01
P-0017300-T01-IM6	1.80E-01	2.88E-01	2.82E-01
P-0017681-T01-IM6	3.15E-02	4.29E-01	4.25E-01
P-0017713-T01-IM6	1.41E-02	7.56E-01	7.52E-01
P-0017883-T01-IM6	4.00E-02	5.00E-01	5.01E-01
P-0018005-T01-IM6	0.00E+00	6.90E-01	6.92E-01
P-0018100-T01-IM6	4.14E-01	2.48E+00	2.45E+00
P-0018106-T01-IM6	0.00E+00	3.06E-01	3.06E-01
P-0018204-T01-IM6	1.59E-01	4.51E-01	4.38E-01
P-0018224-T01-IM6	1.42E-01	2.53E-01	2.58E-01
P-0018353-T01-IM6	4.61E-02	4.48E-01	4.44E-01
P-0018723-T01-IM6	7.74E-02	4.04E-02	8.34E-02
P-0019071-T01-IM6	1.33E-01	3.88E-01	3.66E-01
P-0019093-T01-IM6	0.00E+00	4.87E-01	4.86E-01
P-0019386-T01-IM6	2.01E-01	4.22E-01	4.71E-01
P-0019598-T01-IM6	1.81E-01	3.58E-01	3.31E-01
P-0019649-T01-IM6	1.45E+00	1.36E+00	8.37E-01
P-0019650-T01-IM6	1.14E-01	4.07E-01	3.78E-01
P-0019658-T01-IM6	2.87E-01	2.83E-01	5.80E-02
P-0019741-T01-IM6	3.15E-02	5.76E-01	5.77E-01
P-0020009-T01-IM6	1.23E-01	4.01E-01	4.19E-01
P-0020227-T01-IM6	2.35E-01	3.76E-01	3.86E-01
P-0020271-T01-IM6	1.00E-02	5.84E-01	5.84E-01
P-0020509-T01-IM6	2.03E-01	3.74E-01	3.55E-01
P-0020754-T01-IM6	9.47E-02	2.68E-01	2.45E-01
P-0021505-T01-IM6	1.83E-01	5.77E-01	5.80E-01
P-0021670-T01-IM6	1.62E-01	3.78E-01	3.44E-01
P-0021692-T01-IM6	9.26E-02	3.45E-01	3.32E-01
P-0021856-T01-IM6	7.48E-02	3.49E-01	3.48E-01
P-0021897-T01-IM6	0.00E+00	0.00E+00	0.00E+00
P-0022010-T01-IM6	8.24E-02	5.76E-01	5.83E-01
P-0023250-T01-IM6	2.09E-01	2.02E-01	2.96E-01
P-0023555-T01-IM6	4.77E-02	6.24E-01	6.23E-01
P-0023857-T01-IM6	2.68E-01	4.50E-01	4.43E-01
P-0023968-T01-IM6	9.78E-02	3.19E-01	2.97E-01
P-0024106-T01-IM6	1.80E-01	2.74E-01	3.02E-01
P-0024289-T01-IM6	0.00E+00	7.32E-01	7.33E-01
P-0025003-T01-IM6	2.21E-01	3.12E-01	3.34E-01
P-0025195-T01-IM6	7.75E-02	5.16E-01	5.40E-01
P-0025240-T01-IM6	1.80E-01	5.39E-01	5.26E-01
P-0025248-T01-IM6	7.06E-02	4.80E-01	4.73E-01
P-0025312-T01-IM6	2.08E-01	3.72E-01	3.32E-01
P-0025648-T01-IM6	6.05E-01	6.10E-01	9.89E-02
P-0025701-T01-IM6	0.00E+00	4.43E-01	4.44E-01
P-0025885-T01-IM6	1.94E-01	5.08E-01	4.91E-01
P-0026221-T01-IM6	0.00E+00	4.80E-01	4.80E-01
P-0026297-T01-IM6	1.15E+00	5.10E+00	4.94E+00
P-0026714-T01-IM6	0.00E+00	2.64E-01	2.64E-01
P-0027652-T01-IM6	1.21E+00	1.21E+00	4.81E-01
P-0027698-T01-IM6	3.48E-01	7.28E-01	6.48E-01
P-0028034-T01-IM6	2.10E-01	6.93E-01	6.38E-01
P-0028141-T01-IM6	1.64E-01	3.82E-01	3.93E-01
P-0028144-T01-IM6	0.00E+00	5.35E-01	5.35E-01
P-0028200-T01-IM6	1.40E-01	3.57E-01	3.40E-01
P-0028472-T01-IM6	8.68E-02	6.66E-01	6.60E-01
P-0028495-T01-IM6	2.17E-01	4.28E-01	4.34E-01
P-0028774-T01-IM6	1.44E-01	3.30E-01	2.80E-01
P-0028924-T01-IM6	2.04E-01	4.90E-01	4.92E-01
P-0029429-T01-IM6	0.00E+00	4.10E-01	4.10E-01
P-0029690-T01-IM6	8.42E-01	6.95E-01	5.47E-01
P-0029778-T01-IM6	1.72E-01	1.36E-01	2.17E-01
P-0029972-T01-IM6	9.68E-01	6.05E-01	1.08E+00
P-0029983-T01-IM6	1.01E-01	0.00E+00	1.01E-01
P-0030260-T01-IM6	8.49E-02	4.88E-01	4.80E-01
P-0030322-T01-IM6	6.71E-01	5.74E-01	5.10E-01
P-0031042-T01-IM6	2.00E-02	5.54E-01	5.60E-01
P-0031094-T01-IM6	0.00E+00	4.73E-01	4.73E-01
P-0031195-T01-IM6	8.47E-02	1.14E-01	1.36E-01
P-0031211-T01-IM6	5.22E-02	2.71E-01	2.68E-01
P-0031271-T01-IM6	7.67E-02	3.85E-01	3.91E-01
P-0031436-T01-IM6	0.00E+00	2.70E-01	2.70E-01
P-0031501-T01-IM6	1.23E-01	7.70E-01	7.46E-01
P-0032113-T01-IM6	2.99E-01	6.03E-01	5.29E-01
P-0032161-T02-IM6	1.30E-01	6.60E-01	6.77E-01
P-0032443-T01-IM6	2.44E-01	3.74E-01	3.87E-01
P-0032456-T01-IM6	0.00E+00	3.24E-01	3.24E-01
P-0032495-T01-IM6	0.00E+00	3.48E-01	3.48E-01
P-0032496-T01-IM6	1.14E+00	1.14E+00	1.68E-01
P-0032497-T01-IM6	1.75E-01	2.99E-01	3.35E-01
P-0032548-T01-IM6	7.01E-01	7.07E-01	3.54E-01
P-0032567-T01-IM6	1.77E-01	6.18E-01	5.90E-01
P-0032761-T01-IM6	1.03E-01	3.97E-01	3.80E-01
P-0032818-T01-IM6	1.80E+00	1.80E+00	0.00E+00
P-0032990-T01-IM6	1.48E-01	2.48E-01	2.48E-01
P-0032994-T01-IM6	1.32E-01	6.23E-01	6.23E-01
P-0033016-T01-IM6	5.72E-01	6.38E-01	4.44E-01
P-0033133-T01-IM6	4.10E-01	1.90E+00	1.87E+00
P-0033467-T01-IM6	0.00E+00	4.14E-01	4.14E-01
P-0033583-T01-IM6	8.16E-02	4.08E-01	3.91E-01
P-0033682-T01-IM6	2.42E-01	3.23E-01	2.38E-01
P-0034775-T01-IM6	0.00E+00	2.67E-01	2.67E-01
P-0034862-T01-IM6	2.12E-01	4.13E-01	4.13E-01
P-0034915-T01-IM6	8.71E-01	3.86E+00	3.97E+00
P-0035146-T01-IM6	6.39E-01	3.44E-01	5.97E-01
P-0035147-T01-IM6	4.72E-01	2.30E-01	4.93E-01
P-0035281-T01-IM6	8.58E-01	8.86E-01	6.21E-01
P-0035770-T01-IM6	1.24E+00	1.13E+00	6.00E-01
P-0035790-T01-IM6	1.16E+00	4.79E+00	4.74E+00
P-0036123-T01-IM6	1.40E+00	1.40E+00	0.00E+00
P-0036230-T01-IM6	2.10E-01	2.03E-01	2.39E-01
P-0036297-T01-IM6	7.73E-01	7.83E-01	8.54E-02
P-0036505-T01-IM6	0.00E+00	3.25E-01	3.25E-01
P-0036664-T01-IM6	0.00E+00	3.62E-01	3.63E-01
P-0036740-T03-IM6	1.36E-01	3.58E-01	3.19E-01
P-0036868-T01-IM6	9.14E-02	4.08E-01	3.98E-01
P-0037690-T01-IM6	3.71E-01	1.05E+00	1.01E+00
P-0037917-T01-IM6	1.48E-01	2.17E-01	2.35E-01
P-0038016-T01-IM6	3.73E-02	4.46E-01	4.45E-01
P-0038084-T01-IM6	2.12E-01	6.09E-01	5.70E-01
P-0038304-T01-IM6	1.99E-01	5.47E-01	5.37E-01
P-0038424-T01-IM6	2.51E-01	7.39E-01	7.35E-01
P-0038520-T01-IM6	8.42E-02	6.67E-01	6.64E-01
P-0038755-T01-IM6	4.45E-01	4.53E-01	2.47E-01
P-0038944-T01-IM6	3.02E-01	3.88E-01	3.32E-01
P-0039004-T01-IM6	7.77E-02	4.94E-01	4.93E-01
P-0039054-T01-IM6	1.62E+00	5.36E+00	5.07E+00
P-0039184-T01-IM6	1.73E-01	3.28E-01	3.14E-01
P-0039231-T01-IM6	0.00E+00	5.12E-01	5.12E-01
P-0039294-T01-IM6	2.25E-01	6.15E-01	6.02E-01
P-0039466-T01-IM6	1.41E-01	6.24E-01	6.17E-01
P-0039477-T01-IM6	5.34E-02	3.81E-01	3.78E-01
P-0039599-T01-IM6	1.67E-01	8.91E-02	1.85E-01
P-0039704-T01-IM6	1.09E+00	1.07E+00	5.64E-01
P-0039773-T01-IM6	4.70E-01	4.23E-01	3.12E-01
P-0039854-T01-IM6	2.50E-01	4.87E-01	4.57E-01
P-0040023-T01-IM6	1.24E+00	4.84E+00	4.96E+00
P-0040086-T01-IM6	4.43E-01	3.84E-01	3.44E-01
P-0040149-T01-IM6	2.59E-01	3.95E-01	3.74E-01
P-0040228-T01-IM6	2.20E-01	4.51E-01	4.23E-01
P-0040284-T01-IM6	5.01E-01	4.75E-01	3.51E-01
P-0040471-T01-IM6	0.00E+00	3.77E-01	3.77E-01
P-0040549-T01-IM6	1.23E-01	3.94E-01	4.06E-01
P-0040575-T01-IM6	1.34E-01	4.90E-01	4.76E-01
P-0040701-T01-IM6	1.77E-01	3.32E-01	3.01E-01
P-0040823-T01-IM6	1.26E-01	4.47E-01	4.17E-01
P-0040828-T01-IM6	2.73E+00	2.08E+00	1.53E+00
P-0040884-T01-IM6	0.00E+00	4.51E-01	4.51E-01
P-0040892-T01-IM6	0.00E+00	4.78E-01	4.79E-01
P-0040992-T01-IM6	5.91E-02	6.28E-01	6.19E-01
P-0041146-T01-IM6	7.46E-01	6.62E-01	7.90E-01
P-0041318-T01-IM6	3.20E-01	3.19E-01	1.00E-01
P-0041346-T01-IM6	7.19E-01	1.08E-01	7.21E-01
P-0041347-T01-IM6	6.64E-02	4.45E-01	4.25E-01
P-0041596-T01-IM6	1.82E-01	4.59E-01	4.19E-01
P-0042199-T01-IM6	1.92E+00	1.92E+00	0.00E+00
P-0042256-T01-IM6	4.41E-01	3.51E-01	2.96E-01
P-0042508-T01-IM6	9.89E-02	1.87E-01	1.70E-01
P-0042644-T01-IM6	3.12E-01	6.89E-01	5.97E-01
P-0042702-T01-IM6	4.88E-01	4.88E-01	2.28E-01
P-0042762-T01-IM6	3.11E-01	4.07E-01	4.66E-01
P-0042782-T01-IM6	9.79E-02	3.23E-01	3.25E-01
P-0042819-T01-IM6	2.81E-02	4.20E-01	4.20E-01
P-0043033-T02-IM6	2.20E-01	6.18E-01	6.55E-01
P-0043071-T01-IM6	4.65E-01	4.45E-01	1.43E-01
P-0043596-T01-IM6	3.53E+00	3.31E+00	8.27E-01
P-0043613-T01-IM6	1.25E-01	6.62E-01	6.62E-01
P-0043842-T01-IM6	1.91E+00	2.15E+00	1.88E+00
P-0043909-T01-IM6	0.00E+00	4.76E-01	4.75E-01
P-0043940-T01-IM6	1.44E-01	2.29E-01	2.85E-01
P-0044312-T01-IM6	9.30E-02	3.12E-01	2.98E-01
P-0044767-T01-IM6	1.50E-01	1.80E-01	2.23E-01
P-0044790-T01-IM6	3.09E-01	2.21E+00	2.19E+00
P-0044987-T01-IM6	2.88E-01	9.59E-01	9.28E-01
P-0045120-T01-IM6	3.74E-01	3.71E-01	1.00E-02
P-0045458-T01-IM6	2.55E+00	2.49E+00	1.57E-01
P-0045533-T01-IM6	1.10E-01	4.81E-01	4.70E-01
P-0045671-T01-IM6	1.82E-01	2.63E-01	2.72E-01
P-0045738-T01-IM6	2.72E-01	6.52E-01	6.05E-01
P-0045991-T01-IM6	0.00E+00	3.70E-01	3.70E-01
P-0046448-T01-IM6	2.11E-01	5.48E-01	5.26E-01
P-0046630-T01-IM6	1.26E-01	4.80E-01	4.48E-01
P-0046754-T01-IM6	0.00E+00	4.50E-01	4.49E-01
P-0046965-T01-IM6	1.34E+00	9.86E-01	1.04E+00
P-0047374-T01-IM6	1.41E-02	7.64E-01	7.64E-01
P-0047379-T01-IM6	1.59E-01	1.96E-01	1.77E-01
P-0047653-T01-IM6	3.94E-01	3.79E-01	2.14E-01
P-0047766-T01-IM6	4.00E-02	6.93E-01	6.89E-01
P-0047768-T01-IM6	3.67E-02	5.29E-01	5.33E-01
P-0047771-T01-IM6	4.77E-01	4.60E-01	2.97E-01
P-0047974-T01-IM6	4.06E-01	4.02E-01	5.17E-02
P-0048176-T01-IM6	1.85E-01	4.05E-01	3.61E-01
P-0048238-T01-IM6	8.03E-02	3.47E-01	3.37E-01
P-0048255-T01-IM6	1.84E-01	4.65E-01	4.13E-01
P-0048289-T01-IM6	1.35E-01	5.10E-01	4.91E-01
