Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000069-T01-IM3	1	1	2	8
P-0000448-T01-IM3	0	44	0	26
P-0000558-T01-IM3	0	4	0	11
P-0000614-T01-IM3	0	2	2	16
P-0001248-T01-IM3	0	11	8	2
P-0001791-T01-IM3	0	7	0	7
P-0002280-T01-IM3	0	11	0	10
P-0003014-T01-IM3	2	5	5	13
P-0003767-T01-IM5	0	6	2	13
P-0004136-T01-IM5	3	5	1	15
P-0004255-T01-IM5	0	7	3	10
P-0004379-T01-IM5	233	82	84	39
P-0005285-T01-IM5	0	6	6	5
P-0005564-T01-IM5	0	38	20	27
P-0006201-T01-IM5	0	3	13	15
P-0007675-T01-IM5	0	1	3	0
P-0008444-T01-IM5	0	7	6	0
P-0008646-T01-IM5	1	6	0	6
P-0009585-T01-IM5	0	14	6	0
P-0009985-T01-IM5	2	11	0	12
P-0010671-T01-IM5	0	3	8	4
P-0010828-T01-IM5	1	7	6	4
P-0010967-T01-IM5	121	14	26	0
P-0011013-T01-IM5	0	6	4	12
P-0011222-T01-IM5	3	0	2	13
P-0011569-T01-IM5	1	35	3	6
P-0011570-T01-IM5	39	0	75	0
P-0012113-T01-IM5	64	79	32	63
P-0012152-T01-IM5	0	10	4	2
P-0012179-T01-IM5	0	26	0	11
P-0012358-T01-IM5	172	0	280	0
P-0012397-T01-IM5	17	119	62	26
P-0012441-T01-IM5	1	5	3	13
P-0012445-T01-IM5	87	0	84	0
P-0012670-T01-IM5	105	15	0	0
P-0012726-T01-IM5	0	2	4	14
P-0012740-T01-IM5	2	1	3	14
P-0012819-T01-IM5	0	6	4	11
P-0012848-T01-IM5	0	7	2	6
P-0012988-T01-IM5	1	25	36	91
P-0013112-T02-IM6	0	2	4	10
P-0013350-T01-IM5	108	5	37	0
P-0013452-T01-IM5	0	2	10	2
P-0013537-T01-IM5	83	0	108	0
P-0014023-T01-IM5	0	6	0	7
P-0014145-T01-IM5	0	6	6	11
P-0014170-T01-IM5	0	7	0	4
P-0014388-T01-IM6	0	14	5	0
P-0014495-T01-IM6	0	2	2	9
P-0014528-T01-IM6	8	0	9	0
P-0014680-T01-IM6	0	7	0	3
P-0014780-T01-IM6	1	34	8	4
P-0015048-T01-IM6	1	9	0	7
P-0015293-T01-IM6	0	22	0	16
P-0015626-T01-IM6	29	35	72	0
P-0015869-T01-IM6	78	5	28	0
P-0015885-T01-IM6	3	51	0	25
P-0016053-T01-IM6	2	6	1	13
P-0016099-T01-IM6	263	60	63	0
P-0016247-T01-IM6	1	7	0	16
P-0016341-T01-IM6	1	12	0	7
P-0016505-T01-IM6	11	0	27	0
P-0016801-T01-IM6	0	17	4	7
P-0016825-T01-IM6	53	3	0	0
P-0016904-T01-IM6	2	10	6	7
P-0017300-T01-IM6	2	2	0	10
P-0017681-T01-IM6	0	8	0	14
P-0017713-T01-IM6	0	19	5	23
P-0017883-T01-IM6	0	22	0	12
P-0018005-T01-IM6	1	40	0	6
P-0018100-T01-IM6	0	32	32	263
P-0018106-T01-IM6	0	3	0	13
P-0018204-T01-IM6	0	5	6	29
P-0018224-T01-IM6	3	3	0	8
P-0018353-T01-IM6	0	16	1	8
P-0018723-T01-IM6	0	0	0	2
P-0019071-T01-IM6	0	8	4	12
P-0019093-T01-IM6	0	7	0	18
P-0019386-T01-IM6	1	16	1	9
P-0019598-T01-IM6	2	4	4	7
P-0019649-T01-IM6	87	50	121	0
P-0019650-T01-IM6	1	8	0	12
P-0019658-T01-IM6	84	2	3	0
P-0019741-T01-IM6	0	24	6	6
P-0020009-T01-IM6	0	9	0	11
P-0020227-T01-IM6	0	0	7	20
P-0020271-T01-IM6	0	19	0	24
P-0020509-T01-IM6	3	15	2	0
P-0020754-T01-IM6	0	5	2	7
P-0021505-T01-IM6	1	16	4	15
P-0021670-T01-IM6	1	3	3	7
P-0021692-T01-IM6	1	4	0	12
P-0021856-T01-IM6	0	10	0	8
P-0021897-T01-IM6	0	0	0	9
P-0022010-T01-IM6	1	39	9	0
P-0023250-T01-IM6	1	1	4	18
P-0023555-T01-IM6	0	36	0	11
P-0023857-T01-IM6	1	15	9	8
P-0023968-T01-IM6	0	8	2	4
P-0024106-T01-IM6	2	6	0	6
P-0024289-T01-IM6	0	22	0	22
P-0025003-T01-IM6	0	0	6	8
P-0025195-T01-IM6	0	11	0	12
P-0025240-T01-IM6	0	19	0	13
P-0025248-T01-IM6	0	11	7	10
P-0025312-T01-IM6	1	7	8	8
P-0025648-T01-IM6	133	13	12	0
P-0025701-T01-IM6	0	16	0	8
P-0025885-T01-IM6	1	20	7	2
P-0026221-T01-IM6	0	8	0	15
P-0026297-T01-IM6	65	261	24	98
P-0026714-T01-IM6	0	4	0	14
P-0027652-T01-IM6	145	3	61	0
P-0027698-T01-IM6	4	34	12	11
P-0028034-T01-IM6	0	6	12	22
P-0028141-T01-IM6	3	5	0	13
P-0028144-T01-IM6	0	7	0	15
P-0028200-T01-IM6	0	13	5	0
P-0028472-T01-IM6	3	45	6	4
P-0028495-T01-IM6	0	8	3	9
P-0028774-T01-IM6	1	3	4	7
P-0028924-T01-IM6	1	12	2	14
P-0029429-T01-IM6	0	9	0	9
P-0029690-T01-IM6	106	20	4	0
P-0029778-T01-IM6	0	0	4	16
P-0029972-T01-IM6	37	0	0	266
P-0029983-T01-IM6	0	0	0	12
P-0030260-T01-IM6	0	16	4	7
P-0030322-T01-IM6	67	0	63	0
P-0031042-T01-IM6	0	13	0	15
P-0031094-T01-IM6	0	12	0	13
P-0031195-T01-IM6	0	1	0	16
P-0031211-T01-IM6	2	24	2	2
P-0031271-T01-IM6	0	8	0	13
P-0031436-T01-IM6	0	3	0	22
P-0031501-T01-IM6	0	34	20	12
P-0032113-T01-IM6	2	35	6	3
P-0032161-T02-IM6	2	19	0	19
P-0032443-T01-IM6	0	17	5	1
P-0032456-T01-IM6	0	9	0	8
P-0032495-T01-IM6	0	7	0	26
P-0032496-T01-IM6	257	10	38	0
P-0032497-T01-IM6	1	4	2	14
P-0032548-T01-IM6	66	0	54	0
P-0032567-T01-IM6	2	27	0	12
P-0032761-T01-IM6	0	4	2	17
P-0032818-T01-IM6	90	0	162	0
P-0032990-T01-IM6	2	1	0	14
P-0032994-T01-IM6	0	17	6	17
P-0033016-T01-IM6	45	19	12	0
P-0033133-T01-IM6	4	123	18	0
P-0033467-T01-IM6	0	13	0	12
P-0033583-T01-IM6	0	9	6	7
P-0033682-T01-IM6	2	15	8	6
P-0034775-T01-IM6	0	3	0	12
P-0034862-T01-IM6	2	1	2	12
P-0034915-T01-IM6	43	172	11	93
P-0035146-T01-IM6	115	10	20	3
P-0035147-T01-IM6	97	4	2	3
P-0035281-T01-IM6	53	0	78	0
P-0035770-T01-IM6	305	11	30	12
P-0035790-T01-IM6	66	317	64	60
P-0036123-T01-IM6	64	0	112	0
P-0036230-T01-IM6	1	0	7	13
P-0036297-T01-IM6	83	10	28	0
P-0036505-T01-IM6	0	6	0	13
P-0036664-T01-IM6	0	12	0	9
P-0036740-T03-IM6	0	5	4	9
P-0036868-T01-IM6	0	10	0	7
