Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0000069-T01-IM3	9.89E-02	1.88E-01	2.73E-01	2.91E-01
P-0000448-T01-IM3	9.48E-02	7.68E-01	7.58E-01	7.90E-01
P-0000558-T01-IM3	0.00E+00	2.38E-01	2.35E-01	2.99E-01
P-0000614-T01-IM3	6.61E-02	1.98E-01	3.84E-01	4.07E-01
P-0001248-T01-IM3	1.99E-01	4.44E-01	3.72E-01	3.76E-01
P-0001791-T01-IM3	0.00E+00	2.55E-01	2.57E-01	2.96E-01
P-0002280-T01-IM3	0.00E+00	4.73E-01	6.05E-01	5.21E-01
P-0003014-T01-IM3	1.79E-01	4.36E-01	4.91E-01	4.37E-01
P-0003767-T01-IM5	5.70E-02	4.15E-01	2.93E-01	3.73E-01
P-0004136-T01-IM5	1.83E-01	3.72E-01	5.50E-01	5.42E-01
P-0004255-T01-IM5	9.71E-02	3.42E-01	2.78E-01	3.00E-01
P-0004379-T01-IM5	2.91E+00	2.21E+00	3.78E+00	3.07E+00
P-0005285-T01-IM5	1.03E-01	3.56E-01	3.12E-01	3.40E-01
P-0005564-T01-IM5	2.88E-01	9.00E-01	9.49E-01	8.90E-01
P-0006201-T01-IM5	2.13E-01	4.95E-01	4.55E-01	5.36E-01
P-0007675-T01-IM5	8.00E-02	1.27E-01	1.18E-01	1.28E-01
P-0008444-T01-IM5	1.21E-01	3.00E-01	2.63E-01	2.72E-01
P-0008646-T01-IM5	5.32E-02	2.87E-01	2.63E-01	2.98E-01
P-0009585-T01-IM5	3.39E-02	3.70E-01	3.11E-01	3.34E-01
P-0009985-T01-IM5	1.81E-01	6.61E-01	9.40E-01	5.64E-01
P-0010671-T01-IM5	1.62E-01	3.12E-01	3.25E-01	3.46E-01
P-0010828-T01-IM5	1.30E-01	3.63E-01	3.63E-01	2.40E-01
P-0010967-T01-IM5	1.50E+00	7.40E-01	1.60E+00	2.33E-01
P-0011013-T01-IM5	8.15E-02	4.23E-01	5.48E-01	5.00E-01
P-0011222-T01-IM5	2.19E-01	1.36E-01	2.98E-01	3.55E-01
P-0011569-T01-IM5	1.49E-01	9.00E-01	9.56E-01	3.35E-01
P-0011570-T01-IM5	2.37E+00	8.46E-01	2.81E+00	4.81E-01
P-0012113-T01-IM5	1.02E+00	2.24E+00	2.80E+00	1.81E+00
P-0012152-T01-IM5	4.93E-02	2.50E-01	2.43E-01	3.13E-01
P-0012179-T01-IM5	0.00E+00	4.29E-01	2.84E-01	4.27E-01
P-0012358-T01-IM5	1.04E+01	3.04E+00	1.32E+01	6.85E-01
P-0012397-T01-IM5	1.01E+00	2.34E+00	2.45E+00	1.84E+00
P-0012441-T01-IM5	8.90E-02	4.08E-01	2.69E-01	4.11E-01
P-0012445-T01-IM5	2.63E+00	8.45E-01	2.95E+00	8.86E-01
P-0012670-T01-IM5	8.30E-01	4.91E-01	9.22E-01	2.10E-01
