Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0000069-T01-IM3	0	2	0	2	8
P-0000448-T01-IM3	0	0	6	49	15
P-0000558-T01-IM3	0	0	1	4	10
P-0000614-T01-IM3	0	2	0	2	16
P-0001248-T01-IM3	0	4	13	4	0
P-0001791-T01-IM3	0	0	5	4	5
P-0002280-T01-IM3	0	0	12	5	4
P-0003014-T01-IM3	2	3	7	3	10
P-0003767-T01-IM5	0	1	5	5	10
P-0004136-T01-IM5	3	1	4	5	11
P-0004255-T01-IM5	0	4	1	6	9
P-0004379-T01-IM5	201	78	88	38	33
P-0005285-T01-IM5	0	4	4	4	5
P-0005564-T01-IM5	0	13	36	19	17
P-0006201-T01-IM5	0	8	9	3	11
P-0007675-T01-IM5	0	3	1	0	0
P-0008444-T01-IM5	0	5	4	4	0
P-0008646-T01-IM5	0	1	0	8	4
P-0009585-T01-IM5	0	4	12	4	0
P-0009985-T01-IM5	2	0	17	2	4
P-0010671-T01-IM5	0	4	8	0	3
P-0010828-T01-IM5	0	6	0	9	3
P-0010967-T01-IM5	109	32	15	5	0
P-0011013-T01-IM5	0	2	9	2	9
P-0011222-T01-IM5	2	1	2	0	13
P-0011569-T01-IM5	1	3	24	17	0
P-0011570-T01-IM5	39	72	3	0	0
P-0012113-T01-IM5	58	25	78	47	30
P-0012152-T01-IM5	0	3	9	3	1
P-0012179-T01-IM5	0	2	0	30	5
P-0012358-T01-IM5	169	283	0	0	0
P-0012397-T01-IM5	14	43	92	69	6
P-0012441-T01-IM5	0	3	0	7	12
P-0012445-T01-IM5	79	70	9	0	13
P-0012670-T01-IM5	93	7	12	8	0
P-0012726-T01-IM5	0	3	0	5	12
P-0012740-T01-IM5	2	1	8	0	9
P-0012819-T01-IM5	0	4	1	7	9
P-0012848-T01-IM5	0	2	4	5	4
P-0012988-T01-IM5	9	3	100	0	41
P-0013112-T02-IM6	0	3	4	2	7
P-0013350-T01-IM5	99	39	9	2	1
P-0013452-T01-IM5	0	6	7	0	1
P-0013537-T01-IM5	84	107	0	0	0
P-0014023-T01-IM5	0	0	3	5	5
P-0014145-T01-IM5	0	2	17	0	4
P-0014170-T01-IM5	0	0	4	5	2
P-0014388-T01-IM6	0	4	4	11	0
P-0014495-T01-IM6	0	2	0	3	8
P-0014528-T01-IM6	7	10	0	0	0
P-0014680-T01-IM6	0	0	3	5	2
P-0014780-T01-IM6	0	9	9	29	0
P-0015048-T01-IM6	1	1	0	11	4
P-0015293-T01-IM6	0	0	13	11	14
P-0015626-T01-IM6	25	66	0	40	5
P-0015869-T01-IM6	73	32	0	6	0
P-0015885-T01-IM6	2	5	11	47	14
P-0016053-T01-IM6	2	1	7	4	8
P-0016099-T01-IM6	228	74	59	25	0
P-0016247-T01-IM6	1	0	4	7	12
P-0016341-T01-IM6	2	0	5	9	4
P-0016505-T01-IM6	11	25	0	1	1
P-0016801-T01-IM6	0	3	18	6	1
P-0016825-T01-IM6	51	0	0	5	0
P-0016904-T01-IM6	1	7	0	13	4
P-0017300-T01-IM6	2	0	0	3	9
P-0017681-T01-IM6	0	1	0	10	11
P-0017713-T01-IM6	0	2	28	8	9
P-0017883-T01-IM6	1	1	0	27	5
P-0018005-T01-IM6	0	5	1	41	0
P-0018100-T01-IM6	10	0	152	0	165
P-0018106-T01-IM6	0	0	0	6	10
P-0018204-T01-IM6	0	2	18	0	20
P-0018224-T01-IM6	3	0	1	4	6
P-0018353-T01-IM6	0	2	6	12	5
P-0018723-T01-IM6	0	0	0	0	2
P-0019071-T01-IM6	0	4	1	8	11
P-0019093-T01-IM6	0	0	0	11	14
P-0019386-T01-IM6	1	1	10	12	3
P-0019598-T01-IM6	2	3	6	2	4
P-0019649-T01-IM6	80	105	25	48	0
P-0019650-T01-IM6	1	0	7	5	8
P-0019658-T01-IM6	75	13	0	0	1
P-0019741-T01-IM6	0	6	14	16	0
P-0020009-T01-IM6	0	0	1	10	9
P-0020227-T01-IM6	0	5	0	2	20
P-0020271-T01-IM6	0	0	2	21	20
P-0020509-T01-IM6	2	3	6	9	0
P-0020754-T01-IM6	0	2	2	4	6
P-0021505-T01-IM6	1	3	9	13	10
P-0021670-T01-IM6	0	4	0	5	5
P-0021692-T01-IM6	0	1	0	6	10
P-0021856-T01-IM6	0	1	0	12	5
P-0021897-T01-IM6	0	0	3	0	6
P-0022010-T01-IM6	0	10	10	29	0
