NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	44.123	96.423	9.954	62.163	1.009	0.706	30000.0
2	42.84	95.067	9.414	60.42	0.995	0.719	50000.0
3	45.637	97.612	10.7	61.602	0.988	0.711	20000.0
4	43.556	94.746	9.585	60.218	0.99	0.715	40000.0
5	42.863	95.381	9.244	60.484	1.011	0.717	40000.0
6	44.884	96.337	10.628	60.925	0.985	0.718	30000.0
7	42.108	94.099	9.129	59.581	0.989	0.717	20000.0
8	43.207	94.303	9.494	60.342	0.987	0.717	50000.0
9	43.152	97.549	9.224	60.881	1.031	0.703	30000.0
10	43.22	94.972	9.421	60.534	0.999	0.712	20000.0
11	43.012	96.26	9.337	61.137	1.018	0.707	20000.0
12	43.463	96.103	9.469	60.87	0.994	0.72	30000.0
13	42.908	95.337	9.351	61.035	0.988	0.71	50000.0
14	42.444	93.171	9.166	59.2	0.985	0.725	30000.0
15	43.17	95.68	9.393	60.913	1.021	0.705	30000.0
16	42.888	94.138	9.457	59.92	0.992	0.718	30000.0
17	42.508	95.013	9.192	59.799	1.012	0.718	30000.0
18	42.49	93.381	9.3	59.451	0.989	0.722	30000.0
19	43.056	94.982	9.248	59.796	0.999	0.715	30000.0
20	42.479	94.829	9.206	60.145	1.012	0.715	30000.0
21	42.857	94.58	9.298	59.677	0.99	0.72	30000.0
22	42.811	94.528	9.167	59.828	1.002	0.721	20000.0
23	42.762	93.391	9.222	59.126	0.989	0.727	40000.0
24	42.484	93.272	9.192	59.556	0.988	0.726	30000.0
25	42.553	94.305	9.337	59.986	0.992	0.722	30000.0
26	44.722	95.293	10.47	60.322	0.988	0.721	20000.0
27	42.014	93.1	9.018	58.685	0.984	0.724	40000.0
28	43.085	94.43	9.308	60.073	0.998	0.713	30000.0
29	42.693	94.036	9.438	60.351	0.999	0.712	30000.0
30	45.8	97.423	10.724	62.358	0.987	0.707	30000.0
31	42.663	94.111	9.282	59.44	0.994	0.724	50000.0
