Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000069-T01-IM3	12	0.533	16.081	134.008%	2.945	85.015%	1.53585	0.432
P-0000448-T01-IM3	70	0.911	50.855	72.65%	9.679	41.271%	0.54795	0.901
P-0000558-T01-IM3	15	0.722	18.919	126.127%	3.566	71.32%	1.20521	0.697
P-0000614-T01-IM3	20	0.649	22.26	111.3%	4.605	76.75%	1.07049	0.595
P-0001248-T01-IM3	21	0.883	16.918	80.562%	3.198	47.673%	0.75489	0.87
P-0001791-T01-IM3	14	0.752	14.228	101.629%	2.637	65.925%	1.2371	0.709
P-0002280-T01-IM3	21	0.73	22.181	105.624%	3.977	69.231%	1.27365	0.679
P-0003014-T01-IM3	25	0.811	21.744	86.976%	3.579	58.838%	0.72463	0.766
P-0003767-T01-IM5	21	0.803	19.838	94.467%	3.477	60.527%	0.86467	0.77
P-0004136-T01-IM5	24	0.642	25.447	106.029%	4.271	77.977%	1.11408	0.527
P-0004255-T01-IM5	20	0.759	22.486	112.43%	4.503	66.393%	1.00709	0.734
P-0004379-T01-IM5	438	0.98	155.539	35.511%	24.8	20.225%	0.19351	0.977
P-0005285-T01-IM5	17	0.761	18.655	109.735%	3.509	65.16%	1.1745	0.729
P-0005564-T01-IM5	85	0.908	54.438	64.045%	9.449	42.3%	0.4307	0.891
P-0006201-T01-IM5	31	0.754	31.974	103.142%	5.691	65.714%	0.97499	0.709
P-0007675-T01-IM5	4	0.627	4.906	122.65%	1.575	78.75%	2.53823	0.607
P-0008444-T01-IM5	13	0.833	11.572	89.015%	2.534	55.296%	1.26645	0.816
P-0008646-T01-IM5	13	0.751	13.208	101.6%	2.775	67.304%	1.30615	0.719
P-0009585-T01-IM5	20	0.817	20.482	102.41%	4.823	60.288%	1.17731	0.807
P-0009985-T01-IM5	25	0.67	26.602	106.408%	5.33	74.635%	1.0201	0.608
P-0010671-T01-IM5	15	0.797	15.751	105.007%	2.943	61.366%	1.13123	0.772
P-0010828-T01-IM5	18	0.888	14.39	79.944%	3.563	48.486%	0.62306	0.882
P-0010967-T01-IM5	161	0.993	56.867	35.321%	9.588	14.562%	0.19733	0.993
P-0011013-T01-IM5	22	0.738	23.067	104.85%	3.819	67.511%	1.02218	0.678
P-0011222-T01-IM5	18	0.655	20.612	114.511%	3.206	75.566%	1.20936	0.545
P-0011569-T01-IM5	45	0.876	35.579	79.064%	7.757	49.357%	0.53944	0.864
P-0011570-T01-IM5	114	0.984	50.216	44.049%	8.753	18.339%	0.3513	0.983
P-0012113-T01-IM5	238	0.98	75.713	31.812%	11.141	19.907%	0.1693	0.976
P-0012152-T01-IM5	16	0.648	21.078	131.737%	4.186	76.426%	1.7546	0.604
P-0012179-T01-IM5	37	0.915	24.755	66.905%	6.052	40.71%	0.49841	0.909
P-0012358-T01-IM5	452	0.995	124.755	27.601%	27.563	13.566%	0.11544	0.995
P-0012397-T01-IM5	224	0.966	86.541	38.634%	15.675	25.832%	0.21903	0.96
P-0012441-T01-IM5	22	0.77	21.384	97.2%	3.833	63.883%	0.99113	0.726
P-0012445-T01-IM5	171	0.987	63.067	36.881%	10.137	16.176%	0.25097	0.986
P-0012670-T01-IM5	120	0.984	46.633	38.861%	8.132	17.969%	0.30506	0.983
P-0012726-T01-IM5	20	0.63	25.098	125.49%	4.529	77.672%	1.33051	0.56
P-0012740-T01-IM5	20	0.64	24.658	123.29%	4.636	77.267%	1.30917	0.58
P-0012819-T01-IM5	21	0.776	21.152	100.724%	3.623	63.068%	1.05046	0.734
P-0012848-T01-IM5	15	0.812	13.567	90.447%	2.546	58.409%	1.17616	0.782
P-0012988-T01-IM5	153	0.828	103.394	67.578%	23.63	57.06%	0.40996	0.798
P-0013112-T02-IM6	16	0.491	22.164	138.525%	3.984	89.085%	1.57753	0.376
P-0013350-T01-IM5	150	0.991	48.913	32.609%	7.599	13.787%	0.22724	0.991
P-0013452-T01-IM5	14	0.855	12.469	89.064%	2.715	53.246%	0.92846	0.843
P-0013537-T01-IM5	191	0.993	75.508	39.533%	16.649	18.53%	0.18696	0.993
P-0014023-T01-IM5	13	0.532	17.572	135.169%	3.563	86.415%	1.8057	0.457
P-0014145-T01-IM5	23	0.84	20.71	90.043%	3.597	54.854%	0.88515	0.815
P-0014170-T01-IM5	11	0.712	12.056	109.6%	2.549	70.697%	1.33932	0.675
P-0014388-T01-IM6	19	0.899	13.669	71.942%	2.872	43.798%	1.16716	0.889
P-0014495-T01-IM6	13	0.603	16.776	129.046%	3.483	79.906%	1.39156	0.547
P-0014528-T01-IM6	17	0.955	15.649	92.053%	4.824	44.222%	0.78441	0.958
P-0014680-T01-IM6	10	0.69	12.215	122.15%	2.711	72.455%	1.57368	0.658
P-0014780-T01-IM6	47	0.96	26.045	55.415%	4.931	29.006%	0.50585	0.956
P-0015048-T01-IM6	17	0.743	17.869	105.112%	3.555	71.1%	1.51113	0.707
P-0015293-T01-IM6	38	0.701	42.886	112.858%	7.328	71.857%	1.06167	0.638
P-0015626-T01-IM6	136	0.979	57.088	41.976%	9.279	20.832%	0.27368	0.976
P-0015869-T01-IM6	111	0.981	49.102	44.236%	8.784	21.939%	0.32702	0.979
P-0015885-T01-IM6	79	0.979	34.554	43.739%	5.289	21.503%	0.33612	0.976
P-0016053-T01-IM6	22	0.787	20.226	91.936%	3.511	62.066%	0.8345	0.741
P-0016099-T01-IM6	386	0.992	132.112	34.226%	24.556	16.637%	0.16986	0.992
P-0016247-T01-IM6	24	0.647	29.815	124.229%	5.501	76.285%	1.16522	0.585
