Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0000069-T01-IM3	0	1	0	2	0	9
P-0000448-T01-IM3	0	0	6	42	18	4
P-0000558-T01-IM3	0	0	2	3	5	5
P-0000614-T01-IM3	0	1	0	2	0	17
P-0001248-T01-IM3	0	3	13	3	1	1
P-0001791-T01-IM3	0	0	5	3	1	5
P-0002280-T01-IM3	0	0	10	3	5	3
P-0003014-T01-IM3	2	2	5	3	9	4
P-0003767-T01-IM5	0	1	3	4	6	7
P-0004136-T01-IM5	3	1	2	4	4	10
P-0004255-T01-IM5	0	3	2	5	1	9
P-0004379-T01-IM5	178	71	76	33	0	80
P-0005285-T01-IM5	0	3	5	3	0	6
P-0005564-T01-IM5	0	10	37	13	6	19
P-0006201-T01-IM5	0	6	5	3	16	1
P-0007675-T01-IM5	0	2	2	0	0	0
P-0008444-T01-IM5	0	4	5	4	0	0
P-0008646-T01-IM5	0	1	0	7	3	2
P-0009585-T01-IM5	0	3	15	2	0	0
P-0009985-T01-IM5	2	0	13	1	0	9
P-0010671-T01-IM5	0	3	7	0	2	3
P-0010828-T01-IM5	0	5	0	9	1	3
P-0010967-T01-IM5	104	34	18	5	0	0
P-0011013-T01-IM5	0	2	8	1	6	5
P-0011222-T01-IM5	2	1	2	0	1	12
P-0011569-T01-IM5	2	3	27	12	0	1
P-0011570-T01-IM5	38	62	14	0	0	0
P-0012113-T01-IM5	54	24	64	39	21	36
P-0012152-T01-IM5	0	2	11	1	1	1
P-0012179-T01-IM5	0	3	1	24	8	1
P-0012358-T01-IM5	167	255	0	13	3	14
P-0012397-T01-IM5	13	34	85	52	0	40
P-0012441-T01-IM5	0	3	0	6	8	5
P-0012445-T01-IM5	73	58	14	2	6	18
P-0012670-T01-IM5	90	12	12	6	0	0
P-0012726-T01-IM5	0	3	0	4	13	0
P-0012740-T01-IM5	2	1	4	0	10	3
P-0012819-T01-IM5	0	3	1	6	7	4
P-0012848-T01-IM5	0	2	3	5	4	1
P-0012988-T01-IM5	9	4	66	0	49	25
P-0013112-T02-IM6	0	2	1	1	12	0
P-0013350-T01-IM5	91	37	8	4	9	1
P-0013452-T01-IM5	0	4	6	0	4	0
P-0013537-T01-IM5	82	93	10	6	0	0
P-0014023-T01-IM5	0	0	3	3	7	0
P-0014145-T01-IM5	0	1	13	0	6	3
P-0014170-T01-IM5	0	0	4	4	3	0
P-0014388-T01-IM6	0	4	5	9	0	1
P-0014495-T01-IM6	0	2	0	2	8	1
P-0014528-T01-IM6	7	10	0	0	0	0
P-0014680-T01-IM6	0	0	3	5	1	1
P-0014780-T01-IM6	0	8	12	24	0	3
P-0015048-T01-IM6	0	2	0	9	4	2
P-0015293-T01-IM6	0	0	13	6	0	19
P-0015626-T01-IM6	22	50	8	38	2	16
P-0015869-T01-IM6	68	30	0	9	0	4
P-0015885-T01-IM6	1	6	13	38	14	7
P-0016053-T01-IM6	2	1	4	3	12	0
P-0016099-T01-IM6	221	76	68	21	0	0
P-0016247-T01-IM6	1	0	2	5	16	0
P-0016341-T01-IM6	2	0	5	7	2	4
P-0016505-T01-IM6	10	20	1	3	3	1
P-0016801-T01-IM6	0	2	18	3	1	4
P-0016825-T01-IM6	49	3	0	4	0	0
P-0016904-T01-IM6	0	6	0	13	6	0
P-0017300-T01-IM6	2	1	0	2	8	1
P-0017681-T01-IM6	0	1	0	8	11	2
P-0017713-T01-IM6	0	2	20	5	20	0
P-0017883-T01-IM6	0	2	0	24	8	0
P-0018005-T01-IM6	0	5	6	32	4	0
P-0018100-T01-IM6	7	1	61	0	258	0
P-0018106-T01-IM6	0	0	0	5	5	6
P-0018204-T01-IM6	0	1	11	0	21	7
P-0018224-T01-IM6	3	1	0	3	6	1
P-0018353-T01-IM6	0	2	7	9	2	5
P-0018723-T01-IM6	0	0	0	0	0	2
P-0019071-T01-IM6	0	3	2	7	6	6
P-0019093-T01-IM6	0	0	0	8	16	1
P-0019386-T01-IM6	1	1	8	11	4	2
P-0019598-T01-IM6	2	2	4	2	7	0
P-0019649-T01-IM6	73	86	31	47	0	21
P-0019650-T01-IM6	1	0	6	4	6	4
P-0019658-T01-IM6	69	15	0	1	3	1
P-0019741-T01-IM6	0	5	12	13	6	0
P-0020009-T01-IM6	0	0	1	8	4	7
P-0020227-T01-IM6	0	4	0	2	13	8
P-0020271-T01-IM6	0	1	2	17	9	14
P-0020509-T01-IM6	2	2	9	7	0	0
P-0020754-T01-IM6	0	2	2	3	6	1
P-0021505-T01-IM6	0	3	6	12	12	3
P-0021670-T01-IM6	0	2	0	4	8	0
P-0021692-T01-IM6	0	1	0	5	8	3
P-0021856-T01-IM6	0	1	0	11	5	1
P-0021897-T01-IM6	0	0	0	0	9	0
P-0022010-T01-IM6	0	8	16	25	0	0
P-0023250-T01-IM6	1	1	1	1	15	5
P-0023555-T01-IM6	0	3	10	24	0	10
P-0023857-T01-IM6	1	4	18	3	0	7
P-0023968-T01-IM6	0	2	4	3	0	5
P-0024106-T01-IM6	2	0	0	6	1	5
P-0024289-T01-IM6	0	0	0	25	6	13
P-0025003-T01-IM6	0	3	0	1	10	0
P-0025195-T01-IM6	0	0	7	5	9	2
P-0025240-T01-IM6	0	1	10	10	0	11
P-0025248-T01-IM6	0	3	14	3	8	0
P-0025312-T01-IM6	0	6	0	9	3	6
P-0025648-T01-IM6	112	29	1	9	7	0
P-0025701-T01-IM6	0	1	0	17	1	5
P-0025885-T01-IM6	1	5	7	15	2	0
P-0026221-T01-IM6	0	0	2	7	13	1
P-0026297-T01-IM6	63	11	268	65	33	8
P-0026714-T01-IM6	0	0	0	5	7	6
P-0027652-T01-IM6	129	56	17	1	6	0
P-0027698-T01-IM6	2	12	7	28	3	9
