Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS42	SBS54
P-0000069-T01-IM3	3	9	0	0	0	0	0	0
P-0000448-T01-IM3	44	4	0	0	0	22	0	0
P-0000558-T01-IM3	2	0	0	0	6	0	0	7
P-0000614-T01-IM3	3	7	0	0	0	0	0	10
P-0001248-T01-IM3	1	0	0	3	17	0	0	0
P-0001791-T01-IM3	2	4	0	0	8	0	0	0
P-0002280-T01-IM3	2	7	0	0	12	0	0	0
P-0003014-T01-IM3	6	9	0	0	0	0	10	0
P-0003767-T01-IM5	5	4	0	0	0	6	0	6
P-0004136-T01-IM5	5	19	0	0	0	0	0	0
P-0004255-T01-IM5	3	4	0	0	6	0	0	7
P-0004379-T01-IM5	40	39	100	172	87	0	0	0
P-0005285-T01-IM5	4	6	0	0	7	0	0	0
P-0005564-T01-IM5	8	27	0	0	50	0	0	0
P-0006201-T01-IM5	6	4	0	7	0	14	0	0
P-0007675-T01-IM5	0	0	0	2	2	0	0	0
P-0008444-T01-IM5	3	0	0	3	7	0	0	0
P-0008646-T01-IM5	7	6	0	0	0	0	0	0
P-0009585-T01-IM5	0	0	0	0	20	0	0	0
P-0009985-T01-IM5	0	7	0	0	10	0	8	0
P-0010671-T01-IM5	0	2	0	4	9	0	0	0
P-0010828-T01-IM5	11	2	0	5	0	0	0	0
P-0010967-T01-IM5	18	0	57	86	0	0	0	0
P-0011013-T01-IM5	0	8	0	0	14	0	0	0
P-0011222-T01-IM5	1	17	0	0	0	0	0	0
P-0011569-T01-IM5	8	7	0	0	30	0	0	0
P-0011570-T01-IM5	3	0	11	78	22	0	0	0
P-0012113-T01-IM5	43	27	27	48	50	43	0	0
P-0012152-T01-IM5	0	6	0	0	10	0	0	0
P-0012179-T01-IM5	22	15	0	0	0	0	0	0
P-0012358-T01-IM5	51	0	51	350	0	0	0	0
P-0012397-T01-IM5	44	34	0	38	108	0	0	0
P-0012441-T01-IM5	7	11	0	0	0	0	0	4
P-0012445-T01-IM5	5	0	33	103	30	0	0	0
P-0012670-T01-IM5	13	0	52	55	0	0	0	0
P-0012726-T01-IM5	7	5	0	0	0	8	0	0
P-0012740-T01-IM5	3	0	0	0	0	0	17	0
P-0012819-T01-IM5	9	7	0	0	0	0	0	5
P-0012848-T01-IM5	4	7	0	0	4	0	0	0
P-0012988-T01-IM5	20	18	0	0	0	115	0	0
P-0013112-T02-IM6	2	5	0	0	0	0	9	0
P-0013350-T01-IM5	16	0	48	86	0	0	0	0
P-0013452-T01-IM5	0	0	0	5	9	0	0	0
P-0013537-T01-IM5	25	0	33	133	0	0	0	0
P-0014023-T01-IM5	1	6	0	0	6	0	0	0
P-0014145-T01-IM5	0	0	0	0	10	13	0	0
P-0014170-T01-IM5	5	6	0	0	0	0	0	0
P-0014388-T01-IM6	8	2	0	0	9	0	0	0
P-0014495-T01-IM6	2	9	0	0	0	0	0	2
P-0014528-T01-IM6	0	0	2	15	0	0	0	0
P-0014680-T01-IM6	3	1	0	0	6	0	0	0
P-0014780-T01-IM6	25	6	0	0	16	0	0	0
