Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0000069-T01-IM3	12	0.526	16.884	140.7%	2.953	85.246%	1.6232	0.42
P-0000448-T01-IM3	70	0.929	46.504	66.434%	8.759	37.349%	0.72259	0.922
P-0000558-T01-IM3	15	0.791	15.247	101.647%	3.07	61.4%	1.36185	0.766
P-0000614-T01-IM3	20	0.638	22.182	110.91%	4.636	77.267%	1.25338	0.574
P-0001248-T01-IM3	21	0.889	15.396	73.314%	3.114	46.421%	0.73934	0.876
P-0001791-T01-IM3	14	0.723	15.02	107.286%	2.85	71.25%	1.28448	0.678
P-0002280-T01-IM3	21	0.76	21.781	103.719%	3.804	66.219%	1.36743	0.716
P-0003014-T01-IM3	25	0.686	28.342	113.368%	4.433	72.878%	1.01896	0.598
P-0003767-T01-IM5	21	0.797	20.142	95.914%	3.49	60.753%	0.87754	0.76
P-0004136-T01-IM5	24	0.634	28.347	118.112%	4.245	77.503%	1.20807	0.506
P-0004255-T01-IM5	20	0.73	22.278	111.39%	4.677	68.959%	1.04475	0.7
P-0004379-T01-IM5	438	0.956	223.513	51.03%	39.18	31.952%	0.35973	0.95
P-0005285-T01-IM5	17	0.728	18.787	110.512%	3.696	68.633%	1.38786	0.69
P-0005564-T01-IM5	85	0.903	61.67	72.553%	9.642	43.164%	0.58531	0.885
P-0006201-T01-IM5	31	0.756	31.771	102.487%	5.682	65.61%	1.1999	0.712
P-0007675-T01-IM5	4	0.604	5.005	125.125%	1.594	79.7%	3.9647	0.581
P-0008444-T01-IM5	13	0.822	11.53	88.692%	2.615	57.064%	1.83564	0.804
P-0008646-T01-IM5	13	0.762	13.837	106.438%	2.709	65.703%	1.25461	0.731
P-0009585-T01-IM5	20	0.842	19.506	97.53%	4.313	53.912%	1.54685	0.83
P-0009985-T01-IM5	25	0.71	29.404	117.616%	5.028	70.406%	1.15112	0.657
