Samples	SBS96A	SBS96B	SBS96C
P-0000069-T01-IM3	2	2	8
P-0000448-T01-IM3	0	46	24
P-0000558-T01-IM3	0	5	10
P-0000614-T01-IM3	1	2	17
P-0001248-T01-IM3	2	13	6
P-0001791-T01-IM3	0	6	8
P-0002280-T01-IM3	0	9	12
P-0003014-T01-IM3	3	6	16
P-0003767-T01-IM5	0	7	14
P-0004136-T01-IM5	3	5	16
P-0004255-T01-IM5	2	9	9
P-0004379-T01-IM5	265	93	80
P-0005285-T01-IM5	2	10	5
P-0005564-T01-IM5	5	47	33
P-0006201-T01-IM5	5	7	19
P-0007675-T01-IM5	2	2	0
P-0008444-T01-IM5	2	11	0
P-0008646-T01-IM5	1	7	5
P-0009585-T01-IM5	0	20	0
P-0009985-T01-IM5	1	9	15
P-0010671-T01-IM5	3	6	6
P-0010828-T01-IM5	4	12	2
P-0010967-T01-IM5	143	16	2
P-0011013-T01-IM5	1	8	13
P-0011222-T01-IM5	4	1	13
P-0011569-T01-IM5	0	35	10
P-0011570-T01-IM5	89	25	0
P-0012113-T01-IM5	69	81	88
P-0012152-T01-IM5	1	11	4
P-0012179-T01-IM5	0	28	9
P-0012358-T01-IM5	376	76	0
P-0012397-T01-IM5	34	141	49
P-0012441-T01-IM5	2	7	13
P-0012445-T01-IM5	130	24	17
P-0012670-T01-IM5	110	6	4
P-0012726-T01-IM5	2	3	15
P-0012740-T01-IM5	3	1	16
P-0012819-T01-IM5	2	8	11
P-0012848-T01-IM5	1	7	7
P-0012988-T01-IM5	9	25	119
P-0013112-T02-IM6	2	3	11
P-0013350-T01-IM5	129	10	11
P-0013452-T01-IM5	3	5	6
P-0013537-T01-IM5	157	34	0
P-0014023-T01-IM5	0	7	6
P-0014145-T01-IM5	1	6	16
P-0014170-T01-IM5	0	7	4
P-0014388-T01-IM6	0	19	0
P-0014495-T01-IM6	1	3	9
P-0014528-T01-IM6	17	0	0
P-0014680-T01-IM6	0	10	0
P-0014780-T01-IM6	2	40	5
P-0015048-T01-IM6	1	10	6
P-0015293-T01-IM6	0	22	16
P-0015626-T01-IM6	65	66	5
P-0015869-T01-IM6	98	11	2
P-0015885-T01-IM6	0	56	23
P-0016053-T01-IM6	2	5	15
P-0016099-T01-IM6	313	73	0
P-0016247-T01-IM6	0	7	17
P-0016341-T01-IM6	0	11	9
P-0016505-T01-IM6	28	10	0
P-0016801-T01-IM6	0	18	10
P-0016825-T01-IM6	56	0	0
P-0016904-T01-IM6	5	15	5
P-0017300-T01-IM6	2	2	10
P-0017681-T01-IM6	0	9	13
P-0017713-T01-IM6	0	19	28
P-0017883-T01-IM6	0	25	9
