Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments
EP300	0	MSKCC-DMP	P-0010758-T01-IM5	EP300-intragenic	yes	unknown		in frame	EP300 (NM_001429) rearrangement: c.4617+54_c.4780-1066del Note: The EP300 rearrangement is an intragenic deletion of exon 29. The functional significance is undetermined.
RPTOR	0	MSKCC-DMP	P-0014470-T01-IM6	RPTOR-intragenic	yes	unknown		unknown	RPTOR (NM_020761) Rearrangement :  c.284_c.348+4045dup Note: The RPTOR Rearrangement results in the intragenic duplication of RPTOR exon 3. One of the breakpoints is within exon 3 of RPTOR. Its functional significance is undetermined.
ERG	0	MSKCC-DMP	P-0011577-T01-IM5	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ERG (NM_004449) fusion (TMPRSS2 exons 1-2 fused with ERG exons 4-11) : c.127-511:TMPRSS2_c.40-47146:ERGdel Note: The TMPRSS2-ERG fusion is predicted to be in-frame.
TMPRSS2	0	MSKCC-DMP	P-0011577-T01-IM5	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ERG (NM_004449) fusion (TMPRSS2 exons 1-2 fused with ERG exons 4-11) : c.127-511:TMPRSS2_c.40-47146:ERGdel Note: The TMPRSS2-ERG fusion is predicted to be in-frame.
ARID1B	0	MSKCC-DMP	P-0012253-T01-IM5	ARID1B-intragenic	yes	unknown		unknown	ARID1B (NM_020732) rearrangement: c.83_c.1777-2523del Note: The ARID1B rearrangement is an intragenic deletion of exons 1-4. One of the breakpoints is within exon 1.
BAP1	0	MSKCC-DMP	P-0011443-T01-IM5	BAP1-intragenic	yes	unknown		out of frame	BAP1 (NM_004656) rearrangement : c.68-1_256-75del Note: The BAP1 rearrangement event results in the deleion of BAP1 exons 3-4. One of the breakpoints is within the 5 splice site of BAP1 exon3.
BRCA2	0	MSKCC-DMP	P-0013956-T01-IM5	BRCA2-intragenic	yes	unknown		unknown	BRCA2 (NM_00005) rearrangement: c.3575_c.6269inv Note: The BRCA2 rearrangement is an inversion of exon 11. Both breakpoints are within exon. The functional significance is undetermined.
DNAH9	0	MSKCC-DMP	P-0014576-T01-IM6	MAP2K4-DNAH9 fusion	yes	unknown		unknown	DNAH9 (NM_001372) - MAP2K4 (NM_003010) rearrangement: c.5552+2579:DNAH9_c.1168:MAP2K4inv Note: The DNAH9 - MAP2K4 rearrangement is an inversions which that results in the antisense fusion of DNAH9 exon 26 to MAP2K4 exon 11. One of the breakpoints is within exon 11 of MAP2K4. The functional significance is undetermined.
MAP2K4	0	MSKCC-DMP	P-0014576-T01-IM6	MAP2K4-DNAH9 fusion	yes	unknown		unknown	DNAH9 (NM_001372) - MAP2K4 (NM_003010) rearrangement: c.5552+2579:DNAH9_c.1168:MAP2K4inv Note: The DNAH9 - MAP2K4 rearrangement is an inversions which that results in the antisense fusion of DNAH9 exon 26 to MAP2K4 exon 11. One of the breakpoints is within exon 11 of MAP2K4. The functional significance is undetermined.
NBN	0	MSKCC-DMP	P-0012116-T01-IM5	CWH43-NBN fusion	yes	unknown		unknown	NBN (NM_002485) Rearrangement : t(4,8)(p11,q21.3)(chr4:g.131062050::chr8:g.143130066) Note: The NBN Rearrangement results in the possible truncation of exons11-16. One of the breakpoints is within exon 11. Its functional significance is undetermined.
CWH43	0	MSKCC-DMP	P-0012116-T01-IM5	CWH43-NBN fusion	yes	unknown		unknown	NBN (NM_002485) Rearrangement : t(4,8)(p11,q21.3)(chr4:g.131062050::chr8:g.143130066) Note: The NBN Rearrangement results in the possible truncation of exons11-16. One of the breakpoints is within exon 11. Its functional significance is undetermined.
MMP16	0	MSKCC-DMP	P-0011098-T01-IM5	SPEN-MMP16 fusion	yes	unknown		unknown	SPEN (NM_015001) rearrangement: t(1;8)(p36.13;q21.3)(chr1:g.16259712::chr8:g.89816597) Note: The SPEN rearrangement is a translocation with a breakpoint within exon 11 of SPEN. The functional significance is undetermined.
SPEN	0	MSKCC-DMP	P-0011098-T01-IM5	SPEN-MMP16 fusion	yes	unknown		unknown	SPEN (NM_015001) rearrangement: t(1;8)(p36.13;q21.3)(chr1:g.16259712::chr8:g.89816597) Note: The SPEN rearrangement is a translocation with a breakpoint within exon 11 of SPEN. The functional significance is undetermined.
PRKAR1A	0	MSKCC-DMP	P-0013732-T01-IM5	UTRN-PRKAR1A fusion	yes	unknown		unknown	PRKAR1A (NM_212471) rearrangement: t(6;17)(q24.2;q24.2)(chr6:g.144894222::chr17:g.66526189) Note: The PRKAR1A rearrangement is a translocation that may result in the truncation of exons 10-11. The functional significance is undetermined.
UTRN	0	MSKCC-DMP	P-0013732-T01-IM5	UTRN-PRKAR1A fusion	yes	unknown		unknown	PRKAR1A (NM_212471) rearrangement: t(6;17)(q24.2;q24.2)(chr6:g.144894222::chr17:g.66526189) Note: The PRKAR1A rearrangement is a translocation that may result in the truncation of exons 10-11. The functional significance is undetermined.
PBRM1	0	MSKCC-DMP	P-0012110-T01-IM5	PBRM1-intragenic	yes	unknown		out of frame	PBRM1 (NM_018313) Rearrangement :  c.4576+131_c.3459-453dup Note: The PBRM1 Rearrangement  results in the intragenic duplication of exons 23-29. Its functional significance is undetermined.
ERG	0	MSKCC-DMP	P-0015015-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099)  - ERG (NM_004449) fusion (TMPRSS2 exons 1-2 fused to ERG exons 4-11) : c.127-1516:TMPRSS2_c.40-44007:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0015015-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099)  - ERG (NM_004449) fusion (TMPRSS2 exons 1-2 fused to ERG exons 4-11) : c.127-1516:TMPRSS2_c.40-44007:ERGdel
PDGFRB	0	MSKCC-DMP	P-0013271-T01-IM5	CAMK2A-PDGFRB fusion	yes	unknown		in frame	PDGFRB (NM_002609) - CAMK2A (NM_015981)  rearrangement: c.1579+9:PDGFRB_c.157+1527:CAMK2Adup Note: The PDGFRB - CAMK2A rearrangement is a duplication that results in the fusion of PDGFRB exons 1-10 with CAMK2A exons 3 - 19. The functional significance is undetermined.
